key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
8,9,50,2,10586,1,False,230,180,130,75,13,1,51,0,10592,1,False,230,180,130,75,15,1,51,0,10598,1,False,230,180,130,75,13,1,51,0,10616,1,False,230,180,130,75,15,1,51,0,10622,1,False,230,180,130,75,15,1,51,0,10628,1,False,230,180,130,75,17,1,51,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
9,9,52,2,11871,1,False,280,220,160,75,16,1,52,0,11883,1,False,280,220,160,75,11,1,52,0,10587,1,False,340,270,190,75,26,1,53,0,10593,1,False,340,270,190,75,26,1,53,0,10623,1,False,340,270,190,75,35,1,53,0,10629,1,False,340,270,190,75,35,1,53,0,11923,1,False,340,270,190,75,22,1,53,0,11951,1,False,340,270,190,75,19,1,53,0
10,9,54,2,10600,1,False,390,300,220,75,32,1,54,0,10618,1,False,390,300,220,75,32,1,54,0,11872,1,False,430,340,240,75,31,1,55,0,11876,1,False,430,340,240,75,27,1,55,0,11880,1,False,430,340,240,75,27,1,55,0,11884,1,False,430,340,240,75,29,1,55,0,11888,1,False,430,340,240,75,28,1,55,0,11904,1,False,430,340,240,75,33,1,55,0
11,9,56,2,12524,1,False,440,340,250,60,5,1,56,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
12,9,56,2,11940,1,False,480,370,270,60,24,1,56,0,11944,1,False,480,370,270,60,22,1,56,0,11948,1,False,480,370,270,60,21,1,56,0,10589,1,False,530,410,290,60,50,1,57,0,10595,1,False,530,410,290,60,42,1,57,0,10625,1,False,530,410,290,60,51,1,57,0,10631,1,False,530,410,290,60,44,1,57,0,11909,1,False,530,410,290,60,24,1,57,0
13,9,58,2,10590,1,False,580,450,320,60,39,1,58,0,10596,1,False,580,450,320,60,38,1,58,0,10602,1,False,580,450,320,60,39,1,58,0,10620,1,False,580,450,320,60,51,1,58,0,10626,1,False,580,450,320,60,61,1,58,0,10632,1,False,580,450,320,60,48,1,58,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
14,9,59,2,11917,1,False,630,490,350,60,29,1,59,0,11921,1,False,630,490,350,60,24,1,59,0,11925,1,False,630,490,350,60,30,1,59,0,11933,1,False,630,490,350,60,33,1,59,0,11941,1,False,630,490,350,60,34,1,59,0,11945,1,False,630,490,350,60,25,1,59,0,11949,1,False,630,490,350,60,39,1,59,0,11953,1,False,630,490,350,60,20,1,59,0
15,10,50,2,10670,1,False,200,160,110,75,8,1,51,0,10733,1,False,200,160,110,75,5,1,51,0,10664,1,False,230,180,130,75,11,1,51,0,10677,1,False,230,180,130,75,11,1,51,0,10705,1,False,230,180,130,75,8,1,51,0,10719,1,False,230,180,130,75,12,1,51,0,10726,1,False,230,180,130,75,8,1,51,0,10747,1,False,230,180,130,75,8,1,51,0
16,10,52,2,11895,1,False,280,220,160,75,14,1,52,0,11899,1,False,280,220,160,75,14,1,52,0,10665,1,False,340,270,190,75,31,1,53,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
17,10,54,2,10693,1,False,340,270,190,75,15,1,53,0,10714,1,False,390,300,220,75,25,1,54,0,10840,1,False,390,300,220,75,21,1,54,0,11896,1,False,390,300,220,75,23,1,54,0,11900,1,False,390,300,220,75,26,1,54,0,10666,1,False,430,340,240,75,35,1,55,0,10707,1,False,430,340,240,75,28,1,55,0,10721,1,False,430,340,240,75,32,1,55,0
18,10,56,2,12524,1,False,440,340,250,60,5,1,56,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
19,10,56,2,10694,1,False,480,370,270,60,36,1,56,0,10729,1,False,480,370,270,60,46,1,56,0,10757,1,False,480,370,270,60,40,1,56,0,10855,1,False,480,370,270,60,46,1,56,0,10667,1,False,530,410,290,60,38,1,57,0,10764,1,False,530,410,290,60,65,1,57,0,11897,1,False,530,410,290,60,40,1,57,0,11901,1,False,530,410,290,60,38,1,57,0
20,10,58,2,10674,1,False,580,450,320,60,40,1,58,0,10688,1,False,580,450,320,60,49,1,58,0,10695,1,False,580,450,320,60,38,1,58,0,10709,1,False,580,450,320,60,49,1,58,0,10716,1,False,580,450,320,60,47,1,58,0,10730,1,False,580,450,320,60,51,1,58,0,10737,1,False,580,450,320,60,38,1,58,0,10751,1,False,580,450,320,60,51,1,58,0
21,10,59,2,10668,1,False,630,490,350,60,42,1,59,0,10681,1,False,630,490,350,60,66,1,59,0,10702,1,False,630,490,350,60,66,1,59,0,10723,1,False,630,490,350,60,69,1,59,0,10744,1,False,630,490,350,60,66,1,59,0,10675,1,False,630,490,350,60,41,1,59,0,10696,1,False,630,490,350,60,31,1,59,0,0,0,False,0,0,0,1000,0,0,0,0
22,11,50,2,10982,1,False,200,160,110,75,2,1,51,0,11030,1,False,200,160,110,75,2,1,51,0,11054,1,False,200,160,110,75,2,1,51,0,10640,1,False,230,180,130,75,6,1,51,0,10754,1,False,230,180,130,75,5,1,51,0,10994,1,False,230,180,130,75,7,1,51,0,11072,1,False,230,180,130,75,5,1,51,0,11983,1,False,230,180,130,75,7,1,51,0
23,11,52,2,10977,1,False,280,220,160,75,10,1,52,0,11043,1,False,280,220,160,75,14,1,52,0,11891,1,False,280,220,160,75,11,1,52,0,12017,1,False,280,220,160,75,8,1,52,0,10659,1,False,340,270,190,75,27,1,53,0,11007,1,False,340,270,190,75,14,1,53,0,11013,1,False,340,270,190,75,17,1,53,0,11079,1,False,340,270,190,75,14,1,53,0
24,11,54,2,10642,1,False,390,300,220,75,26,1,54,0,10882,1,False,390,300,220,75,18,1,54,0,11008,1,False,390,300,220,75,19,1,54,0,11892,1,False,390,300,220,75,23,1,54,0,10660,1,False,430,340,240,75,30,1,55,0,10978,1,False,430,340,240,75,29,1,55,0,11020,1,False,430,340,240,75,33,1,55,0,11050,1,False,430,340,240,75,29,1,55,0
25,11,56,2,12544,1,False,460,360,260,60,3,1,56,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
26,11,56,2,11009,1,False,480,370,270,60,27,1,56,0,11069,1,False,480,370,270,60,56,1,56,0,11893,1,False,480,370,270,60,19,1,56,0,12018,1,False,480,370,270,60,14,1,56,0,10643,1,False,530,410,290,60,40,1,57,0,10979,1,False,530,410,290,60,46,1,57,0,11027,1,False,530,410,290,60,46,1,57,0,12030,1,False,530,410,290,60,21,1,57,0
27,11,58,2,10974,1,False,580,450,320,60,30,1,58,0,10998,1,False,580,450,320,60,34,1,58,0,11004,1,False,580,450,320,60,47,1,58,0,11022,1,False,580,450,320,60,34,1,58,0,11052,1,False,580,450,320,60,47,1,58,0,11070,1,False,580,450,320,60,33,1,58,0,11076,1,False,580,450,320,60,47,1,58,0,12706,1,False,580,450,320,60,12,1,58,0
28,11,59,2,10644,1,False,630,490,350,60,28,1,59,0,10662,1,False,630,490,350,60,43,1,59,0,10986,1,False,630,490,350,60,17,1,59,0,11010,1,False,630,490,350,60,21,1,59,0,11058,1,False,630,490,350,60,21,1,59,0,10969,1,False,630,490,350,60,24,1,59,0,11017,1,False,630,490,350,60,27,1,59,0,11065,1,False,630,490,350,60,26,1,59,0
29,12,50,2,10775,1,False,200,160,110,75,5,1,51,0,10831,1,False,230,180,130,75,7,1,51,0,10894,1,False,200,160,110,75,9,1,51,0,10957,1,False,230,180,130,75,7,1,51,0,10698,1,False,230,180,130,75,11,1,51,0,10740,1,False,230,180,130,75,11,1,51,0,11965,1,False,230,180,130,75,7,1,51,0,11993,1,False,230,180,130,75,7,1,51,0
30,12,52,2,10685,1,False,280,220,160,75,12,1,52,0,10860,1,False,280,220,160,75,10,1,52,0,11978,1,False,280,220,160,75,15,1,52,0,11988,1,False,280,220,160,75,18,1,52,0,10713,1,False,340,270,190,75,16,1,53,0,10916,1,False,340,270,190,75,21,1,53,0,10923,1,False,340,270,190,75,19,1,53,0,12026,1,False,340,270,190,75,19,1,53,0
31,12,54,2,10770,1,False,390,300,220,75,22,1,54,0,10945,1,False,390,300,220,75,20,1,54,0,11989,1,False,390,300,220,75,27,1,54,0,12023,1,False,390,300,220,75,20,1,54,0,10700,1,False,430,340,240,75,31,1,55,0,10805,1,False,430,340,240,75,30,1,55,0,10917,1,False,430,340,240,75,30,1,55,0,11967,1,False,430,340,240,75,25,1,55,0
32,12,56,2,12564,1,False,440,340,250,60,4,1,56,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
33,12,56,2,10736,1,False,480,370,270,60,37,1,56,0,10813,1,False,480,370,270,60,45,1,56,0,10897,1,False,480,370,270,60,45,1,56,0,11980,1,False,480,370,270,60,36,1,56,0,10701,1,False,530,410,290,60,62,1,57,0,10869,1,False,530,410,290,60,64,1,57,0,10918,1,False,530,410,290,60,45,1,57,0,12033,1,False,530,410,290,60,15,1,57,0
34,12,58,2,10772,1,False,580,450,320,60,34,1,58,0,10821,1,False,580,450,320,60,28,1,58,0,10856,1,False,580,450,320,60,34,1,58,0,10926,1,False,580,450,320,60,27,1,58,0,10940,1,False,580,450,320,60,30,1,58,0,11971,1,False,580,450,320,60,22,1,58,0,12024,1,False,580,450,320,60,28,1,58,0,12027,1,False,580,450,320,60,33,1,58,0
35,12,59,2,10793,1,False,630,490,350,60,40,1,59,0,10919,1,False,630,490,350,60,34,1,59,0,10738,1,False,630,490,350,60,29,1,59,0,10815,1,False,630,490,350,60,32,1,59,0,10864,1,False,630,490,350,60,29,1,59,0,10941,1,False,630,490,350,60,36,1,59,0,11969,1,False,630,490,350,60,14,1,59,0,11997,1,False,630,490,350,60,19,1,59,0
36,13,50,2,10796,1,False,200,160,110,75,7,1,51,0,10852,1,False,200,160,110,75,5,1,51,0,10901,1,False,200,160,110,75,9,1,51,0,10922,1,False,200,160,110,75,13,1,51,0,10761,1,False,230,180,130,75,17,1,51,0,10908,1,False,230,180,130,75,15,1,51,0,10964,1,False,230,180,130,75,10,1,51,0,11012,1,False,230,180,130,75,11,1,51,0
37,13,52,2,10699,1,False,280,220,160,75,28,1,52,0,10741,1,False,280,220,160,75,20,1,52,0,10797,1,False,280,220,160,75,25,1,52,0,10951,1,False,280,220,160,75,28,1,52,0,10762,1,False,340,270,190,75,38,1,53,0,10846,1,False,340,270,190,75,35,1,53,0,11966,1,False,340,270,190,75,25,1,53,0,11984,1,False,340,270,190,75,21,1,53,0
38,13,54,2,10938,1,False,390,300,220,75,26,1,54,0,10990,1,False,390,300,220,75,27,1,54,0,11961,1,False,390,300,220,75,29,1,54,0,11979,1,False,390,300,220,75,31,1,54,0,10826,1,False,430,340,240,75,31,1,55,0,10889,1,False,430,340,240,75,36,1,55,0,10952,1,False,430,340,240,75,35,1,55,0,11957,1,False,430,340,240,75,32,1,55,0
39,13,56,2,12590,1,False,410,320,230,75,5,1,55,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
40,13,56,2,10820,1,False,480,370,270,60,33,1,56,0,10946,1,False,480,370,270,60,33,1,56,0,11962,1,False,480,370,270,60,41,1,56,0,12003,1,False,480,370,270,60,34,1,56,0,10806,1,False,530,410,290,60,55,1,57,0,10890,1,False,530,410,290,60,55,1,57,0,10911,1,False,530,410,290,60,58,1,57,0,10953,1,False,530,410,290,60,57,1,57,0
41,13,58,2,10758,1,False,580,450,320,60,45,1,58,0,10800,1,False,580,450,320,60,45,1,58,0,10842,1,False,580,450,320,60,45,1,58,0,10884,1,False,580,450,320,60,47,1,58,0,10898,1,False,580,450,320,60,47,1,58,0,10905,1,False,580,450,320,60,38,1,58,0,10947,1,False,580,450,320,60,38,1,58,0,0,0,False,0,0,0,1000,0,0,0,0
42,13,59,2,10765,1,False,630,490,350,60,70,1,59,0,10828,1,False,630,490,350,60,66,1,59,0,10849,1,False,630,490,350,60,70,1,59,0,10891,1,False,630,490,350,60,76,1,59,0,10912,1,False,630,490,350,60,70,1,59,0,10933,1,False,630,490,350,60,75,1,59,0,10822,1,False,630,490,350,60,38,1,59,0,10948,1,False,630,490,350,60,38,1,59,0
43,14,50,2,10646,1,False,200,160,110,75,9,1,51,0,10652,1,False,200,160,110,75,8,1,51,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
44,14,52,2,10635,1,False,280,220,160,75,20,1,52,0,10647,1,False,280,220,160,75,14,1,52,0,10653,1,False,280,220,160,75,14,1,52,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
45,14,54,2,10648,1,False,430,340,240,75,28,1,55,0,10654,1,False,430,340,240,75,28,1,55,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
46,14,56,2,12602,1,False,440,340,250,60,4,1,56,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
47,14,56,2,10637,1,False,480,370,270,60,43,1,56,0,10649,1,False,530,410,290,60,42,1,57,0,10655,1,False,530,410,290,60,42,1,57,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
48,14,58,2,10650,1,False,580,450,320,60,45,1,58,0,10656,1,False,580,450,320,60,45,1,58,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
49,14,59,2,12622,1,False,580,450,320,60,20,1,58,0,12623,1,False,580,450,320,60,20,1,58,0,12624,1,False,630,490,350,60,20,1,59,0,12625,1,False,630,490,350,60,20,1,59,0,12626,1,False,630,490,350,60,20,1,59,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
50,15,50,2,12845,1,False,230,180,130,75,6,1,51,0,12861,1,False,280,220,160,75,6,1,52,0,12866,1,False,280,220,160,75,6,1,52,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
51,15,52,2,12842,1,False,340,270,190,75,8,1,53,0,12850,1,False,340,270,190,75,5,1,53,0,12853,1,False,340,270,190,75,7,1,53,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
52,15,54,2,12846,1,False,390,300,220,75,9,1,54,0,12849,1,False,430,340,240,75,7,1,55,0,12855,1,False,390,300,220,75,6,1,54,0,12862,1,False,390,300,220,75,10,1,54,0,12867,1,False,390,300,220,75,8,1,54,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
53,15,56,2,13743,1,False,480,370,270,60,2,1,56,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
54,15,56,2,12859,1,False,530,410,290,60,21,1,57,0,12863,1,False,480,370,270,60,21,1,56,0,12869,1,False,530,410,290,60,14,1,57,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
55,15,58,2,12843,1,False,580,450,320,60,18,1,58,0,12856,1,False,580,450,320,60,18,1,58,0,12858,1,False,580,450,320,60,18,1,58,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
56,15,59,2,12847,1,False,630,490,350,60,11,1,59,0,12851,1,False,630,490,350,60,13,1,59,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
57,8,60,2,12583,1,False,640,500,360,60,8,1,60,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
58,8,60,2,10609,1,False,710,550,400,60,59,1,60,0,10615,1,False,710,550,400,60,78,1,60,0,10639,1,False,710,550,400,60,75,1,60,0,11914,1,False,710,550,400,60,59,1,60,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
59,9,60,2,12525,1,False,600,460,330,60,10,1,60,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
60,9,60,2,10591,1,False,710,550,400,60,59,1,60,0,10603,1,False,710,550,400,60,59,1,60,0,10627,1,False,710,550,400,60,88,1,60,0,10633,1,False,710,550,400,60,91,1,60,0,11874,1,False,710,550,400,60,49,1,60,0,11890,1,False,710,550,400,60,48,1,60,0,11906,1,False,710,550,400,60,69,1,60,0,11910,1,False,710,550,400,60,48,1,60,0
61,10,60,2,12525,1,False,600,460,330,60,10,1,60,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
62,10,60,2,10669,1,False,710,550,400,60,59,1,60,0,10682,1,False,710,550,400,60,67,1,60,0,10689,1,False,710,550,400,60,48,1,60,0,10724,1,False,710,550,400,60,67,1,60,0,10752,1,False,710,550,400,60,48,1,60,0,10920,1,False,710,550,400,60,38,1,60,0,11898,1,False,710,550,400,60,59,1,60,0,11902,1,False,710,550,400,60,49,1,60,0
