key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203
8,65592,1,30,24,"INIT_POP_01","INIT_POP_02","INIT_POP_03","LOC_POS_PC_FIRST","LOC_POS_ACTOR0","LOC_ACTOR0","LOC_ACTOR1","INIT_ENPC_POP_01","LOC_ACTOR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3793627,3793628,3793632,3879492,3881989,1000254,1003037,3881989,1003039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,65975,1,30,34,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","LOC_ACTOR0","LOC_BNPC_1","LOC_POS_PC_FIRST","LOC_POS_ACTOR0","LOC_PC_ACTION_1","LOC_ACTOR1","INIT_POP_01_P1","LOC_BNPC_ACTION1","LOC_ACTOR0_ACTION1","LOC_ACTOR0_ACTION2","INIT_POP_05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818776,3818777,3818778,3818779,1003081,1003082,3895601,3895602,81,1000466,3906892,121,979,936,3927421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,65975,2,30,34,"INIT_POP_01","CUT_SCENE_01","CUT_SCENE_02","DEF_ACTION_LNC_PBAE","DEF_ACTION_CALL_ZOMBIE_ITEM","INIT_POP_LNC_01","INIT_POP_LNC_02","INIT_POP_THM_01","INIT_POP_DAMAGE_RANGE","STATUS_CUSTOM_DAMAGE_RANGE_DEBUFF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818846,28,16,1316,1317,4312452,4312453,4312454,4312455,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,65981,1,30,9,"INIT_POP_BOSS","INIT_P_POP_IDA","INIT_P_POP_PAPARIMO","INIT_POP_ENEMY_B_01","INIT_POP_ENEMY_B_02","INIT_POP_ENEMY_B_03","INIT_POP_ENEMY_B_04","INIT_POP_ENEMY_B_05","INIT_POP_ENEMY_B_06","INIT_POP_ENEMY_A_01","INIT_POP_ENEMY_A_02","INIT_POP_ENEMY_A_03","INIT_POP_ENEMY_A_04","INIT_POP_ENEMY_A_05","INIT_POP_ENEMY_A_06","CUT_SCENE_01","HOW_TO_QIB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3802315,3802271,3802272,4094218,4094220,4094232,4094233,4094474,4094475,4094238,4094239,4094240,4094471,4094472,4094473,54,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,65983,1,30,18,"INIT_NOTAR_P_POP_1ST_01","INIT_NOTAR_POP_1ST_01","INIT_NOTAR_P_POP_2ST_01","INIT_NOTAR_POP_2ST_01","INIT_NOTAR_POP_2ST_02","INIT_NOTAR_P_POP_3ST_01","INIT_NOTAR_POP_3ST_01","INIT_NOTAR_P_POP_4ST_01","INIT_NOTAR_POP_4ST_01","INIT_NOTAR_POP_4ST_02","INIT_NOTAR_P_POP_5ST_01","INIT_NOTAR_POP_5ST_01","INIT_NOTAR_POP_5ST_02","INIT_P_POP_1ST_01","INIT_P_POP_1ST_02","INIT_POP_1ST_BOSS","INIT_POP_1ST_EXC_01_01","INIT_POP_1ST_EXC_01_02","INIT_POP_1ST_EXC_01_03","INIT_POP_1ST_LNC_01_04","INIT_POP_1ST_LNC_01_05","INIT_POP_1ST_LNC_01_06","INIT_P_POP_1ST_03","INIT_P_POP_1ST_04","INIT_POP_1ST_CNJ_02_01","INIT_POP_1ST_CNJ_02_02","INIT_POP_1ST_EXC_02_03","INIT_POP_1ST_EXC_02_04","INIT_POP_1ST_LNC_02_05","INIT_POP_1ST_LNC_02_06","INIT_POP_1ST_MON_03_01","INIT_POP_2ND_01","INIT_POP_2ND_02","INIT_P_POP_2ND_01","INIT_P_POP_2ND_02","WARP_01","ACTION_CURE","ACTION_PRO","DEF_ACTION_MONSTER_SUMMON","DEF_ACTION_DOKUBARI","CUT_SCENE_01","CUT_SCENE_02","DEF_POISON","DEF_WEATHER_BOSS","DEF_WEATHER_RETURN","BGM_MASKED_BATTLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3854583,3854586,3854588,3854584,3854721,3854673,3854720,3854674,3854719,3854724,3854675,3854715,3854723,4089300,4089305,4089289,4089296,4089297,4089298,4089292,4089293,4089294,3854581,3854582,3803263,3803264,4089325,3803269,3803267,3803268,4089330,4089338,3854784,4018837,4018839,3803262,120,123,867,619,58,59,18,19,2,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,66276,1,30,27,"INIT_POP_1_LNC_01","INIT_POP_1_LNC_02","INIT_POP_1_LNC_03","INIT_POP_1_KIK_01","INIT_P_POP_1_RED_LEADER","INIT_P_POP_1_RED_LNC","INIT_POP_2_EXC_LEADER_01","INIT_POP_2_LNC_01","INIT_POP_2_THM_01","INIT_POP_2_ARC_01","INIT_P_POP_2_ARC_01","INIT_P_POP_2_ARC_02","INIT_P_POP_2_ARC_03","POP_RANGE_DEPOP","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_ACTOR4","LOC_ACTOR5","LOC_ACTOR6","LOC_POS_ACTOR0","LOC_POS_ACTOR1","LOC_POS_ACTOR2","LOC_POS_ACTOR3","LOC_ACTION1","BGM_BATTLE","LOC_BGM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4293092,4293093,4293095,4293096,4293097,4293098,4293099,4293109,4293110,4293111,4293125,4293126,4293127,4295055,1008111,1007656,1007658,1007659,1007655,1007657,4310117,4310122,4310125,4310127,961,39,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,65697,1,30,18,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","INIT_EO_POP_01","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_ACTOR4","INIT_P_POP_KUPURU_KOPO","DEF_ACTION_WS_CRITICAL_LANCER","INIT_EN_POP_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2319770,2319771,2319772,2319773,3867263,1003008,1000816,1003016,1003017,1003018,4097283,477,4107577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,65665,1,30,13,"INIT_POP_01","LOC_POS_ACTOR0","LOC_POS_ACTOR1","LOC_ACTOR0","BNPC_NAME_01","DEF_ACTION_SAND_BREATH","DEF_BLIND","CUT_SCENE_01","LOC_TALKSHAPE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3869528,3884691,3884694,1003064,750,445,15,69,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,65628,1,30,19,"INIT_POP_1_YK_01","INIT_POP_1_YK_02","INIT_POP_1_YK_03","INIT_POP_2_YK_01","INIT_POP_2_YK_02","INIT_POP_2_YK_03","INIT_POP_3_YK_01","INIT_POP_3_YK_02","INIT_POP_3_YK_03","INIT_POP_2_WATER_SPRIT_01","INIT_POP_3_WATER_SPRIT_01","INIT_POP_3_WATER_SPRIT_02","INIT_P_POP_LNC_01","INIT_P_POP_LNC_02","INIT_P_POP_LNC_03","INIT_P_POP_ARC_01","BNPC_NAME_01","CUT_SCENE_01","CUT_SCENE_02","QIB_YELL_01","QIB_YELL_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3875540,3879109,3905947,3905948,4263917,4263918,4263934,4263935,4263936,4263967,4263969,4263970,3905949,4263914,4263915,3914511,628,8,9,966,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,65977,1,30,34,"INIT_POP_BOSS","INIT_POP_YODOMI_01","INIT_POP_YODOMI_02","INIT_POP_IMP_01","INIT_POP_IMP_02","INIT_P_POP_SYLPHIE","CUT_SCENE_01","CUT_SCENE_02","DEF_YODOMI_DORAIN","QIB_YELL_01","QIB_YELL_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3796294,4273807,4273810,4273820,4273821,3873175,19,20,1127,1003,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,65856,1,30,13,"INIT_POP_01","ACTOR0","ACTOR1","ACTOR2","ACTOR3","ACTOR4","ACTOR5","ACTOR6","ACTOR7","ACTOR8","ACTOR9","ACTOR10","ACTOR11","ACTOR12","ACTOR13","ACTOR14","LOC_POS_ENPC1","ACTOR15","ACTOR16","LOC_POS_ENPC2","LOC_POS_ENPC3","ACTOR17","ACTOR6_POS","BNPC_NAME_01","DEF_ACTION_SAND_BREATH","DEF_BLIND","CUT_SCENE_01","LOC_ACTOR0","LOC_POS_ENPC4","LOC_POS_ENPC5","LOC_TALKSHAPE1","LOC_ACTOR1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3872242,1001578,1002947,1002948,1002949,1002950,1002951,1003028,1002952,1002953,1002954,1002956,1002957,1002958,1002959,1001353,3817003,1002990,1002991,3817009,3817004,1002992,3817007,750,445,15,189,1003064,4163979,4163982,8,1002947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,852184,1,30,14,"INIT_P_POP_01","INIT_POP_01_01","INIT_POP_01_02","INIT_POP_01_03","INIT_POP_02_01","INIT_POP_02_02","INIT_POP_02_03","INIT_POP_03_01","DEF_ACTION_FLASH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3977801,3977803,3977804,3977805,3977807,3977808,3977809,3983981,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
