key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
9,8,"TP","",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
10,9,"GP","",35,2,2,2,2,2,2,2,2,25,25,25,13,2,2,4,8,0,4,10,6,6,100,100,100,100,100,100,100,100,100,100,100,100,100,False
11,10,"CP","",32,2,2,3,2,3,3,3,3,25,25,25,13,2,2,5,11,0,6,14,8,8,100,100,100,100,100,100,100,100,100,100,100,100,100,False
12,-1,"Physical Damage","",1,100,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,50,100,100,100,False
13,-1,"Magic Damage","",2,100,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,0,0,0,50,50,50,50,50,100,100,50,100,30,50,50,50,False
14,11,"Delay","",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
15,-1,"Additional Effect: ","",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
16,-1,"Attack Speed","",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
17,-1,"Block Rate","",3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100,100,100,100,False
18,-1,"Block Strength","",4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100,100,100,100,False
19,12,"Tenacity","Affects the amount of physical and magical damage dealt and received, as well as HP restored. The higher the value, the more damage dealt, the more HP restored, and the less damage taken. Only applicable when role is Tank.",24,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
20,13,"Attack Power","Affects amount of damage dealt by physical attacks. The higher the value, the more damage dealt.",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
21,14,"Defense","Affects the amount of damage taken by physical attacks. The higher the value, the less damage taken.",5,0,0,15,21,15,13,21,15,0,0,0,0,0,0,36,72,0,36,87,57,57,66,100,70,55,55,40,40,55,40,33,55,55,55,False
22,15,"Direct Hit Rate","Affects the rate at which your physical and magic attacks land direct hits, slightly dealing more damage than normal hits. The higher the value, the higher the frequency with which your hits will be direct.",23,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
23,16,"Evasion","",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
24,17,"Magic Defense","Affects the amount of damage taken by magic attacks. The higher the value, the less damage taken.",6,0,0,15,21,15,13,21,15,0,0,0,0,0,0,36,72,0,36,87,57,57,33,100,55,55,55,70,70,55,70,66,55,55,55,False
25,-1,"Critical Hit Power","",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
26,-1,"Critical Hit Resilience","",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
27,18,"Critical Hit","Affects the amount of physical and magical damage dealt, as well as HP restored. The higher the value, the higher the frequency with which your hits will be critical/higher the potency of critical hits.",19,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
28,-1,"Critical Hit Evasion","",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
29,-1,"Slashing Resistance","Decreases damage done by slashing attacks.",43,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
30,-1,"Piercing Resistance","Decreases damage done by piercing attacks.",44,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
31,-1,"Blunt Resistance","Decreases damage done by blunt attacks.",45,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
32,-1,"Projectile Resistance","",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
33,19,"Attack Magic Potency","Affects the amount of damage dealt by magic attacks.",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
34,20,"Healing Magic Potency","Affects the amount of HP restored via healing magic.",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
35,-1,"Enhancement Magic Potency","",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
36,21,"Elemental Bonus","",36,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
37,-1,"Fire Resistance","Decreases fire-aspected damage.",37,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
38,-1,"Ice Resistance","Decreases ice-aspected damage.",38,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
39,-1,"Wind Resistance","Decreases wind-aspected damage.",39,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
40,-1,"Earth Resistance","Decreases earth-aspected damage.",40,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
41,-1,"Lightning Resistance","Decreases lightning-aspected damage.",41,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
42,-1,"Water Resistance","Decreases water-aspected damage.",42,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
43,-1,"Magic Resistance","",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
44,22,"Determination","Affects the amount of damage dealt by both physical and magic attacks, as well as the amount of HP restored by healing spells.",20,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
45,23,"Skill Speed","Affects both the casting and recast timers, as well as the damage over time potency for weaponskills and auto-attacks. The higher the value, the shorter the timers/higher the potency.",21,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
46,24,"Spell Speed","Affects both the casting and recast timers for spells. The higher the value, the shorter the timers. Also affects a spell's damage over time or healing over time potency.",22,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
47,25,"Haste","",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,True
48,-1,"Morale","In PvP, replaces physical and magical defense in determining damage inflicted by other players. Also influences the amount of damage dealt to other players.",73,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
49,-1,"Enmity","",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
50,-1,"Enmity Reduction","",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
51,-1,"Desynthesis Skill Gain","",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
52,-1,"EXP Bonus","",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
53,-1,"Regen","",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
54,-1,"Refresh","",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
55,-1,"Main Attribute","",11,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
56,-1,"Secondary Attribute","",18,10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
57,-1,"Slow Resistance","Shortens the duration of slow.",61,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
58,-1,"Petrification Resistance","",62,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
59,-1,"Paralysis Resistance","",63,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
60,-1,"Silence Resistance","Shortens the duration of silence.",64,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
61,-1,"Blind Resistance","Shortens the duration of blind.",65,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
62,-1,"Poison Resistance","Shortens the duration of poison.",66,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
63,-1,"Stun Resistance","Shortens the duration of stun.",67,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
64,-1,"Sleep Resistance","Shortens the duration of sleep.",68,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
65,-1,"Bind Resistance","Shortens the duration of bind.",69,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
66,-1,"Heavy Resistance","Shortens the duration of heavy.",70,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
67,-1,"Doom Resistance","",71,14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100,False
68,-1,"Reduced Durability Loss","",72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
69,-1,"Increased Spiritbond Gain","",56,10,2,8,8,8,8,8,8,8,8,8,8,12,6,16,32,0,16,40,24,24,100,100,100,100,100,100,100,100,100,100,100,100,100,False
70,26,"Craftsmanship","Affects the amount of progress achieved in a single synthesis step.",30,35,35,2,30,2,2,2,2,2,2,2,3,35,35,32,36,0,4,38,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100,False
71,27,"Control","Affects the amount of quality improved in a single synthesis step.",31,20,20,10,10,10,10,10,10,3,3,3,4,20,20,20,40,0,20,50,30,30,100,100,100,100,100,100,100,100,100,100,100,100,100,False
72,28,"Gathering","Affects the rate at which items are gathered.",33,35,20,1,20,15,1,10,1,1,1,1,1,35,35,21,46,0,11,47,45,31,100,100,100,100,100,100,100,100,100,100,100,100,100,False
73,29,"Perception","Affects the rate at which high-quality items are gathered.",34,20,35,20,10,1,5,1,10,1,1,1,1,20,20,30,22,0,11,42,12,21,100,100,100,100,100,100,100,100,100,100,100,100,100,False
