key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
33,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Listen carefully, adventurer. Qiqirn bandits have kidnapped several Highbridge residents and are looking to sell them off to the Amalj'aa for tempering.","Once a person has been tempered, the soul is lost and the body transformed into an empty husk which answers only to the commands of the primal Ifrit.","We must stop this foul dealing and rescue the villagers before they are taken back to the Bowl of Embers.","Will you help?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","","Then the Brass Blades shall fight alone.",""
34,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
35,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Listen up! A series of live Maelstrom training exercises will begin in less than half a bell.","A batch of fresh recruits will more than likely be making a sorry attempt to defend the checkpoint here against a mock imperial assault.","If you wish, you are welcome to join the recruits. Hells, with you at the fore, the greenbacks just might learn something about teamwork.","Join the exercise?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","","Then I must ask you to stand clear. I won't have spectators distracting my men.",""
36,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Twelve take me! If it ain't a real live 'venturer! I could use some help, if it's help you're profferin'?","You see, I'm tasked with tillin' the orchards so that the roots of these here trees might breathe better, like. But it seems each an' ev'ry step I take is straight into a damned mole hill.","I've already gone an' lamed me left leg, and cannae 'ford to lame me right, so I was thinkin' I could get meself a true 'venturer to whack the bloody moles one good. What do you say?","Whack away?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Me da was right! You can always trust a 'venturer to right the wrongs of this world. But enough of me yappin', now get to whackin'!","","Me da was right... You can't trust a 'venturer farther than you can kick one.",""
37,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Me da said the best place to whack a mole is straight upside his head.","","","","","","",""
38,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Please, you must help me. I am being hunted by the Amalj'aa, and if they catch me, they <Emphasis>will</Emphasis> kill me.","You see, I was tasked with infiltrating Zanr'ak and stealing their battle plans, but I was caught and taken to the Bowl of Embers for tempering. However, I managed to escape when the carriage transporting me and the other slaves slipped off the road.","Though I have had somewhat of a head start, it took their battle drakes little time to pick up my scent, and now a party of pursuers is only a matter of malms away. I must get to the aetheryte at Little Ala Mhigo so I might relay my findings to the flame commander, but do not believe I can make it on my own.","Escort the scout to Little Ala Mhigo?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","","Then you have sentenced me to death...or worse, tempering.",""
39,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"A moment of your time, <If(PlayerParameter(4))>milady<Else/>milord</If>?","The fields are crawling with ocean roselings─horrible creatures that choke out the crops and maim the tillers who tend to them. We hold our own against the seedkin, but it seems for every one we cut down, there are three more to take its place!","We'd be obliged if you could lend us your sword in clearing the fields.","Aid the tillers?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","That's right kind of you, <If(PlayerParameter(4))>milady<Else/>milord</If>. You see? Here they come now!","","Apologies, <If(PlayerParameter(4))>milady<Else/>milord</If>. I reckon you have matters of greater import what need attendin'.",""
40,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Did I not tell you? Three more for every one slain. If only my crops grew so well!","","","","","","",""
41,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Why!? Why, I ask you!","Why would galagos want anything to do with my flour!? It's not as if they can bake it into bread or lemoncakes! They can't, can they?","But that doesn't stop them from raiding my granaries day in and day out. If this goes on much longer, I will have nothing to take to market and the moneylenders will come for my only daughter... Please! I beg of you! Help me drive off the beasts!","Aid the miller?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","A thousand thanks! A thousand thousand thanks! If only I could find the words to thank you enou─ Oh! They're here!","","Perhaps another will come along who can help...",""
42,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Bloody cane toads! The scholarlies down at Mealvaan's Gate reckoned they would eat the locusts which overrun the wheat fields each year, and so allowed a crate of the slimy creatures to be released into lower La Noscea.","Not only did they not eat the locusts, but they began breedin' quicker 'an rabbits, and before we knew it, the whole damn region was burstin' at the seams with the ugly monsters.","Now, I spend my days catchin' and guttin' the toads at the behest of the same damned scholarlies who started this whole mess. It ain't a bad job, but it sure can be right lonely sometimes. Hey, you wouldn't mind keepin' a man company, would you?","That's a good <If(PlayerParameter(4))>lass<Else/>lad</If>. Now off you go while I stand watch here and make sure no one from the road bothers us.","Eh? You thought we was going to do the guttin' together? That's rich!","","",""
43,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"Bloody cane toads! The scholarlies down at Mealvaan's Gate reckoned they would eat the locusts which overrun the wheat fields each year, and so allowed a crate of the slimy creatures to be released into lower La Noscea.","Now, I spend my days catchin' and guttin' the toads at the behest of the same damned scholarlies who started this whole mess. It ain't a bad job, but it sure can be right lonely sometimes. Hey, you wouldn't mind keepin' an man company, would you?","Spend your day catchin' and guttin'?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","That's a good <If(PlayerParameter(4))>lass<Else/>lad</If>. Now off you go while I stand watch here and make sure no one from the road bother us. Eh? You thought we was going to do the guttin' together? That's rich!","","Then leave me be. I've toads to gut.",""
44,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"参ったな……またヤーゾンが集まってきやがった。
やつら、杭打ち機に巣を作ろうとするんだよ。","こうなると作業になんなくてね。
すまないが、ヤーゾンの駆除を手伝ってくれないか？","引き受けますか？

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※このF.A.T.E.の推奨レベルは<Value>IntegerParameter(1)</Value>です。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","助かるよ。
やつら、そこの木の辺りに集まってきてる。
杭打ち機に寄り付く前に、倒してくれ！","","そうか……。急いで他を当たらないとな。",""
45,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"Cores... Cannot drive the piles without earth sprite cores...","Cores harden the land... Help the piles take hold... Have you any cores?","Gather cores for the hammer workers?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","Cores...lying about... Cores...flying about...","","Cores...",""
46,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"You there. Did the Consortium send you? No? Well, that is of no matter. You are here now, and now you shall help me. Agreed?","The lawless thugs who squat there in that ramshackle manse have stolen my precious cargo and I require you to retrieve it. Not too daunting a task for someone of your obvious talents, I presume?","Aid the merchant?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","Very good, very good. Now make haste. I have tea planned with a noble lady not long from now and it would not do well if I were late.","","Perhaps you mistook my order for a choice?",""
47,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"Thal's balls! I don't know whether to slit the throats of them goblins, or them what kicked the buggers out of Ul'dah and into Hammerlea!","Now the thrice-damned runts are running about buggerin' up my supplies for the hammers, and I haven't the means to stop them. Now if I had me an adventurer...","Lend the worker a hand?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","Give the little shites no quarter. That'll learn 'em.","","Ah, I forgot. It's coin what does the talkin', eh? Well, I have more than enough for the <If(PlayerParameter(4))>woman<Else/>man</If> what does in them gobbies.",""
48,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"Me da... Et by a 'bon, he were.","Now I wants 'em all dead, like. Wiv crossy eyes like them as drawed in the picture shows. Da used to take me to the picture shows...before he was et. By a 'bon.","Kill some 'bons?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","","Don't get et!","","<whimper>
One day, I'll be big enough to kill me own 'bon! Jus' you wait!",""
