Index,0 [0x3][0xc],1 [0x5][0x8],2 [0x5][0xa],3 [0x3][0xd],4 [0x3][0xe],5 [0x3][0xf],6 [0x0][0x0],7 [0x0][0x4]
87,0,0,0,0,0,0,"",""
88,0,0,0,0,0,0,"",""
89,0,0,0,0,0,0,"",""
90,0,0,0,0,0,0,"",""
91,41,16,65535,7,1,0,"他人がダメージを与えた","Other Playerの攻撃  Enemyに123ダメージ。"
92,42,16,65535,7,2,0,"他人が攻撃に失敗した","Other Playerの攻撃  Enemyにミス！"
93,43,16,65535,7,3,0,"他人からのアクションの開始/中断","Other Playerは「＜アクション＞」を唱えた。\nOther Playerは「＜アクション＞」の詠唱を中断した。"
94,44,16,65535,7,4,0,"他人からのアイテムの使用/中断","Other Playerは「＜アイテム＞」を使用した。\nOther Playerは「＜アイテム＞」の使用を中断した。"
95,45,16,65535,7,5,0,"他人が回復を与えた"," Playerは123HP回復。"
96,46,16,65535,7,6,0,"他人がバフステータスを与えた"," Playerは「＜バフステータス＞」の効果。"
97,47,16,65535,7,7,0,"他人がデバフステータスを与えた"," Enemyは「＜デバフステータス＞」の効果。"
98,41,65535,16,7,8,0,"他人がダメージを受けた","Enemyの攻撃  Other Playerに123ダメージ。"
99,42,65535,16,7,9,0,"他人が攻撃を回避した","Enemyの攻撃  Other Playerにミス！"
100,43,65535,16,7,10,0,"他人へのアクションの開始/中断","Other Playerは「＜アクション＞」を唱えた。\nOther Playerは「＜アクション＞」の詠唱を中断した。"
101,44,65535,16,7,11,0,"他人へのアイテムの使用/中断","Other Playerは「＜アイテム＞」を使用した。\nOther Playerは「＜アイテム＞」の使用を中断した。"
102,45,65535,16,7,12,0,"他人が回復を受けた"," Other Playerは123HP回復。"
103,46,65535,16,7,13,0,"他人がバフステータスを受けた"," Other Playerは「＜バフステータス＞」の効果。"
104,47,65535,16,7,14,0,"他人がデバフステータスを受けた"," Other Playerは「＜デバフステータス＞」の効果。"
105,48,65535,16,7,15,0,"他人のバフステータスが切れた","Other Playerの「＜バフステータス＞」が切れた。"
106,49,65535,16,7,16,0,"他人のデバフステータスが切れた","Other Playerの「＜デバフステータス＞」が切れた。"
107,0,0,0,0,0,0,"",""
108,0,0,0,0,0,0,"",""
109,0,0,0,0,0,0,"",""
110,0,0,0,0,0,0,"",""
111,41,32,65535,8,1,2,"交戦状態の敵がダメージを与えた","Enemyの攻撃  Playerに123ダメージ。"
112,42,32,65535,8,2,2,"交戦状態の敵が攻撃に失敗した","Enemyの攻撃  Playerにミス！"
113,43,32,65535,8,3,2,"交戦状態の敵からのアクションの開始/中断","Enemyは「＜アクション＞」を唱えた。\nEnemyは「＜アクション＞」の詠唱を中断した。"
114,44,32,65535,8,4,2,"交戦状態の敵からのアイテムの使用/中断","Enemyは「＜アイテム＞」を使用した。\nEnemyは「＜アイテム＞」の使用を中断した。"
115,45,32,65535,8,5,2,"交戦状態の敵が回復を与えた"," Enemyは123HP回復。"
116,46,32,65535,8,6,2,"交戦状態の敵がバフステータスを与えた"," Enemyは「＜バフステータス＞」の効果。"
117,47,32,65535,8,7,2,"交戦状態の敵がデバフステータスを与えた"," Playerは「＜デバフステータス＞」の効果。"
118,41,65535,32,8,8,2,"交戦状態の敵がダメージを受けた","Playerの攻撃  Enemyに123ダメージ。"
119,42,65535,32,8,9,2,"交戦状態の敵が攻撃を回避した","Playerの攻撃  Enemyにミス！"
120,43,65535,32,8,10,2,"交戦状態の敵へのアクションの開始/中断","Enemyは「＜アクション＞」を唱えた。\nEnemyは「＜アクション＞」の詠唱を中断した。"
121,44,65535,32,8,11,2,"交戦状態の敵へのアイテムの使用/中断","Enemyは「＜アイテム＞」を使用した。\nEnemyは「＜アイテム＞」の使用を中断した。"
122,45,65535,32,8,12,2,"交戦状態の敵が回復を受けた"," Enemyは123HP回復。"
123,46,65535,32,8,13,2,"交戦状態の敵がバフステータスを受けた"," Enemyは「＜バフステータス＞」の効果。"
124,47,65535,32,8,14,2,"交戦状態の敵がデバフステータスを受けた"," Enemyは「＜デバフステータス＞」の効果。"
125,48,65535,32,8,15,2,"交戦状態の敵のバフステータスが切れた","Enemyの「＜バフステータス＞」が切れた。"
126,49,65535,32,8,16,2,"交戦状態の敵のデバフステータスが切れた","Enemyの「＜デバフステータス＞」が切れた。"
127,0,0,0,0,0,0,"",""
128,0,0,0,0,0,0,"",""
129,0,0,0,0,0,0,"",""
130,0,0,0,0,0,0,"",""
131,41,64,65535,9,1,0,"非交戦状態の敵がダメージを与えた","Enemyの攻撃  Playerに123ダメージ。"
132,42,64,65535,9,2,0,"非交戦状態の敵が攻撃に失敗した","Enemyの攻撃  Playerにミス！"
133,43,64,65535,9,3,0,"非交戦状態の敵からのアクションの開始/中断","Enemyは「＜アクション＞」を唱えた。\nEnemyは「＜アクション＞」の詠唱を中断した。"
134,44,64,65535,9,4,0,"非交戦状態の敵からのアイテムの使用/中断","Enemyは「＜アイテム＞」を使用した。\nEnemyは「＜アイテム＞」の使用を中断した。"
135,45,64,65535,9,5,0,"非交戦状態の敵が回復を与えた"," Enemyは123HP回復。"
136,46,64,65535,9,6,0,"非交戦状態の敵がバフステータスを与えた"," Enemyは「＜バフステータス＞」の効果。"
137,47,64,65535,9,7,0,"非交戦状態の敵がデバフステータスを与えた"," Playerは「＜デバフステータス＞」の効果。"
138,41,65535,64,9,8,0,"非交戦状態の敵がダメージを受けた","Playerの攻撃  Enemyに123ダメージ。"
139,42,65535,64,9,9,0,"非交戦状態の敵が攻撃を回避した","Playerの攻撃  Enemyにミス！"
140,43,65535,64,9,10,0,"非交戦状態の敵へのアクションの開始/中断","Enemyは「＜アクション＞」を唱えた。\nEnemyは「＜アクション＞」の詠唱を中断した。"
141,44,65535,64,9,11,0,"非交戦状態の敵へのアイテムの使用/中断","Enemyは「＜アイテム＞」を使用した。\nEnemyは「＜アイテム＞」の使用を中断した。"
142,45,65535,64,9,12,0,"非交戦状態の敵が回復を受けた"," Enemyは123HP回復。"
143,46,65535,64,9,13,0,"非交戦状態の敵がバフステータスを受けた"," Enemyは「＜バフステータス＞」の効果。"
144,47,65535,64,9,14,0,"非交戦状態の敵がデバフステータスを受けた"," Enemyは「＜デバフステータス＞」の効果。"
145,48,65535,64,9,15,0,"非交戦状態の敵のバフステータスが切れた","Enemyの「＜バフステータス＞」が切れた。"
146,49,65535,64,9,16,0,"非交戦状態の敵のデバフステータスが切れた","Enemyの「＜デバフステータス＞」が切れた。"
147,0,0,0,0,0,0,"",""
148,0,0,0,0,0,0,"",""
149,0,0,0,0,0,0,"",""
150,0,0,0,0,0,0,"",""
151,41,8,65535,6,1,0,"アライアンスがダメージを与えた","Alliance Memberの攻撃  Enemyに123ダメージ。"
152,42,8,65535,6,2,0,"アライアンスが攻撃に失敗した","Alliance Memberの攻撃  Enemyにミス！"
153,43,8,65535,6,3,0,"アライアンスからのアクションの開始/中断","Alliance Memberは「＜アクション＞」を唱えた。\nAlliance Memberは「＜アクション＞」の詠唱を中断した。"
154,44,8,65535,6,4,0,"アライアンスからのアイテムの使用/中断","Alliance Memberは「＜アイテム＞」を使用した。\nAlliance Memberは「＜アイテム＞」の使用を中断した。"
155,45,8,65535,6,5,0,"アライアンスが回復を与えた"," Playerは123HP回復。"
156,46,8,65535,6,6,0,"アライアンスがバフステータスを与えた"," Playerは「＜バフステータス＞」の効果。"
157,47,8,65535,6,7,0,"アライアンスがデバフステータスを与えた"," Enemyは「＜デバフステータス＞」の効果。"
158,41,65535,8,6,8,0,"アライアンスがダメージを受けた","Enemyの攻撃  Alliance Memberに123ダメージ。"
159,42,65535,8,6,9,0,"アライアンスが攻撃を回避した","Enemyの攻撃  Alliance Memberにミス！"
160,43,65535,8,6,10,0,"アライアンスへのアクションの開始/中断","Alliance Memberは「＜アクション＞」を唱えた。\nAlliance Memberは「＜アクション＞」の詠唱を中断した。"
161,44,65535,8,6,11,0,"アライアンスへのアイテムの使用/中断","Alliance Memberは「＜アイテム＞」を使用した。\nAlliance Memberは「＜アイテム＞」の使用を中断した。"
162,45,65535,8,6,12,0,"アライアンスが回復を受けた"," Alliance Memberは123HP回復。"
163,46,65535,8,6,13,0,"アライアンスがバフステータスを受けた"," Alliance Memberは「＜バフステータス＞」の効果。"
164,47,65535,8,6,14,0,"アライアンスがデバフステータスを受けた"," Alliance Memberは「＜デバフステータス＞」の効果。"
165,48,65535,8,6,15,0,"アライアンスのバフステータスが切れた","Alliance Memberの「＜バフステータス＞」が切れた。"
166,49,65535,8,6,16,0,"アライアンスのデバフステータスが切れた","Alliance Memberの「＜デバフステータス＞」が切れた。"
167,0,0,0,0,0,0,"",""
168,0,0,0,0,0,0,"",""
169,0,0,0,0,0,0,"",""
170,0,0,0,0,0,0,"",""
171,41,128,65535,10,1,2,"友好的なNPCがダメージを与えた","友好的なNPCの攻撃  Enemyに123ダメージ。"
172,42,128,65535,10,2,2,"友好的なNPCが攻撃に失敗した","友好的なNPCの攻撃  Enemyにミス！"
173,43,128,65535,10,3,2,"友好的なNPCからのアクションの開始/中断","友好的なNPCは「＜アクション＞」を唱えた。\n友好的なNPCは「＜アクション＞」の詠唱を中断した。"
174,44,128,65535,10,4,2,"友好的なNPCからのアイテムの使用/中断","友好的なNPCは「＜アイテム＞」を使用した。\n友好的なNPCは「＜アイテム＞」の使用を中断した。"
175,45,128,65535,10,5,2,"友好的なNPCが回復を与えた"," Playerは123HP回復。"
176,46,128,65535,10,6,2,"友好的なNPCがバフステータスを与えた"," Playerは「＜バフステータス＞」の効果。"
177,47,128,65535,10,7,2,"友好的なNPCがデバフステータスを与えた"," Enemyは「＜デバフステータス＞」の効果。"
178,41,65535,128,10,8,2,"友好的なNPCがダメージを受けた","Enemyの攻撃  友好的なNPCに123ダメージ。"
179,42,65535,128,10,9,2,"友好的なNPCが攻撃を回避した","Enemyの攻撃  友好的なNPCにミス！"
180,43,65535,128,10,10,2,"友好的なNPCへのアクションの開始/中断","友好的なNPCは「＜アクション＞」を唱えた。\n友好的なNPCは「＜アクション＞」の詠唱を中断した。"
181,44,65535,128,10,11,2,"友好的なNPCへのアイテムの使用/中断","友好的なNPCは「＜アイテム＞」を使用した。\n友好的なNPCは「＜アイテム＞」の使用を中断した。"
182,45,65535,128,10,12,2,"友好的なNPCが回復を受けた"," 友好的なNPCは123HP回復。"
183,46,65535,128,10,13,2,"友好的なNPCがバフステータスを受けた"," 友好的なNPCは「＜バフステータス＞」の効果。"
184,47,65535,128,10,14,2,"友好的なNPCがデバフステータスを受けた"," 友好的なNPCは「＜デバフステータス＞」の効果。"
185,48,65535,128,10,15,2,"友好的なNPCのバフステータスが切れた","友好的なNPCの「＜バフステータス＞」が切れた。"
186,49,65535,128,10,16,2,"友好的なNPCのデバフステータスが切れた","友好的なNPCの「＜デバフステータス＞」が切れた。"
187,0,0,0,0,0,0,"",""
188,0,0,0,0,0,0,"",""
189,0,0,0,0,0,0,"",""
190,0,0,0,0,0,0,"",""
191,41,256,65535,11,1,2,"自分のペット/バディがダメージを与えた","カーバンクル・エメラルドの攻撃  Enemyに123ダメージ。"
192,42,256,65535,11,2,2,"自分のペット/バディが攻撃に失敗した","カーバンクル・エメラルドの攻撃  Enemyにミス！"
193,43,256,65535,11,3,2,"自分のペット/バディからのアクションの開始/中断","カーバンクル・エメラルドは「＜アクション＞」を唱えた。\nカーバンクル・エメラルドは「＜アクション＞」の詠唱を中断した。"
194,44,256,65535,11,4,2,"自分のペット/バディからのアイテムの使用/中断","カーバンクル・エメラルドは「＜アイテム＞」を使用した。\nカーバンクル・エメラルドは「＜アイテム＞」の使用を中断した。"
195,45,256,65535,11,5,2,"自分のペット/バディが回復を与えた"," Playerは123HP回復。"
196,46,256,65535,11,6,2,"自分のペット/バディがバフステータスを与えた"," Playerは「＜バフステータス＞」の効果。"
197,47,256,65535,11,7,2,"自分のペット/バディがデバフステータスを与えた"," Enemyは「＜デバフステータス＞」の効果。"
198,41,65535,256,11,8,2,"自分のペット/バディがダメージを受けた","Enemyの攻撃  カーバンクル・エメラルドに123ダメージ。"
199,42,65535,256,11,9,2,"自分のペット/バディが攻撃を回避した","Enemyの攻撃  カーバンクル・エメラルドにミス！"
200,43,65535,256,11,10,2,"自分のペット/バディへのアクションの開始/中断","カーバンクル・エメラルドは「＜アクション＞」を唱えた。\nカーバンクル・エメラルドは「＜アクション＞」の詠唱を中断した。"
201,44,65535,256,11,11,2,"自分のペット/バディへのアイテムの使用/中断","カーバンクル・エメラルドは「＜アイテム＞」を使用した。\nカーバンクル・エメラルドは「＜アイテム＞」の使用を中断した。"
202,45,65535,256,11,12,2,"自分のペット/バディが回復を受けた"," カーバンクル・エメラルドは123HP回復。"
203,46,65535,256,11,13,2,"自分のペット/バディがバフステータスを受けた"," カーバンクル・エメラルドは「＜バフステータス＞」の効果。"
204,47,65535,256,11,14,2,"自分のペット/バディがデバフステータスを受けた"," カーバンクル・エメラルドは「＜デバフステータス＞」の効果。"
205,48,65535,256,11,15,2,"自分のペット/バディのバフステータスが切れた","カーバンクル・エメラルドの「＜バフステータス＞」が切れた。"
206,49,65535,256,11,16,2,"自分のペット/バディのデバフステータスが切れた","カーバンクル・エメラルドの「＜デバフステータス＞」が切れた。"
207,0,0,0,0,0,0,"",""
208,0,0,0,0,0,0,"",""
209,0,0,0,0,0,0,"",""
210,0,0,0,0,0,0,"",""
211,41,512,65535,12,1,2,"パーティのペット/バディがダメージを与えた","カーバンクル・エメラルドの攻撃  Enemyに123ダメージ。"
212,42,512,65535,12,2,2,"パーティのペット/バディが攻撃に失敗した","カーバンクル・エメラルドの攻撃  Enemyにミス！"
213,43,512,65535,12,3,2,"パーティのペット/バディからのアクションの開始/中断","カーバンクル・エメラルドは「＜アクション＞」を唱えた。\nカーバンクル・エメラルドは「＜アクション＞」の詠唱を中断した。"
214,44,512,65535,12,4,2,"パーティのペット/バディからのアイテムの使用/中断","カーバンクル・エメラルドは「＜アイテム＞」を使用した。\nカーバンクル・エメラルドは「＜アイテム＞」の使用を中断した。"
215,45,512,65535,12,5,2,"パーティのペット/バディが回復を与えた"," Playerは123HP回復。"
216,46,512,65535,12,6,2,"パーティのペット/バディがバフステータスを与えた"," Playerは「＜バフステータス＞」の効果。"
217,47,512,65535,12,7,2,"パーティのペット/バディがデバフステータスを与えた"," Enemyは「＜デバフステータス＞」の効果。"
218,41,65535,512,12,8,2,"パーティのペット/バディがダメージを受けた","Enemyの攻撃  カーバンクル・エメラルドに123ダメージ。"
219,42,65535,512,12,9,2,"パーティのペット/バディが攻撃を回避した","Enemyの攻撃  カーバンクル・エメラルドにミス！"
220,43,65535,512,12,10,2,"パーティのペット/バディへのアクションの開始/中断","カーバンクル・エメラルドは「＜アクション＞」を唱えた。\nカーバンクル・エメラルドは「＜アクション＞」の詠唱を中断した。"
221,44,65535,512,12,11,2,"パーティのペット/バディへのアイテムの使用/中断","カーバンクル・エメラルドは「＜アイテム＞」を使用した。\nカーバンクル・エメラルドは「＜アイテム＞」の使用を中断した。"
222,45,65535,512,12,12,2,"パーティのペット/バディが回復を受けた"," カーバンクル・エメラルドは123HP回復。"
223,46,65535,512,12,13,2,"パーティのペット/バディがバフステータスを受けた"," カーバンクル・エメラルドは「＜バフステータス＞」の効果。"
224,47,65535,512,12,14,2,"パーティのペット/バディがデバフステータスを受けた"," カーバンクル・エメラルドは「＜デバフステータス＞」の効果。"
225,48,65535,512,12,15,2,"パーティのペット/バディのバフステータスが切れた","カーバンクル・エメラルドの「＜バフステータス＞」が切れた。"
226,49,65535,512,12,16,2,"パーティのペット/バディのデバフステータスが切れた","カーバンクル・エメラルドの「＜デバフステータス＞」が切れた。"
227,0,0,0,0,0,0,"",""
228,0,0,0,0,0,0,"",""
229,0,0,0,0,0,0,"",""
230,0,0,0,0,0,0,"",""
231,41,1024,65535,13,1,0,"アライアンスのペット/バディがダメージを与えた","カーバンクル・エメラルドの攻撃  Enemyに123ダメージ。"
232,42,1024,65535,13,2,0,"アライアンスのペット/バディが攻撃に失敗した","カーバンクル・エメラルドの攻撃  Enemyにミス！"
233,43,1024,65535,13,3,0,"アライアンスのペット/バディからのアクションの開始/中断","カーバンクル・エメラルドは「＜アクション＞」を唱えた。\nカーバンクル・エメラルドは「＜アクション＞」の詠唱を中断した。"
234,44,1024,65535,13,4,0,"アライアンスのペット/バディからのアイテムの使用/中断","カーバンクル・エメラルドは「＜アイテム＞」を使用した。\nカーバンクル・エメラルドは「＜アイテム＞」の使用を中断した。"
235,45,1024,65535,13,5,0,"アライアンスのペット/バディが回復を与えた"," Playerは123HP回復。"
236,46,1024,65535,13,6,0,"アライアンスのペット/バディがバフステータスを与えた"," Playerは「＜バフステータス＞」の効果。"
237,47,1024,65535,13,7,0,"アライアンスのペット/バディがデバフステータスを与えた"," Enemyは「＜デバフステータス＞」の効果。"
238,41,65535,1024,13,8,0,"アライアンスのペット/バディがダメージを受けた","Enemyの攻撃  カーバンクル・エメラルドに123ダメージ。"
239,42,65535,1024,13,9,0,"アライアンスのペット/バディが攻撃を回避した","Enemyの攻撃  カーバンクル・エメラルドにミス！"
240,43,65535,1024,13,10,0,"アライアンスのペット/バディへのアクションの開始/中断","カーバンクル・エメラルドは「＜アクション＞」を唱えた。\nカーバンクル・エメラルドは「＜アクション＞」の詠唱を中断した。"
241,44,65535,1024,13,11,0,"アライアンスのペット/バディへのアイテムの使用/中断","カーバンクル・エメラルドは「＜アイテム＞」を使用した。\nカーバンクル・エメラルドは「＜アイテム＞」の使用を中断した。"
242,45,65535,1024,13,12,0,"アライアンスのペット/バディが回復を受けた"," カーバンクル・エメラルドは123HP回復。"
243,46,65535,1024,13,13,0,"アライアンスのペット/バディがバフステータスを受けた"," カーバンクル・エメラルドは「＜バフステータス＞」の効果。"
244,47,65535,1024,13,14,0,"アライアンスのペット/バディがデバフステータスを受けた"," カーバンクル・エメラルドは「＜デバフステータス＞」の効果。"
245,48,65535,1024,13,15,0,"アライアンスのペット/バディのバフステータスが切れた","カーバンクル・エメラルドの「＜バフステータス＞」が切れた。"
246,49,65535,1024,13,16,0,"アライアンスのペット/バディのデバフステータスが切れた","カーバンクル・エメラルドの「＜デバフステータス＞」が切れた。"
247,0,0,0,0,0,0,"",""
248,0,0,0,0,0,0,"",""
249,0,0,0,0,0,0,"",""
250,0,0,0,0,0,0,"",""
251,41,2048,65535,14,1,0,"他人のペット/バディがダメージを与えた","カーバンクル・エメラルドの攻撃  Enemyに123ダメージ。"
252,42,2048,65535,14,2,0,"他人のペット/バディが攻撃に失敗した","カーバンクル・エメラルドの攻撃  Enemyにミス！"
253,43,2048,65535,14,3,0,"他人のペット/バディからのアクションの開始/中断","カーバンクル・エメラルドは「＜アクション＞」を唱えた。\nカーバンクル・エメラルドは「＜アクション＞」の詠唱を中断した。"
254,44,2048,65535,14,4,0,"他人のペット/バディからのアイテムの使用/中断","カーバンクル・エメラルドは「＜アイテム＞」を使用した。\nカーバンクル・エメラルドは「＜アイテム＞」の使用を中断した。"
255,45,2048,65535,14,5,0,"他人のペット/バディが回復を与えた"," Playerは123HP回復。"
256,46,2048,65535,14,6,0,"他人のペット/バディがバフステータスを与えた"," Playerは「＜バフステータス＞」の効果。"
257,47,2048,65535,14,7,0,"他人のペット/バディがデバフステータスを与えた"," Enemyは「＜デバフステータス＞」の効果。"
258,41,65535,2048,14,8,0,"他人のペット/バディがダメージを受けた","Enemyの攻撃  カーバンクル・エメラルドに123ダメージ。"
