Index,0 [0x6][0xc],1 [0x3][0x24],2 [0x5][0x20],3 [0x5][0x22],4 [0x6][0x10],5 [0x6][0x14],6 [0x6][0x18],7 [0x0][0x0],8 [0x0][0x4],9 [0x0][0x8],10 [0x6][0x1c],11 [0x19][0x25]
2162708,4877083,22,1200,1659,30,81506,81006,"ささやきの谷","――ある農夫から聞いた噂。
取っておきの酒盛り場。常に水しぶきが舞い、太陽が照っても涼しいらしい。","オ・ゴモロ方面から流れる「ニーム川」の浸食によって作られた渓谷。幾筋もの細い滝が、ささやき声のような涼やかな水音を奏でている。谷が日射しを遮るため、酒盛りにぴったりの避暑地として地元民に愛されている",81451,false
2162709,4877084,22,500,759,30,81507,81007,"サマーフォード庄","――酒場で耳にした噂話。
元海賊は酒が入れば喧嘩を始める。ランプの上に登って高みの見物を決め込むのがいい。","メルウィブ提督が進める入植政策によって拓かれた集落。陸に上がった元海賊と、ベテラン農夫たちが協力して開拓を進めている。「ローグ川」がもたらす豊かな真水の恩恵を得て、ラノシアオレンジの栽培に成功したようだ",81451,false
2162710,4877085,22,1200,1659,31,81510,81010,"グレイフリート風車群","――ある商人から聞いた噂。
雨宿りのために駆け込んだ建物に、蛮族がやって来た。慌てて屋根の上に登って、逃げ道を探したらしい。","レッドルースター農場で生産された小麦を挽いたり、羊毛を縮絨したりするために作られた風車。羽根車に帆船用の帆布を利用しているため、多くの風車が並ぶ姿を艦隊になぞらえ、「グレイフリート風車群」と呼ぶ",81451,false
2162711,4877087,50,800,1159,32,81511,81011,"隠れ滝","――ある女性から聞いた噂。
椅子に腰を下ろした客から注がれる視線は、照りつける太陽よりも熱いとのこと。","「アジェレス川」が作りだした滝。滝壺がある小さな浜辺には、富豪ゲゲルジュ氏が特別なゲストのために用意した宿泊施設が存在している。専属の踊り子たちによる、特別な接待が行われているとかいないとか",81451,false
2162712,4877088,22,1800,459,32,81512,81012,"白鴎塔","――ある傭兵から聞いた噂。
雨天時は見通しが悪くなる。だから、海からの脅威を警戒するには、高所から見張るのが一番だ。","ラノシア特有の白い火山岩で作られた小塔。近海を航行する船に、水深が低いことを知らせる灯台であると同時に、サハギン族や海賊を見張るための監視塔でもある。近隣にカモメが多く生息するため、その名がつけられた",81451,false
2162713,4877089,58,1700,1759,33,81514,81014,"エールポートのリムレーン像","――ある醸造職人から聞いた噂。
酒樽を積んだ船は、悠然と出港する。見送る人々は、美しき女神に祈りを捧げていた。","遠洋船が長期航海に備え、必要物資を補充するための港街「エールポート」。その中心には、航海の女神「リムレーン」の像が据えられている。著名なルガディン族彫刻家の手になる美しい女神が、今日も旅立つ船を見送る",81451,false
2162714,4877090,22,1800,459,33,81515,81015,"船の墓場","――ある灯台守から聞いた噂。
散乱する漂着物、忍び寄る恐ろしき気配。あんなところは、夜に行くべきではない。","海流によって流されてきた難破船が、静かに眠る入江。文字通り「船の墓場」そのものの光景が広がる。地元民の噂によると、その多くが伝説の魔物「セイレーン」によって惑わされた結果、難破したものだという",81451,false
2162715,4877091,22,800,1159,33,81516,81016,"キャンプ・スカルバレー","――酒場で耳にした噂話。
防衛拠点は、敵を警戒するため見晴らしがいいらしい。だが、入り込む勇気はない。","黒渦団の軍事拠点。かつては南下しようとするコボルド族への警告として、その頭骨を並べていたため、スカルバレーと呼ばれる。しかし、今ではハーフストーン一帯のサハギン族に対する防御拠点としての役割が強い",81451,false
2162716,4877092,22,1200,1659,33,81517,81017,"南北防波壁","――酒場で耳にした噂話。
大事な備品を無くしたとき、天幕によじ登って探した。意外と潰れないものだ。","サハギン族によって制圧されたハーフストーンと、スカルバレーとの境界に建造された黒渦団の防壁。サハギン族の攻勢を波に見立て「防波壁」と名付けられたが、文字通り寄せては返す波のような猛攻にさらされている",81451,false
2162717,4877099,22,1700,1759,34,81518,81018,"キャンプ・ブロンズレイク","――酒場で耳にした噂話。
湯あたりしたら、風に当たって涼むといい。そこから見える景色も風情があって最高だ。","ブロンズレイクの水位が下がったことで、湖面に姿を現した古代都市「ニーム」時代の遺跡。温水が沸き出していたため、傷病兵向けの温泉地として整備された。療養所「ウォームワイン・サナトリウム」が併設されている",81451,false
2162718,4877101,22,1200,1659,34,81519,81019,"サラオスの亡骸","――ある博物学者から聞いた噂。
勇壮なる大いなる存在に思いを馳せるには、そのよく晴れた日に先端に登るべし。","地表に露出した古代生物の巨大化石。かつて女神「リムレーン」が解き放った伝説の海蛇「サラオス」にちなみ、その名で呼ばれている。海洋生物の化石が存在する事実は、島がかつて海の底であったことを伺わせている",81451,false
2162719,4877103,22,1800,459,34,81520,81020,"ジジルン交易商店","――酒場で耳にした噂話。
魔貝に追われて、よじ登って一夜を明かした。降りるときは、かなり勇気がいった。","キキルン族商人「ジジルン」が営む交易商店。兄弟であるメメルンが運営する「メメルン交易商店」とは、ライバル関係にあり売上を競っているらしい。なぜ、人里はなれた地に出店を決意したのかは、よく解っていない",81451,false
2162720,4877105,22,1800,459,350,81521,81021,"ニーム浮遊遺跡","――ある冒険者から聞いた噂。
空に浮かぶ遺跡は忘れがたいほど神秘的。輝くクリスタルの光は、地上に光る星のよう。","第五星暦時代にバイルブランド島で栄えた、古代都市「ニーム」の遺跡。地脈のエーテルが偏属性クリスタル化した結果、風属性の力が強まり、遺跡の一部が浮遊してしまったようだ。その光景は、幻想的の一語に尽きる",81451,false
2162721,4877106,22,500,759,350,81522,81022,"キャンプ・オーバールック","――酒場で耳にした噂話。
輸送路を脅かす存在を警戒するには、壁の上の茂みに隠れて見張るといい。","外地ラノシアに設営された黒渦団のキャンプ。海賊兵部隊「紅燕陸戦隊」が陣取り、高台からコボルド族の動向を監視している。南に目を向けると、ニーム時代のオシュオン神殿「ワンダラーパレス」も見下ろせる",81451,false
2162722,4877107,22,1200,1659,350,81523,81023,"ウ・ガマロ武装鉱山","――ある兵士から聞いた噂。
白昼堂々と行われた敵拠点への強襲作戦。溶鉱炉に登って、敵兵をコケにしたらしい。","コボルド族が築いた武装鉱山。その周辺は、豊富な硫黄と、しみ出した地下水や工業廃水がない交ぜとなり、独特の光景を作りだしている。人口爆発によって増えた労働力により、日々、拡張工事が進められているらしい",81451,false
2162723,4877108,52,1800,459,350,81524,81024,"隠者の庵","――ある冒険者から聞いた噂。
人嫌いの変わり者は、終始不在。勝手に座り込んで、休んでもバレはしない。","北方にオ・ゴモロ山を望む場所に、ひっそりと建てられた庵。火山地帯だけあって温水が沸き出しており、敷地内には天然の露天風呂が作られている。庵の主は、ほとんど姿を現さないほど、放浪癖がある人物らしい",81451,false
2162724,4877111,22,800,1159,51,81551,81051,"カーラインカフェと大水車","――酒場で耳にした噂話。
去りゆく者を見送りながら、勇壮な水車が回る姿を見るのはオツなものだ。","チャボアザミの名を冠した喫茶店「カーラインカフェ」。その横手には、エオルゼア最大の木造水車である「フィガガ大水車」が、心地よい音色を響かせながら回転し、動力を木工師ギルドの工房へと送っている",81452,false
2162725,4868037,22,500,759,51,81554,81054,"槍術士ギルド","――ある衛士から聞いた噂。
技を盗めと言われたため、特等席で見物しようとしたが、馬鹿げたことは止めろと怒鳴られた。","名槍術士「ミスタル」によって創設された槍術士たちのギルド。奥にグリダニアの治安を守る「鬼哭隊」の屯所が設けられていることもあり、その道場では、ギルド員と鬼哭隊士とが共に汗を流す姿も見ることができる",81452,false
2162726,4877112,22,500,759,54,81556,81056,"バノック練兵所","――ある衛士から聞いた噂。
姿を消した部下を見つけるのは簡単。切り株よりも上から見下ろせばいいだけだから。","双蛇党が新兵育成のために新設した練兵所。黒衣森固有の巨大樹「天柱樹」の切り株を用いて、訓練場が作られている。この切り株が、扁平な丸パン「バノック」に似ていることから、「バノック練兵所」と名付けられた",81452,false
2162727,4877113,22,1800,459,54,81557,81057,"ハウケタ御用邸","――ある冒険者から聞いた噂。
妖異に追われ、気付いた時には大樹の根の上にいたらしい。振り返ると、窓からは不気味な光が漏れていた。","幻術皇の元御用邸。二代前の幻術皇が「贅沢過ぎる」として引き払い、名門ダルタンクール家の手に渡った。なお、「ハウケタ」とは古語で「黙して語れ」という意味で、精霊との言葉に寄らない対話の場であることを示す",81452,false
2162728,4877163,22,1200,1659,54,81558,81058,"長老の木","――ある幻術士から聞いた噂。
天気の良い日には、精霊の声に耳を傾けるため森に向かう。大いなる古木を見下ろす場所に。","黒衣森で最も齢を重ねているという大樹で、グリダニアの道士たちが語るところによれば「森の大精霊」が棲まうという。樹齢は、千年を超えているともいわれており、その果実は「千年果実」と呼ばれ珍重されている",81452,false
2162729,4877165,22,1100,1359,54,81559,81059,"虹架けの滝","――ある幻術士から聞いた噂。
水と光が織りなす幻想的な橋は、人と森の精霊を繋ぐ融和の証と考えられている。","黒衣森を流れる小川のひとつ、「東の葉脈」が作る滝。日射しの加減次第で虹が架かることがあるため、地元民からは「虹架けの滝」の愛称で呼ばれている。なお、滝の裏手には洞窟があり、再生の根株に通じている",81452,false
2162730,4878703,22,1800,459,55,81562,81062,"ゆりかごの大樹","――ある博物学者が見た景色。
種族違えども、産まれ行く命を守らんとする意志は同じ。その光に未来を見た。","シルフの種を包む繭、「シルフのゆりかご」を育む大樹。この樹なくして、シルフ族は繁殖できないため、非常に重要な場所といえる。それを見守るように、月光のような淡い光を放っているのは「ムーンスポア」である",81452,false
2162731,4878736,22,800,1159,56,81563,81063,"酒房「バスカロンドラザーズ」","――ある酔客から聞いた噂。
深酒をした翌日、豪雨にさらされた場所で目覚めた。どうやってたどり着いたのかは覚えていない。","元哨兵バスカロンが営む酒場。懐の広いバスカロンが差配するこの店では、冒険者はおろか周辺を根城とするゴロツキの類いまでもが、平穏に酒を酌み交わす。この酒場は、一種のアジール（聖域・避難所）といえるだろう",81452,false
2162732,4878759,22,800,1159,56,81564,81064,"サウスシュラウド・ランディング","――酒場で耳にした噂話。
施設を放棄した連中は、まさかあんな使われ方をされるとは思わなかっただろう。","ハイウィンド飛空社が設置した貨物輸送用の飛空艇発着場。ガレマール帝国軍の進出に伴い、空の安全が脅かされたため、あえなく閉鎖された。現在は、地元の密猟者たちが、密猟品を売買するための闇市に利用している",81452,false
2162733,4878763,22,1200,1659,56,81565,81065,"ウルズの恵み","――ある幻術士から聞いた噂。
淡い光に包まれた聖なる森の一角。霧に包まれると、さらに神秘的な雰囲気となる。","エーテル濃い清らかな湧水地。聖典では、この地で「ウルズ」という名の聖女が、悪神「オーディン」に斬り殺されたと記されている。それゆえ「ウルズの恵み」と呼ばれているが、この伝承が真実かどうかは解っていない",81452,false
2162734,4878764,22,500,759,56,81566,81066,"クォーリーミル","――ある猟師から聞いた噂。
地元こそが最高の景色。煤を除去しているときに見る、集落は心暖まるものがある。","南部森林にある小村。森都「グリダニア」の建設時に、切り出した石材を製材するための水車場として拓かれた歴史を持つ。その役目を終えた今では、豊かな森の恵みを得る猟師たちの村に生まれ変わっているようだ",81452,false
2162735,4878773,22,1200,1659,57,81567,81067,"イクサル軍伐採所","――ある哨兵から聞いた噂。
切り出され、打ち込まれた木の上に立ち、怒りに震える。森の現状を現す光景らしい。","黒衣森に不法侵入したイクサル族の伐採部隊が、樹木を切り出している伐採所。イクサル族は根拠地の大渓谷「ゼルファトル」から、クルザスの「ナタラン入植地」経由で装甲気球を送り込み、木材の搬出を行っている",81452,false
2162736,4878784,22,1800,459,57,81568,81068,"メテオの陰地","――ある衛士から聞いた噂。
天を突く三日月型の異物。その異質な存在感には、ただただ圧倒されるばかりだ。","月の衛星「ダラガブ」内に封じられていた、古の蛮神を包んでいた拘束具の一部。第七霊災の際に、黒衣森上空に飛来した黒き蛮神の身体から剥落し、この地に堕ちてきたという。第七霊災の爪痕のひとつといえる",81452,false
2162737,4878790,22,800,1159,57,81569,81069,"アルダースプリングス","――ある山師から聞いた噂。
心臓が強いと自負するなら、限界まで先へ進むといい。突き出した根の先っぽまで。","かつては「アルダースプリング」と呼ばれるほど、多くのハンノキが茂る森林地帯だったが、第七霊災を境に状況は一変。ダラガブの破片が落着した際の衝撃で大地が引き裂かれ、今でも無残な傷跡を晒している",81452,false
2162738,4879319,22,1700,1759,42,81604,81104,"カステッルム・マリヌム","――ある兵士から聞いた噂。
強行偵察中、高所から望む敵補給基地は、沈みゆく陽光に照らされ不気味に光っていた。","アルデナード小大陸とバイルブランド島を隔てる「ロータノ海」に浮かぶ、ガレマール帝国軍の物資中継基地。その名称は、そのものズバリ「洋上の補給基地」を示す。帝国軍第XIV軍団所属の第X歩兵大隊が駐屯する",81453,false
2162739,4879321,27,1200,1659,42,81605,81105,"ベスパーベイのロロリト像","――酒場で耳にした噂話。
金持ちの家の上で、大金持ちのまねごとを。これで金運が増せばいいのだが。","ウルダハの海の玄関口として建設された港町。中央広場の銅像は、アルデナード商会ロロリト会長を模したもの。港湾施設の整備に莫大な費用を投じたことを称えたものだが、その容姿を巡っては美化しすぎとの声もある",81453,false
2162740,4879611,22,1800,459,43,81607,81107,"ブラックブラッシュ停留所","――ある鉄道員から聞いた噂。
設備の保守点検は辛い。夜半までかかり、高所から施設を点検することもある。","以前は銅刃団の駐屯地に過ぎなかったが、アマジナ鉱山社が鉄道を敷設し、停留所を設けたことで様相が一変した。採掘された鉱石を製錬するための最新式高熱炉が設置され、ウルダハの産業を支える働きを見せている",81453,false
2162741,4879612,50,1200,1659,43,81608,81108,"ナル大門","――酒場で耳にした噂話。
仕事も酒を飲む金もないときは、ぼーっとするしかない。布の上で、荒野を眺めながら。","ウルダハの主門のひとつ。同都市の守護神「ナルザル」のうち、生者の世界を司る「ナル神」の名が付けられている。交易都市だけに、商品を満載した2台のチョコボキャリッジがすれ違えるほど、その門の幅は広い",81453,false
2162742,4879625,22,1200,1659,44,81612,81112,"バーニングウォール","――酒場で耳にした噂話。
絶景を見たと自慢したいなら、クリスタルの上から辺りを一望するといいだろう。","月の衛星「ダラガブ」から剥落した破片が地脈を貫いた結果、大規模なエーテル流出が発生。これが結晶化し、炎のようにうねった形状のまま偏属性クリスタルとして固着した。第七霊災の壮絶さを今に伝える光景である",81453,false
2162743,4879626,22,800,1159,44,81613,81113,"ゴールドバザー","――ある採掘師から聞いた噂。
寂れた場所で狙うのは一攫千金。柵の上に登り、日が高いうちに試掘場所を探すらしい。","ウルダハのハムレット。かつては交易の中継地として市が立ち賑わっていたが、東方交易の中断のあおりを受け寂れてしまった。周辺一帯に優良な霊銀鉱床が眠っているとの噂があり、鉱業での振興が期待されているようだ",81453,false
2162744,4879627,58,1800,459,44,81614,81114,"ザルの祠","――ある聖職者から聞いた噂。
来世の利益を得たいなら、静かに祈るといい。豪雨のような懺悔の涙が、魂を救うとのこと。","双子の神「ナルザル」のうち、死後の世界を司る「ザル神」を祀る祠。断食祈祷を行うための「ナル・ザル教団」の施設が併設されている。かつては多くの巡礼者が訪れたが、近年では訪れる者の数は減っているようだ",81453,false
2162745,4879628,58,500,759,45,81615,81115,"ナルの祠","――ある聖職者から聞いた噂。
現世の利益を得たいなら、盛大に祈るといい。霧中に彷徨う魂は、喜捨によって救われるそうだ。","双子の神「ナルザル」のうち、現世を司る「ナル神」を祀る祠。詣でれば現世利益があるという話だが、富裕層は都市内の「ミルバネス礼拝堂」で販売している護符を買うだけで満足してしまうため、巡礼する者は稀である",81453,false
2162746,4879629,22,500,759,45,81616,81116,"ザハラク戦陣","――ある兵士から聞いた噂。
荒野の風は岩をも削る。風化した柱状の岩の上で、ひたすらに敵陣を監視するらしい。","「不退転」を意味するアマルジャ語で呼ばれている、アマルジャ軍の戦陣。彼らは南ザナラーンのザンラク一帯を、焔神「イフリート」によって焼き清められた聖地と考えており、歴史的にウルダハと衝突を繰り返してきた",81453,false
2162747,4879630,22,1200,1659,45,81617,81117,"ビエルゴズ・ストライク","――ある採掘師から聞いた噂。
強烈な日射しと廃熱にやられヘタばりそうだが、古代アラグの遺跡は宝の山だ。","アマジナ鉱山社が、砂に埋没した古代アラグ時代の遺跡を掘り起こすために設置した大型採掘機。工神「ビエルゴ」の大槌による一撃に見立て、勇ましい名が付けられているが、熱に弱い採掘機はトラブル続きのようだ",81453,false
2162748,4879631,22,1200,1659,45,81618,81118,"カルン埋没寺院","――酒場で耳にした噂話。
当時の構造を調べるには、傾いた遺構の上に登って確認するのが手っ取り早い。","古代都市「ベラフディア」時代の遺跡。ベラフディアで守護神として崇められていた太陽の女神「アーゼマ」を祀る神殿であり、歴代の王たちが長年の時をかけて、威信を示すために増改築を繰り返してきたようだ",81453,false
2162749,4879632,30,500,759,45,81619,81119,"ミノタウロスマルム","――ある兵士から聞いた噂。
熱波如きで訓練を休むのは愚か者。真の漢は、気合で乗り越え、肉体を鍛え続ける。その姿こそ絶景。","東アルデナード商会などの大資本に対抗するために、中小規模の旅商人たちが結成した「隊商互助会」の交易所。危険でリスクが高い「サゴリー砂漠」方面との交易拠点として、第七霊災後に設営されたという",81453,false
2162750,4879633,31,500,759,46,81620,81120,"東方監視塔","――ある兵士から聞いた噂。
見張りの敵は己の眠気。眠くなったらどうするか。旗先に立ってビシッと敬礼、この度胸試しで眠気を覚ます。","ガレマール帝国軍第XIV軍団が、魔導兵器の燃料を確保するために築いた資源採掘拠点、「カストルム・メリディアヌム」を監視するための物見塔。不滅隊の哨兵が駐在し、昼夜を問わず対岸の動きを見張っている",81453,false
2162751,4879634,22,1800,459,46,81621,81121,"青燐水パイプライン","――ある兵士から聞いた噂。
落とし格子の整備には時間がかかる。晴れていれば眺めはいいが、落っこちたら一大事だ。","採取された青燐水を精製所まで送るためのパイプライン。エオルゼアにおいても、飛空艇をはじめ青燐機関の利用は広がりつつあり、燃料需要が増大傾向にある。アマジナ鉱山社は巨費を投じて、設備を拡充しているようだ",81453,false
2162752,4879635,22,1200,1659,46,81622,81122,"ブルーフォグ","――ある作業員から聞いた噂。
青い霧は、未だに慣れない。霧が晴れたら作業をサボって、高所から渓谷を一望する方が好きだ。","北ザナラーンの渓谷地帯は、エオルゼアでも指折りの青燐水埋蔵量を誇る場所として知られている。青燐水採掘時に生じるガスの影響で、青みを帯びた霧「ブルーフォグ」が立ちこめる光景は、この地の名物ともいえるもの",81453,false
2162753,4879636,22,800,1159,46,81623,81123,"ラウバーン緩衝地","――ある兵士から聞いた噂。
厚い雲が覆っていても、ダラガブの爪はよく目立つ。哨戒任務でよく訪れる場所らしい。","第七霊災の混乱に乗じ、帝国軍が北ザナラーンへと侵攻した際、不滅隊のラウバーン局長は戦力的に劣りながらも奮戦し、青燐精製所をかろうじて死守した。結果的に生じた両陣営の中間地を、「ラウバーン緩衝地」と呼ぶ",81453,false
2162754,4879637,22,1800,459,46,81624,81124,"アマジナ霊銀山跡","――ある冒険者から聞いた噂。
不気味な連中に捕まりかけたことがある。霧に紛れ逃げ出して、崩れた柱を伝って脱出したらしい。","20年ほど前に放棄された廃坑。アマジナ鉱山社を躍進させた「ミスリルラッシュ」の舞台としても知られる一大ミスリル鉱山だったが、鉱脈が尽き閉鎖された。今では、カルト教団「最後の群民」のアジトと化している",81453,false
