Index,0 [0x5][0x20],1 [0x5][0x22],2 [0x5][0x24],3 [0x5][0x26],4 [0x5][0x28],5 [0x5][0x2a],6 [0x5][0x2c],7 [0x5][0x2e],8 [0x5][0x30],9 [0x5][0x32],10 [0x3][0x3a],11 [0x3][0x3b],12 [0x19][0x3d],13 [0x5][0x34],14 [0x3][0x3c],15 [0x7][0x0],16 [0x7][0x4],17 [0x7][0x8],18 [0x5][0x36],19 [0x5][0x38],20 [0x7][0xc],21 [0x7][0x10],22 [0x7][0x14],23 [0x7][0x18],24 [0x7][0x1c],25 [0x1a][0x3d]
2293789,62,45,0,0,0,67,52,46,34,3,13,0,true,30,1,66558,0,0,0,0,592177,592178,592179,592180,592181,true
2293790,64,61,47,0,0,42,31,32,37,27,12,0,true,30,1,0,0,0,0,0,592182,592183,592184,592185,592186,false
2293791,34,61,0,0,0,29,60,47,39,45,1,1,true,30,1,66241,0,0,0,0,592187,592188,592189,592190,592191,false
2293792,63,56,49,0,0,65,66,55,31,30,14,5,true,30,1,66053,0,0,0,0,592192,592193,592194,592195,592196,true
2293793,65,54,41,0,0,58,50,49,38,0,4,6,true,30,2,66219,66220,66221,1400,1900,592197,592198,592199,592200,592201,false
2293794,50,19,80,0,0,49,33,48,46,62,7,1,true,35,1,65964,0,0,1700,530,592268,592269,592270,592271,592272,false
2293795,52,42,0,0,0,81,36,43,30,35,13,7,false,25,1,0,0,0,1000,2000,592383,592384,592385,592386,592387,true
2293796,64,81,0,0,0,84,34,32,77,55,12,7,false,25,1,0,0,0,2200,600,592388,592389,592390,592391,592392,false
2293797,63,49,0,0,0,89,48,42,73,28,14,9,false,25,1,0,0,0,1500,300,592393,592394,592395,592396,592397,false
2293798,61,55,0,0,0,96,22,40,46,81,9,1,false,30,1,0,0,0,900,2000,592398,592399,592400,592401,592402,false
2293799,89,56,0,0,0,88,62,50,58,19,1,0,true,25,1,67118,0,0,200,1000,592403,592404,592405,592406,592407,false
2293800,14,81,0,0,0,90,3,55,43,84,10,7,false,30,1,67148,0,0,1900,500,592408,592409,592410,592411,592412,false
2293801,63,86,65,93,96,0,0,0,0,0,8,0,true,30,1,67132,0,0,200,1000,592413,592414,592415,592416,592417,false
2293802,88,100,0,0,0,92,97,86,99,49,7,1,false,30,1,67501,0,0,0,0,592418,592419,592420,592421,592422,false
2293803,83,97,0,0,0,47,40,91,32,92,12,7,false,30,1,67199,0,0,2100,800,592423,592424,592425,592426,592427,false
2293804,66,98,0,0,0,82,83,97,100,43,1,1,true,30,1,67376,0,0,0,0,592428,592429,592430,592431,592432,true
2293805,96,19,80,0,0,88,93,90,91,69,7,9,true,35,1,67205,0,0,1900,700,592846,592847,592848,592849,592850,false
