Index,0 [0x2][0x2a],1 [0x0][0x0],2 [0x0][0x4],3 [0x3][0x8],4 [0x3][0x9],5 [0x3][0xa],6 [0x3][0xb],7 [0x3][0xc],8 [0x3][0xd],9 [0x3][0xe],10 [0x3][0xf],11 [0x3][0x10],12 [0x3][0x11],13 [0x3][0x12],14 [0x3][0x13],15 [0x3][0x14],16 [0x3][0x15],17 [0x3][0x16],18 [0x3][0x17],19 [0x3][0x18],20 [0x3][0x19],21 [0x3][0x1a],22 [0x3][0x1b],23 [0x3][0x1c],24 [0x3][0x1d],25 [0x3][0x1e],26 [0x3][0x1f],27 [0x3][0x20],28 [0x3][0x21],29 [0x3][0x22],30 [0x3][0x23],31 [0x3][0x24],32 [0x3][0x25],33 [0x3][0x26],34 [0x3][0x27],35 [0x3][0x28],36 [0x3][0x29]
26,-1,"Résilience","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
27,18,"Critique","Influence les chances que vos actions physiques et magiques soient critiques. Une valeur élevée augmente les chances d'infliger des dégâts critiques ou de soigner plus de PV.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
28,-1,"Esquive critique","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
29,19,"Résistance au tranchant","Réduit les dégâts reçus lorsqu'une attaque tranchante est subie.",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
30,20,"Résistance au perforant","Réduit les dégâts reçus lorsqu'une attaque perforante est subie.",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
31,21,"Résistance au contondant","Réduit les dégâts reçus lorsqu'une attaque contondante est subie.",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
32,-1,"Résistance aux projectiles","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
33,22,"Magie offensive","Influence le montant des dégâts infligés par les attaques magiques.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
34,23,"Magie curative","Influence le montant de PV restaurés avec les sorts curatifs.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
35,-1,"Magie fortifiante","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
36,-1,"Magie fragilisante","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
37,24,"Résistance au feu","Réduit les dégâts reçus lorsqu'une attaque de feu est subie.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
38,25,"Résistance à la glace","Réduit les dégâts reçus lorsqu'une attaque de glace est subie.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
39,26,"Résistance au vent","Réduit les dégâts reçus lorsqu'une attaque de vent est subie.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
40,27,"Résistance à la terre","Réduit les dégâts reçus lorsqu'une attaque de terre est subie.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
41,28,"Résistance à la foudre","Réduit les dégâts reçus lorsqu'une attaque de foudre est subie.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
42,29,"Résistance à l'eau","Réduit les dégâts reçus lorsqu'une attaque d'eau est subie.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
43,-1,"Résistance magique","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
44,30,"Détermination","Influence les dégâts infligés par les attaques physiques et magiques, le montant de PV restaurés avec les sorts curatifs, ainsi que la puissance des attaques automatiques.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
45,31,"Vivacité","Influence le temps de lancement et de recharge des techniques d'arme et les dégâts périodiques des attaques physiques. Une valeur élevée permet de réduire les temps de lancement et de recharge, et d'augmenter les dégâts périodiques.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
46,32,"Célérité","Influence le temps de lancement et de recharge des sorts ainsi que les dégâts et effets curatifs périodiques de la magie. Une valeur élevée permet de réduire les temps de lancement et de recharge, et d'accroître les dégâts et effets curatifs périodiques.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
47,33,"速度","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
48,34,"Moral","Remplace la défense et la défense magique pour déterminer les dégâts subis lors d'attaques venant d'autres joueurs. Détermine également les dégâts infligés aux autres joueurs.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
49,-1,"Inimitié","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
50,-1,"Réduction d'inimitié","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
51,-1,"Recyclage soigné","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
52,-1,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
53,-1,"Récup","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
54,-1,"Recharge","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
55,-1,"Vitesse de déplacement","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
56,-1,"Pointes","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
57,39,"Résistance à Lenteur","Réduit la durée de l'effet Lenteur.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
58,-1,"Résistance à Pétrification","",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
59,-1,"Résistance à Paralysie","",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
60,40,"Résistance à Silence","Réduit la durée de l'effet Silence.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
61,41,"Résistance à Cécité","Réduit la durée de l'effet Cécité.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
62,42,"Résistance à Poison","Réduit la durée de l'effet Poison.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
63,43,"Résistance à Étourdissement","Réduit la durée de l'effet Étourdissement.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
64,44,"Résistance à Sommeil","Réduit la durée de l'effet Sommeil.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
65,45,"Résistance à Entrave","Réduit la durée de l'effet Entrave.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
66,46,"Résistance à Pesanteur","Réduit la durée de l'effet Pesanteur.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
67,-1,"Résistance à Glas","",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
68,-1,"Résistance à l'usure","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
69,-1,"Gain accru de symbiose","",10,2,8,8,8,8,8,8,8,8,8,8,12,6,16,32,0,16,40,24,24,100,100,100,100,100,100,100,100,100,100,100,100,100
70,35,"Habileté","Influence la progression réalisée lors d'un tour d'une synthèse.",35,35,1,30,1,1,1,1,1,1,1,1,35,35,31,33,0,2,34,32,32,100,100,100,100,100,100,100,100,100,100,100,100,100
71,36,"Contrôle","Influence la qualité réalisée lors d'un tour d'une synthèse.",20,20,10,10,10,10,10,10,1,1,1,1,20,20,20,40,0,20,50,30,30,100,100,100,100,100,100,100,100,100,100,100,100,100
72,37,"Collecte","Influence le taux auquel les objets sont récoltés.",35,20,1,20,15,1,10,1,1,1,1,1,35,35,21,46,0,11,47,45,31,100,100,100,100,100,100,100,100,100,100,100,100,100
73,38,"Discernement","Influence le taux auquel les objets de haute qualité sont récoltés.",20,35,20,10,1,5,1,10,1,1,1,1,20,20,30,22,0,11,42,12,21,100,100,100,100,100,100,100,100,100,100,100,100,100
