Index,0 [0x3][0xc],1 [0x3][0xd],2 [0x3][0xe],3 [0x7][0x0],4 [0x3][0xf],5 [0x7][0x4],6 [0x7][0x8],7 [0x19][0x10],8 [0x1a][0x10]
131122,50,17,0,0,0,0,7124,false,false
131123,51,17,0,0,0,0,7125,false,false
131124,52,17,0,0,0,0,7126,false,false
131125,53,17,0,0,0,0,7127,false,false
131126,54,17,0,0,23,0,7128,false,false
131127,55,17,0,0,23,0,7129,false,false
131128,56,17,0,0,23,0,7130,false,false
131129,57,17,6,0,28,721097,7989,true,false
131130,58,17,0,0,0,0,7990,false,false
131131,59,17,0,0,0,0,7991,false,false
131132,60,17,0,0,0,0,7992,false,false
131133,61,17,0,0,0,0,7993,false,false
131134,62,17,0,0,0,0,7994,false,false
131135,63,17,0,0,0,0,7995,false,false
131136,64,17,0,0,0,0,7996,false,false
131137,65,17,0,0,0,0,7997,false,false
131138,66,17,0,0,0,0,7998,false,false
131139,67,17,0,0,0,0,7999,false,false
131140,68,17,0,0,0,0,8000,false,false
131141,69,17,0,0,0,0,8001,false,false
131142,70,17,0,0,0,0,8002,false,false
131143,71,17,0,0,0,0,8003,false,false
131144,72,17,0,0,0,0,8822,false,false
131145,73,17,0,0,0,0,8828,false,false
131146,74,17,0,0,37,852752,8823,false,true
131147,75,17,0,0,0,0,8816,false,false
131148,76,17,0,0,0,0,8817,false,false
131149,77,17,0,0,0,0,8818,false,false
131150,78,17,0,0,0,0,8819,false,false
131151,79,17,0,0,0,0,8820,false,false
131152,80,17,0,0,0,0,8821,false,false
131153,81,17,0,0,37,852753,8824,false,true
131154,82,17,0,0,37,852754,8825,false,true
131155,83,17,0,0,0,0,8826,false,false
131156,84,17,0,0,0,0,8827,false,false
131157,85,17,0,0,0,0,9739,false,false
131158,86,17,4,1,30,0,9740,false,false
131159,87,17,0,0,0,0,9741,false,false
131160,88,17,0,0,0,0,9742,false,false
131161,89,17,0,0,0,0,9743,false,false
131162,90,17,0,0,0,0,9744,false,false
131163,91,17,0,0,0,0,9745,false,false
131164,92,17,0,0,0,0,9746,false,false
131165,93,17,0,0,0,0,9747,false,false
131166,94,17,0,0,0,0,12113,false,false
131167,95,17,0,0,0,0,0,false,false
131168,96,17,0,0,0,0,0,false,false
131169,97,17,0,0,0,0,12114,false,false
131170,98,17,0,0,0,0,12115,false,false
131171,99,17,0,0,0,0,0,false,false
131172,100,17,0,0,0,0,0,false,false
131173,101,17,0,0,0,0,0,false,false
131174,102,17,0,0,0,0,0,false,false
131175,103,17,0,0,0,0,0,false,false
131176,104,17,0,0,0,0,0,false,false
131177,105,17,0,0,0,0,0,false,false
131178,106,17,0,0,0,0,9748,false,false
131179,107,17,0,0,0,0,9749,false,false
131180,108,17,7,0,38,0,8837,true,false
131181,109,17,0,0,0,0,0,false,false
131182,110,17,0,0,0,0,0,false,false
131183,111,17,0,0,0,0,0,false,false
131184,112,17,0,0,0,0,0,false,false
131185,113,17,0,0,45,0,12111,true,false
131186,114,17,0,0,46,0,12112,true,false
131187,115,17,0,0,0,0,0,false,false
131188,116,17,0,0,0,0,0,false,false
131189,117,17,0,0,47,0,12234,false,false
131190,118,17,0,0,0,0,12235,false,false
131191,119,17,0,0,0,0,0,false,false
131192,120,17,4,60,30,0,12670,false,false
131193,121,17,0,0,47,0,12671,false,false
131194,122,17,0,0,0,0,0,false,false
131195,123,17,0,0,0,0,0,false,false
