Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x5][0x24],12 [0x3][0x30],13 [0x3][0x31],14 [0x3][0x32],15 [0x3][0x33],16 [0x3][0x34],17 [0x3][0x35],18 [0x3][0x36],19 [0x3][0x37],20 [0x3][0x38],21 [0x19][0x40],22 [0x1a][0x40],23 [0x1b][0x40],24 [0x1c][0x40],25 [0x5][0x26],26 [0x1d][0x40],27 [0x1e][0x40],28 [0x5][0x28],29 [0x5][0x2a],30 [0x1f][0x40],31 [0x3][0x39],32 [0x3][0x3a],33 [0x5][0x2c],34 [0x3][0x3b],35 [0x3][0x3c],36 [0x3][0x3d],37 [0x20][0x40],38 [0x19][0x41],39 [0x1a][0x41],40 [0x1b][0x41],41 [0x1c][0x41],42 [0x3][0x3e],43 [0x5][0x2e],44 [0x3][0x3f],45 [0x0][0x1c],46 [0x0][0x20]
10,"Bruderschafts-Küken",4,"Bruderschafts-Küken",1,0,1,2,0,"Du rufst dein Bruderschafts-Küken als Begleiter herbei. Kaum geschlüpft, fließt schon das gelbe Blut der Bruderschaft in seinen Adern.","Von einem Novizen aufgezogen, der ein verwahr-\nlostes Ei in den Stallungen der Gesellschaft fand, die er saubermachen sollte. Dieses niedliche Küken ist ein Symbol des Neuanfangs für die Bruderschaft der Morgenviper.","Habe ich dir schon erzählt, dass ein prächtiges\nKüken aus Leias Ei geschlüpft ist? Was für eine Freude!\n<i>Luquelot</i>",425,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4510,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
11,"Legions-Küken",4,"Legions-Küken",1,0,1,2,0,"Du rufst dein Legions-Küken als Begleiter herbei. Kaum geschlüpft, fließt schon das schwarze Blut der Legion in seinen Adern.","Von einem Legionär aufgezogen, der ein verwahr-\nlostes Ei in den Stallungen der Gesellschaft fand, die er saubermachen sollte. Dieses niedliche Küken ist ein Symbol des Neuanfangs für die Legion der Unsterblichen.","Habe ich dir schon erzählt, dass ein prächtiges\nKüken aus Leias Ei geschlüpft ist? Was für eine Freude!\n<i>Luquelot</i>",426,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4511,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
12,"Morbol-Knolle",3,"Morbol-Knollen",1,0,1,1,0,"Du rufst deine Morbol-Knolle als Begleiter herbei. Hoffentlich macht dir der Mundgeruch nichts aus.","Es ist unter den Adligen von Ul'dah in Mode, Morbol-Knollen zu Banketten mitzunehmen, um die Anwe-\nsenden mithilfe des fürchterlichen Mundgeruchs der Knolle dazu zu bringen, sich zu übergeben. Mit entleertem Magen\nkönnen diese dann\nnoch mehr schlemmen.","Weeßte, uuf wen wa hier in Jeisterzoll jar nich jut zu\nsprechen sind? Uff die Morbol, dit sind quasi unsere Todfeinde.\n<i>Aganbold</i>",429,100,30,0,0,0,2,0,8,6,true,true,false,false,0,false,true,4512,6,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
13,"klein[a] Ratte",3,"klein[a] Ratten",0,0,1,1,0,"Du rufst deine kleine Ratte als Begleiter herbei. Lass dich von ihrer Niedlichkeit nicht allzu sehr ablenken.","Erst kürzlich wurde ein besonders kreativer Kaufmann von der Smaragdstraße in Ul'dah in den Kerker geworfen, da er die Schwänze der Ratten, die er in der Perlengasse fing, aufplusterte und die kleinen Plagegeister als\n„Mini-Baumhörnchen“ an\nTouristen verkaufte.","Du hast alle Ratten getötet, selbst\nihren König? Ausgezeichnet!\n<i>Fousquenet</i>",431,100,30,0,0,0,2,0,8,7,true,false,false,true,0,false,true,4513,7,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
14,"Mini-Pilz",2,"Mini-Pilze",2,0,1,0,0,"Du rufst deinen Mini-Pilz als Begleiter herbei. Schmeckt gut zu Salaten oder in Eintöpfen.","Wer sich fragt, welche Nebenwirkungen das Inhalieren von Pilzsporen hat, sollte einen Blick in die Enzyklopädie Eorzea werfen: „Pilzsporen verpesten den Körper und übernehmen die Kontrolle über die Seele. So machen sie ihr\nOpfer zu einem seelen-\nlosen Knecht.“","Ich bin ein Glückspilz! Dank der Großzügigkeit\ndes Kaiserreichs kann ich mir endlich das Leben\nleisten, das mir zusteht.\n<i>Laurentius</i>",432,100,30,0,0,0,2,0,8,8,true,false,true,false,0,false,true,4514,8,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
15,"Stechmücken-Larve",3,"Stechmücken-Larve",2,0,1,1,0,"Du rufst deine Stechmücken-Larve als Begleiter herbei. Dieses kleine Insekt nimmt die Blutsbande mit seinem Meister sehr ernst.","Chirurgen der versunken Stadt von Gelmorra setzten einst Stechmücken ein, um bösartige Körper-\nflüssigkeiten aus ihren Patienten zu entfernen. Bis sie bemerkten, dass diese durch die Behandlung noch ganz andere Krankheiten\nbekamen.","Einige Stechmücken übertragen die gefährliche Kettenseuche,\nund die Bruderschaft der Morgenviper und das Klageregiment\nhelfen uns dabei, die Überträger zu identifizieren.\n<i>Monranguin</i>",433,100,30,0,0,0,2,0,8,9,true,true,true,false,0,false,true,4515,9,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
16,"blau[a] Vögelchen",4,"blau[a] Vögelchen",1,0,1,2,0,"Du rufst dein blaues Vögelchen als Begleiter herbei. Es hat den Ruf, Leuten Glück zu bringen, die bereits viel Glück hatten.","Aus dem Nest gefallen, bevor es fliegen konnte. Glücklicherweise in einer leeren Schatztruhe gelandet. Leider noch in der Schatztruhe gewesen, als diese geschlossen wurde. Glücklicherweise wiederentdeckt worden ...\nvon dir.","Ich hab 'nen blauen Kanarienvogel gesehn!\nJawohl, einen blauen! <hicks>\n<i>Betrunkener Tor</i>",434,80,30,0,0,0,2,2,8,10,true,true,false,true,0,false,true,4516,10,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
17,"Rehkitz",2,"Rehkitze",2,0,1,2,0,"Du rufst dein Rehkitz als Begleiter herbei. Seine Mutter hatte einen kleinen Jagdunfall ... oder hat sich einfach nur verlaufen.","Die wehrlosen Antilopen müssen jeden Vorteil nutzen, um den hungrigen Mäulern ihrer Jäger zu entgehen. Erstaunlich ist ihre Fähigkeit, schon Minuten nach ihrer Geburt rennen zu können. Leider bewahrte das dieses\nExemplar nicht vor der\nGefangennahme.","Gästen serviert man die Innereien eines Rehs\nam besten, solange sie noch körperwarm sind.\n<i>Aus dem Knigge der Amalj'aa</i>",435,100,30,0,0,30,2,0,8,11,true,false,false,true,0,false,true,4517,11,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
18,"Baby-Imp",4,"Baby-Imps",1,0,1,0,0,"Du rufst deinen Baby-Imp als Begleiter herbei. Hat Ambitionen, eines Tages über die Sieben Höllen zu herrschen. Fürs Erste musst du jedoch genügen.","Gelehrte glauben, dass Nichtsgesandte drei Wege in unsere Welt nehmen: Ein Loch in den Äther reißen, ein Loch geöffnet bekommen, oder auf ein zufällig auftretendes Loch zu stoßen. Letzteres ist bei Imps\nam häufigsten der Fall.","Der Junge teilt ganz schön aus!\nPass auf seine Flächenzauber auf!\n<i>Kräftiger Gladiator</i>",436,100,30,0,0,0,2,0,8,12,true,false,false,true,0,false,true,4518,29,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
19,"Mini-Coeurl",3,"Mini-Coeurl",1,0,1,0,0,"Du rufst deinen Mini-Coeurl als Begleiter herbei. Es werden wohl noch einige Sommer vergehen, ehe seine berühmten Schnurrhaare wachsen.","Coeurls sind schon in jungen Jahren sehr kämpferisch. Ein Coeurl wird keiner Konfrontation aus dem Weg gehen und lieber im Kampf sterben als wegzulaufen. Aufgrund dieser Eigenschaft ist ihre Anzahl begrenzt, sie sichert aber auch die\nStärke der Überlebenden.","Höchste Konzentration und die Geschmeidigkeit eines\nCoeurl-Jungen sind vonnöten, um den Tanz des Chevaliers\nzu meistern.\n<i>Hildibrand</i>",437,85,10,10,0,0,2,0,8,13,true,true,false,true,35,true,true,4552,13,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
20,"schwarz[a] Coeurl",3,"schwarz[a] Coeurl",1,0,1,0,0,"Du rufst deinen schwarzen Coeurl als Begleiter herbei. Pass auf, denn wenn dir dieser Coeurl über den Weg läuft, bedeutet das sieben Jahre ... Aaahhh!","Auch gewöhnliche Coeurl haben schwarze Tupfer, aber vollkommen schwarze Exemplare sind extrem selten. Ihr glänzendes Fell strahlt Erhabenheit aus und macht sich schick an der Seite jedes modebewussten Abenteurers.","Wenn Pech kommt zu Großwachsenem,\nMateriastein und Materie umsonstverschwendet.\n<i>Mutagenix</i>",438,75,10,10,0,0,2,0,8,13,true,true,false,true,35,true,true,4614,13,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
21,"Hildibrand-Puppe",4,"Hildibrand-Puppen",1,0,1,1,0,"Du rufst deine Hildibrand-Puppe als Begleiter herbei. Der putzige Ermittler beherrscht nicht nur die berühmte Pose des Originals, er bringt sogar seine ganz persönliche Assistentin mit!","Diese liebevoll gearbeitete Marionette ist genauso stilvoll und galant wie ihr großes Vorbild. Hildibrands Vater Godbert höchstselbst hat sie angefertigt, um die Zeit bis zur Rückkehr seines unfreiwillig entflogenen Sohnes zu überbrücken.","Maaamiii!\n<i>Kriminologenkampfschrei</i>",882,100,10,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4615,268,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
22,"Kiesgolem",4,"Kiesgolems",1,0,1,0,0,"Du rufst deinen Kiesgolem als Begleiter herbei. Ein ziemlich harter Bursche.","Gegen Ende des Fünften Zeitalters des Lichts waren Golems so verbreitet, dass ganze Schlachten mit diesen leblosen Wesen geführt wurden. Dieser Nachbau ist jedoch nichts weiter als ein Standard-\nmodell, das mit Steinplatten\nversehen wurde.","Golems sind keine normalen Lebewesen. Es bedarf\nkomplizierter Magie, sie zum Leben zu erwecken.\n<i>Y'shtola</i>",440,100,30,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4519,202,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
23,"Tomberry-Stofftier",4,"Tomberry-Stofftiere",2,0,1,2,0,"Du rufst dein Tomberry-Stofftier als Begleiter herbei. Jetzt mit 100 % weniger Groll.","Eigentlich ist dies lediglich ein Spielzeug, das den rätselhaften Überlebenden von Nym nachempfunden ist. Es mehren sich jedoch Berichte von Besitzern, die nachts aufwachen und ihr Tomberry-Stofftier auf ihre Brust gestützt vorfinden,\ndas kleine Holzmesser an\nihre Kehle gepresst.","Mach dich auf etwas gefasst, Tomberry. Alka Zolka und\ndie neuen Seesoldaten sind gekommen, um dir den Garaus\nzu machen.\n<i>Alka Zolka</i>",441,100,30,0,0,0,1,0,8,0,false,false,false,false,0,true,true,4553,203,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
24,"Zwergschildkröte",3,"Zwergschildkröten",1,0,1,1,0,"Du rufst deine Zwergschildkröte als Begleiter herbei. Sie wird dich jedoch nicht in ein Unterwasser-Königreich tragen, wenn du dich auf ihren Rücken setzt.","Aus einem Ei geschlüpft, das an der Salzküste La Nosceas gelegt wurde. Wenn sie Glück hat, wird diese Zwergschildkröte bis zu 200 Sommer erleben ... wenn sie sich bei dem ganzen Gedrehe nicht selbst von einer Klippe katapultiert.","Wie wär's mit Schildkrötensuppe zum Abendessen?!\n<i>Solkwyb</i>",442,100,30,0,0,0,2,0,8,18,true,false,false,true,0,false,true,4520,18,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
25,"Baby-Raptor",4,"Baby-Raptoren",1,0,1,0,0,"Du rufst deinen Baby-Raptor als Begleiter herbei. Zu deinem Glück sind seine Fangzähne noch nicht ausgewachsen.","Ein Händler aus Astlfingen brütet Raptor-Eier, die er aus Nestern in der Nähe gestohlen hat, selber aus. Ein Trick, den er sich bei Goblinhändlern abgeschaut hat. Man kann nur hoffen, dass die Raptoren-Mütter\nnicht so schlau sind, wie\ndieser Händler zu sein\nglaubt.","Bei den Göttern ... Dieser Raptor ist ein <i>Meisterwerk</i>!\n<i>Nonopesa</i>",443,100,30,0,0,0,2,0,8,19,true,false,false,true,0,false,true,4521,11,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
26,"Baby-Fledermaus",3,"Baby-Fledermäuse",2,0,1,1,0,"Du rufst deine Baby-Fledermaus als Begleiter herbei. Sie hat noch keinen Blutdurst entwickelt.","Nonoroon von Memeroons Handelsposten ist auf die Idee gekommen, Baby-Fledermäuse zu fangen und zu verkaufen, während er in einigen Höhlen auf der Jagd nach Fledermauseiern war ... die er nicht finden konnte.","Den Höhlenfledermäusen in den Finstereisenminen wird\nnachgesagt, dass ihre Bisse einen Krankheitserreger\nübertragen, der Blutdurst bei seinem Opfer wecken soll.\n<i>Almanach der Nachtaktiven</i>",444,100,30,0,0,0,2,0,8,20,true,false,false,false,0,false,true,4522,20,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
27,"Mini-Knolle",3,"Mini-Knollen",1,0,1,1,0,"Du rufst deine Mini-Knolle als Begleiter herbei. Manche Fragen, wie warum diese Knolle laufen kann, bleiben besser unbeantwortet.","Um die Frage zu beantworten, warum diese Knolle laufen kann, muss man ihre Evolution über Tausende von Generationen zurückverfolgen. Vielleicht sehnte sie sich in der ewigen Dunkelheit des dichten Finsterwalds einfach nur\nnach Sonnenschein.","Blutige Tierkadaver oder dreckige\nWurzelknollen - wo ist da der Unterschied?\n<i>Leih Aliapoh, Waldläuferin</i>",445,100,30,0,0,0,2,0,8,21,true,false,false,false,0,false,true,4523,21,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
28,"Staubhäschen",4,"Staubhäschen",1,0,1,2,0,"Du rufst dein Staubhäschen als Begleiter herbei. Trotz der frappierenden Ähnlichkeiten sind Spriggans nicht mit Kaninchen verwandt. Allerdings haben sie diese zum Fressen gern.","Niemand weiß, warum Spriggans wertvolle Steine und Minerale horten, aber Gelehrte sind der Ansicht, dass es die Steine und Minerale sind, die die Spriggans horten. Daher stamme auch die wissen-\nschaftliche Einordnung der\nKreaturen als\nSeelenbestien.","Jetzt weiß ich, was hier so stinkt. Das muss\nder Speichel eines Spriggans sein.\n<i>Hedyn</i>",446,100,10,0,0,30,2,0,8,22,true,false,true,false,0,false,true,4524,22,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
29,"mechanisch[a] Dullahan",3,"mechanisch[a] Dullahan",1,0,1,0,0,"Du rufst deinen mechanischen Dullahan als Begleiter herbei. Vorsicht: Kann spitze Teile enthalten!","Nichtsgesandte Dullahan sind eigentlich gestaltlose Wesen, die erst einen leblosen Wirt (wie eine Rüstung) finden müssen, bevor sie ihre Macht in unserem Reich ausüben können. Glücklicherweise befinden sich in dieser\nAufzieh-Variante nur\nZahnräder und Gestänge.","Klapper-di-klapp.\n<i>Aufzieh-Dullahan</i>",447,100,30,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4525,204,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
30,"Kaulquappe",3,"Kaulquappe",2,0,1,1,0,"Du rufst deine Kaulquappe als Begleiter herbei. Ja, sie kann stundenlang ohne Wasser auskommen. Und ja, sie kann fliegen. Frag nicht.","Über viele Generationen hinweg haben sich die Karpfenkröten von Thanalan an das dürre Klima angepasst. Dicke Membrane halten ihre Haut auch außerhalb des Wassers feucht und ein zusätzliches Paar Flossen dient ihnen\nan Land als Flügel.","Es wird behauptet, dass die zur Gattung der Karpfenkröten\ngehörenden Winter-Nöcken von den alten Allagern durch Magie\nkünstlich vergrößert wurden, um sie dann zu essen.\n<i>Forscher Nazyl Duzyl</i>",448,100,30,0,0,0,2,0,8,24,true,false,false,false,0,false,true,4526,24,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
31,"Schwabbelpuk",4,"Schwabbelpuks",1,0,1,0,0,"Du rufst deinen Schwabbelpuk als Begleiter herbei. Frag lieber nicht, was er gefressen hat, um so schwabbelig zu werden.","Von Geburt an gemästet, um an den sadistischen Steropes verfüttert zu werden. Die Speckschwarten dieses Schwabbelpucks vereiteln jegliche Fluchtversuche.","Immer wieder haben wir Probleme mit Puks: Sie fressen die Insekten,\ndie die Orangenblüten bestäuben. Deswegen müssen wir die Blüten oft\neinzeln per Hand bestäuben.\n<i>Bhirdraeg</i>",449,100,30,0,0,0,2,0,8,25,true,false,false,true,0,false,true,4527,25,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
32,"Büffelkalb",4,"Büffelkälber",2,0,0,2,0,"Du rufst dein Büffelkalb als Begleiter herbei. Zartes und saftiges Fleisch. Obwohl natürlich niemand jemals daran denken würde, es zu essen.","Als der Bund der Morgenröte mit den Umzugs-\nvorbereitungen nach Geisterzoll begann, wurde dieses glubschäugige Kalb in einem Wandschrank entdeckt. Minfilia selbst stellte eine Anfrage, aber es ist noch immer unklar, wer\ndieses Biest aufbewahrte.","Ich hatte ein etwas schmerzhaftes Zusammentreffen mit\neinem Riesenbüffel. Und das nur, weil ich ihm im Schlaf die\nSpitzen seiner Hörner absägen wollte.\n<i>Godbert</i>",450,100,30,0,0,0,2,0,8,26,true,true,false,true,0,false,true,4528,26,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
33,"Kaktorfigur",3,"Kaktorfiguren",1,0,1,1,0,"Du rufst deine Kaktorfigur als Begleiter herbei. Pass auf, dass du dich nicht aus Versehen draufsetzt!","Hab, der einsamste Zombie der Welt, ist sich sicher, dass diese Kaktorfigur seinem treuen Gefährten Sabotendrich nachempfunden ist. Oder wenn nicht, dann ganz sicher Sabotendrian. Was er nicht weiß, ist, dass sie eigentlich dem oft\nvergessenen Sabotendski\nähneln soll.","Morgens und abends je eine Anwendung Kaktor-Milch\nund Ihre Haut verjüngt sich um 25 Jahre, gnäd'ge Frau!\n<i>Guntram von den 77 Karawanen</i>",451,100,20,0,0,20,2,0,3,27,true,true,false,false,0,false,true,4529,27,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
34,"Mini-Krabbe",3,"Mini-Krabben",1,0,1,1,0,"Du rufst deine Mini-Krabbe als Begleiter herbei. Der Anblick dieses süßen Meeresbewohners bereitet vielen Abenteurern, die ihre jungen Jahre mit dem Erschlagen seiner Verwandten verbracht haben, ein schlechtes Gewissen.","Wie der Name schon sagt, ist das Gehäuse dieser Mini-Krabbe ziemlich klein. Weniger bekannt ist, dass das Gehäuse nicht wie bei normalen Krabben mit der Zeit wächst, sondern schrumpft, bis außer den Beinen der Krabbe nichts mehr\nvorhanden ist.","Megalokrabben haben die Angewohnheit, bei Anzeichen\nvon Gefahr Zuflucht bei ihren Artgenossen zu suchen.\n<i>Swygskyf</i>",452,100,30,0,0,0,2,0,8,28,true,true,false,false,0,false,true,4530,28,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
35,"Wolfshundwelpe",8,"Wolfshundwelpen",1,0,1,0,0,"Du rufst deinen Wolfshundwelpen als Begleiter herbei. Offensichtlich ein großer Verehrer von Gaius van Baelsar.","Gezüchtet, um in der Garleischen Armee als Kriegswolf zu dienen. Dieser Welpe wurde jedoch gerettet, bevor sein verspieltes Gemüt ernsthaften Schaden nehmen konnte. Er wird dir bis ans Ende der Welt folgen ... solange du\nihm hin und wieder einen\nKnochen zuwirfst.","Ob ich noch andere gefährliche Tiere besitze?\nIch doch nicht!\n<i>R'kontai</i>",453,100,10,10,0,0,2,0,8,29,true,true,true,true,19,true,true,4550,12,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
36,"Wächterauge",4,"Wächteraugen",1,0,1,2,0,"Du rufst dein Wächterauge als Begleiter herbei. Hast du auch manchmal das Gefühl beobachtet zu werden? Häufig liegt das an ihm.","Eine der eigenartigsten Theorien, die Gelehrten des Nichts jüngst verbreiten, besagt, dass Ahriman sich nicht auf herkömmliche Art und Weise reproduzieren, sondern indem sie Tränen vergießen, aus denen dann neue Kreaturen entstehen.","Was guckst du?!\n<i>Unbekannt</i>",454,100,30,0,0,0,2,0,8,30,true,false,true,true,0,false,true,4531,30,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
