Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x6][0x58],12 [0x5][0x6c],13 [0x3][0x78],14 [0x3][0x79],15 [0x3][0x7a],16 [0x5][0x6e],17 [0x5][0x70],18 [0x9][0x28],19 [0x9][0x40],20 [0x9][0x2c],21 [0x9][0x44],22 [0x9][0x30],23 [0x9][0x48],24 [0x9][0x34],25 [0x9][0x4c],26 [0x9][0x38],27 [0x9][0x50],28 [0x9][0x3c],29 [0x9][0x54],30 [0x5][0x72],31 [0x0][0x1c],32 [0x0][0x20],33 [0x0][0x24],34 [0x3][0x7b],35 [0x3][0x7c],36 [0x19][0x83],37 [0x6][0x5c],38 [0x6][0x60],39 [0x6][0x64],40 [0x6][0x68],41 [0x2][0x82],42 [0x5][0x74],43 [0x3][0x7d],44 [0x3][0x7e],45 [0x3][0x7f],46 [0x3][0x80],47 [0x3][0x81],48 [0x5][0x76],49 [0x1a][0x83],50 [0x1b][0x83],51 [0x1c][0x83]
10,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65536,65536,65537,0,-1,0,0,100,0,0,0,0,false,false,false
11,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65538,65541,65537,65538,-1,0,0,100,0,0,0,0,false,false,false
12,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65538,131077,65537,65538,-1,0,0,100,0,0,0,0,false,false,false
13,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65538,196613,65537,65538,-1,0,0,100,0,0,0,0,false,false,false
14,"",0,"",0,0,1,0,0,"","","",2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,65537,0,0,-1,0,0,77,0,0,0,0,false,false,false
15,"licorne",0,"licornes",0,0,1,1,0,"Vous appelez l'étrange licorne que vous avez rencontrée dans la Sylve, peut-être une des dernières de son espèce.","Rares sont ceux qui ont l'occasion d'apercevoir un de ces nobles équidés, même dans leur Coerthas natal. Cette licorne a décidé de rester à vos côtés après que vous l'avez soignée.","Hiiiiiii!!",534,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,6,4407,200,65,0,0,0,0,false,false,false
16,"",0,"",0,0,1,0,0,"","","",2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,196609,0,0,-1,0,0,77,0,0,0,0,false,false,false
17,"",0,"",0,0,1,0,0,"","","",2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,131073,0,0,-1,0,0,77,0,0,0,3,false,false,false
18,"béhémoth",0,"béhémoths",0,0,1,1,0,"Vous appelez votre monture béhémoth. Ce jeune béhémoth vigoureux a été élevé par l'homme, il est apprivoisé.","Immédiatement après le Fléau, un aventurier voyageant dans une région reculée du Coerthas a trouvé des bébés béhémoth dont la mère avait péri dans les flammes de Bahamut. Il les a élevés et est parvenu à les dresser, à la surprise de tous ses proches.","Grrr...",588,2,0,45,15,0,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,121,"SE_Bt_Etc_BehemothWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BehemothBye",20,10,true,0,1,0,0,7,4408,7,55,0,0,0,0,false,false,false
19,"draconide de cavalerie",0,"draconides de cavalerie",0,0,1,1,0,"Vous appelez votre monture draconide. Élevé par la Ligue des cendres, ce draconide de combat est habitué à la présence humaine.","Le dressage d'un draconide de cavalerie est un processus long et ardu. Séparés immédiatement de leur mère, ils sont rapidement sevrés par leur dresseur, qui les nourrit de glandes calorifères de vieux draconides pour s'assurer qu'ils soient à la\nfois dociles et meurtriers.","Ssss...",592,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,true,0,1,0,0,8,4409,8,100,0,0,0,4,false,true,false
20,"goobbue couronné",0,"goobbues couronnés",0,0,1,1,0,"Vous appelez votre monture goobbue couronné. Ce goobbue est un bon ami des Sylphes.","Les Dénaturés se sont méchamment amusés à arracher la mousse qui recouvrait le crâne de ce goobbue. Le chef des Sylphes du Refuge a eu pitié de lui et l'a soigné, puis lui a confectionné une couronne de lauriers pour cacher ses\ncicatrices.","Hmph...",593,4,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,true,0,1,0,0,9,4410,4,100,0,0,0,5,false,true,false
21,"armure magitek type C",0,"armures magitek type C",0,1,1,1,0,"Vous pouvez appeler à vous une armure magitek. Ce modèle de type faucheuse bénéficie d'un revêtement spécial résistant à la magie.","Garlemald a vite réalisé après quelques combats contre l'Alliance éorzéenne que ses armures ne faisaient pas le poids face à la puissance des mages. L'Empire a alors mis au point ce prototype revêtu d'un enduit doré capable de résister\naux attaques magiques.","Autorisation en cours...",2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,262145,0,0,10,4411,3,77,0,0,0,0,false,false,false
22,"alicorne de jais",0,"alicornes de jais",0,1,1,1,0,"Vous appelez l'alicorne de jais. Cette licorne fauve a été apprivoisée, mais elle reste extrêmement belliqueuse et implacable.","Personne ne sait pourquoi les Asciens ont décidé d'offrir ces bêtes féroces aux tribus barbares. Elles sont de nature agressive et tenace, mais également complètement loyales à ceux qui possèdent une flûte enchantée.","...... ",594,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,11,4412,200,65,0,0,0,0,false,false,false
23,"",0,"",0,0,1,0,0,"","","",592,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,true,0,1,0,0,-1,0,0,100,0,0,0,6,false,false,false
24,"",0,"",0,0,1,0,0,"","","",593,4,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,true,0,1,0,0,-1,0,0,100,0,0,0,7,false,false,false
25,"gros chocobo",0,"gros chocobos",0,0,1,0,0,"Vous appelez votre monture gros chocobo. Attention à l'endroit où vous appelez cet énorme goinfre.","Gros est un euphémisme pour décrire cet animal. Sa gloutonnerie n'est jamais satisfaite, et il ne bougera pas une plume pour vous. Promettez-lui des légumes de gysahl cependant et rien ne l'arrêtera.","Kwouf... Kwouf...",643,2,2,45,0,374,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193,"SE_Bt_Etc_DebuCyokoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_DebuCyokoboBye",20,10,false,0,1,0,0,12,4413,2,100,0,0,0,0,false,false,false
26,"elbst de cavalerie",0,"elbsts de cavalerie",0,0,1,0,0,"Vous appelez votre monture elbst. Élevé par Pahh de la Couvée de Novv, cet elbst est habitué à la présence humaine.","Pahh à la Couvée de Novv coupe la palmure de ces elbsts lorsqu'ils sont jeunes afin qu'ils soient capables de courir sur terre aussi vite que les chocobos. Ce procédé les prive cependant de leur aptitude naturelle à nager.","Splrrr...",689,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_WaterRizardWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WaterRizardBye",20,10,true,0,1,0,0,13,4414,9,100,0,0,0,0,false,false,false
27,"balancelle bombo",0,"balancelles bombo",0,0,1,1,0,"Vous appelez votre balancelle bombo. Ce banc suspendu est tracté par des bombos gazeux. Ne pas appeler en présence de flammes.","Après avoir compris que ses bombos ne seraient jamais des explosifs satisfaisants, l'acolyte du 789e ordre Ba Go a décidé de faire la seule chose raisonnable: attacher les créatures à un banc pour en faire un véhicule.","(crépitement)",644,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_BomKikyuuWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BomKikyuuBye",20,10,true,0,1,0,0,14,4415,10,100,0,0,0,0,true,false,false
28,"Aithon",0,"Aithon",0,1,1,0,1,"Vous appelez Aithon, le destrier légendaire d'Ifrit. Son souffle est empreint de flammes brûlantes comme la braise.","On raconte que le Primordial Ifrit, le Seigneur des flammes, a forgé ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Amalj'aa.","...... ",713,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,269,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,15,4416,200,65,0,0,0,0,false,false,false
29,"Xanthos",0,"Xanthos",0,0,1,0,1,"Vous appelez Xanthos, le destrier légendaire de Garuda. Il file comme le vent, ou plutôt les rafales cinglantes de sa maîtresse.","On raconte que la Primordiale Garuda, la Souffleuse de rafales, a créé ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Ixali.","...... ",714,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,268,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,16,4417,200,65,0,0,0,0,false,false,false
30,"Gullfaxi",0,"Gullfaxi",0,0,1,0,1,"Vous appelez Gullfaxi, le destrier légendaire de Titan. Il frappe la terre de ses sabots avec conviction.","On raconte que le Primordial Titan, l'Ébranleur des terres, a conçu ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Kobolds.","...... ",715,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,267,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,17,4418,200,65,0,0,0,0,false,false,false
31,"Enbarr",0,"Enbarr",0,1,1,0,1,"Vous appelez Enbarr, le destrier légendaire de Léviathan. La légende dit qu'il serait né d'une écume magique.","On raconte que le Primordial Léviathan, le Déchaîneur des marées, a donné naissance à ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Sahuagins.","...... ",716,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,266,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,18,4419,200,65,0,0,0,0,false,false,false
32,"lion de guerre",0,"lions de guerre",0,0,1,0,0,"Vous appelez votre monture lion de guerre. Ce fauve majestueux a été entraîné au combat. Il a la prestance d'un roi des animaux.","Les lions ont été importés du Proche-Orient afin de servir de montures aux casques d'argent. Jugés trop imprévisibles, ceux qui n'ont pas été vendus au Colisée ont été relâchés dans le Thanalan, et ils sont finalement retournés à l'état sauvage.","Grooaaar!",721,2,0,45,15,0,0,0.6,0.5,0.63,0.56,0.25,0.25,0.54,0.47,0.66,0.62,0.64,0.46,121,"SE_Bt_Etc_LionWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_LionBye",20,10,true,0,1,0,0,19,4420,11,45,13,4,0,0,false,false,false
33,"ours de guerre",0,"ours de guerre",0,1,1,0,0,"Vous appelez votre monture ours de guerre. Cet ursidé imposant a été entraîné au combat. Il a tenu tête à de nombreux adversaires.","Autrefois, les guerriers en quête de gloire avaient coutume de s'aventurer dans les montagnes septentrionales d'Abalathia à la recherche de féroces grizzlys pour les combattre et les soumettre par la force. Ceux qui survivaient revenaient dans leur village en chevauchant fièrement leur\nnouvelle monture.","Grrr!",719,2,0,45,15,0,0,0.8,0.72,0.84,0.8,0.5,0.5,0.72,0.68,0.88,0.88,0.86,0.66,121,"SE_Bt_Etc_KumaWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_KumaBye",20,10,true,0,1,0,0,20,4421,12,65,12,3,0,0,false,false,false
34,"chocobo de trait",0,"chocobos de trait",0,0,1,0,0,"Vous appelez un robuste chocobo capable de supporter le poids de deux cavaliers.","Les premiers chocobos de cette race ont été découverts et capturés par des chasseurs ishgardais en quête de la légendaire forêt des chocobos. Leur taille et leur robustesse en font d'excellents animaux de bât, mais leur tempérament\nviolent les rend impropres\nà la monte.","Kwé Kwé Kwééé!",1,2,0,45,15,0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65563,65563,65563,65563,21,4422,1,100,0,0,1,0,false,false,false
35,"loup sinistre",0,"loups sinistres",0,0,1,0,0,"Vous appelez un terrifiant loup sinistre, descendant d'une ancienne race de loup de guerre.","Les loups sinistres étaient considérés comme une race éteinte jusqu'à ce que des Ixali découvrent une meute isolée dans les vallées de Xelphatol. Après avoir capturé quelques louveteaux, ils les ont élevés, non sans difficultés, pour en faire des montures de guerre. Ils sont énormes, et extrêmement loyaux.","Aouuuh!",675,2,0,45,15,0,0,1.45,1.3,1.5,1.45,0.87,0.87,1.3,1.23,1.6,1.6,1.56,1.19,121,"SE_Bt_Etc_WolfWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WolfBye",20,10,true,0,1,0,0,22,4423,13,100,0,0,0,0,false,false,false
36,"cheval des tempêtes",0,"chevaux des tempêtes",0,0,1,0,0,"Vous appelez votre cheval de guerre du Maelstrom, en prétendant que votre chocobo ne se sent pas délaissé.","Après une campagne réussie de promotion des chevaux par l'uma bugyô venu de l'Est, la popularité de ces animaux n'a cessé de croître parmi les aventuriers. Les grandes compagnies ont décidé d'offrir ces nobles montures\naux soldats se distinguant\nau combat.","Brrr!",811,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,65537,65537,65537,0,23,4424,201,100,0,0,0,0,false,false,false
37,"cheval du serpent",0,"chevaux du serpent",0,0,1,0,0,"Vous appelez votre cheval de guerre de l'Ordre des deux vipères, en prétendant que votre chocobo ne se sent pas délaissé.","Après une campagne réussie de promotion des chevaux par l'uma bugyô venu de l'Est, la popularité de ces animaux n'a cessé de croître parmi les aventuriers. Les grandes compagnies ont décidé d'offrir ces nobles montures\naux soldats se distinguant\nau combat.","Brrr!",811,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,131073,131073,131073,0,24,4425,201,100,0,0,0,0,false,false,false
38,"cheval des sables",0,"chevaux des sables",0,0,1,0,0,"Vous appelez votre cheval de guerre des Immortels, en prétendant que votre chocobo ne se sent pas délaissé.","Après une campagne réussie de promotion des chevaux par l'uma bugyô venu de l'Est, la popularité de ces animaux n'a cessé de croître parmi les aventuriers. Les grandes compagnies ont décidé d'offrir ces nobles montures\naux soldats se distinguant\nau combat.","Brrr!",811,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,196609,196609,196609,0,25,4426,201,100,0,0,0,0,false,false,false
39,"",0,"",0,0,1,0,0,"","","",820,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_WaterRizardWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WaterRizardBye",20,10,true,0,1,0,0,-1,4414,0,100,0,0,0,8,false,false,false
40,"Markab",0,"Markab",0,0,1,0,1,"Vous appelez Markab, le destrier légendaire de Ramuh. Son hennissement crépite comme la foudre.","On raconte que le Primordial Ramuh, le Patriarche fulgurant, a engendré ce destrier à partir d'une alicorne de jais offerte en sacrifice par les Sylphes.","...... ",817,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,265,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,26,4427,200,65,0,0,0,0,false,false,false
41,"chocobo de cérémonie",0,"chocobos de cérémonie",0,0,1,0,0,"Vous appelez votre chocobo de cérémonie. Cette monture parée d'une barde destinée au lien éternel permet de monter à deux.","Ce fier volatile élevé dans l'un des meilleurs haras ishgardais a été dressé pour parader lors de cérémonies. Issus de croisements précis, il possède un plumage d'un blanc immaculé et un caractère des plus dociles.","Kwé...",571,2,0,45,15,0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65537,65537,65537,65537,27,4431,1,100,0,0,1,0,false,false,false
42,"Sleipnir",0,"Sleipnir",0,0,1,0,1,"Vous appelez Sleipnir, le terrible destrier d'Odin. Ses yeux brillent d'un éclat rouge malveillant.","Ce destrier à l'allure terrifiante aurait reçu ses pouvoirs surnaturels d'Odin, le Chevalier des ombres. Lorsqu'il galope, sa crinière rouge sang ondule comme pour annoncer leur trépas à ceux qui ont la malchance de croiser\nson chemin.","...... ",866,5,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,263,"SE_Bt_Etc_SleipnilWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_SleipnilBye",20,10,true,0,1,0,0,28,4428,202,100,0,0,0,0,false,false,false
43,"Boréas",0,"Boréas",0,0,1,0,1,"Vous appelez Boréas, le destrier légendaire de Shiva. Il glace l'air de son souffle.","On raconte que Shiva, la Furie des neiges, aurait choisi une licorne du Coerthas pour souffler un froid glacial sur les terres qu'elle parcourrait. C'est en recevant ce pouvoir que la créature aurait changé d'apparence.","...... ",818,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,264,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,29,4429,200,65,0,0,0,0,false,false,false
