Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd]
47,"forest funguar",0,"forest funguars",0,0,1,0,0
48,"toadstool",0,"toadstools",0,0,1,0,0
49,"little ladybug",0,"little ladybugs",0,0,1,0,0
50,"goblin thug",0,"goblin thugs",0,0,1,0,0
51,"alpha anole",0,"alpha anoles",0,1,1,0,0
52,"Redbelly lookout",0,"Redbelly lookouts",0,0,1,0,0
53,"3rd Cohort hoplomachus",0,"3rd Cohort hoplomachi",0,0,1,0,0
54,"hornet swarm",0,"hornet swarms",0,0,1,0,0
55,"death gaze",0,"death gazes",0,0,1,0,0
56,"water sprite",0,"water sprites",0,0,1,0,0
57,"3rd Cohort decurion",0,"3rd Cohort decurions",0,0,1,0,0
58,"3rd Cohort laquearius",0,"3rd Cohort laquearii",0,0,1,0,0
59,"3rd Cohort eques",0,"3rd Cohort equites",0,0,1,0,0
60,"3rd Cohort secutor",0,"3rd Cohort secutores",0,0,1,0,0
61,"3rd Cohort signifer",0,"3rd Cohort signiferi",0,0,1,0,0
62,"pteroc",0,"pterocs",0,0,1,0,0
63,"pudding",0,"puddings",0,0,1,0,0
64,"sylvan screech",0,"sylvan screeches",0,0,1,0,0
65,"sylvan sigh",0,"sylvan sighs",0,0,1,0,0
66,"sylvan snarl",0,"sylvan snarls",0,0,1,0,0
67,"sylpheed screech",0,"sylpheed screeches",0,0,1,0,0
68,"sylpheed sigh",0,"sylpheed sighs",0,0,1,0,0
69,"sylpheed snarl",0,"sylpheed snarls",0,0,1,0,0
70,"sylpheed song",0,"sylpheed songs",0,0,1,0,0
71,"Silbexio of the Dusken Knot",0,"Silbexio of the Dusken Knot",0,0,1,0,1
72,"Bockman",0,"Bockman",0,0,1,0,1
73,"Galvanth the Dominator",0,"Galvanth the Dominator",0,0,1,0,1
74,"Shredder",0,"Shredder",0,0,1,0,1
75,"Aerico",0,"Aerico",0,0,1,0,1
76,"Gelmorran strutfinder",0,"Gelmorran strutfinders",0,0,1,0,0
77,"Gelmorran cogfinder",0,"Gelmorran cogfinders",0,0,1,0,0
78,"Gelmorran nailfinder",0,"Gelmorran nailfinders",0,0,1,0,0
79,"Dalamud priest",0,"Dalamud priests",0,0,1,0,0
80,"Redbelly gutter",0,"Redbelly gutters",0,0,1,0,0
81,"Severaint Seven Splinter",0,"Severaint Seven Splinter",0,0,1,0,1
82,"Redbelly hivekeep",0,"Redbelly hivekeeps",0,0,1,0,0
83,"Redbelly sharpeye",0,"Redbelly sharpeyes",0,0,1,0,0
84,"Redbelly chanter",0,"Redbelly chanters",0,0,1,0,0
85,"Dofagan the Penitent",0,"Dofagan the Penitent",0,0,1,0,1
86,"Hollow Baron lodesman",0,"Hollow Baron lodesmen",0,0,1,0,0
87,"Hollow Baron waister",0,"Hollow Baron waisters",0,0,1,0,0
88,"Hollow Baron engineer",0,"Hollow Baron engineers",0,0,1,0,0
89,"Hollow Baron gunner",0,"Hollow Baron gunners",0,0,1,0,0
90,"spriggan collector",0,"spriggan collectors",0,0,1,0,0
91,"spriggan",0,"spriggans",0,0,1,0,0
92,"Antares",0,"Antares",0,0,1,0,1
93,"Sargas",0,"Sargas",0,0,1,0,1
94,"Shaula",0,"Shaula",0,0,1,0,1
95,"flux flan",0,"flux flans",0,0,1,0,0
96,"hecatoncheir overseer",0,"hecatoncheir overseers",0,0,1,0,0
97,"hecatoncheir stonehauler",0,"hecatoncheir stonehaulers",0,0,1,0,0
98,"hecatoncheir shockblocker",0,"hecatoncheir shockblockers",0,0,1,0,0
99,"hecatoncheir piledriver",0,"hecatoncheir piledrivers",0,0,1,0,0
100,"hecatoncheir blastmaster",0,"hecatoncheir blastmasters",0,0,1,0,0
101,"Gyges the Great",0,"Gyges the Great",0,0,1,0,1
102,"Ixali swordfighter",0,"Ixali swordfighters",0,1,1,0,0
103,"Ixali boldwing",0,"Ixali boldwings",0,1,1,0,0
104,"Ixali swiftbeak",0,"Ixali swiftbeaks",0,1,1,0,0
105,"Ixali fogcaller",0,"Ixali fogcallers",0,1,1,0,0
106,"coeurl",0,"coeurls",0,0,1,0,0
107,"mandragora",0,"mandragoras",0,0,1,0,0
108,"",0,"",0,0,0,0,0
109,"gravedigger",0,"gravediggers",0,0,1,0,0
110,"skeleton soldier",0,"skeleton soldiers",0,0,1,0,0
111,"Deepcroft miteling",0,"Deepcroft mitelings",0,0,1,0,0
112,"lesser kalong",0,"lesser kalongs",0,0,1,0,0
113,"earth sprite",0,"earth sprites",0,1,1,0,0
114,"ice sprite",0,"ice sprites",0,1,1,0,0
115,"wind sprite",0,"wind sprites",0,0,1,0,0
116,"fire sprite",0,"fire sprites",0,0,1,0,0
117,"lightning sprite",0,"lightning sprites",0,0,1,0,0
118,"midge swarm",0,"midge swarms",0,0,1,0,0
119,"Octavel the Unforgiving",0,"Octavel the Unforgiving",0,0,1,0,1
120,"anole",0,"anoles",0,1,1,0,0
121,"Redbelly swarmpoint",0,"Redbelly swarmpoints",0,0,1,0,0
122,"Redbelly stinger",0,"Redbelly stingers",0,0,1,0,0
123,"toxic battrap",0,"toxic battraps",0,0,1,0,0
124,"toxic flytrap",0,"toxic flytraps",0,0,1,0,0
125,"pus gnat",0,"pus gnats",0,0,1,0,0
126,"giant slug",0,"giant slugs",0,0,1,0,0
127,"enormous slug",0,"enormous slugs",0,1,1,0,0
128,"treant sapling",0,"treant saplings",0,0,1,0,0
129,"firefly",0,"fireflies",0,0,1,0,0
130,"lindwurm",0,"lindwurms",0,0,1,0,0
131,"crater golem",0,"crater golems",0,0,1,0,0
132,"smoke bomb",0,"smoke bombs",0,0,1,0,0
133,"giant bat",0,"giant bats",0,0,1,0,0
134,"tainted earth sprite",0,"tainted earth sprites",0,0,1,0,0
135,"tainted wind sprite",0,"tainted wind sprites",0,0,1,0,0
136,"tainted water sprite",0,"tainted water sprites",0,0,1,0,0
137,"wandering bones",0,"wandering bones",0,0,1,0,0
138,"Redbelly jack",0,"Redbelly jacks",0,0,1,0,0
139,"Coeurlclaw hunter",0,"Coeurlclaw hunters",0,0,1,0,0
140,"Coeurlclaw poacher",0,"Coeurlclaw poachers",0,0,1,0,0
141,"parasite funguar",0,"parasite funguars",0,0,1,0,0
142,"young antelope stag",0,"young antelope stags",0,0,1,0,0
143,"Ak-Inik varlet",0,"Ak-Inik varlets",0,1,1,0,0
144,"Ak-Mena varlet",0,"Ak-Mena varlets",0,1,1,0,0
145,"carrion beetle",0,"carrion beetles",0,0,1,0,0
146,"fleshfly swarm",0,"fleshfly swarms",0,0,1,0,0
147,"croftlight",0,"croftlights",0,0,1,0,0
148,"void lamp",0,"void lamp",0,0,1,0,0
149,"horde mite",0,"horde mites",0,0,1,0,0
150,"bastard mite",0,"bastard mites",0,0,1,0,0
151,"tainted louse",0,"tainted lice",0,0,1,0,0
152,"void flame",0,"void flames",0,0,1,0,0
153,"prison pteroc",0,"prison pterocs",0,0,1,0,0
154,"Mun-Tuy sapling",0,"Mun-Tuy saplings",0,0,1,0,0
155,"mitetrap",0,"mitetraps",0,0,1,0,0
156,"gaoler's lantern",0,"gaoler's lanterns",0,0,1,0,0
157,"cell mite",0,"cell mites",0,0,1,0,0
158,"prison pudding",0,"prison puddings",0,0,1,0,0
159,"widow's suitor",0,"widow's suitors",0,0,1,0,0
160,"Sylphlands buzzard",0,"Sylphlands buzzards",0,0,1,0,0
161,"pit boar",0,"pit boars",0,0,1,0,0
162,"milkroot sapling",0,"milkroot saplings",0,0,1,0,0
163,"Sylphlands sentinel",0,"Sylphlands sentinels",0,0,1,0,0
164,"dreamtoad",0,"dreamtoads",0,0,1,0,0
165,"milkroot cluster",0,"milkroot clusters",0,0,1,0,0
166,"sylph bonnet",0,"sylph bonnets",0,0,1,0,0
167,"sylpheed dream",0,"sylpheed dreams",0,0,1,0,0
168,"hoverfly swarm",0,"hoverfly swarms",0,0,1,0,0
169,"Coeurlclaw cutter",0,"Coeurlclaw cutters",0,0,1,0,0
170,"deepvoid deathmouse",0,"deepvoid deathmice",0,0,1,0,0
171,"lesser kalong",0,"lesser kalongs",0,0,1,0,0
172,"Redbelly larcener",0,"Redbelly larceners",0,0,1,0,0
173,"anole familiar",0,"anole familiars",0,1,1,0,0
174,"watchwolf",0,"watchwolves",0,0,1,0,0
175,"poisonous flytrap",0,"poisonous flytraps",0,0,1,0,0
176,"foraging doe",0,"foraging does",0,0,1,0,0
177,"leafbleed slug",0,"leafbleed slugs",0,0,1,0,0
178,"leafbleed mite",0,"leafbleed mites",0,0,1,0,0
179,"Shroudbee swarm",0,"Shroudbee swarms",0,0,1,0,0
180,"leafbleed roseling",0,"leafbleed roselings",0,0,1,0,0
181,"carrion chigoe",0,"carrion chigoes",0,0,1,0,0
182,"zombie pikeman",0,"zombie pikemen",0,0,1,0,0
183,"North Shroud lemur",0,"North Shroud lemurs",0,0,1,0,0
184,"South Shroud opo-opo",0,"South Shroud opo-opos",0,0,1,0,0
185,"Janremi Blackheart",0,"Janremi Blackheart",0,0,1,0,1
186,"hedge knight",0,"hedge knights",0,0,1,0,0
187,"marshlight",0,"marshlights",0,0,1,0,0
188,"saprophagous slug",0,"saprophagous slugs",0,0,1,0,0
189,"Ailbert the Lost",0,"Ailbert the Lost",0,0,1,0,1
190,"Ixali scout",0,"Ixali scouts",0,1,1,0,0
191,"dewdrinker ladybug",0,"dewdrinker ladybugs",0,0,1,0,0
192,"Ixali dulltalon",0,"Ixali dulltalons",0,1,1,0,0
193,"Ixali lostwing",0,"Ixali lostwings",0,1,1,0,0
194,"Ixali slowbeak",0,"Ixali slowbeaks",0,1,1,0,0
195,"hoglet",0,"hoglets",0,0,1,0,0
196,"black eft",0,"black efts",0,0,1,0,0
197,"bog yarzon",0,"bog yarzons",0,0,1,0,0
198,"nutbreaker squirrel",0,"nutbreaker squirrels",0,0,1,0,0
199,"stumbling funguar",0,"stumbling funguars",0,0,1,0,0
200,"carrier ladybug",0,"carrier ladybugs",0,0,1,0,0
201,"syrphid cloud",0,"syrphid clouds",0,0,1,0,0
202,"greedy hoglet",0,"greedy hoglets",0,0,1,0,0
203,"leathervine microchu",0,"leathervine microchus",0,0,1,0,0
204,"russet yarzon",0,"russet yarzons",0,0,1,0,0
205,"mottled eft",0,"mottled efts",0,0,1,0,0
206,"anole stalker",0,"anole stalkers",0,1,1,0,0
207,"floating eye",0,"floating eyes",0,0,1,0,0
208,"Ixali lightwing",0,"Ixali lightwings",0,1,1,0,0
209,"Ixali deftalon",0,"Ixali deftalons",0,1,1,0,0
210,"Ixali straightbeak",0,"Ixali straightbeaks",0,1,1,0,0
211,"glowfly",0,"glowflies",0,0,1,0,0
212,"pack wolf",0,"pack wolves",0,0,1,0,0
213,"strangling ivy",0,"strangling ivies",0,0,1,0,0
214,"overgrown ivy",0,"overgrown ivies",0,1,1,0,0
215,"overgrown offering",0,"overgrown offerings",0,1,1,0,0
216,"toxic toad",0,"toxic toads",0,0,1,0,0
217,"laughing toad",0,"laughing toads",0,0,1,0,0
218,"Qiqirn scrambler",0,"Qiqirn scramblers",0,0,1,0,0
219,"Qiqirn beater",0,"Qiqirn beaters",0,0,1,0,0
220,"faerie funguar",0,"faerie funguars",0,0,1,0,0
221,"brood ziz",0,"brood ziz",0,0,1,0,0
222,"molted ziz",0,"molted ziz",0,0,1,0,0
223,"ziz gorlin",0,"ziz gorlins",0,0,1,0,0
224,"ziz",0,"ziz",0,0,1,0,0
225,"goblin hunter",0,"goblin hunters",0,0,1,0,0
226,"river yarzon",0,"river yarzons",0,0,1,0,0
227,"yarzon scavenger",0,"yarzon scavengers",0,0,1,0,0
228,"bark eft",0,"bark efts",0,0,1,0,0
229,"sylvan scream",0,"sylvan screams",0,0,1,0,0
230,"sylvan sough",0,"sylvan soughs",0,0,1,0,0
231,"sylvan groan",0,"sylvan groans",0,0,1,0,0
232,"diseased treant",0,"diseased treants",0,0,1,0,0
233,"old-growth treant",0,"old-growth treants",0,1,1,0,0
234,"smallmouth orobon",0,"smallmouth orobon",0,0,1,0,0
235,"bigmouth orobon",0,"bigmouth orobon",0,0,1,0,0
236,"revenant",0,"revenants",0,0,1,0,0
237,"morbol",0,"morbols",0,0,1,0,0
238,"stroper",0,"stropers",0,0,1,0,0
239,"raptor poacher",0,"raptor poachers",0,0,1,0,0
240,"boar poacher",0,"boar poachers",0,0,1,0,0
241,"wolf poacher",0,"wolf poachers",0,0,1,0,0
242,"ahriman",0,"ahrimans",0,1,1,0,0
243,"iron tortoise",0,"iron tortoises",0,1,1,0,0
244,"giant tortoise",0,"giant tortoises",0,0,1,0,0
245,"Amalj'aa lancer",0,"Amalj'aa lancers",0,1,1,0,0
246,"Amalj'aa impaler",0,"Amalj'aa impalers",0,1,1,0,0
247,"Amalj'aa javelinier",0,"Amalj'aa javeliniers",0,1,1,0,0
248,"Amalj'aa halberdier",0,"Amalj'aa halberdiers",0,1,1,0,0
249,"Amalj'aa archer",0,"Amalj'aa archers",0,1,1,0,0
250,"Amalj'aa hunter",0,"Amalj'aa hunters",0,1,1,0,0
251,"Amalj'aa ranger",0,"Amalj'aa rangers",0,1,1,0,0
252,"Amalj'aa sniper",0,"Amalj'aa snipers",0,1,1,0,0
253,"Amalj'aa pugilist",0,"Amalj'aa pugilists",0,1,1,0,0
254,"Amalj'aa striker",0,"Amalj'aa strikers",0,1,1,0,0
255,"Glassjaw Nazagg Gah",0,"Glassjaw Nazagg Gah",0,0,1,0,1
256,"Amalj'aa bruiser",0,"Amalj'aa bruisers",0,1,1,0,0
257,"Diamondjaw Nezedd Gah",0,"Diamondjaw Nezedd Gah",0,0,1,0,1
258,"Amalj'aa thaumaturge",0,"Amalj'aa thaumaturges",0,1,1,0,0
259,"Amalj'aa seer",0,"Amalj'aa seers",0,1,1,0,0
260,"Amalj'aa divinator",0,"Amalj'aa divinators",0,1,1,0,0
261,"clockwork spider",0,"clockwork spider",0,0,1,0,0
262,"star marmot",0,"star marmots",0,0,1,0,0
263,"dreadwolf",0,"dreadwolves",0,0,1,0,0
264,"sundrake",0,"sundrakes",0,0,1,0,0
265,"sandtoad",0,"sandtoads",0,0,1,0,0
266,"Qiqirn shellsweeper",0,"Qiqirn shellsweepers",0,0,1,0,0
267,"Allagan naga",0,"Allagan naga",0,0,1,0,0
268,"Qiqirn roerunner",0,"Qiqirn roerunners",0,0,1,0,0
269,"magitek vanguard",0,"magitek vanguards",0,0,1,0,0
270,"grenade",0,"grenades",0,0,1,0,0
271,"golden fleece",0,"golden fleeces",0,0,1,0,0
272,"phurble",0,"phurbles",0,0,1,0,0
273,"myotragus billy",0,"myotragus billies",0,0,1,0,0
274,"myotragus nanny",0,"myotragus nannies",0,0,1,1,0
275,"quartz doblyn",0,"quartz doblyns",0,0,1,0,0
276,"rusty coblyn",0,"rusty coblyns",0,0,1,0,0
277,"copper coblyn",0,"copper coblyns",0,0,1,0,0
278,"lead coblyn",0,"lead coblyns",0,0,1,0,0
279,"sun bat",0,"sun bats",0,0,1,0,0
280,"sandstone golem",0,"sandstone golems",0,0,1,0,0
281,"axe beak",0,"axe beaks",0,1,1,0,0
282,"hammer beak",0,"hammer beaks",0,0,1,0,0
283,"goblin mugger",0,"goblin muggers",0,0,1,0,0
284,"yarzon feeder",0,"yarzon feeders",0,0,1,0,0
285,"russet yarzon",0,"russet yarzons",0,0,1,0,0
286,"sabotender",0,"sabotenders",0,0,1,0,0
287,"cactuar",0,"cactuars",0,0,1,0,0
288,"cochineal cactuar",0,"cochineal cactuars",0,0,1,0,0
289,"eft",0,"efts",0,1,1,0,0
290,"sandworm",0,"sandworms",0,0,1,0,0
291,"ouroboros",0,"ouroboros",0,1,1,0,0
292,"antling soldier",0,"antling soldiers",0,1,1,0,0
293,"antling sentry",0,"antling sentries",0,1,1,0,0
294,"antling worker",0,"antling workers",0,1,1,0,0
295,"simurgh",0,"simurghs",0,0,1,0,0
296,"bumble beetle",0,"bumble beetles",0,0,1,0,0
297,"magitek colossus",0,"magitek colossi",0,0,1,0,0
298,"sun midge swarm",0,"sun midge swarms",0,0,1,0,0
299,"nesting buzzard",0,"nesting buzzards",0,0,1,0,0
300,"cove buzzard",0,"cove buzzards",0,0,1,0,0
301,"chasm buzzard",0,"chasm buzzards",0,0,1,0,0
302,"dusty mongrel",0,"dusty mongrels",0,0,1,0,0
303,"sandskin peiste",0,"sandskin peistes",0,0,1,0,0
304,"basilisk",0,"basilisks",0,0,1,0,0
305,"desert peiste",0,"desert peistes",0,0,1,0,0
306,"tuco-tuco",0,"tuco-tucos",0,0,1,0,0
307,"angler",0,"anglers",0,1,1,0,0
308,"orobon",0,"orobon",0,1,1,0,0
309,"bloated bogy",0,"bloated bogies",0,0,1,0,0
310,"Moondrip stonehauler",0,"Moondrip stonehaulers",0,0,1,0,0
311,"Amajina stonehauler",0,"Amajina stonehaulers",0,1,1,0,0
312,"Moondrip blastmaster",0,"Moondrip blastmasters",0,0,1,0,0
313,"Amajina blastmaster",0,"Amajina blastmasters",0,1,1,0,0
314,"Moondrip piledriver",0,"Moondrip piledrivers",0,0,1,0,0
315,"Amajina piledriver",0,"Amajina piledrivers",0,1,1,0,0
316,"bomb",0,"bombs",0,0,1,0,0
317,"spriggan graverobber",0,"spriggan graverobbers",0,0,1,0,0
318,"snapping shrew",0,"snapping shrews",0,0,1,0,0
319,"rotting corpse",0,"rotting corpses",0,0,1,0,0
320,"fallen soldier",0,"fallen soldiers",0,0,1,0,0
321,"fallen pikeman",0,"fallen pikemen",0,0,1,0,0
322,"rotting noble",0,"rotting nobles",0,0,1,0,0
323,"fallen mage",0,"fallen mages",0,0,1,0,0
324,"fallen wizard",0,"fallen wizards",0,0,1,0,0
325,"Deathstroke assassin",0,"Deathstroke assassins",0,0,1,0,0
326,"Quiveron guard",0,"Quiveron guards",0,0,1,0,0
327,"Venomtongue assassin",0,"Venomtongue assassins",0,0,1,0,0
328,"Baron von Quiveron III Esquire",0,"Baron von Quiveron III Esquire",0,0,1,0,1
329,"Straightshot assassin",0,"Straightshot assassins",0,0,1,0,0
330,"Quiveron attendant",0,"Quiveron attendants",0,0,1,0,0
331,"Corpse Brigade knuckledancer",0,"Corpse Brigade knuckledancers",0,0,1,0,0
332,"Corpse Brigade firedancer",0,"Corpse Brigade firedancers",0,0,1,1,0
333,"Corpse Brigade pikedancer",0,"Corpse Brigade pikedancers",0,0,1,0,0
334,"Noble Whoresons smuggler",0,"Noble Whoresons smugglers",0,0,1,0,0
335,"Noble Whoresons ringleader",0,"Noble Whoresons ringleaders",0,0,1,0,0
336,"Noble Whoresons penman",0,"Noble Whoresons penmen",0,0,1,0,0
337,"tempered gladiator",0,"tempered gladiators",0,0,1,0,0
338,"tempered champion",0,"tempered champions",0,0,1,0,0
339,"tempered orator",0,"tempered orators",0,0,1,0,0
340,"archelon",0,"archelons",0,1,1,0,0
341,"apkallu",0,"apkallus",0,1,1,0,0
342,"shallowtail reaver",0,"shallowtail reavers",0,0,1,0,0
343,"Aermswys the Stained",0,"Aermswys the Stained",0,0,1,1,1
344,"shallowclaw reaver",0,"shallowclaw reavers",0,0,1,0,0
345,"shelfclaw reaver",0,"shelfclaw reavers",0,0,1,0,0
346,"shallowscale reaver",0,"shallowscale reavers",0,0,1,0,0
347,"shelfscale reaver",0,"shelfscale reavers",0,0,1,0,0
348,"shalloweye reaver",0,"shalloweye reavers",0,0,1,0,0
349,"rivertoad",0,"rivertoads",0,0,1,0,0
350,"Qiqirn eggdigger",0,"Qiqirn eggdiggers",0,0,1,0,0
351,"Qiqirn gullroaster",0,"Qiqirn gullroasters",0,0,1,0,0
352,"jungle coeurl",0,"jungle coeurls",0,0,1,0,0
353,"goobbue",0,"goobbues",0,0,1,0,0
354,"mossless goobbue",0,"mossless goobbues",0,0,1,0,0
355,"mildewed goobbue",0,"mildewed goobbues",0,0,1,0,0
356,"mossy goobbue",0,"mossy goobbues",0,0,1,0,0
357,"aurochs",0,"aurochs",0,1,1,0,0
358,"wounded aurochs",0,"wounded aurochs",0,0,1,0,0
359,"great buffalo",0,"great buffaloes",0,0,1,0,0
360,"sea wasp",0,"sea wasps",0,0,1,0,0
361,"Bloodshore bell",0,"Bloodshore bells",0,0,1,0,0
362,"drifting aurelia",0,"drifting aureliae",0,0,1,0,0
363,"dusk bat",0,"dusk bats",0,0,1,0,0
364,"cave bat",0,"cave bats",0,0,1,0,0
365,"basalt golem",0,"basalt golems",0,0,1,0,0
366,"giant pelican",0,"giant pelicans",0,0,1,0,0
367,"goblin fisher",0,"goblin fishers",0,0,1,0,0
368,"kobold dustman",0,"kobold dustmen",0,0,1,0,0
369,"kobold pitman",0,"kobold pitmen",0,0,1,0,0
370,"kobold pickman",0,"kobold pickmen",0,0,1,0,0
371,"kobold priest",0,"kobold priests",0,0,1,0,0
372,"kobold supplicant",0,"kobold supplicants",0,0,1,0,0
373,"kobold missionary",0,"kobold missionaries",0,0,1,0,0
374,"kobold deacon",0,"kobold deacons",0,0,1,0,0
375,"kobold bedesman",0,"kobold bedesmen",0,0,1,0,0
376,"kobold sidesman",0,"kobold sidesmen",0,0,1,0,0
377,"kobold roundsman",0,"kobold roundsmen",0,0,1,0,0
378,"kobold potman",0,"kobold potmen",0,0,1,0,0
379,"kobold patrolman",0,"kobold patrolmen",0,0,1,0,0
380,"kobold footman",0,"kobold footmen",0,0,1,0,0
381,"forest yarzon",0,"forest yarzons",0,0,1,0,0
382,"waterskipper",0,"waterskippers",0,0,1,0,0
383,"yarzon bleeder",0,"yarzon bleeders",0,0,1,0,0
384,"shelfclaw Sahagin",0,"shelfclaw Sahagin",0,0,1,0,0
385,"trenchclaw Sahagin",0,"trenchclaw Sahagin",0,0,1,0,0
386,"shelfscale Sahagin",0,"shelfscale Sahagin",0,0,1,0,0
387,"North Tidegate grieve",0,"North Tidegate grieves",0,0,1,0,0
388,"trenchfang Sahagin",0,"trenchfang Sahagin",0,0,1,0,0
389,"shelfspine Sahagin",0,"shelfspine Sahagin",0,0,1,0,0
390,"South Tidegate grieve",0,"South Tidegate grieves",0,0,1,0,0
391,"salamander",0,"salamanders",0,0,1,0,0
392,"lost lamb",0,"lost lambs",0,0,1,0,0
393,"wild dodo",0,"wild dodos",0,0,1,0,0
394,"fat dodo",0,"fat dodos",0,0,1,0,0
395,"bee cloud",0,"bee clouds",0,0,1,0,0
396,"dung midge swarm",0,"dung midge swarms",0,0,1,0,0
397,"condor",0,"condors",0,0,1,0,0
398,"highland condor",0,"highland condors",0,0,1,0,0
399,"wild jackal",0,"wild jackals",0,0,1,0,0
400,"roseling",0,"roselings",0,0,1,0,0
401,"puk hatchling",0,"puk hatchlings",0,0,1,0,0
402,"puk hatchling",0,"puk hatchlings",0,0,1,0,0
403,"hedgemole",0,"hedgemoles",0,0,1,0,0
404,"bogy",0,"bogies",0,0,1,0,0
405,"tiny mandragora",0,"tiny mandragoras",0,0,1,0,0
406,"raincatcher mandragora",0,"raincatcher mandragoras",0,0,1,0,0
407,"ringtail",0,"ringtails",0,0,1,0,0
408,"galago",0,"galagos",0,0,1,0,0
409,"Moraby mole",0,"Moraby moles",0,0,1,0,0
410,"sewer mole",0,"sewer moles",0,0,1,0,0
411,"grass raptor",0,"grass raptors",0,0,1,0,0
412,"velociraptor",0,"velociraptors",0,0,1,0,0
413,"Mamool Ja executioner",0,"Mamool Ja executioners",0,0,1,0,0
414,"Mamool Ja breeder",0,"Mamool Ja breeders",0,0,1,0,0
415,"Mamool Ja sophist",0,"Mamool Ja sophists",0,0,1,0,0
416,"Mamool Ja infiltrator",0,"Mamool Ja infiltrators",0,0,1,0,0
417,"wharf rat",0,"wharf rats",0,0,1,0,0
418,"grounded raider",0,"grounded raiders",0,0,1,0,0
419,"Captain Petyr Pigeontoe",0,"Captain Petyr Pigeontoe",0,0,1,0,1
420,"Rhotano buccaneer",0,"Rhotano buccaneers",0,0,1,0,0
421,"grounded pirate",0,"grounded pirates",0,0,1,0,0
422,"Lady Amandine",0,"Lady Amandine",0,0,1,1,1
423,"manor claviger",0,"manor clavigers",0,0,1,1,0
424,"lady's handmaiden",0,"lady's handmaidens",0,0,1,1,0
425,"lady's candle",0,"lady's candles",0,0,1,0,0
426,"manor jester",0,"manor jesters",0,0,1,0,0
427,"manor steward",0,"manor stewards",0,0,1,0,0
428,"manor sentry",0,"manor sentries",0,0,1,0,0
429,"manor chef",0,"manor chefs",0,0,1,1,0
430,"attic bat",0,"attic bats",0,1,1,0,0
431,"attack hound",0,"attack hounds",0,1,1,0,0
432,"carpet stain",0,"carpet stains",0,0,1,0,0
433,"divan mold",0,"divan molds",0,0,1,0,0
434,"manor servitor",0,"manor servitors",0,0,1,0,0
435,"corpsefly",0,"corpseflies",0,0,1,0,0
436,"Ixali windtalon",0,"Ixali windtalons",0,1,1,0,0
437,"fleshy pod",0,"fleshy pods",0,0,1,0,0
438,"prisoner's delight",0,"prisoner's delights",0,0,1,0,0
439,"sticky web",0,"sticky web",0,0,1,0,0
440,"Graffias's tail",0,"Graffias's tail",0,0,1,0,0
