Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x6][0x14],10 [0x6][0x18],11 [0x6][0x1c],12 [0x3][0x26],13 [0x5][0x20],14 [0x5][0x22],15 [0x5][0x24]
10,"leicht[a] ul'dhisch[a] Rossharnisch",4,"leicht[a] ul'dhisch[a] Rossharnische",2,0,1,0,0,"Leichter ul'dhischer Rossharnisch",65544,65544,65544,3,49019,49020,49021
11,"ul'dhisch[a] Rossharnisch",4,"ul'dhisch[a] Rossharnische",2,0,1,0,0,"Ul'dhischer Rossharnisch",131080,131080,131080,3,49022,49023,49024
12,"schwer[a] ul'dhisch[a] Rossharnisch",4,"schwer[a] ul'dhisch[a] Rossharnische",2,0,1,0,0,"Schwerer ul'dhischer Rossharnisch",196616,196616,196616,3,49025,49026,49027
13,"Paladin-Rossharnisch",4,"Paladin-Rossharnische",2,0,1,0,0,"Paladin-Rossharnisch",65546,65546,65546,0,49028,49029,49030
14,"Dragoon-Rossharnisch",4,"Dragoon-Rossharnische",2,0,1,0,0,"Dragoon-Rossharnisch",65547,65547,65547,0,49031,49032,49033
15,"Weißmagier-Rossharnisch",4,"Weißmagier-Rossharnische",2,0,1,0,0,"Weißmagier-Rossharnisch",65549,65549,65549,0,49034,49035,49036
16,"Sleipnir-Rossharnisch",4,"Sleipnir-Rossharnische",2,0,1,0,0,"Sleipnir-Rossharnisch",65550,65550,65550,0,49037,49038,49039
17,"Behemoth-Rossharnisch",4,"Behemoth-Rossharnische",2,0,1,0,0,"Behemoth-Rossharnisch",65551,65551,65551,0,49040,49041,49042
18,"Chocobo-Fliegerhaube",3,"Chocobo-Fliegerhauben",1,0,1,1,0,"Chocobo-Fliegerhaube",65555,0,0,0,49043,0,0
19,"Schwarzmagier-Rossharnisch",4,"Schwarzmagier-Rossharnische",2,0,1,0,0,"Schwarzmagier-Rossharnisch",65548,65548,65548,0,49046,49047,49048
20,"königlich[a] Rossharnisch",4,"königlich[a] Rossharnisch",2,0,1,0,0,"Königlicher Rossharnisch",65553,0,0,0,49061,0,0
21,"Sternenlicht-Rossharnisch",4,"Sternenlicht-Rossharnische",2,0,1,0,0,"Sternenlicht-Rossharnisch",65540,65540,65540,0,49064,49065,49066
22,"Wogen-Rossharnisch",4,"Wogen-Rossharnische",2,0,1,0,0,"Wogen-Rossharnisch",65556,65556,65556,0,49067,49068,49069
23,"Harnisch[p] des Lichts",4,"Harnische[p] des Lichts",2,0,1,0,0,"Harnisch des Lichts",65557,65557,65557,0,49070,49071,49072
24,"Saliah-Harnisch",4,"Saliah-Harnische",2,0,1,0,0,"Saliah-Harnisch",65558,0,0,0,49073,0,0
25,"Blitz-Rossharnisch",4,"Blitz-Rossharnische",2,0,1,0,0,"Blitz-Rossharnisch",65560,65560,65560,0,49076,49077,49078
26,"gefiedert[a] Rossharnisch",4,"gefiedert[a] Rossharnische",2,0,1,0,0,"Gefiederter Rossharnisch",65559,0,0,0,49079,0,0
27,"schaurig[a] Rossharnisch",4,"schaurig[a] Rossharnische",2,0,1,0,0,"Schauriger Rossharnisch",65561,65561,65561,0,49082,49083,49084
28,"Eis-Rossharnisch",4,"Eis-Rossharnische",2,0,1,0,0,"Eis-Rossharnisch",65562,65562,65562,0,49085,49086,49087
29,"Glücksspieler-Rossharnisch",2,"Glücksspieler-Rossharnische",2,0,1,0,0,"Glücksspieler-Rossharnisch",65565,65565,65565,0,49091,49092,49093
30,"Buhlen-Rossharnisch",2,"Buhlen-Rossharnische",2,0,1,0,0,"Buhlen-Rossharnisch",65566,65566,65566,0,49088,49089,49090
31,"leicht[a] Ishgarder Rossharnisch",4,"leicht[a] Ishgarder Rossharnische",2,0,1,0,0,"Leichter Ishgarder Rossharnisch",65567,65567,65567,0,49094,49095,49096
32,"Ishgarder Rossharnisch",4,"Ishgarder Rossharnische",2,0,1,0,0,"Ishgarder Rossharnisch",131103,131103,131103,0,49097,49098,49099
33,"",0,"",0,0,0,0,0,"",0,0,0,0,0,0,0
34,"Bismarck-Rossharnisch",4,"Bismarck-Rossharnische",2,0,1,0,0,"Bismarck-Rossharnisch",65568,65568,65568,0,49103,49104,49105
35,"Ravana-Rossharnisch",4,"Ravana-Rossharnische",2,0,1,0,0,"Ravana-Rossharnisch",65569,65569,65569,0,49106,49107,49108
36,"Adeligen-Rossharnisch",4,"Adeligen-Rossharnische",2,0,1,0,0,"Adeligen-Rossharnisch",65570,65570,65570,0,49109,49110,49111
37,"orthodox[a] Rossharnisch",4,"orthodox[a] Rossharnische",2,0,1,0,0,"Orthodoxer Rossharnisch",131106,131106,131106,0,49112,49113,49114
38,"Hochland-Rossharnisch",4,"Hochland-Rossharnische",2,0,1,0,0,"Hochland-Rossharnisch",65571,65571,65571,0,49115,49116,49117
39,"Wildrosen-Harnisch",2,"Wildrosen-Harnische",2,0,1,0,0,"Wildrosen-Harnisch",65573,65573,65573,0,49118,49119,49120
