Index,0 [0x7][0x18],1 [0x0][0x0],2 [0x0][0x4],3 [0x0][0x8],4 [0x0][0xc],5 [0x0][0x10],6 [0x0][0x14]
34,68890,"Harceleur des tempêtes","Harceleur du serpent","Harceleur des sables","Harceleuse des tempêtes","Harceleuse du serpent","Harceleuse des sables"
35,75310,"Harceleur des tempêtes","Harceleur du serpent","Harceleur des sables","Harceleuse des tempêtes","Harceleuse du serpent","Harceleuse des sables"
36,82150,"Harceleur des tempêtes","Harceleur du serpent","Harceleur des sables","Harceleuse des tempêtes","Harceleuse du serpent","Harceleuse des sables"
37,89410,"Harceleur des tempêtes","Harceleur du serpent","Harceleur des sables","Harceleuse des tempêtes","Harceleuse du serpent","Harceleuse des sables"
38,97090,"Harceleur des tempêtes","Harceleur du serpent","Harceleur des sables","Harceleuse des tempêtes","Harceleuse du serpent","Harceleuse des sables"
39,105190,"Harceleur des tempêtes","Harceleur du serpent","Harceleur des sables","Harceleuse des tempêtes","Harceleuse du serpent","Harceleuse des sables"
40,113710,"Traqueur des tempêtes","Traqueur du serpent","Traqueur des sables","Traqueuse des tempêtes","Traqueuse du serpent","Traqueuse des sables"
41,122710,"Traqueur des tempêtes","Traqueur du serpent","Traqueur des sables","Traqueuse des tempêtes","Traqueuse du serpent","Traqueuse des sables"
42,132190,"Traqueur des tempêtes","Traqueur du serpent","Traqueur des sables","Traqueuse des tempêtes","Traqueuse du serpent","Traqueuse des sables"
43,142150,"Traqueur des tempêtes","Traqueur du serpent","Traqueur des sables","Traqueuse des tempêtes","Traqueuse du serpent","Traqueuse des sables"
44,152590,"Traqueur des tempêtes","Traqueur du serpent","Traqueur des sables","Traqueuse des tempêtes","Traqueuse du serpent","Traqueuse des sables"
45,163510,"Traqueur des tempêtes","Traqueur du serpent","Traqueur des sables","Traqueuse des tempêtes","Traqueuse du serpent","Traqueuse des sables"
46,174970,"Traqueur des tempêtes","Traqueur du serpent","Traqueur des sables","Traqueuse des tempêtes","Traqueuse du serpent","Traqueuse des sables"
47,186970,"Traqueur des tempêtes","Traqueur du serpent","Traqueur des sables","Traqueuse des tempêtes","Traqueuse du serpent","Traqueuse des sables"
48,199510,"Traqueur des tempêtes","Traqueur du serpent","Traqueur des sables","Traqueuse des tempêtes","Traqueuse du serpent","Traqueuse des sables"
49,212590,"Traqueur des tempêtes","Traqueur du serpent","Traqueur des sables","Traqueuse des tempêtes","Traqueuse du serpent","Traqueuse des sables"
50,226210,"Pourchasseur des tempêtes","Pourchasseur du serpent","Pourchasseur des sables","Pourchasseuse des tempêtes","Pourchasseuse du serpent","Pourchasseuse des sables"
51,0,"Pourchasseur des tempêtes","Pourchasseur du serpent","Pourchasseur des sables","Pourchasseuse des tempêtes","Pourchasseuse du serpent","Pourchasseuse des sables"
52,0,"Pourchasseur des tempêtes","Pourchasseur du serpent","Pourchasseur des sables","Pourchasseuse des tempêtes","Pourchasseuse du serpent","Pourchasseuse des sables"
53,0,"Pourchasseur des tempêtes","Pourchasseur du serpent","Pourchasseur des sables","Pourchasseuse des tempêtes","Pourchasseuse du serpent","Pourchasseuse des sables"
54,0,"Pourchasseur des tempêtes","Pourchasseur du serpent","Pourchasseur des sables","Pourchasseuse des tempêtes","Pourchasseuse du serpent","Pourchasseuse des sables"
55,0,"Pourchasseur des tempêtes","Pourchasseur du serpent","Pourchasseur des sables","Pourchasseuse des tempêtes","Pourchasseuse du serpent","Pourchasseuse des sables"
56,0,"Pourchasseur des tempêtes","Pourchasseur du serpent","Pourchasseur des sables","Pourchasseuse des tempêtes","Pourchasseuse du serpent","Pourchasseuse des sables"
57,0,"Pourchasseur des tempêtes","Pourchasseur du serpent","Pourchasseur des sables","Pourchasseuse des tempêtes","Pourchasseuse du serpent","Pourchasseuse des sables"
58,0,"Pourchasseur des tempêtes","Pourchasseur du serpent","Pourchasseur des sables","Pourchasseuse des tempêtes","Pourchasseuse du serpent","Pourchasseuse des sables"
59,0,"Pourchasseur des tempêtes","Pourchasseur du serpent","Pourchasseur des sables","Pourchasseuse des tempêtes","Pourchasseuse du serpent","Pourchasseuse des sables"
60,0,"Égorgeur des tempêtes","Égorgeur du serpent","Égorgeur des sables","Égorgeuse des tempêtes","Égorgeuse du serpent","Égorgeuse des sables"
61,0,"Égorgeur des tempêtes","Égorgeur du serpent","Égorgeur des sables","Égorgeuse des tempêtes","Égorgeuse du serpent","Égorgeuse des sables"
62,0,"Égorgeur des tempêtes","Égorgeur du serpent","Égorgeur des sables","Égorgeuse des tempêtes","Égorgeuse du serpent","Égorgeuse des sables"
63,0,"Égorgeur des tempêtes","Égorgeur du serpent","Égorgeur des sables","Égorgeuse des tempêtes","Égorgeuse du serpent","Égorgeuse des sables"
64,0,"Égorgeur des tempêtes","Égorgeur du serpent","Égorgeur des sables","Égorgeuse des tempêtes","Égorgeuse du serpent","Égorgeuse des sables"
65,0,"Égorgeur des tempêtes","Égorgeur du serpent","Égorgeur des sables","Égorgeuse des tempêtes","Égorgeuse du serpent","Égorgeuse des sables"
66,0,"Égorgeur des tempêtes","Égorgeur du serpent","Égorgeur des sables","Égorgeuse des tempêtes","Égorgeuse du serpent","Égorgeuse des sables"
67,0,"Égorgeur des tempêtes","Égorgeur du serpent","Égorgeur des sables","Égorgeuse des tempêtes","Égorgeuse du serpent","Égorgeuse des sables"
68,0,"Égorgeur des tempêtes","Égorgeur du serpent","Égorgeur des sables","Égorgeuse des tempêtes","Égorgeuse du serpent","Égorgeuse des sables"
69,0,"Égorgeur des tempêtes","Égorgeur du serpent","Égorgeur des sables","Égorgeuse des tempêtes","Égorgeuse du serpent","Égorgeuse des sables"
70,0,"Loup des tempêtes","Loup du serpent","Loup des sables","Louve des tempêtes","Louve du serpent","Louve des sables"
71,0,"Loup des tempêtes","Loup du serpent","Loup des sables","Louve des tempêtes","Louve du serpent","Louve des sables"
72,0,"Loup des tempêtes","Loup du serpent","Loup des sables","Louve des tempêtes","Louve du serpent","Louve des sables"
73,0,"Loup des tempêtes","Loup du serpent","Loup des sables","Louve des tempêtes","Louve du serpent","Louve des sables"
74,0,"Loup des tempêtes","Loup du serpent","Loup des sables","Louve des tempêtes","Louve du serpent","Louve des sables"
75,0,"Loup des tempêtes","Loup du serpent","Loup des sables","Louve des tempêtes","Louve du serpent","Louve des sables"
76,0,"Loup des tempêtes","Loup du serpent","Loup des sables","Louve des tempêtes","Louve du serpent","Louve des sables"
77,0,"Loup des tempêtes","Loup du serpent","Loup des sables","Louve des tempêtes","Louve du serpent","Louve des sables"
78,0,"Loup des tempêtes","Loup du serpent","Loup des sables","Louve des tempêtes","Louve du serpent","Louve des sables"
79,0,"Loup des tempêtes","Loup du serpent","Loup des sables","Louve des tempêtes","Louve du serpent","Louve des sables"
80,0,"Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables","Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables"
81,0,"Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables","Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables"
82,0,"Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables","Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables"
83,0,"Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables","Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables"
84,0,"Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables","Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables"
85,0,"Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables","Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables"
86,0,"Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables","Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables"
87,0,"Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables","Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables"
88,0,"Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables","Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables"
89,0,"Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables","Chef de meute des tempêtes","Chef de meute du serpent","Chef de meute des sables"
90,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
91,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
92,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
93,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
94,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
95,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
96,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
97,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
98,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
99,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
100,0,"Protecteur des mers","Protecteur de la forêt","Protecteur du désert","Protectrice des mers","Protectrice de la forêt","Protectrice du désert"
