Index,0 [0x7][0xf8],1 [0x0][0xf4],2 [0x0][0x0],3 [0x0][0x8],4 [0x0][0x10],5 [0x0][0x18],6 [0x0][0x20],7 [0x0][0x28],8 [0x0][0x30],9 [0x0][0x38],10 [0x0][0x40],11 [0x0][0x48],12 [0x0][0x50],13 [0x0][0x58],14 [0x0][0x60],15 [0x0][0x68],16 [0x0][0x70],17 [0x0][0x78],18 [0x0][0x80],19 [0x0][0x88],20 [0x0][0x90],21 [0x0][0x98],22 [0x0][0xa0],23 [0x0][0xa8],24 [0x0][0xb0],25 [0x0][0xb8],26 [0x0][0xc0],27 [0x0][0xc8],28 [0x0][0xd0],29 [0x0][0xd8],30 [0x0][0xe0],31 [0x0][0xe8],32 [0x7][0x4],33 [0x7][0xc],34 [0x7][0x14],35 [0x7][0x1c],36 [0x7][0x24],37 [0x7][0x2c],38 [0x7][0x34],39 [0x7][0x3c],40 [0x7][0x44],41 [0x7][0x4c],42 [0x7][0x54],43 [0x7][0x5c],44 [0x7][0x64],45 [0x7][0x6c],46 [0x7][0x74],47 [0x7][0x7c],48 [0x7][0x84],49 [0x7][0x8c],50 [0x7][0x94],51 [0x7][0x9c],52 [0x7][0xa4],53 [0x7][0xac],54 [0x7][0xb4],55 [0x7][0xbc],56 [0x7][0xc4],57 [0x7][0xcc],58 [0x7][0xd4],59 [0x7][0xdc],60 [0x7][0xe4],61 [0x7][0xec],62 [0x19][0xfc],63 [0x0][0xf0],64 [0x1a][0xfc],65 [0x1b][0xfc],66 [0x1c][0xfc],67 [0x1d][0xfc],68 [0x1e][0xfc],69 [0x1f][0xfc],70 [0x20][0xfc]
720943,0,"CmnDefF1e4Entrance_00047","POP_RANGE","QUEST","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3884000,65983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720944,0,"CmnDefF1e4Exit_00048","POP_RANGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3884182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720945,0,"CmnDefF1e5Exit_00049","POP_RANGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3878860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720946,0,"RegSeaAdvGuild_00050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720947,0,"RegSeaAetheGuid_00051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720948,0,"RegSeaInn_00052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720949,0,"RegSeaExcGuild_00053","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65855,66590,65964,66586,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720950,0,"RegSeaCulGuild_00054","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65806,65964,67579,67583,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720951,0,"RegSeaBsnGuild_00055","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65838,65964,67543,67547,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720952,0,"RegSeaArmGuild_00056","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65820,65964,67574,67578,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720953,0,"RegWilHorizon_00057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720954,0,"RegWilDrybone_00058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720955,0,"RegWikAdvGuild_00059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720956,0,"RegWilAetheGuid_00060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720957,0,"RegWilInn_00061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720958,0,"RegWilThmGuild_00062","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65889,66614,65963,66610,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720959,0,"RegWilGlaGuild_00063","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65801,66596,65963,66592,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720960,0,"RegWilPglGuild_00064","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",66103,66602,65963,66598,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720961,0,"RegWilMinGuild_00065","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",66182,65963,67616,67620,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720962,0,"RegWilWvrGuild_00066","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",66190,65963,67538,67542,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720963,0,"RegWilAlcGuild_00067","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",66186,65963,67601,67605,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720964,0,"RegWilGldGuild_00068","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","QUEST5","","","","","","","","","","","","","","","","","","","","","","","","",66194,66843,65963,67606,67610,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720965,0,"RegSeaSummerFarm_00069","QUEST0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",66005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720966,0,"RegSeaRedFarm_00070","QUEST0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",66015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
720967,0,"RegSeaSkylift_00071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"Plaudern",false,false,false,false,false,false,false
