Index,0 [0x0][0x0],1 [0x6][0x8],2 [0x6][0xc],3 [0x6][0x10],4 [0x6][0x14],5 [0x6][0x18],6 [0x6][0x1c],7 [0x6][0x20],8 [0x6][0x24],9 [0x3][0x32],10 [0x3][0x33],11 [0x19][0x35],12 [0x1a][0x35],13 [0x1b][0x35],14 [0x1c][0x35],15 [0x3][0x34],16 [0x6][0x28],17 [0x5][0x2c],18 [0x5][0x2e],19 [0x5][0x30],20 [0x7][0x4]
18,"Se réjouir",708,0,0,0,683,683,0,0,1,0,false,true,false,false,22,419,64018,117,217,0
19,"S'agenouiller",710,0,0,0,0,0,0,0,1,0,false,true,false,false,5,420,64019,118,218,0
20,"Rire",711,0,0,662,651,685,0,0,1,0,false,true,false,false,20,421,64020,119,219,0
21,"S'esclaffer",712,0,0,638,635,686,0,0,1,0,false,true,false,false,21,422,64021,120,220,0
22,"Scruter",713,0,0,665,665,665,0,0,1,0,false,true,false,false,101,423,64022,121,221,0
23,"Moi",715,0,0,0,745,745,0,0,1,0,false,true,false,false,103,424,64023,122,222,0
24,"Non",716,0,0,666,666,666,0,0,1,0,false,true,false,false,60,425,64024,123,223,0
25,"Refuser",717,0,0,667,746,746,0,0,1,0,false,true,false,false,61,426,64025,124,224,0
26,"Paniquer",719,0,0,0,0,0,0,0,1,0,false,true,false,false,65,427,64026,125,225,0
27,"Montrer",720,0,0,0,687,687,0,0,1,0,false,true,false,false,98,428,64027,126,226,0
28,"Toucher",721,0,0,0,748,748,0,3185,1,0,false,true,false,false,99,429,64028,127,227,0
29,"Féliciter",723,0,0,636,749,749,0,0,1,0,false,true,false,false,43,430,64029,128,228,0
30,"Se motiver",724,0,0,0,0,0,0,0,1,0,false,true,false,false,28,431,64030,129,229,0
31,"Saluer",725,0,0,0,750,750,0,0,1,0,false,true,false,false,6,432,64031,130,230,0
32,"Choc",729,0,0,0,751,751,0,0,1,0,false,true,false,false,71,433,64032,131,231,0
33,"Hausser les épaules",730,0,0,0,752,752,0,0,1,0,false,true,false,false,72,434,64033,132,232,0
34,"Stimuler",731,0,0,0,0,0,0,0,1,0,false,true,false,false,24,435,64034,133,233,0
35,"Apaiser",732,0,0,0,753,753,0,0,1,0,false,true,false,false,25,436,64035,134,234,0
36,"Tituber",733,0,0,0,0,0,0,0,1,0,false,true,false,false,73,437,64036,135,235,0
37,"S'étirer",734,0,0,0,588,588,0,0,1,0,false,true,false,false,100,438,64037,136,236,0
38,"Bouder",735,0,0,0,0,0,0,0,1,0,false,true,false,false,68,439,64038,137,237,0
39,"Penser",736,0,0,669,589,589,0,0,1,0,false,true,false,false,94,440,64039,138,238,0
40,"Déception",737,0,0,670,590,590,0,0,1,0,false,true,false,false,66,441,64040,139,239,0
41,"Accueillir",738,0,0,0,591,591,0,0,1,0,false,true,false,false,2,442,64041,140,240,0
42,"Oui",739,0,0,671,671,671,0,0,1,0,false,true,false,false,40,443,64042,141,241,0
43,"Accord",740,0,0,672,592,592,0,0,1,0,false,true,false,false,41,444,64043,142,242,0
44,"Se regarder",714,0,0,0,744,744,0,0,1,0,false,true,false,false,95,445,64044,143,243,0
45,"Poser",722,0,0,0,0,0,0,0,1,0,false,true,false,false,90,446,64045,144,244,0
46,"Envoyer un baiser",692,0,0,0,0,0,0,0,1,0,false,true,false,false,30,447,64049,148,248,0
47,"Se prosterner",701,0,0,0,0,0,0,0,1,0,false,true,false,false,76,448,64051,150,250,0
48,"Jubiler",709,0,0,0,684,684,0,0,1,0,false,true,false,false,23,449,64052,151,251,0
49,"Désespérer",718,0,0,668,747,747,0,0,1,0,false,true,false,false,67,450,64053,152,252,0
50,"S'asseoir",654,653,0,0,0,0,0,0,2,1,false,false,true,false,96,451,64054,0,0,0
51,"Se lever",655,0,0,655,0,0,0,0,2,1,true,false,false,false,0,0,64054,0,0,0
52,"S'asseoir",643,642,0,0,0,0,0,0,2,2,false,false,false,false,0,0,64054,0,0,0
53,"Se lever",644,0,0,0,644,0,0,0,2,2,true,false,false,false,0,0,64054,0,0,0
54,"Guillemets",688,0,0,0,673,673,0,0,1,0,false,true,false,false,102,455,64063,0,0,0
55,"Salut du Maelstrom",726,0,0,0,0,0,0,0,1,0,false,true,false,false,7,456,64046,145,245,0
56,"Salut de l'Ordre",727,0,0,0,0,0,0,0,1,0,false,true,false,false,7,457,64047,146,246,0
57,"Salut des Immortels",728,0,0,0,0,0,0,0,1,0,false,true,false,false,7,458,64048,147,247,0
58,"Prier",742,0,0,0,0,0,0,0,1,0,false,true,false,false,29,459,64064,178,278,0
59,"Salut impérial",587,0,0,0,0,0,0,0,1,0,false,true,false,false,8,460,64066,179,279,23
60,"Visière",0,0,0,0,0,0,0,0,2,0,false,false,false,false,255,461,64065,0,0,0
61,"Visière",0,0,0,0,0,0,0,0,2,0,false,false,false,false,255,0,64065,0,0,0
62,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
63,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
64,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
65,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
66,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
67,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
68,"Visage normal",604,0,0,0,0,0,0,0,3,0,false,false,false,false,200,469,64101,161,261,0
69,"Visage souriant",605,0,0,0,0,0,0,0,3,0,false,false,false,false,201,470,64102,162,262,0
70,"Visage radieux",606,0,0,0,0,0,0,0,3,0,false,false,false,false,202,471,64103,163,263,0
71,"Visage confiant",607,0,0,0,0,0,0,0,3,0,false,false,false,false,203,472,64104,164,264,0
72,"Visage arrogant",608,0,0,0,0,0,0,0,3,0,false,false,false,false,204,473,64105,165,265,0
73,"Visage endormi",611,0,0,0,0,0,0,0,3,0,false,false,false,false,205,474,64106,166,266,0
74,"Visage larmoyant",612,0,0,0,0,0,0,0,3,0,false,false,false,false,206,475,64107,167,267,0
75,"Visage craintif",614,0,0,0,0,0,0,0,3,0,false,false,false,false,207,476,64108,168,268,0
76,"Visage stupéfait",615,0,0,0,0,0,0,0,3,0,false,false,false,false,208,477,64109,169,269,0
77,"Visage souffrant",616,0,0,0,0,0,0,0,3,0,false,false,false,false,209,478,64110,170,270,0
78,"Visage maussade",617,0,0,0,0,0,0,0,3,0,false,false,false,false,210,479,64111,171,271,0
79,"Visage interloqué",619,0,0,0,0,0,0,0,3,0,false,false,false,false,211,480,64112,172,272,0
80,"Visage inquiet",620,0,0,0,0,0,0,0,3,0,false,false,false,false,212,481,64113,173,273,0
81,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
82,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
83,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
84,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
85,"Lancer",641,0,0,0,0,0,0,0,1,0,false,true,false,false,92,486,64050,180,280,24
86,"Boule de neige",743,0,0,0,0,0,0,0,1,0,false,true,false,false,0,0,64050,149,249,24
87,"Boule de neige",640,0,0,0,0,0,0,0,1,0,false,false,false,false,0,0,64050,149,249,24
88,"Dormir",585,584,0,0,0,0,0,0,2,3,false,false,false,false,0,0,64054,0,0,0
89,"",586,0,0,0,0,0,586,0,2,3,true,false,false,false,0,0,64054,0,0,0
90,"Changer de pose",0,0,0,0,0,0,0,0,2,0,false,false,false,false,254,491,64068,0,0,0
91,"",3124,3123,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
92,"",3126,3125,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
93,"",3128,3127,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
94,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
95,"",3132,3131,0,0,3132,0,0,0,4,2,false,false,false,false,0,0,0,0,0,0
96,"",3134,3133,0,0,3134,0,0,0,4,2,false,false,false,false,0,0,0,0,0,0
97,"",3136,3135,0,3136,0,0,0,0,4,1,false,false,false,false,0,0,0,0,0,0
98,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
99,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
100,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
101,"Claquettes",570,569,0,0,0,0,0,0,2,4,false,true,false,true,32,502,64069,182,282,27
102,"Danse des moissons",572,571,0,0,0,0,0,0,2,5,false,true,false,true,33,503,64070,183,283,28
103,"Danse de la cour",574,573,0,0,0,0,0,0,2,6,false,true,false,true,34,504,64071,184,284,29
104,"Danse du gentilhomme",576,575,0,0,0,0,0,0,2,7,false,true,false,true,35,505,64072,185,285,30
105,"Caresser",3177,0,0,0,3179,3179,0,3174,1,0,false,true,false,false,48,506,64067,186,286,0
106,"Donner",3178,0,0,0,3180,3180,0,3176,1,0,false,true,false,false,93,507,64073,187,287,0
107,"",3182,3181,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
108,"",3184,3183,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
109,"Danse du bombo",3188,3187,0,0,0,0,0,0,2,8,false,true,false,true,36,510,64074,189,288,98
110,"Hourra",741,0,0,0,0,0,0,0,1,0,false,true,false,false,45,511,64075,190,289,225
111,"Claque",3752,0,0,0,3755,3755,0,3758,1,0,false,true,false,false,77,512,64076,191,290,0
112,"Accolade",3753,0,0,0,3756,3756,0,3759,1,0,false,true,false,false,46,513,64077,192,291,0
113,"Étreinte",3754,0,0,0,3757,3757,0,3760,1,0,false,true,false,false,47,514,64078,193,292,229
114,"Pose du détective",3764,3763,0,0,0,0,0,0,2,9,false,true,false,true,37,515,64079,194,293,244
115,"Salut du poing",3766,0,0,0,3767,3767,0,3768,1,0,false,true,false,false,49,516,64080,195,294,259
