Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0x8],3 [0x5][0xc],4 [0x3][0xe],5 [0x19][0xf],6 [0x1a][0xf]
16,"体当たり","対象に土属性魔法攻撃。　<color?>威力：</color>60\n<color?>追加効果：</color>スタン　<color?>効果時間：</color>2秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。",554,636,2,true,false
17,"ウィンドブレード","対象に風属性魔法攻撃。　<color?>威力：</color>100",2711,792,5,false,false
18,"ショックウェーブ","対象に風属性魔法攻撃。　<color?>威力：</color>90\n<color?>追加効果：</color>対象を15mノックバックする\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",2713,793,5,true,false
19,"エリアルスラッシュ","対象とその周囲の敵に風属性範囲魔法攻撃。　<color?>威力：</color>90\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",2712,794,5,true,false
20,"コンテージョン","マスターが対象にかけた継続ダメージの効果時間を15秒延長する。\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",2714,795,5,true,false
21,"エリアルブラスト","対象とその周囲の敵に風属性範囲魔法攻撃。　<color?>威力：</color>250\nマスターが<color #FF7B1A>「エンキンドル」</color>を実行することで使用する。",2715,796,5,false,true
22,"ロックバスター","対象に土属性魔法攻撃。　<color?>威力：</color>85\n<color?>追加効果：</color>敵視アップ",2701,787,4,false,false
23,"マウンテンバスター","自身の周囲の敵に土属性範囲魔法攻撃。　<color?>威力：</color>70\n<color?>追加効果：</color>敵視アップ\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。",2702,788,4,true,false
24,"大地の守り","一定時間、ペット自身の被ダメージを20％軽減させる。\n<color?>効果時間：</color>20秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",2703,789,4,true,false
25,"ランドスライド","対象に土属性魔法攻撃。　<color?>威力：</color>70\n<color?>追加効果：</color>スタン　<color?>効果時間：</color>2秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。",2704,790,4,true,false
26,"大地の怒り","自身の周囲の敵に土属性範囲魔法攻撃　<color?>威力：</color>200\n<color?>追加効果：</color>ダメージエリアを生成する。\n<color?>威力：</color>20　<color?>効果時間：</color>15秒\nマスターが<color #FF7B1A>「エンキンドル」</color>を実行することで使用する。",2705,791,4,false,true
27,"クリムゾンサイクロン","対象に火属性魔法攻撃。　<color?>威力：</color>110\n<color?>追加効果：</color>スタン　<color?>効果時間：</color>2秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。",2721,797,3,true,false
28,"バーニングストライク","対象に火属性魔法攻撃。　<color?>威力：</color>120",2722,798,3,false,false
29,"光輝の盾","一定時間、自身と周囲のパーティメンバーが物理攻撃を受けた場合に、攻撃者に反撃ダメージを与える。\n<color?>威力：</color>50　<color?>効果時間：</color>20秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。",2723,799,3,true,false
30,"フレイミングクラッシュ","自身の周囲の敵に火属性範囲魔法攻撃。　<color?>威力：</color>110\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。",2724,800,3,true,false
31,"地獄の火炎","対象に向かって火属性前方扇範囲魔法攻撃。　<color?>威力：</color>200\n<color?>追加効果：</color>対象に火属性の継続ダメージを付与する\n<color?>威力：</color>20　<color?>効果時間：</color>15秒\nマスターが<color #FF7B1A>「エンキンドル」</color>を実行することで使用する。",2725,801,3,false,true
32,"光の癒し","対象のＨＰを回復する。　<color?>回復力：</color>300",2826,802,6,false,false
33,"光の囁き","自身と周囲のパーティメンバーのＨＰを継続回復する。\n<color?>回復力：</color>100　<color?>効果時間：</color>21秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",2827,803,6,false,false
34,"フェイコヴナント","一定時間、自身の周囲のパーティメンバーの魔法防御力を20％上昇させる。　<color?>効果時間：</color>20秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",2828,804,6,true,false
35,"フェイイルミネーション","一定時間、自身と周囲のパーティメンバーの回復魔法の回復量を20％上昇させる。　<color?>効果時間：</color>20秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",2829,805,6,true,false
36,"光の癒し","対象のＨＰを回復する。　<color?>回復力：</color>300",2836,806,7,false,false
37,"光の沈黙","対象に沈黙を付与する。　<color?>効果時間：</color>1秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。</color>",2837,807,7,true,false
38,"フェイカレス","周囲のパーティメンバーが受けている一部の弱体効果を1つ解除する。<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。",2811,810,7,true,false
39,"フェイウィンド","一定時間、自身と周囲のパーティメンバーの攻撃速度を3％上昇させる。　<color?>効果時間：</color>30秒\n<color #FF7B1A>「セミオーダー」</color>状態では命令を受けるまで実行しない。",2812,811,7,true,false
40,"アタックモード","攻撃を行う状態。",405,0,8,false,false
41,"サポートモード","補助効果を発生させる状態。",405,0,8,false,false
