Index,0 [0x5][0x8],1 [0x0][0x0],2 [0x0][0x4],3 [0x5][0xa],4 [0x3][0xc]
141,772,"Saure Traubenklauberei","",141,110
142,773,"Ratten verlassen das stinkende Schiff","",142,110
143,788,"Das Ei der Weisen (Ul'dah)","",143,110
144,789,"Rück-Eioberung (Ul'dah)","",144,110
145,793,"Das Ei der Weisen (Gridania)","",145,110
146,794,"Rück-Eioberung (Gridania)","",146,110
147,798,"Das Fest mit dem Feuer","",147,110
148,799,"Impertinente Imps","",148,110
149,800,"Das Schneeballsystem","",149,110
150,801,"Das kalte Herz","",150,110
151,803,"Das Ei der Weisen (Limsa Lominsa)","",151,110
152,804,"Rück-Eioberung (Limsa Lominsa)","",152,110
153,808,"Gildenaufgaben","",153,110
154,809,"Shposhae, öffne dich","",154,110
155,810,"Riskante Geschäfte","",155,110
156,811,"Das Formen der Seele","",156,110
157,812,"Das Vereinen der Seele","",157,110
158,813,"Das Erwecken der Seele","",158,110
159,815,"Im Zwielicht der Barriere","",159,110
160,816,"Nachschublieferung & Materialbeschaffung","",160,110
161,817,"Das Grab der Helden","",161,110
162,818,"Es ist nicht alles Gold, was glänzt","",162,110
163,820,"Operation Kerkermeister","",163,110
164,821,"Operation Burgfriede","",164,110
165,822,"Operation Nebelmarsch","",165,110
166,823,"Operation Sandsturm","",166,110
167,827,"Wer den Ranzen nicht ehrt","",167,110
168,828,"Irgendwas im Busch","",168,110
169,837,"Tintennachschub","",169,110
170,838,"Ein Schaf unter Wölfen","",170,110
171,839,"Investigativer Journalismus","",171,110
172,840,"Prophetische Kriminologie","",172,110
173,847,"Der verschwundene Ehering","",173,110
174,848,"Ein stichfestes Alibi","",174,110
175,857,"Saisonales Ereignis","",175,110
176,858,"Jagd nach dem Ei, Teil Zwei","",176,110
177,859,"Feuermond-Reigen - Die Rache der Knallomaten","",177,110
178,860,"Saisonales Ereignis (Alle Stadtstaaten)","",178,110
179,861,"Weiler-Versorgung","",179,110
180,862,"Professor Eriks Vorlesung","",180,110
181,866,"Im Auge des Sturms","",181,110
182,867,"Restauration der Reliktwaffen","",182,110
183,868,"Pilgerfahrt","",183,110
184,869,"Das Schicksal der Silberschwinge","",184,110
185,1200,"Der Prophet aus den Bergen","",254,112
186,1201,"Man wächst mit seinen Aufgaben","",255,112
187,1202,"Ein Zeichen von Schwäche","",256,112
188,1203,"Das Kreuz mit alten Bräuchen","",257,112
189,1204,"Indirektes Kräftemessen","",258,112
190,1205,"Wahre Stärke","",259,112
191,1220,"Der Professor und dein Lehrmeister","",260,112
192,1221,"Spuren der Geschichte","",261,112
193,1222,"Auf der Suche nach Macht","",262,112
194,1223,"Ätherische Harmonie","",263,112
195,1224,"Das Schicksal der Mönche","",264,112
196,1225,"Das siebte Chakra","",265,112
197,1240,"Ass der Stäbe","",266,112
198,1241,"Weicher Wüterich","",267,112
199,1242,"Sticht, sticht, sticht","",268,112
200,1243,"Die Spirale des Zorns","",269,112
201,1244,"Fünffache Milde","",270,112
202,1245,"In Freiheit verbunden","",271,112
203,1260,"Der die Stimme vernimmt","",272,112
204,1261,"Dürstender Sand","",273,112
205,1262,"Fremde Freunde","",274,112
206,1263,"Das dunkle Atmen","",275,112
207,1264,"Finde, was dein ist","",276,112
208,1265,"Im Nichts vereint","",277,112
209,1280,"Freier Paladin","",278,112
210,1281,"Leuchtendes Vorbild","",279,112
211,1282,"Intrige und Verrat","",280,112
212,1283,"Gift im Herzen","",281,112
213,1284,"Der rechte Weg","",282,112
214,1285,"Das heilige Schwert","",283,112
215,1300,"Ouvertüre","",284,112
216,1301,"Die Wiege der Poesie","",285,112
217,1302,"Das Erbe der Barden","",286,112
218,1303,"Der hochmütige Narr","",287,112
219,1304,"Des Barden neue Kleider","",288,112
220,1305,"Requiem","",289,112
221,1320,"Das Auge des Drachen","",290,112
222,1321,"Lanzenlegenden","",291,112
223,1322,"Narben der Seele","",292,112
224,1323,"Doppel-Dragoon","",293,112
225,1324,"Fatale Versuchung","",294,112
226,1325,"Klüfte der Feindschaft","",295,112
227,1400,"Zwei Seiten der Wahrheit","",185,113
228,1401,"Aspirant beim Mahlstrom","",186,113
229,1402,"Flottentaler du musst wandern","",187,113
230,1403,"Elektronische Kriegsführung","",188,113
231,1404,"Rede zur Freiheit","",189,113
232,1405,"Blut für Erdseim","",190,113
233,1406,"Treueeid für den Mahlstrom","",191,113
234,1409,"Der Kerker von Toto-Rak (Limsa Lominsa)","",192,113
235,1410,"Die unterirdische Feste (Limsa Lominsa)","",193,113
236,1415,"Feuertaufe (Limsa Lominsa)","",194,113
237,1416,"Träume sind Schäume","",195,113
238,1417,"Der Gute, die Bösen und die Kobolde","",196,113
239,1418,"Manche mögen's scharf","",197,113
240,1419,"Kobold-Ränkeschmiede","",198,113
241,1425,"Ölkrise","",199,113
242,1426,"Cid und der Wolf","",200,113
243,1427,"Ausbluten lassen","",201,113
244,1428,"Deus ex Machina","",202,113
245,1429,"Die grausame Herrin der Stürme (Limsa Lominsa)","",203,113
246,1430,"Am Scheideweg (Limsa Lominsa)","",204,113
247,1431,"Auf der Siegerstraße (Limsa Lominsa)","",205,113
248,1432,"Mondsüchtig (Limsa Lominsa)","",206,113
249,1433,"Offizier zur See","",207,113
250,1600,"Ich bin die Axt, ich bin die Flamme","",208,113
251,1601,"Aspirant der Bruderschaft","",209,113
252,1602,"Ordenstaler, du musst wandern","",210,113
253,1603,"Unter Schutz und Undercover","",211,113
254,1604,"Die Summe der einzelnen Teile","",212,113
255,1605,"Traumatische Erlebnisse","",213,113
256,1606,"Treueeid für die Bruderschaft","",214,113
257,1609,"Der Kerker von Toto-Rak (Gridania)","",215,113
258,1610,"Die unterirdische Feste (Gridania)","",216,113
259,1615,"Feuertaufe (Gridania)","",217,113
260,1616,"Der Wald gibt, der Wald nimmt","",218,113
261,1617,"Individuelle Stärken","",219,113
262,1618,"Die Leiden der Gärtner","",220,113
263,1619,"Vom Winde verweht","",221,113
264,1625,"Eine Vorliebe für Totes","",222,113
265,1626,"Die linke und die rechte Hand des Schicksals","",223,113
266,1627,"Party platzen lassen","",224,113
267,1628,"Schuldlose Sühne","",225,113
268,1629,"Die grausame Herrin der Stürme (Gridania)","",226,113
269,1630,"Am Scheideweg (Gridania)","",227,113
270,1631,"Auf der Siegerstraße (Gridania)","",228,113
271,1632,"Mondsüchtig (Gridania)","",229,113
272,1633,"Immun gegen Pocken und Narben","",230,113
273,1800,"Stolz und Vorurteil","",231,113
274,1801,"Aspirant der Unsterblichen","",232,113
275,1802,"Legionstaler, du musst wandern","",233,113
276,1803,"Der Weg und seine Belagerer","",234,113
277,1804,"Wirklicher Wohlstand","",235,113
278,1805,"Der Verräter","",236,113
279,1806,"Treueeid für die Legion","",237,113
280,1809,"Der Kerker von Toto-Rak (Ul'dah)","",238,113
281,1810,"Die unterirdische Feste (Ul'dah)","",239,113
282,1815,"Feuertaufe (Ul'dah)","",240,113
283,1816,"Der böse Blick","",241,113
284,1817,"Wie du mir, so ich dir","",242,113
285,1818,"Nur das Beste auf die Bühne","",243,113
286,1819,"Nymeias Gnade","",244,113
287,1825,"Herausforderung angenommen","",245,113
288,1826,"Konfrontation mit der Vergangenheit","",246,113
289,1827,"Den Hahn zudrehn","",247,113
290,1828,"Fanal der Entscheidung","",248,113
291,1829,"Die grausame Herrin der Stürme (Ul'dah)","",249,113
292,1830,"Am Scheideweg (Ul'dah)","",250,113
293,1831,"Auf der Siegerstraße (Ul'dah)","",251,113
294,1832,"Mondsüchtig (Ul'dah)","",252,113
295,1833,"Ins Bockshorn gejagt","",253,113
