Index,0 [0x9][0x0],1 [0x9][0x4],2 [0x9][0x8],3 [0x9][0xc],4 [0x9][0x10],5 [0x6][0x24],6 [0x7][0x14],7 [0x7][0x18],8 [0x7][0x1c],9 [0x7][0x20]
1143829,65.69,8.0,-147.417,-0.492943,1.0,8,1000352,3,0,133
1143838,59.9526,8.0,-155.505,0.898783,1.0,8,1000355,3,0,133
1143840,68.321,8.21954,-170.52,-0.492778,1.0,8,1000357,3,0,133
1143848,73.4721,8.0,-160.876,0.274155,1.0,8,1000360,3,0,133
1144281,38.3518,-8.02965,113.63,2.53183,1.0,8,1000370,2,0,132
1144282,38.1178,-7.99759,112.596,1.33051,1.0,8,1000371,2,0,132
1144287,39.5361,-8.01274,112.138,-0.817481,1.0,8,1000372,2,0,132
1144288,40.0854,-8.04751,113.237,-1.81957,1.0,8,1000373,2,0,132
1144298,42.3359,-8.0,96.5492,-0.99159,1.0,8,1000375,2,0,132
1144339,30.8384,-8.0,112.23,2.23107,1.0,8,1000384,2,0,132
1145378,125.174,-7.00007,-71.1926,1.12275,1.0,8,1000403,4,0,148
1145489,124.529,-7.00002,-69.7795,1.59724,1.0,8,1000407,4,0,148
1145490,106.859,-8.0,-75.6695,2.56107,1.0,8,1000408,4,0,148
1145491,96.6964,-1.47549,-73.7774,2.0118,1.0,8,1000409,4,0,148
1145493,135.241,-7.00394,-67.0024,-0.16016,1.0,8,1000411,4,0,148
1145504,98.2528,-8.0,-78.4467,2.26491,1.0,8,1000421,4,0,148
1145542,109.787,-8.0,-73.7768,1.93043,1.0,8,1000432,4,0,148
1145806,204.761,-5.29493,-99.4431,-1.74766,1.0,8,1000430,4,0,148
1145816,201.857,-5.53917,-107.239,-1.84565,1.0,8,1000449,4,0,148
1145825,270.558,-5.59734,-9.659,-2.84591,1.0,8,1000455,4,0,148
1145832,286.946,-3.34274,-31.4489,2.36232,1.0,8,1000461,4,0,148
1145864,298.65,9.99998,119.054,0.955349,1.0,8,1000465,4,0,148
1145876,-58.9821,-0.0108589,26.4149,1.82964,1.0,8,1000470,4,0,148
1145877,-60.4612,0.199996,6.33173,0.686131,1.0,8,1000471,4,0,148
1146375,-44.1444,0.849802,-32.8566,-2.19865,1.0,8,1000473,4,0,148
1146376,-39.2978,-0.0130673,62.0525,-2.31179,1.0,8,1000474,4,0,148
1146378,27.0755,-6.86021,14.1599,-2.60152,1.0,8,1000476,4,0,148
1146380,11.647,-1.01489,21.0762,0.243049,1.0,8,1000478,4,0,148
1146385,85.515,-6.14784,67.0273,1.87417,1.0,8,1000483,4,0,148
1146387,2.07954,-7.91572,-22.1444,-2.4774,1.0,8,1000484,4,0,148
1146409,47.9891,-24.0294,228.552,1.33329,1.0,8,1000491,4,0,148
1146413,48.7962,-24.0021,220.072,1.75984,1.0,8,1000494,4,0,148
1146421,181.816,-32.118,321.814,-1.22758,1.0,8,1000501,4,0,148
1146422,182.53,-32.1646,320.408,0.793258,1.0,8,1000502,4,0,148
1146423,178.333,-32.0154,333.314,-2.17631,1.0,8,1000503,4,0,148
1146425,200.031,-32.0431,300.496,-0.131301,1.0,8,1000505,4,0,148
1146427,177.302,-31.997,312.825,1.34825,1.0,8,1000507,4,0,148
1146486,-187.457,4.44031,292.5,0.0413701,1.0,8,1000553,5,0,152
1146490,-180.958,1.69301,277.869,-0.663945,1.0,8,1000556,5,0,152
1146491,-206.043,2.66286,303.975,1.67278,1.0,8,1000557,5,0,152
1146495,-230.182,3.54468,279.072,-2.27344,1.0,8,1000561,5,0,152
1146504,18.9059,6.19563,400.504,-1.00981,1.0,8,1000569,5,0,152
1146512,21.4694,-4.5625,221.79,0.0100188,1.0,8,1000576,5,0,152
1146514,101.579,8.13301,187.793,-1.22629,1.0,8,1000578,5,0,152
1146516,25.6598,-3.68202,209.979,-0.305571,1.0,8,1000580,5,0,152
1146520,44.7852,-2.17215,231.861,-2.00279,1.0,8,1000584,5,0,152
1146521,25.5883,-5.74209,241.655,-1.68515,1.0,8,1000585,5,0,152
1146523,-7.21756,-8.37725,268.238,-0.231215,1.0,8,1000587,5,0,152
1146551,-165.911,9.86923,-81.3154,-0.954774,1.0,8,1000590,6,0,153
1146555,-167.895,9.86827,-76.6766,-2.2884,1.0,8,1000594,6,0,153
1146556,-174.426,9.86923,-85.3743,-0.245009,1.0,8,1000595,6,0,153
1146560,-170.81,9.96413,-84.1294,2.49616,1.0,8,1000598,6,0,153
1146730,-198.542,9.21282,-35.335,-1.71503,1.0,8,1000604,6,0,153
1146735,-207.61,8.43974,-71.0374,-2.57447,1.0,8,1000609,6,0,153
1146873,357.983,8.93414,214.492,2.30237,1.0,8,1000612,7,0,154
1146883,329.793,-4.93758,320.851,-2.48638,1.0,8,1000622,7,0,154
1146888,301.167,-5.57012,321.126,-3.11072,1.0,8,1000627,7,0,154
1146890,345.51,-5.56958,343.892,-3.0902,1.0,8,1000629,7,0,154
1146893,328.267,-4.9947,321.797,-2.52799,1.0,8,1000632,7,0,154
1146896,322.257,-6.63334,-57.7268,-1.17787,1.0,8,1000635,7,0,154
1146901,320.543,-5.8932,-79.8655,1.72091,1.0,8,1000640,7,0,154
1146918,400.656,-5.88625,-104.875,-2.58638,1.0,8,1000656,7,0,154
1146933,384.665,-5.81974,-136.462,-4.31509E-4,1.0,8,1000671,7,0,154
1147908,58.7319,8.0,-138.537,2.5417,1.0,8,1000681,3,0,133
1161162,287.953,-3.34274,-32.6086,-1.06062,1.0,8,1000685,4,0,148
1161182,-153.124,3.99997,-31.4794,1.91612,1.0,8,1000179,3,0,133
1161187,-164.313,4.18506,-17.4719,1.40116,1.0,8,1000315,3,0,133
1161195,-234.028,-4.00022,-11.0628,-1.43883E-4,1.0,8,1000323,3,0,133
1170781,71.9768,8.0,-166.522,-0.174925,1.0,8,1000691,3,0,133
1170790,56.5041,7.99873,-132.097,-1.15698,1.0,8,1000429,3,0,133
1170796,-258.808,-5.7735,-27.2374,0.758038,1.0,8,1000692,3,0,133
1170797,-260.365,-5.77437,-26.4439,1.11134,1.0,8,1000693,3,0,133
1170810,-243.152,-4.00016,-7.91948,1.16369,1.0,8,1000705,3,0,133
1170823,-1.79828,-5.24436,-21.6366,0.0,1.0,8,1000007,1,0,1
1171651,-66.3545,-3.89586,67.0287,0.643035,1.0,8,1000686,2,0,132
1172243,40.7841,2.54821,18.4749,-0.175884,1.0,8,1000159,2,0,132
1317430,-125.22,4.15738,-43.5703,2.75425,1.0,8,1000748,4,0,148
1317436,-56.3602,-0.0316374,40.9902,-1.7608,1.0,8,1000742,4,0,148
1317437,-66.7318,0.199935,11.3974,1.73109,1.0,8,1000741,4,0,148
1317440,-41.4893,0.465593,-29.6988,2.85416,1.0,8,1000738,4,0,148
1317441,-61.4946,-0.015307,22.5085,-0.43324,1.0,8,1000737,4,0,148
1317444,-2.52672,-1.18251,39.9722,-1.10197,1.0,8,1000734,4,0,148
1317561,-108.322,-7.36137,90.1413,2.55675,4.0,40,0,2,0,132
1317627,-304.026,63.4486,-281.189,-0.0369263,4.0,40,0,4,0,148
1332293,-3.75892,-5.85948,217.281,1.7507,1.0,8,1000563,5,0,152
1332304,20.6889,24.3085,392.58,-0.054153,0.96,8,1000756,5,0,152
1332305,21.2286,24.3005,393.391,-1.01307,0.96,8,1000757,5,0,152
1332314,218.918,-28.2527,338.405,-2.40222,0.96,8,1000764,7,0,154
1332324,172.352,15.5,-89.9215,-1.64249,0.96,8,1000768,3,0,133
1335373,9.02541,-2.76752,24.6717,0.0,10.0,9,14,1,0,1
1335374,2.22597,-3.19324,23.9953,0.0,10.0,9,15,1,0,1
1353014,-140.124,6.65111,-114.305,2.80708,1.0,8,1000786,3,0,133
1354415,6.66016,1.14415,-11.7732,0.0,1.0,8,1000156,2,0,132
1354953,-53.5745,7.20226,-118.334,3.03239,1.0,8,1000286,3,0,133
1354961,-62.028,7.17541,-117.601,-1.04509,1.0,8,1000288,3,0,133
1355100,-43.8697,7.08959,-136.706,-0.646918,1.0,8,1000788,3,0,133
1355101,-33.7665,7.31705,-117.046,-1.06477,1.0,8,1000789,3,0,133
1355684,6.34115,-2.65458,-14.3981,-4.80078E-5,1.0,14,30006,0,0,0
1356465,-326.867,12.7763,-79.6256,1.54257,2.26591,40,0,9,0,169
1356886,-112.599,-39.1847,336.322,-0.986146,1.0,40,0,4,0,148
1359055,0.0482817,0.00699988,-6.17294,0.0,1.0,40,0,26,0,177
1359056,-0.0292756,1.0,-6.52913,0.0,1.0,40,0,27,0,178
1359058,0.00959539,1.0,5.9065,-3.14159,1.0,40,0,28,0,179
1359063,32.9746,2.2,30.0094,0.0,1.8,6,0,2,0,132
1359064,40.1767,1.19993,33.5491,-2.0572,2.0,40,0,2,0,132
1359244,-196.215,3.10004,291.934,1.0742,2.0,40,0,5,0,152
1359648,185.686,9.21862,-74.6898,-0.828473,4.0,40,0,6,0,153
1359652,-31.4935,-39.9006,238.436,-1.95462,2.0,40,0,7,0,154
1360024,7.95696,-1.99396,-0.167396,-1.48259,10.0,9,17,1,0,1
1360028,-3.1723,-3.02546,-10.7961,0.0,1.0,8,1000001,1,0,0
1360029,1.34413,-2.45959,-8.4565,0.0,1.0,8,1000002,2,0,0
1360030,6.17139,-2.63949,-8.66989,0.0,1.0,8,1000003,3,0,0
1360031,-0.0797911,-2.02945,-2.23439,0.0,1.0,8,1000004,4,0,0
1360097,3.41372,-3.84332,-14.6921,0.0,1.0,45,2000002,1,0,1
1360098,4.7673,-4.96765,-20.0216,0.0,10.0,9,17,1,0,1
1369074,-3.95773,-2.02945,-2.4964,0.0,10.0,9,53,1,0,1
1369248,-5.46271,-1.14252,27.215,0.0,10.0,9,2,1,0,5
1369269,0.939588,-5.28278,-21.8981,0.0,10.0,9,2,1,0,1
1369401,-56.7508,-1.71721,7.90794,0.994869,1.0,8,1000193,2,0,132
1369484,-11.9622,-2.34468,21.0327,0.0,10.0,9,10,1,0,5
1381038,177.513,-1.80235,-243.873,-1.61042,4.0,40,0,3,0,133
1381039,-568.52,9.04242,77.1087,2.51087,4.0,40,0,5,0,152
1411063,-11.4625,-4.2937,16.0426,0.0,10.0,9,12,1,0,5
1411219,-2.30986,-2.02948,3.1762,0.0,1.0,8,1000064,1,0,5
1419630,-8.94476,-3.61912,16.6817,0.0,10.0,9,2,1,0,5
1436586,-3.29822,-2.02945,-2.00198,0.0,10.0,9,17,1,0,5
1450085,400.0,-4.95893,79.5273,0.0,1.0,45,2000008,7,0,154
1450086,358.762,-2.82832,4.70155,-4.80078E-5,1.6,45,2000009,7,0,154
1450088,429.423,-0.461507,65.1552,-1.13381,10.0,9,113,7,0,154
1475678,314.361,14.178,157.044,0.20944,1.0,8,1000512,4,0,148
1475679,303.939,15.9695,160.887,0.85515,1.0,8,1000513,4,0,148
1475680,296.348,16.0263,171.515,-1.46542,1.0,8,1000514,4,0,148
1475681,291.579,19.9309,175.238,-2.08573,1.0,8,1000515,4,0,148
1475682,285.638,21.5718,186.366,1.73692,1.0,8,1000516,4,0,148
1481412,333.364,-6.45991,-69.749,-2.72549,1.0,8,1000324,7,0,154
1481516,263.145,-6.19133,1.12855,0.0,1.0,45,2000016,4,0,148
1481517,286.467,-6.17354,30.9035,-4.80078E-5,1.0,45,2000017,4,0,148
1481518,311.491,-5.31084,25.1831,-4.80078E-5,1.0,45,2000018,4,0,148
1506869,-89.4637,3.30513,-168.898,-0.227368,1.0,8,1000393,6,0,153
1507885,-63.0961,6.9591,-110.826,-1.24458,0.991789,45,2000020,3,0,133
1507886,-37.9782,6.02701,-101.743,2.80703,0.991789,45,2000021,3,0,133
1507887,-52.7189,6.76686,-109.954,2.12672,0.991789,45,2000022,3,0,133
1507888,-43.7782,6.49996,-85.771,2.67649,0.991789,45,2000023,3,0,133
1507889,-53.7576,6.49996,-89.5247,-1.13568,0.991789,45,2000024,3,0,133
1507890,-47.776,5.72209,-99.4126,-4.80055E-5,0.991789,45,2000025,3,0,133
1508072,-184.865,12.0099,-160.723,-4.31452E-4,0.930753,45,2000026,3,0,133
1508073,-191.219,12.8262,-159.659,-5.27271E-4,0.900235,45,2000027,3,0,133
1508074,-204.913,11.6943,-156.664,-8.14897E-4,0.900235,45,2000028,3,0,133
1508075,-209.817,10.8851,-158.086,-9.10772E-4,0.900235,45,2000029,3,0,133
1508076,-218.429,8.15664,-167.212,-5.27271E-4,0.900235,45,2000030,3,0,133
1508077,-219.144,7.4788,-171.035,-7.19077E-4,0.930753,45,2000031,3,0,133
1513724,32.4043,-6.95022,160.048,-2.28839,6.0,9,102,9,0,169
1516983,396.048,-4.29259,-96.2997,0.792936,1.0,8,1000753,7,0,154
1536319,1.98049,-4.60818,-17.8352,0.0,1.0,5,0,1,0,5
1536320,2.15173,-4.96846,-19.8074,0.0,1.0,5,0,1,0,5
1536321,2.21926,-5.32838,-22.2082,0.0,1.0,5,0,1,0,5
1536322,1.8733,-5.74799,-24.7685,0.0,1.0,5,0,1,0,5
1556884,357.776,-3.1602,14.1829,-3.11814,1.0,5,0,7,0,154
1556885,355.992,-2.80397,4.14088,0.235935,1.0,5,0,7,0,154
1565640,-233.936,6.6888,-171.038,-2.24689,1.0,8,1000815,3,0,133
1608808,8.4336,-2.86722,25.9388,0.0,2.0,51,0,1,0,1
1612123,32.4599,-2.67562,18.5921,0.0,1.0,51,0,1,0,1
1612124,6.75458,3.26195,36.9276,0.0,2.0,51,0,1,0,1
1612125,36.7883,-4.01383,-4.96934,0.0,1.0,51,0,1,0,1
1612140,3.12688,-3.78108,-14.1224,0.0,1.0,51,0,1,0,1
1625530,8.61724,-1.83314,4.4024,0.0,2.67729,49,5000000,1,0,1
1646078,-212.695,1.04061,285.634,0.593612,1.0,8,1000821,5,0,152
1646137,0.374601,-4.63322,-54.512,-0.698106,12.3363,40,0,4,0,148
1646204,7.88335,-3.99282,-45.0843,0.0,5.44995,40,0,4,0,148
1646211,10.382,-4.13573,-55.7682,-0.21478,5.17897,40,0,4,0,148
1646213,-13.1834,-4.78124,-67.3709,0.0678374,8.04316,40,0,4,0,148
1671312,148.089,15.5,-272.236,-1.18603,1.0,8,1000730,3,0,133
1672782,55.005,-6.00002,40.8088,-1.49417,1.0,8,1000105,4,0,148
1673081,20.2978,40.1999,-6.1024,-1.16564,1.0,8,1000972,11,0,128
1673086,-61.1228,42.3471,-164.035,-1.43766E-4,1.0,8,1000946,11,0,128
1673087,-54.6426,43.9917,-151.202,-2.36587,1.0,8,1000947,11,0,128
1673088,-49.2409,43.9917,-146.38,2.30949,1.0,8,1000957,11,0,128
1673089,-83.9854,40.9705,-147.561,-0.724936,1.0,8,1000948,11,0,128
1673096,-10.037,44.9998,-245.779,2.18654,1.0,8,1000926,11,0,128
1673098,-1.18483,44.9683,-255.865,1.32792,1.0,8,1000927,11,0,128
1673101,-12.2225,44.9988,-251.85,1.77556,1.0,8,1000937,11,0,128
1673103,-4.65169,45.0184,-241.815,1.30913,1.0,8,1000938,11,0,128
1673109,-52.0062,42.7995,192.248,1.6529,1.0,8,1000995,11,0,128
1673110,-51.6517,42.7998,190.44,1.6792,1.0,8,1000998,11,0,128
1673111,-32.0117,41.5,208.397,1.10941,1.0,8,1001000,11,0,128
1673112,-31.2658,44.48,185.534,-0.0115748,1.0,8,1000997,11,0,128
1673135,-30.1366,41.4891,212.405,-1.62758,1.0,8,1001009,11,0,128
1673137,-61.9746,42.4879,201.87,-2.17655,1.0,8,1001011,11,0,128
1673144,-56.4414,39.9735,178.733,-2.88427,1.0,8,1001001,11,0,128
1673157,28.5373,44.48,176.409,-2.05914,1.0,8,1001024,11,0,128
1673273,-341.726,11.9995,35.0828,0.333491,1.0,8,1000914,12,0,129
1673275,-335.744,12.8938,1.38849,-0.150764,1.0,8,1000895,12,0,129
1673577,-155.077,4.04358,202.716,-0.380385,1.0,8,1000856,12,0,129
1673578,-165.27,5.23383,164.294,2.00902,1.0,8,1000857,12,0,129
1673744,15.4269,39.9939,12.4665,-1.72638,1.0,8,1000974,11,0,128
1673771,-4.1657,39.5055,2.7618,-0.0251676,1.0,8,1000980,11,0,128
1673773,5.2894,39.5176,-6.214,2.89097,1.0,8,1000984,11,0,128
1674187,8.52576,39.5176,3.5764,-0.614663,1.0,8,1000981,11,0,128
1697365,2.75483,-4.01105,-15.0003,3.09553,1.0,5,0,1,0,5
1697366,-4.38602,-4.27685,-15.9592,1.5696,1.0,5,0,1,0,5
1697367,0.936419,-4.249,-15.9087,1.7457,1.0,5,0,1,0,5
1699226,260.204,23.9551,192.23,-1.36186,1.0,8,1000740,4,0,148
1776015,375.934,-32.0405,438.761,-4.80078E-5,1.0,45,2000042,4,0,148
1843589,148.353,15.6849,-272.862,-1.56576,1.0,5,0,3,0,133
1886381,-56.0464,-32.1813,427.146,-4.80055E-5,0.991789,45,2000043,4,0,148
1886902,-62.3705,-31.5886,424.233,1.72021,10.0,9,39,4,0,148
1886903,-52.4009,-32.9634,427.468,-1.93136,10.0,9,39,4,0,148
1887083,-33.7917,-36.6152,466.892,0.881145,10.0,9,39,4,0,148
1887164,-24.2919,-36.4773,474.002,-2.53382,10.0,9,39,4,0,148
1887165,-97.1132,-35.4053,481.443,1.6829,10.0,9,39,4,0,148
1887166,-90.6388,-35.925,478.014,-1.26349,10.0,9,39,4,0,148
1888505,157.255,15.9003,-274.971,-0.804081,1.0,5,0,3,0,133
1888508,157.884,15.9004,-273.054,-1.77259,1.0,5,0,3,0,133
1888510,162.068,15.9004,-274.669,-1.4013,1.0,5,0,3,0,133
1904987,84.1143,44.428,132.36,-2.31522,1.0,8,1000918,11,0,128
1904988,46.6774,44.6599,137.102,-2.56394,1.0,8,1000919,11,0,128
1904989,84.7943,44.4,132.01,-1.2163,1.0,8,1000920,11,0,128
1928211,25.6522,-8.0,115.461,-1.41437,1.0,5,0,2,0,183
1931827,-28.6257,-36.386,472.592,-4.80078E-5,1.0,45,2000044,4,0,148
1931829,-94.1696,-35.1446,478.374,-1.43883E-4,1.0,45,2000045,4,0,148
1933046,-189.589,-26.5265,295.984,0.0,1.0,45,2000053,4,0,148
1943223,380.804,-31.6026,439.033,-1.87101,10.0,9,45,4,0,148
1943224,378.628,-31.6331,435.711,-1.0945,10.0,9,45,4,0,148
1943225,378.506,-31.7304,441.804,-2.29413,10.0,9,45,4,0,148
1985113,23.7888,-8.0,115.862,2.05774,1.0,8,1001140,2,0,183
1985150,117.126,-12.5101,143.661,1.40568,1.0,8,1001148,2,0,183
1991469,-7.10756,13.3837,35.4642,-1.57045,1.0,5,0,4,0,148
1991470,-46.3736,-0.0264131,29.8535,-2.11831,1.0,5,0,4,0,148
1991471,-49.319,-0.0245575,29.434,1.89265,1.0,5,0,4,0,148
1991472,-47.2288,-0.0363469,33.7229,0.110731,1.0,5,0,4,0,148
1991473,-47.7354,-0.0343947,31.6523,-2.61009,1.0,5,0,4,0,148
1991517,143.905,-13.2361,159.089,-2.11556,1.0,5,0,2,0,183
1992204,300.234,10.079,121.201,-2.97007,1.0,5,0,4,0,148
1992205,299.534,9.74317,125.084,-2.05863,1.0,5,0,4,0,148
1992206,300.917,10.0875,119.437,-1.41703,1.0,5,0,4,0,148
1992272,260.514,23.983,193.491,-1.4786,1.0,5,0,4,0,148
1999920,-262.645,-4.64235,-30.6554,0.0,1.0,45,2000070,3,0,133
1999921,-256.014,-4.63233,-14.6018,0.0,1.0,45,2000071,3,0,133
2003607,277.168,-6.77513,-32.6562,0.0,4.0,51,0,7,0,154
2004961,295.806,-9.39194,-1.18057,0.0,4.0,51,0,7,0,154
2004962,293.082,-17.7179,129.711,0.0,4.0,51,0,7,0,154
2029185,357.888,-3.06812,11.4288,3.05279,1.0,5,0,7,0,154
2039695,-326.424,21.0,171.868,-0.0777649,1.0,5,0,4,0,148
2039696,-326.465,21.0,176.268,0.0,1.0,5,0,4,0,148
2039698,-332.992,21.0,190.385,-3.00134,1.0,5,0,4,0,148
2040799,-333.506,21.0,184.574,2.78757,1.0,5,0,4,0,148
2040800,-330.178,21.0,175.777,-0.3672,1.0,5,0,4,0,148
2040802,-335.526,21.0,165.987,0.489215,1.0,5,0,4,0,148
2040804,-316.993,20.9999,167.479,-0.990762,1.0,5,0,4,0,148
2040806,-314.395,20.9999,176.02,-1.54037,1.0,5,0,4,0,148
2040811,128.994,24.9537,-305.208,-0.222907,4.0,40,0,4,0,148
2048050,150.164,8.78223,-56.3211,-1.33118,1.0,8,1001186,6,0,153
2065749,-416.367,0.129451,61.0162,-0.910096,1.0,8,1001194,5,0,152
2065853,318.39,-15.5415,168.311,0.0,4.0,51,0,7,0,154
2065903,-48.085,-0.0225575,28.9836,-0.222316,1.0,5,0,4,0,148
2065906,-47.1111,-0.033278,31.4009,-2.60498,1.0,5,0,4,0,148
2065907,-49.7379,-0.032501,31.2248,2.45482,1.0,5,0,4,0,148
2073860,-136.165,18.1734,12.2894,0.11202,1.0,8,1001202,12,0,129
2073865,-156.603,18.1734,20.92,0.640399,1.0,8,1001203,12,0,129
2073867,-129.503,18.1734,28.6106,-2.37584,1.0,8,1001204,12,0,129
2073875,-236.478,16.1898,37.071,-0.118663,1.0,8,1001205,12,0,129
2073876,-247.12,16.1898,51.8654,-3.09375,1.0,8,1001206,12,0,129
2073881,-258.137,16.1898,54.0626,-2.77995,1.0,8,1001207,12,0,129
2073885,-103.746,18.5003,16.0677,-0.538867,1.0,8,1001209,12,0,129
2073887,-228.168,15.9761,50.6446,-2.48523,1.0,8,1001208,12,0,129
2078731,20.4603,6.10887,402.114,2.68268,1.0,5,0,5,0,152
2078732,105.856,10.3106,470.037,1.1996,1.0,5,0,5,0,152
2078734,108.098,10.6909,474.902,0.0,1.0,5,0,5,0,152
2083854,-49.5461,2.88391,-45.6703,-2.42109,1.0,8,1004742,6,0,192
2083855,-73.2635,4.5346,-40.9151,-3.12788,2.61628,40,0,6,0,192
2083856,-27.2134,0.137707,-47.3905,-1.4907,5.32527,59,0,6,0,192
2083857,-23.3836,-1.3396,-49.2117,0.087061,3.21577,57,0,6,0,192
2083858,-106.74,4.40919,-56.9374,1.66309,2.52577,59,0,6,0,192
2083859,-114.073,3.23102,-53.5637,0.0785601,7.00784,57,0,6,0,192
2083860,-104.127,4.47789,-57.1743,1.83235,2.11592,40,0,6,0,192
2083861,-69.6931,3.40678,-91.4298,-1.50552,15.4887,40,0,6,0,192
2083862,-87.0575,2.55335,-165.293,0.0535458,4.07377,40,0,6,0,192
2083864,-86.9069,1.0669,-151.757,-4.80078E-5,0.0,9,144,6,0,192
2083866,-89.128,1.05282,-152.88,1.32773,0.0,9,147,6,0,192
2083867,-96.3913,3.09753,-102.159,-0.314423,0.0,9,145,6,0,192
2083868,-98.2834,4.13515,-102.159,1.10233,0.0,9,145,6,0,192
2083870,-90.3013,0.713917,-121.844,-1.43883E-4,0.0,9,145,6,0,192
2083876,-90.5318,0.74762,-129.259,0.515282,0.0,9,145,6,0,192
