Index,0 [0x6][0x0],1 [0x3][0x24],2 [0x3][0x25],3 [0x6][0x4],4 [0x6][0x8],5 [0x6][0xc],6 [0x6][0x10],7 [0x6][0x14],8 [0x6][0x18],9 [0x6][0x1c],10 [0x6][0x20],11 [0x19][0x26]
116,0,30,0,497,0,0,0,0,0,0,0,false
117,0,35,0,498,499,0,0,0,0,0,0,false
118,0,35,0,500,0,0,0,0,0,0,0,false
119,0,35,0,501,0,0,0,0,0,0,0,false
120,0,35,0,502,0,0,0,0,0,0,0,false
121,0,40,0,503,504,0,0,0,0,0,0,false
122,0,40,0,505,0,0,0,0,0,0,0,false
123,0,40,0,506,0,0,0,0,0,0,0,false
124,0,40,0,507,508,0,0,0,0,0,0,false
125,0,45,0,509,510,0,0,0,0,0,0,false
126,0,45,0,511,0,0,0,0,0,0,0,false
127,0,45,0,512,0,0,0,0,0,0,0,false
128,0,45,0,513,514,0,0,0,0,0,0,false
129,0,50,0,515,516,0,0,0,0,0,0,false
130,0,50,0,517,0,0,0,0,0,0,0,false
131,1,50,0,518,0,0,0,0,0,0,0,false
132,0,50,0,519,520,0,0,0,0,0,0,false
133,3,35,0,144,207,166,221,0,0,0,5,false
134,3,35,0,194,192,203,167,0,0,0,6,false
135,2,40,0,0,0,0,0,0,0,0,3,false
136,2,40,0,0,0,0,0,0,0,0,2,false
137,2,40,0,102,130,125,101,0,0,0,6,false
138,2,30,0,0,0,0,0,29,25,0,6,false
139,2,30,0,0,0,0,0,30,25,7,1,false
140,3,40,0,164,184,0,0,0,0,0,2,false
141,3,40,0,191,142,160,0,0,0,0,6,false
142,2,45,0,119,131,0,0,0,0,0,2,false
143,3,45,0,155,181,208,163,0,0,0,4,false
144,2,50,0,0,0,0,0,26,0,0,1,false
145,2,40,0,0,0,0,0,0,0,0,0,false
146,2,50,0,0,0,0,0,26,0,0,6,false
147,2,50,0,140,139,0,0,0,0,0,3,false
148,2,10,0,116,115,0,0,0,0,0,5,false
149,3,50,0,156,199,222,0,0,0,0,5,false
150,1,50,0,0,0,0,0,26,0,10,4,false
151,1,50,0,0,0,0,0,26,0,0,6,false
152,0,10,0,61,217,0,0,0,0,0,4,false
153,0,5,0,75,73,0,0,0,0,3,5,false
154,0,5,0,75,73,0,0,0,0,1,6,false
155,0,10,0,71,67,63,0,0,0,0,5,false
156,0,10,0,71,67,63,68,0,0,0,6,false
157,0,5,0,69,0,0,0,0,0,3,5,false
158,0,15,0,0,0,74,0,0,0,0,6,false
159,1,15,0,92,95,82,0,0,0,0,6,false
160,0,20,0,58,55,38,0,0,0,0,1,false
161,0,20,0,51,70,0,0,0,0,0,2,false
162,1,30,0,0,0,0,0,29,25,0,6,false
163,1,30,0,0,0,0,0,34,25,0,3,false
164,1,20,0,0,0,0,0,24,0,0,1,false
165,2,30,0,0,0,0,0,32,25,8,2,false
166,1,20,0,93,218,0,0,0,0,0,2,false
167,1,25,0,86,98,90,0,0,0,0,4,false
168,0,30,0,76,297,0,0,0,0,0,1,false
169,1,30,0,84,88,0,0,0,0,0,5,false
170,2,5,0,0,0,0,0,0,0,536,2,false
171,2,30,0,0,0,0,33,31,25,10,4,false
172,1,30,0,0,0,0,0,30,25,0,1,false
173,2,30,0,0,0,0,0,34,25,9,3,false
174,1,30,0,0,0,0,0,35,25,0,5,false
175,2,30,0,0,0,0,0,35,25,11,5,false
176,1,30,0,99,83,0,0,0,0,0,4,false
177,0,35,0,56,77,0,0,0,0,0,5,false
178,0,35,0,57,37,219,0,0,0,0,3,false
179,0,35,0,36,41,43,0,0,0,0,6,false
180,0,40,0,46,45,0,0,0,0,0,2,false
181,0,5,0,0,0,0,0,0,0,526,4,false
182,1,40,0,0,0,0,0,0,0,0,0,false
183,1,30,0,0,0,0,33,31,25,0,4,false
184,2,30,0,0,0,0,0,29,25,12,6,false
185,0,45,0,39,62,0,0,0,0,0,1,false
186,0,45,0,50,72,0,0,0,0,0,4,false
187,0,10,0,44,0,0,0,0,0,0,4,false
188,2,40,0,0,0,0,0,0,0,9,3,false
189,0,50,0,65,40,64,53,0,0,0,3,false
190,0,20,0,48,0,0,0,0,0,0,4,false
191,1,50,0,0,0,0,0,26,0,0,3,false
192,1,50,0,0,0,0,0,26,0,0,2,false
193,1,50,0,0,0,0,0,26,0,0,4,false
194,1,15,0,87,89,216,0,0,0,0,5,false
195,2,40,0,0,0,0,0,0,0,8,2,false
196,2,40,0,0,0,0,0,0,0,0,0,false
197,2,50,0,0,0,0,0,26,0,7,1,false
198,2,50,0,0,0,0,0,26,0,12,6,false
199,2,50,0,0,0,0,0,26,0,11,5,false
200,1,30,0,0,0,0,0,34,25,9,3,false
201,1,30,0,0,0,0,0,30,25,7,1,false
202,1,30,0,0,0,0,0,35,25,11,5,false
203,1,30,0,0,0,0,33,31,25,10,4,false
204,1,30,0,0,0,0,0,29,25,12,6,false
205,1,30,0,0,0,0,0,32,25,8,2,false
206,0,5,0,0,0,0,0,0,0,528,5,false
207,1,40,0,0,0,0,0,0,0,0,0,false
208,0,5,0,0,0,0,0,0,0,530,2,false
209,1,50,0,0,0,0,0,26,0,9,3,false
210,1,50,0,0,0,0,0,26,0,8,2,false
211,2,50,0,120,0,0,0,0,0,0,0,true
212,2,50,0,107,0,0,0,0,0,0,0,true
213,2,50,0,129,0,0,0,0,0,0,0,true
214,2,50,0,173,245,0,0,0,0,0,0,true
215,2,50,0,13,14,15,16,27,17,18,0,true
216,3,50,0,212,0,0,0,0,0,0,0,true
217,3,50,0,168,0,0,0,0,0,0,0,true
218,3,50,0,169,195,0,0,0,0,0,0,true
219,3,50,0,177,244,0,0,0,0,0,0,true
220,3,50,0,174,235,0,0,0,0,0,0,true
221,3,50,0,182,296,0,0,0,0,0,0,true
222,0,50,0,60,0,0,0,0,0,0,0,true
223,0,50,0,42,59,294,0,0,0,0,0,true
224,1,50,0,85,0,0,0,0,0,0,0,true
225,1,50,0,91,0,0,0,0,0,0,0,true
226,1,50,0,79,0,0,0,0,0,0,0,true
227,1,50,0,13,14,15,16,27,17,18,0,true
228,2,50,0,0,0,0,0,0,0,0,0,false
229,1,50,0,0,0,0,0,0,0,0,0,false
230,2,50,0,270,0,0,0,0,0,0,0,true
231,2,50,0,272,0,0,0,0,0,0,0,true
232,2,50,0,275,283,0,0,0,0,0,0,true
233,3,50,0,271,0,0,0,0,0,0,0,true
234,3,50,0,273,0,0,0,0,0,0,0,true
235,3,50,0,274,0,0,0,0,0,0,0,true
236,0,50,0,266,280,279,0,0,0,0,0,true
237,0,50,0,267,277,278,0,0,0,0,0,true
238,0,50,0,268,281,0,0,0,0,0,0,true
239,1,50,0,258,13,0,0,0,0,0,0,true
240,1,50,0,261,265,0,0,0,0,0,0,true
241,1,50,0,264,18,0,0,0,0,0,0,true
242,2,50,0,269,0,0,0,0,0,0,0,true
243,2,5,0,0,0,0,0,0,0,532,4,false
244,2,5,0,0,0,0,0,0,0,534,5,false
245,2,50,0,282,0,0,0,0,0,0,0,true
246,1,50,0,276,0,0,0,0,0,0,0,true
247,0,50,0,285,0,0,0,0,0,0,0,true
248,2,50,0,286,0,0,0,0,0,0,0,true
249,2,50,0,288,0,0,0,0,0,0,0,true
250,1,50,0,287,0,0,0,0,0,0,0,true
251,3,50,0,291,0,0,0,0,0,0,0,true
252,0,50,0,290,0,0,0,0,0,0,0,true
253,3,55,0,541,542,0,0,0,0,0,0,false
254,3,55,0,543,0,0,0,0,0,0,0,false
255,2,55,0,544,545,0,0,0,0,0,0,false
256,3,55,0,546,547,0,0,0,0,0,0,false
257,3,55,0,548,0,0,0,0,0,0,0,false
258,2,55,0,549,0,0,0,0,0,0,0,false
259,3,55,0,550,551,0,0,0,0,0,0,false
260,3,55,0,552,0,0,0,0,0,0,0,false
261,3,55,0,553,554,0,0,0,0,0,0,false
262,2,60,0,555,0,0,0,0,0,0,0,false
263,3,60,0,556,0,0,0,0,0,0,0,false
264,3,60,0,557,558,0,0,0,0,0,0,false
265,2,60,0,559,560,0,0,0,0,0,0,false
266,3,60,0,561,0,0,0,0,0,0,0,false
267,2,60,0,562,563,0,0,0,0,0,0,false
268,0,55,0,564,565,0,0,0,0,0,0,false
269,0,55,0,566,0,0,0,0,0,0,0,false
270,0,55,0,567,568,0,0,0,0,0,0,false
271,0,55,0,569,570,0,0,0,0,0,0,false
272,0,55,0,571,0,0,0,0,0,0,0,false
273,0,55,0,572,0,0,0,0,0,0,0,false
274,0,55,0,573,574,0,0,0,0,0,0,false
275,1,55,0,575,0,0,0,0,0,0,0,false
276,0,55,0,576,577,0,0,0,0,0,0,false
277,0,60,0,578,0,0,0,0,0,0,0,false
278,1,60,0,579,0,0,0,0,0,0,0,false
279,0,60,0,580,581,0,0,0,0,0,0,false
280,0,60,0,582,583,0,0,0,0,0,0,false
281,0,60,0,584,0,0,0,0,0,0,0,false
282,0,60,0,585,586,0,0,0,0,0,0,false
283,0,0,0,0,0,0,0,0,0,0,0,false
284,0,50,0,298,0,0,0,0,0,0,8,false
285,0,55,0,300,316,0,0,0,0,0,8,false
286,0,55,0,306,305,0,0,0,0,0,7,false
287,0,55,0,303,302,304,0,0,0,0,7,false
288,1,55,0,299,0,0,0,0,0,0,8,false
289,0,60,0,311,0,0,0,0,0,0,8,false
290,0,60,0,308,317,0,0,0,0,0,7,false
291,0,60,0,312,319,0,0,0,0,0,9,false
292,1,60,0,309,314,0,0,0,0,0,10,false
293,0,60,0,310,315,0,0,0,0,11,12,false
294,2,50,0,343,342,0,0,0,0,0,8,false
295,2,55,0,349,350,0,0,0,0,0,7,false
296,3,55,0,344,346,0,0,0,0,0,8,false
297,3,55,0,345,348,0,0,0,0,0,7,false
298,3,55,0,353,0,0,0,0,0,0,10,false
299,2,60,0,358,362,0,0,0,0,0,12,false
300,3,60,0,359,360,0,0,0,0,0,8,false
301,3,60,0,354,0,0,0,0,0,0,7,false
302,3,60,0,361,0,0,0,0,0,0,10,false
303,3,60,0,355,0,0,0,0,0,0,11,false
304,3,60,0,356,363,0,0,0,0,0,9,false
305,1,60,0,328,0,0,0,0,0,0,17,false
306,0,60,0,588,0,0,0,0,0,0,14,false
307,1,60,0,327,0,0,0,0,0,0,13,false
308,0,60,0,590,0,0,0,0,0,0,13,false
309,1,60,0,327,0,0,0,0,0,0,13,false
310,0,60,0,589,0,0,0,0,0,0,15,false
311,1,60,0,327,0,0,0,0,0,0,13,false
312,0,60,0,587,0,0,0,0,0,0,16,false
313,1,60,0,328,0,0,0,0,0,0,17,false
314,0,60,0,591,0,0,0,0,0,0,18,false
315,0,50,0,320,0,0,0,0,0,0,0,true
316,0,55,0,321,324,323,0,0,0,0,0,true
317,1,55,0,325,322,0,0,0,0,0,0,true
318,1,60,0,326,330,0,0,0,0,0,0,true
319,0,60,0,329,331,0,0,0,0,0,0,true
320,0,60,0,318,0,0,0,0,0,0,0,true
321,1,60,0,337,0,0,0,0,0,0,0,true
322,1,60,0,338,0,0,0,0,0,0,0,true
323,0,60,0,334,0,0,0,0,0,0,0,true
324,1,60,0,335,0,0,0,0,0,0,0,true
325,1,60,0,339,0,0,0,0,0,0,0,true
326,0,60,0,336,0,0,0,0,0,0,0,true
327,3,60,0,373,0,0,0,0,0,0,15,false
328,2,60,0,597,0,0,0,0,0,0,18,false
329,3,60,0,373,0,0,0,0,0,0,15,false
330,3,60,0,598,0,0,0,0,0,0,14,false
331,3,60,0,372,0,0,0,0,0,0,16,false
332,3,60,0,600,0,0,0,0,0,0,13,false
333,3,60,0,372,0,0,0,0,0,0,16,false
334,2,60,0,599,0,0,0,0,0,0,16,false
335,3,60,0,373,0,0,0,0,0,0,15,false
336,2,60,0,597,0,0,0,0,0,0,17,false
337,3,60,0,372,0,0,0,0,0,0,16,false
338,3,60,0,601,0,0,0,0,0,0,15,false
339,3,55,0,367,368,370,0,0,0,0,0,true
340,3,50,0,365,0,0,0,0,0,0,0,true
341,2,55,0,366,369,0,0,0,0,0,0,true
342,2,60,0,371,374,0,0,0,0,0,0,true
343,2,60,0,375,376,0,0,0,0,0,0,true
344,3,60,0,364,0,0,0,0,0,0,0,true
345,3,60,0,382,0,0,0,0,0,0,0,true
346,3,60,0,383,0,0,0,0,0,0,0,true
347,3,60,0,379,0,0,0,0,0,0,0,true
348,2,60,0,381,0,0,0,0,0,0,0,true
349,3,60,0,384,0,0,0,0,0,0,0,true
350,2,60,0,380,0,0,0,0,0,0,0,true
