Index,0 [0x0][0x0],1 [0x6][0x8],2 [0x6][0xc],3 [0x6][0x10],4 [0x6][0x14],5 [0x6][0x18],6 [0x6][0x1c],7 [0x6][0x20],8 [0x6][0x24],9 [0x3][0x32],10 [0x3][0x33],11 [0x19][0x35],12 [0x1a][0x35],13 [0x1b][0x35],14 [0x1c][0x35],15 [0x3][0x34],16 [0x6][0x28],17 [0x5][0x2c],18 [0x5][0x2e],19 [0x5][0x30],20 [0x7][0x4]
87,"Snowball",640,0,0,0,0,0,0,0,1,0,false,false,false,false,0,0,64050,149,249,24
88,"Sleep",585,584,0,0,0,0,0,0,2,3,false,false,false,false,0,0,64054,0,0,0
89,"",586,0,0,0,0,0,586,0,2,3,true,false,false,false,0,0,64054,0,0,0
90,"Change Pose",0,0,0,0,0,0,0,0,2,0,false,false,false,false,254,491,64068,0,0,0
91,"",3124,3123,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
92,"",3126,3125,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
93,"",3128,3127,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
94,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
95,"",3132,3131,0,0,3132,0,0,0,4,2,false,false,false,false,0,0,0,0,0,0
96,"",3134,3133,0,0,3134,0,0,0,4,2,false,false,false,false,0,0,0,0,0,0
97,"",3136,3135,0,3136,0,0,0,0,4,1,false,false,false,false,0,0,0,0,0,0
98,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
99,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
100,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
101,"Step Dance",570,569,0,0,0,0,0,0,2,4,false,true,false,true,32,502,64069,182,282,27
102,"Harvest Dance",572,571,0,0,0,0,0,0,2,5,false,true,false,true,33,503,64070,183,283,28
103,"Ball Dance",574,573,0,0,0,0,0,0,2,6,false,true,false,true,34,504,64071,184,284,29
104,"Manderville Dance",576,575,0,0,0,0,0,0,2,7,false,true,false,true,35,505,64072,185,285,30
105,"Pet",3177,0,0,0,3179,3179,0,3174,1,0,false,true,false,false,48,506,64067,186,286,0
106,"Hand Over",3178,0,0,0,3180,3180,0,3176,1,0,false,true,false,false,93,507,64073,187,287,0
107,"",3182,3181,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
108,"",3184,3183,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
109,"Bomb Dance",3188,3187,0,0,0,0,0,0,2,8,false,true,false,true,36,510,64074,189,288,98
110,"Huzzah",741,0,0,0,0,0,0,0,1,0,false,true,false,false,45,511,64075,190,289,225
111,"Slap",3752,0,0,0,3755,3755,0,3758,1,0,false,true,false,false,77,512,64076,191,290,0
112,"Hug",3753,0,0,0,3756,3756,0,3759,1,0,false,true,false,false,46,513,64077,192,291,0
113,"Embrace",3754,0,0,0,3757,3757,0,3760,1,0,false,true,false,false,47,514,64078,193,292,229
114,"Most Gentlemanly",3764,3763,0,0,0,0,0,0,2,9,false,true,false,true,37,515,64079,194,293,244
115,"Fist Bump",3766,0,0,0,3767,3767,0,3768,1,0,false,true,false,false,49,516,64080,195,294,259
