Index,0 [0x6][0x8],1 [0x3][0xc],2 [0x3][0xd],3 [0x2][0xe],4 [0x0][0x0],5 [0x0][0x4]
27,8,72,6,1,"Compagnie libre","Ouvre l'interface de votre compagnie libre à partir de laquelle vous pouvez accéder aux informations de la compagnie, consulter ou laisser des messages, et effectuer diverses actions."
28,11,74,6,3,"Linkshell","Affiche une liste de tous les membres de toutes vos linkshells."
29,24,44,3,2,"Carnet de pêche","Affiche des informations sur vos prises précédentes ainsi que l'emplacement des lieux de pêche classés par zone."
30,33,81,7,-1,"Tutoriel","Affiche une liste de tous les tutoriels visionnés."
31,25,30,2,-2,"Recommandations","Affiche une liste des quêtes et missions actuellement disponibles dans les environs."
32,13,80,7,-2,"Assistance et Informations","Permet de chercher des réponses aux questions les plus fréquemment posées, de signaler des problèmes et de vérifier les messages de l'équipe d'assistance de FINAL FANTASY XIV."
33,46,33,2,1,"Outil de mission","Forme automatiquement une équipe pour les missions de votre choix, comme les donjons instanciés ou les opérations de guilde."
34,48,82,7,0,"Configuration personnage","Ouvre la fenêtre des paramètres de personnage comme le type de caméra, la fonction de ciblage et les filtres d'affichage."
35,0,0,4,1,"Téléportation","Permet de se téléporter vers une éthérite avec laquelle vous êtes harmonisé<if:e/none> en échange de gils."
36,0,0,4,2,"Rapatriement","Retourne immédiatement à votre point de retour actuel. Vous n'aurez pas à payer, mais vous ne pouvez utiliser ce sort qu'une fois toutes les 15 minutes (temps réel)."
37,0,0,7,5,"Licence","Affiche la licence de FINAL FANTASY XIV"
38,0,0,0,0,"Carnets","（ヘルプ無し）"
39,0,0,0,0,"Réseau social","（ヘルプ無し）"
40,0,0,0,0,"Système","（ヘルプ無し）"
41,50,45,3,3,"Nomenclature","Affiche la nomenclature du carnet de pêche, où sont notés les détails des poissons que vous avez attrapés. Le contenu change à mesure que vous pêchez plus de poissons."
42,49,16,1,3,"Compagnon","Ouvre l'interface de votre compagnon, à partir de laquelle vous pouvez vérifier entre autre son état, le temps restant à vos côtés, ou ses actions."
43,0,0,0,0,"Missions","（ヘルプ無し）"
44,52,73,6,2,"Logement","Ouvre l'interface de logement, à partir de laquelle vous pouvez gérer votre terrain et votre maison."
45,35,0,0,0,"Paramètres d'affichage","Permet de régler différentes options d'affichage comme le choix de l'écran principal, la résolution, le taux de rafraîchissement, etc."
46,36,0,0,0,"Paramètres de son","Permet de régler différentes options sonores comme le volume, la position d'écoute, la musique à dos de monture, etc."
47,37,0,0,0,"Paramètres graphiques","Permet de régler différentes options graphiques comme l'affichage des ombres, la qualité des textures, les opérations physiques, etc."
48,38,0,0,0,"Paramètres souris","Permet de régler différentes options liées à la souris comme la sensibilité de la caméra lors des déplacements, le redimensionnement de la fenêtre de jeu, etc."
49,39,0,0,0,"Paramètres manette","Permet d'activer/désactiver la manette en plus de paramétrer différentes options comme l'attribution des touches, les vibrations, la sensibilité des sticks, etc."
50,51,0,0,0,"Autres paramètres","Permet de choisir le format des captures d'écran ainsi que la langue des voix des séquences vidéos."
51,41,0,0,0,"Type de maniement","Permet de régler différentes options liées au maniement de la caméra comme la vitesse de rotation, l'inversion des axes, mais aussi de paramétrer le mode de ciblage et le tri de l'inventaire."
52,42,0,0,0,"Interface et fenêtres","Permet de régler différentes options liées à l'interface comme la transparence de la carte, l'affichage des infobulles, les informations de personnage, la liste des équipiers, etc."
53,43,0,0,0,"Plaques de nom","Permet de régler différentes options d'affichage liées aux plaques de nom."
54,44,0,0,0,"Barres de raccourcis","Permet d'afficher/masquer les barres de raccourcis, de paramétrer le maniement des croix, etc."
55,45,0,0,0,"Fenêtre de log","Permet de paramétrer l'apparence de la fenêtre de log comme la taille de la police, l'horodatage des messages, mais aussi d'activer différentes options de filtrage."
56,53,19,1,6,"Profil JcJ","Permet d'afficher les résultats de combats contre d'autres joueurs et d'obtenir des actions spécifiques au JcJ."
57,54,61,5,1,"Recherche d'équipe","Permet de rechercher des joueurs pour former une équipe en spécifiant certaines conditions comme les rôles ou le type de mission."
58,55,63,5,3,"Marques au sol","Permet de placer sur le sol des marques visibles par tous les équipiers."
59,56,64,5,4,"Appel de préparation","Permet de lancer un appel aux équipiers et/ou aux membres de l'alliance afin de s'assurer qu'ils sont prêts à agir."
60,57,46,3,4,"Carnet d'objectifs","Permet de relever des petits défis offrant des récompenses. La limite de temps est réinitialisée tous les <switch:dimanches/lundis/mardis/mercredis/jeudis/vendredis/samedis> à <if:#s>h (temps réel)."
61,58,17,1,4,"Montures","Permet de consulter l'encyclopédie des montures et d'en appeler une."
62,59,18,1,5,"Mascottes","Permet de consulter l'encyclopédie des mascottes et d'en appeler une."
63,60,0,0,0,"Accessibilité","Ouvre l'interface d'accessibilité permettant d'activer et de paramétrer la représentation visuelle des sons."
64,61,41,3,-1,"Carnet d'exploration","Affiche des informations sur les lieux notoires que vous avez découverts au cours de vos pérégrinations en Éorzéa."
65,62,20,1,7,"Gold Saucer","Affiche différentes informations relatives au Gold Saucer. Permet entre autres de modifier l'équipement des chocobos de course et de gérer ses jeux de Triple Triade."
66,63,12,1,-1,"Devises","Permet de voir les différentes devises actuellement en votre possession."
67,64,51,4,-1,"Vents éthéréens","Permet de voir les vents éthéréens avec lesquels vous vous êtes harmonisé<if:e/none>."
