Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x10],4 [0x7][0x8],5 [0x3][0x11],6 [0x19][0x12]
27,"","",0,0,0,0,true
28,"","",0,0,0,0,true
29,"","",0,0,0,0,true
30,"","",0,0,0,0,true
31,"The Heat of Battle II","Increases EXP earned through battle by 10%.\n<color?>Duration:</color> 24h",64238,8,7000,18,true
32,"Earth and Water II","Increases EXP earned through gathering by 10%.\n<color?>Duration:</color> 24h",64240,8,7000,19,true
33,"Helping Hand II","Increases EXP earned through crafting by 10%.\n<color?>Duration:</color> 24h",64241,8,7000,20,true
34,"A Man's Best Friend II","Increases EXP earned by companions by 15%.\n<color?>Duration:</color> 24h",64239,8,7000,21,true
35,"Mark Up II","Increases Wolf Marks earned by 10%.\n<color?>Duration:</color> 24h",64242,8,7000,22,true
36,"Seal Sweetener II","Increases company seals earned by 10%.\n<color?>Duration:</color> 24h",64243,8,7000,23,true
37,"Brave New World II","Increases the attributes of all Disciple of War or Magic members under level 49 by 5%.\n<color?>Duration:</color> 24h",64226,8,3500,25,true
38,"Live off the Land II","Increases Gathering by 10.\n<color?>Duration:</color> 24h",64227,8,7000,26,true
39,"What You See II","Increases Perception by 10.\n<color?>Duration:</color> 24h",64228,8,7000,27,true
40,"Eat from the Hand II","Increases Craftsmanship by 10.\n<color?>Duration:</color> 24h",64229,8,7000,28,true
41,"In Control II","Increases Control by 10.\n<color?>Duration:</color> 24h",64230,8,7000,29,true
42,"That Which Binds Us II","Increases spiritbonding speed.\n<color?>Duration:</color> 24h",64234,8,7000,30,true
43,"Meat and Mead II","Increases duration of food effects by ten minutes.\n<color?>Duration:</color> 24h",64233,8,7000,31,true
44,"Proper Care II","Slows gear wear by 20%.\n<color?>Duration:</color> 24h",64235,8,7000,32,true
45,"Back on Your Feet II","Reduces duration of Weakness after being revived by 15%.\n<color?>Duration:</color> 24h",64236,8,5600,33,true
46,"Reduced Rates II","Reduces teleportation fees by 30%.\n<color?>Duration:</color> 24h",64237,8,7000,34,true
47,"Jackpot II","Increases MGP payout by 10%.\n<color?>Duration:</color> 24h",64244,8,7000,24,true
48,"","",0,0,0,0,true
49,"","",0,0,0,0,true
50,"","",0,0,0,0,true
51,"","",0,0,0,0,true
52,"","",0,0,0,0,true
53,"","",0,0,0,0,true
54,"","",0,0,0,0,true
55,"","",0,0,0,0,true
56,"","",0,0,0,0,true
57,"","",0,0,0,0,true
58,"","",0,0,0,0,true
59,"","",0,0,0,0,true
60,"","",0,0,0,0,true
61,"","",0,0,0,0,false
62,"Earth and Water III","Increases EXP earned through gathering by 20%.\n<color?>Duration:</color> 24h",64265,8,10500,36,false
63,"Helping Hand III","Increases EXP earned through crafting by 20%.\n<color?>Duration:</color> 24h",64266,8,10500,37,false
64,"A Man's Best Friend III","Increases EXP earned by companions by 20%.\n<color?>Duration:</color> 24h",64264,8,10500,38,false
65,"Mark Up III","Increases Wolf Marks earned by 15%.\n<color?>Duration:</color> 24h",64267,8,10500,39,false
66,"Seal Sweetener III","Increases company seals earned by 15%.\n<color?>Duration:</color> 24h",64268,8,10500,40,false
67,"","",0,0,0,0,false
68,"Live off the Land III","Increases Gathering by 15.\n<color?>Duration:</color> 24h",64252,8,10500,43,false
69,"What You See III","Increases Perception by 15.\n<color?>Duration:</color> 24h",64253,8,10500,44,false
70,"Eat from the Hand III","Increases Craftsmanship by 15.\n<color?>Duration:</color> 24h",64254,8,10500,45,false
71,"In Control III","Increases Control by 15.\n<color?>Duration:</color> 24h",64255,8,10500,46,false
72,"That Which Binds Us III","Increases spiritbonding speed.\n<color?>Duration:</color> 24h",64259,8,10500,47,false
73,"Meat and Mead III","Increases duration of food effects by fifteen minutes.\n<color?>Duration:</color> 24h",64258,8,10500,48,false
74,"Proper Care III","Slows gear wear by 30%.\n<color?>Duration:</color> 24h",64260,8,10500,49,false
75,"","",0,0,0,0,false
76,"Reduced Rates III","Reduces teleportation fees by 40%.\n<color?>Duration:</color> 24h",64262,8,10500,51,false
77,"Jackpot III","Increases MGP payout by 15%.\n<color?>Duration:</color> 24h",64269,8,10500,41,false
78,"","",0,0,0,0,true
79,"","",0,0,0,0,true
80,"","",0,0,0,0,true
81,"","",0,0,0,0,true
82,"","",0,0,0,0,true
83,"","",0,0,0,0,true
84,"","",0,0,0,0,true
85,"","",0,0,0,0,true
86,"","",0,0,0,0,true
87,"","",0,0,0,0,true
88,"","",0,0,0,0,true
89,"","",0,0,0,0,true
90,"","",0,0,0,0,true
91,"","",0,0,0,0,true
92,"","",0,0,0,0,true
93,"","",0,0,0,0,true
94,"","",0,0,0,0,true
95,"","",0,0,0,0,true
96,"","",0,0,0,0,true
97,"","",0,0,0,0,true
98,"","",0,0,0,0,true
99,"","",0,0,0,0,true
100,"","",0,0,0,0,true
