Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x3][0x5],3 [0x3][0x6],4 [0x3][0x7],5 [0x2][0x8]
24,"<2b?:0xff, 0x2c, 0x2> updated the company board.",4,0,0,3,4
25,"<2b?:0xff, 0x2c, 0x2> updated the company profile.",4,0,0,3,4
26,"<2b?:0xff, 0x2c, 0x2> changed the company crest.",4,0,0,3,8
27,"<2b?:0xff, 0x2c, 0x2> purchased the company action “<ref:CompanyAction>.”",4,0,1,4,9
28,"<2b?:0xff, 0x2c, 0x2> activated the company action “<ref:CompanyAction>.”",4,0,1,4,9
29,"Activity deleted.",0,0,0,0,4
30,"<2b?:0xff, 0x2c, 0x2> changed the name of a member rank to “<if:<ref:ObjStr>>.”",4,5,0,3,3
31,"<2b?:0xff, 0x2c, 0x2> disabled the company action “<ref:CompanyAction>.”",4,0,1,4,9
32,"<2b?:0xff, 0x2c, 0x2> discarded the company action “<ref:CompanyAction>.”",4,0,1,4,9
33,"The company name abbreviation has been changed to “<if:<ref:ObjStr>>.”",0,3,0,3,4
34,"The company name has been changed to “<if:<ref:ObjStr>>.”",0,2,0,3,4
35,"<2b?:0xff, 0x2c, 0x2> changed the name of the estate hall at plot <value>, ward <value>, <item> to <if:<ref:ObjStr>>.",4,9,0,5,11
36,"<2b?:0xff, 0x2c, 0x2> updated the greeting for <if:<ref:ObjStr>>.",4,8,0,5,11
37,"<2b?:0xff, 0x2c, 0x2> purchased the deed to plot <value>, ward <value>, <item> for the company.",4,7,0,5,11
38,"<2b?:0xff, 0x2c, 0x2> relinquished the deed to plot <value>, ward <value>, <item> for the company.",4,7,0,5,11
39,"Your company's deed to plot <value>, ward <value>, <item> was revoked.",0,7,0,5,11
40,"<2b?:0xff, 0x2c, 0x2> built <if:an /<if:an /<if:an /<if:an /<if:an /<if:an /<if:an /<if:an /<if:an /a >>>>>>>>><ref:HousingPreset> at plot <value>, ward <value>, <item>.",4,7,1,5,11
41,"<2b?:0xff, 0x2c, 0x2> removed <if:<ref:ObjStr>>.",4,8,0,5,11
42,"<2b?:0xff, 0x2c, 0x2> remodeled the exterior of <if:<ref:ObjStr>>.",4,8,0,5,11
43,"<2b?:0xff, 0x2c, 0x2> remodeled the interior of <if:<ref:ObjStr>>.",4,8,0,5,11
44,"<2b?:0xff, 0x2c, 0x2> rearranged the furniture of <if:<ref:ObjStr>>.",4,8,0,5,11
45,"<2b?:0xff, 0x2c, 0x2> rearranged the furnishings of <if:<ref:ObjStr>>.",4,8,0,5,11
46,"<2b?:0xff, 0x2c, 0x2> deleted a message from the <if:<ref:ObjStr>> guestbook.",4,8,0,5,11
47,"Application received from <if:you/<if:<item>>>.",4,0,0,2,12
48,"Application from <if:you/<if:<item>>> withdrawn.",4,0,0,2,12
49,"The character “<if:you/<if:<item>>>” no longer exists.",4,0,0,2,12
50,"Application from <if:you/<if:<item>>> declined.",4,0,0,2,12
51,"Unable to accept additional applications at this time.",0,0,0,2,12
52,"<2b?:0xff, 0x2c, 0x2> planted <item> in the <if:<ref:ObjStr>>.",4,10,1,6,13
53,"<2b?:0xff, 0x2c, 0x2> applied <item> to a plant in the <if:<ref:ObjStr>>.",4,10,1,6,13
54,"<2b?:0xff, 0x2c, 0x2> tended a plant in the <if:<ref:ObjStr>>.",4,10,0,6,13
55,"<2b?:0xff, 0x2c, 0x2> harvested <if:<item>/<value> <item>> from the <if:<ref:ObjStr>>.",4,11,1,6,13
56,"<if:<2b?:0xff, 0x10, 0x2> was/<value> <item> were> obtained through successful intercrossing.",0,11,1,6,13
57,"Due to <if:your/<if:you/<if:<item>>>'s> absence, the rank of “<if:<ref:ObjStr>>” was transferred.",4,5,0,2,3
58,"<2b?:0xff, 0x2c, 0x2> removed a crop in the <if:<ref:ObjStr>>.",4,10,0,6,13
59,"<2b?:0xff, 0x2c, 0x2> added room #<value> to the estate.",4,0,1,5,11
60,"<2b?:0xff, 0x2c, 0x2> demolished room #<value>.",4,0,1,5,11
61,"<2b?:0xff, 0x2c, 0x2> cleaned the chocobo stables.",4,0,0,7,11
62,"<2b?:0xff, 0x2c, 0x2> trained <if:<ref:ObjStr>>.",4,12,0,7,11
63,"<2b?:0xff, 0x2c, 0x2> placed <item> in wheel slot <if:<if:<switch:one/two/three/four/five/six/seven/eight/nine/ten>/<value>>/<value>>.",16,14,1,5,11
64,"<2b?:0xff, 0x2c, 0x2> removed the unprimed <item> from wheel slot <if:<if:<switch:one/two/three/four/five/six/seven/eight/nine/ten>/<value>>/<value>>.",16,14,1,5,11
65,"<2b?:0xff, 0x2c, 0x2> removed <item> from wheel slot <if:<if:<switch:one/two/three/four/five/six/seven/eight/nine/ten>/<value>>/<value>>.",16,14,1,5,11
66,"<2b?:0xff, 0x2c, 0x2> converted the energy of <item> into the company action “<ref:CompanyAction>,” readying it for activation.",16,14,1,4,9
67,"<2b?:0xff, 0x2c, 0x2> added a workshop beneath the estate.",16,0,0,8,15
68,"<2b?:0xff, 0x2c, 0x2> demolished the workshop beneath the estate.",16,0,0,8,15
69,"<2b?:0xff, 0x2c, 0x2> set <item> as the company workshop project.",16,14,0,8,15
70,"All materials required in <item>'s next stage of creation have been readied.",0,14,0,8,15
71,"<switch:Progress/Excellent progress/Outstanding progress> was made on <item>.",0,14,1,8,15
72,"<switch:Progress/Excellent progress/Outstanding progress> was made in completing <item>.",0,14,1,8,15
73,"<2b?:0xff, 0x2c, 0x2> removed <item> from the company workshop.",16,14,0,8,15
74,"<2b?:0xff, 0x2c, 0x2> discontinued the company workshop project.",16,0,0,8,15
75,"<2b?:0xff, 0x2c, 0x2> created a new <ref:CompanyCraftDraft>.",16,0,1,8,15
76,"<2b?:0xff, 0x2c, 0x2> registered company airship <color #FF7B1A>No. <value></color> - <i><if:<ref:ObjStr>></i>.",16,15,1,9,14
77,"<2b?:0xff, 0x2c, 0x2> changed the name of company airship <color #FF7B1A>No. <value></color> to <i><if:<ref:ObjStr>></i>.",16,15,1,9,14
78,"<2b?:0xff, 0x2c, 0x2> dismantled company airship <color #FF7B1A>No. <value></color> - <i><if:<ref:ObjStr>></i>.",16,15,1,9,14
79,"<2b?:0xff, 0x2c, 0x2> deployed <i><if:<ref:ObjStr>></i> on an exploratory voyage.",16,15,0,9,14
80,"<2b?:0xff, 0x2c, 0x2> recalled <i><if:<ref:ObjStr>></i> from the exploratory voyage.",16,15,0,9,14
81,"<2b?:0xff, 0x2c, 0x2> finalized the exploratory voyage report for <i><if:<ref:ObjStr>></i>.",16,15,0,9,14
82,"<i><2b?:0xff, 0x1a, 0x2></i> is now rank <value>.",16,15,1,9,14
83,"Company airship <color #FF7B1A>No. <value></color> may now be registered.",16,15,1,9,14
84,"<2b?:0xff, 0x2c, 0x2> exchanged <value> <if:company credit/company credits> for  <value> <if:<item>/<item>>.",16,22,1,1,0
85,"In <if:<if:<switch:one/two/three/four/five/six/seven/eight/nine/ten>/<value>>/<value>> <if:delivery/deliveries>, <2b?:0xff, 0x2c, 0x2> contributed more than 60% of the <item> required for <item>.",16,22,1,8,15
