Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0x8],3 [0x5][0xc],4 [0x3][0xe],5 [0x19][0xf],6 [0x1a][0xf]
25,"Landslide","Deals earth damage with a potency of 70.\n<color?>Additional Effect:</color> Stun  <color?>Duration:</color> 2s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2704,790,4,true,false
26,"Earthen Fury","Deals earth damage with a potency of 200 to all nearby targets.\n<color?>Additional Effect:</color> Razed Earth  <color?>Potency:</color> 20 <color?>\nDuration:</color> 15s\nExecuted when master uses <color #FF7B1A>Enkindle</color>",2705,791,4,false,true
27,"Crimson Cyclone","Deals fire damage with a potency of 110.\n<color?>Additional Effect:</color> Stun  <color?>Duration:</color> 2s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2721,797,3,true,false
28,"Burning Strike","Deals fire damage with a potency of 120.",2722,798,3,false,false
29,"Radiant Shield","Delivers an attack with a potency of 50 every time physical damage is suffered.\n<color?>Duration:</color> 20s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2723,799,3,true,false
30,"Flaming Crush","Deals fire damage with a potency of 110 to all nearby enemies.\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2724,800,3,true,false
31,"Inferno","Deals fire damage with a potency of 200 to all enemies in a cone before it.\n<color?>Additional Effect:</color> Fire damage over time  <color?>Potency:</color> 20\n<color?>Duration:</color> 15s\nExecuted when master uses <color #FF7B1A>Enkindle</color>.",2725,801,3,false,true
32,"Embrace","Restore target's HP.  <color?>Cure Potency:</color> 300",2826,802,6,false,false
33,"Whispering Dawn","Gradually restores own HP and the HP of all nearby party members.\n<color?>Cure Potency:</color> 100  <color?>Duration:</color> 21s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2827,803,6,false,false
34,"Fey Covenant","Increases magic defense of self and nearby party members by 20%.  <color?>Duration:</color> 20s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2828,804,6,true,false
35,"Fey Illumination","Increases spell-based HP restoration of self and nearby party members by 20%.  <color?>Duration:</color> 20s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2829,805,6,true,false
36,"Embrace","Restore target's HP.  <color?>Cure Potency:</color> 300",2836,806,7,false,false
37,"Silent Dusk","Silences target.  <color?>Duration:</color> 1s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2837,807,7,true,false
38,"Fey Caress","Removes a single detrimental effect from all nearby party members.\nSome effects cannot be removed.\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2811,810,7,true,false
39,"Fey Wind","Increases attack speed of self and nearby party members by 3%.  <color?>Duration:</color> 30s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2812,811,7,true,false
40,"Offensive Mode","Command autoturret to focus on offensive maneuvers.",405,0,8,false,false
41,"Defensive Mode","Command autoturret to focus on supportive maneuvers.",405,0,8,false,false
