Index,0 [0x7][0x18],1 [0x0][0x0],2 [0x0][0x4],3 [0x0][0x8],4 [0x0][0xc],5 [0x0][0x10],6 [0x0][0x14]
48,199510,"Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker","Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker"
49,212590,"Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker","Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker"
50,226210,"Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser","Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser"
51,0,"Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser","Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser"
52,0,"Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser","Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser"
53,0,"Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser","Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser"
54,0,"Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser","Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser"
55,0,"Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser","Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser"
56,0,"Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser","Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser"
57,0,"Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser","Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser"
58,0,"Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser","Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser"
59,0,"Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser","Lominsan Chaser","Gridanian Chaser","Ul'dahn Chaser"
60,0,"Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper","Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper"
61,0,"Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper","Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper"
62,0,"Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper","Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper"
63,0,"Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper","Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper"
64,0,"Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper","Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper"
65,0,"Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper","Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper"
66,0,"Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper","Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper"
67,0,"Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper","Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper"
68,0,"Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper","Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper"
69,0,"Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper","Lominsan Ripper","Gridanian Ripper","Ul'dahn Ripper"
70,0,"Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf","Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf"
71,0,"Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf","Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf"
72,0,"Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf","Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf"
73,0,"Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf","Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf"
74,0,"Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf","Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf"
75,0,"Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf","Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf"
76,0,"Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf","Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf"
77,0,"Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf","Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf"
78,0,"Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf","Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf"
79,0,"Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf","Lominsan Wolf","Gridanian Wolf","Ul'dahn Wolf"
80,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
81,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
82,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
83,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
84,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
85,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
86,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
87,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
88,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
89,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
90,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
91,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
92,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
93,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
94,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
95,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
96,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
97,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
98,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
99,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
100,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
