Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x12],4 [0x3][0x13],5 [0x19][0x16],6 [0x3][0x14],7 [0x7][0x8],8 [0x4][0x10],9 [0x3][0x15]
26,"Verbesserter Geölter Blitz","Ermöglicht die Stapelung von zwei „Geölten Blitzen“.",5230,2,20,false,0,0,0,41
27,"Verbesserte Innere Gelöstheit","Die Kritische Trefferrate wird durch „Innere Gelöstheit“ auf 30 % erhöht.",5229,2,36,false,0,0,0,41
28,"Verbesserter Leichtfuß","Das Ausweichen wird durch „Leichtfuß“ auf 20 % erhöht.",5227,2,14,false,0,0,0,41
29,"Verbessertes Chakra","Die LP-Regeneration durch „Chakra“ ist auf 650 erhöht.",5226,2,32,false,0,0,0,41
30,"Beschleunigte Stahlzinnen","Verkürzt die Reaktivierungszeit von „Stahlzinnen“ auf 40 Sekunden.",5232,2,44,false,0,0,0,41
31,"Verbesserter Geölter Blitz II","Ermöglicht die Stapelung von drei „Geölter Blitz“-Effekten.",5231,2,40,false,0,0,0,41
32,"Verbesserte Doppelviper","„Doppelviper“ erhöht den ausgeteilten Schaden um\n10 %.",5228,2,28,false,0,0,0,41
33,"Verbessertes Mantra","Erhöht die LP-Regeneration durch „Mantra“ auf 20 %.",5233,2,48,false,0,0,0,41
34,"STR-Schub","Die Stärke wird um 2 erhöht.",5110,4,8,false,0,0,2,47
35,"Verbessertes Auge des Sturms","„Auge des Sturms“ verbessert die Paraderate auf 80 %.",5280,4,20,false,0,0,0,47
36,"Verlängerte Finte","Die Wirkungsdauer von „Gemach“ durch „Finte“ ist auf 20 Sekunden verlängert.",5279,4,14,false,0,0,0,47
37,"STR-Schub II","Die Stärke wird um 4 erhöht.",5111,4,16,false,0,0,4,47
38,"STR-Schub III","Die Stärke wird um 6 erhöht.",5112,4,24,false,0,0,6,47
39,"Verbessertes Ungestüm","„Ungestüm“ stellt 500 TP wieder her.",5276,4,36,false,0,0,0,47
40,"Beschleunigter Beinfeger","Die Reaktivierungszeit von „Beinfeger“ wird auf 20 Sekunden verkürzt.",5282,4,28,false,0,0,0,47
41,"Beschleunigte Vitalwallung","Die Reaktivierungszeit von „Vitalwallung“ wird auf 50 Sekunden verkürzt.",5277,4,32,false,0,0,0,47
42,"Verbessertes Zahn um Zahn","„Zahn um Zahn“ erhöht den ausgeteilten Schaden um 30 % und reduziert den erlittenen Schaden um 15 %.",5278,4,44,false,0,0,0,47
43,"Verlängerter Gewaltiger Stoß","Die Wirkungsdauer von „Gewaltiger Stoß“ wird auf 24 Sekunden verlängert.",5281,4,40,false,0,0,0,47
44,"Verlängerter Drachengriff","Die Wirkungsdauer von „Drachengriff“ ist auf 30 Sekunden verlängert.",5283,4,48,false,0,0,0,47
45,"GESK-Schub","Das Geschick wird um 2 erhöht.",5120,5,14,false,0,0,2,50
46,"GESK-Schub II","Das Geschick wird um 4 erhöht.",5121,5,16,false,0,0,4,50
47,"Verbesserter Gewaltiger Schuss","Fügt „Gewaltiger Schuss“ eine 20%ige Wahrscheinlichkeit hinzu, dass der nächste „Direkte Schuss“ kritischen Schaden verursacht<if:<if: und, wenn Menuett des Wanderers aktiv ist, sofort abgefeuert wird.\n/.\n>/.\n>Dauer: 10 Sekunden",5306,5,8,false,0,0,0,50
48,"Verbesserte Kommandos","Erhöht den Basisschaden von Kommandos um 10 % (außer Auto-Attacke).",5302,5,20,false,0,0,10,50
49,"Verlängerter Giftbiss","Die Wirkungsdauer von „Giftbiss“ wird auf 18 Sekunden verlängert.",5305,5,24,false,0,0,0,50
50,"Beschleunigte Wütende Attacke","Die Reaktivierungszeit von „Wütende Attacke“ wird auf 120 Sekunden verkürzt.",5307,5,28,false,0,0,0,50
51,"GESK-Schub III","Das Geschick wird um 6 erhöht.",5122,5,32,false,0,0,6,50
52,"Verbesserte Pfeilsalve","Erweitert die Reichweite von „Pfeilsalve“ auf 12 Yalme.",5304,5,36,false,0,0,12,50
53,"Verbesserte Kommandos II","Erhöht den Basisschaden von Kommandos außer Auto-Attacke um 20 %.",5303,5,40,false,0,0,20,50
54,"Verbessertes Sperrfeuer","Die Anzahl der Angriffe pro Auto-Attacke bei „Sperrfeuer“ wird auf 3 erhöht.",5301,5,44,false,0,0,0,50
55,"Verbesserter Schaden über Zeit","Mit 50 % Wahrscheinlichkeit wird bei kritischem Schaden über Zeit durch „Giftbiss“ oder „Beißender Wind“ die Reaktivierungszeit von „Aderlass“ zurückgesetzt.",5308,5,48,false,0,0,0,50
56,"WLK-Schub","Die Willenskraft wird um 2 erhöht.",5150,6,8,false,0,0,2,53
57,"WLK-Schub II","Die Willenskraft wird um 4 erhöht.",5151,6,14,false,0,0,4,53
58,"Verbessertes Reseda","Mit 20 % Wahrscheinlichkeit sind die MP-Kosten für Reseda halbiert.",5332,6,16,false,0,0,20,53
59,"Verbesserte Kommandos","Erhöht den Basisschaden und das Regenerationspotenzial von Kommandos außer Auto-Attacke um 10 %.",5185,6,20,false,0,0,10,53
60,"WLK-Schub III","Die Willenskraft wird um 6 erhöht.",5152,6,24,false,0,0,6,53
61,"Verbessertes Wiederbeleben","„Wiederbeleben“ wird auch während des Kampfs möglich.",5327,6,28,false,0,0,0,53
62,"Verbessertes Vita","Mit 15 % Wahrscheinlichkeit verbraucht ein nach „Vita“ ausgeführtes „Vitra“ keine MP.\nDauer: 15 Sekunden.",5330,6,32,false,0,0,0,53
63,"Verbessertes Vitra","Mit 15 % Wahrscheinlichkeit kostet das nächste nach „Vitra“ ausgeführte „Vitaga“ nur halb so viele MP.\nDauer: 15 Sekunden.",5331,6,44,false,0,0,0,53
64,"Verbesserte Kommandos II","Erhöht den Basisschaden und das Regenerationspotenzial von Kommandos außer Auto-Attacke um 30 %.",5186,6,40,false,0,0,30,53
65,"Beschleunigte Steinhaut","Verkürzt die Aktivierungszeit von Steinhaut auf 2,5 Sekunden.",5328,6,36,false,0,0,5,53
66,"Verbesserte Fispelstimme","Die MP-Regeneration durch „Fispelstimme“ wird auf 80 erhöht.",5326,6,48,false,0,0,0,53
67,"INT-Schub","Die Intelligenz wird um 2 erhöht.",5140,7,8,false,0,0,2,55
68,"INT-Schub II","Die Intelligenz wird um 4 erhöht.",5141,7,14,false,0,0,4,55
69,"Verbesserte Unbeirrbarkeit","Mit 15 % Wahrscheinlichkeit wird beim Einsatz von „Unbeirrbarkeit“ dessen Reaktivierungszeit zurückgesetzt.",5353,7,16,false,0,0,0,55
70,"Verbesserte Kommandos","Erhöht den Basisschaden und das Regenerationspotenzial von Kommandos außer Auto-Attacke um 10 % und erlaubt das Stapeln von 2 „Lichtfeuer“ oder „Schatteneis“.",5185,7,20,false,0,0,10,55
71,"Verbesserter Kollaps","Mit 20 % Wahrscheinlichkeit verursacht „Kollaps“ doppelt so hohen Schaden.",5354,7,24,false,0,0,0,55
72,"Verbesserter Schlaf","Vergrößert den Wirkungsbereich von „Schlaf“ von einem Einzelziel auf einen 5-Yalm-Radius.",5351,7,36,false,0,0,5,55
73,"INT-Schub III","Die Intelligenz wird um 6 erhöht.",5142,7,32,false,0,0,6,55
74,"Verbesserter Mana-Schild","„Mana-Schild“ absorbiert Magieschaden von 30 % deiner Maximal-LP.",5356,7,48,false,0,0,0,55
75,"Verbesserte Kommandos II","Erhöht den Basisschaden und das Regenerationspotenzial von Kommandos außer Auto-Attacke um 30 % und erlaubt das Stapeln von 3 „Lichtfeuer“ oder „Schatteneis“.",5186,7,40,false,0,0,30,55
76,"Verbessertes Feuer","Mit 40 % Wahrscheinlichkeit wird das nächste „Feuga“ sofort und ohne MP-Verbrauch gewirkt.",5352,7,44,false,0,0,0,55
77,"Verbesserte Blitzzauber","10 % Wahrscheinlichkeit bei jedem Schaden-über-Zeit-Treffer durch „Blitz“, „Blitzra“ oder „Blitzga“, dass der nächste dieser Zauber sofort und ohne MP-Verbrauch gewirkt wird und den vollen Schaden über Zeit auf einmal anrichtet.\nDauer: 12 Sekunden",5355,7,28,false,0,0,0,55
78,"Auto-Geodäsie","„Geodäsie“ wird beim Klassenwechsel zu Gärtner automatisch aktiviert.",5451,17,2,false,0,0,0,18
79,"Verbesserter Ruf des Waldes","„Ruf des Waldes“ enthüllt nun 2 Nutzbäume.",0,0,0,false,0,0,2,0
80,"Verbesserte Coeurl-Pfoten","Monster bis zur Stufe 30 können dich nicht aufspüren.",5452,17,18,false,0,0,30,18
81,"Verbesserte Coeurl-Pfoten II","Monster bis zur Stufe 40 können dich nicht aufspüren.",5453,17,28,false,0,0,40,18
82,"","",0,0,0,false,0,0,30,0
83,"Verbesserte Coeurl-Pfoten III","Monster bis zur Stufe 50 können dich nicht aufspüren.",5454,17,38,false,0,0,50,18
84,"","",0,0,0,false,0,0,40,0
85,"","",0,0,0,false,0,0,5,0
86,"Auto-Prospektion","„Prospektion“ wird beim Klassenwechsel zu Minenarbeiter automatisch aktiviert.",5426,16,2,false,0,0,0,17
87,"","",0,0,0,false,0,0,2,0
88,"Verbesserte Coeurl-Pfoten","Monster bis zur Stufe 30 können dich nicht aufspüren.",5427,16,18,false,0,0,30,17
89,"Verbesserte Coeurl-Pfoten II","Monster bis zur Stufe 40 können dich nicht aufspüren.",5428,16,28,false,0,0,40,17
90,"","",0,0,0,false,0,0,30,0
91,"Verbesserte Coeurl-Pfoten III","Monster bis zur Stufe 50 können dich nicht aufspüren.",5429,16,38,false,0,0,50,17
92,"","",0,0,0,false,0,0,40,0
93,"","",0,0,0,false,0,0,5,0
94,"Bäumeflüsterer","Verbesserte Beurteilung der Charakteristika von Bäumen und Vegetation, sodass du einen Bonus auf die Sammelrate erhältst, wenn die Bedingungen erfüllt sind.",5455,17,11,false,0,0,0,18
95,"Bäumeflüsterer II","Verbesserte Beurteilung der Charakteristika von Bäumen und Vegetation, sodass du zusätzliche Sammelversuche erhältst, wenn die Bedingungen erfüllt sind.",5456,17,16,false,0,0,0,18
96,"Bäumeflüsterer III","Verbesserte Beurteilung der Charakteristika von Bäumen und Vegetation, sodass du einen Bonus auf die HQ-Sammelrate erhältst, wenn die Bedingungen erfüllt sind.",5457,17,21,false,0,0,0,18
97,"Bäumeflüsterer IV","Verbesserte Beurteilung der Charakteristika von Bäumen und Vegetation, sodass du beim Sammeln mehr Gegenstände erhältst, wenn die Bedingungen erfüllt sind.",5458,17,26,false,0,0,0,18
98,"Segen der Zwölf","Die Affinität zu Elementen wird durch den Segen der Zwölf auch beim Sammeln von Kristallen verstärkt.",5459,17,41,false,0,0,0,18
99,"Segen der Zwölf II","Die Affinität zu Elementen wird durch den Segen der Zwölf auch beim Sammeln von Polykristallen verstärkt.",5460,17,50,false,0,0,0,18
100,"Steineflüsterer","Verbesserte Beurteilung der Charakteristika von Lagerstätten, sodass du einen Bonus auf die Sammelrate erhältst, wenn die Bedingungen erfüllt sind.",5430,16,11,false,0,0,0,17
101,"Steineflüsterer II","Verbesserte Beurteilung der Charakteristika von Lagerstätten, sodass du zusätzliche Sammelversuche erhältst, wenn die Bedingungen erfüllt sind.",5431,16,16,false,0,0,0,17
102,"Steineflüsterer III","Verbesserte Beurteilung der Charakteristika von Lagerstätten, sodass du einen Bonus auf die HQ-Sammelrate erhältst, wenn die Bedingungen erfüllt sind.",5432,16,21,false,0,0,0,17
103,"Steineflüsterer IV","Verbesserte Beurteilung der Charakteristika von Lagerstätten, sodass du beim Sammeln mehr Gegenstände erhältst, wenn die Bedingungen erfüllt sind.",5433,16,26,false,0,0,0,17
104,"Segen der Zwölf","Die Affinität zu Elementen wird auch beim Sammeln von Kristallen verstärkt.",5434,16,41,false,0,0,0,17
105,"Segen der Zwölf II","Die Affinität zu Elementen wird auch beim Sammeln von Polykristallen verstärkt.",5435,16,50,false,0,0,0,17
106,"Dünenfischer","Das Fischen wird auch im Wüstensand möglich.",5483,18,35,false,0,0,0,19
107,"Wolkenfischer","Das Fischen wird auch hoch in den Wolken möglich.",5484,18,45,false,0,0,0,19
108,"Verbesserte Coeurl-Pfoten","Monster bis zur Stufe 30 können dich nicht aufspüren.",5476,18,18,false,0,0,30,19
109,"Verbesserte Coeurl-Pfoten II","Monster bis zur Stufe 40 können dich nicht aufspüren.",5477,18,28,false,0,0,40,19
110,"Verbesserte Coeurl-Pfoten III","Monster bis zur Stufe 50 können dich nicht aufspüren.",5478,18,38,false,0,0,50,19
111,"Möwenauge","Fischgründe bis zu Stufe 15 können gefunden und befischt werden.",5479,18,15,false,0,0,15,19
112,"Möwenauge II","Fischgründe bis zu Stufe 35 können gefunden und befischt werden.",5480,18,35,false,0,0,35,19
113,"Möwenauge III","Fischgründe bis zu Stufe 50 können gefunden und befischt werden.",5481,18,50,false,0,0,50,19
114,"Verbessertes Köderfisch-Angeln","Das Angeln mit vorher durch Köderfischen gefangenen Fischen als Köder wird möglich.",5482,18,40,false,0,0,0,19
115,"Verbesserter Ätherfluss","Das Kommando „Ätherfluss“ gewährt dir die Maximalstapelzahl des Status Ätherfluss (1).",5384,26,8,false,0,0,0,68
116,"INT-Schub","Die Intelligenz wird um 2 erhöht.",5140,26,14,false,0,0,2,68
117,"INT-Schub II","Die Intelligenz wird um 4 erhöht.",5141,26,16,false,0,0,4,68
118,"Verbesserte Kommandos","Erhöht den Basisschaden und das Regenerationspotenzial von Kommandos außer Auto-Attacke sowie den Basisschaden und die LP-Regeneration von Familiaren um10 %.",5185,26,20,false,0,0,10,68
119,"Verbesserter Ätherfluss II","Die Maximalstapelzahl des Status „Ätherfluss“ wird auf 2 erhöht.",5385,26,20,false,0,0,0,68
120,"Verbesserte Familiar-Kommandos","Mit 20 % Wahrscheinlichkeit wird das Zaubertempo um 20 % erhöht.\nDauer: 8 Sekunden\nBedingung: Kommando eines Familiars trifft kritisch.",5387,26,24,false,0,0,20,68
121,"Verstärkter Virus","„Virus“ senkt auch INT und WLK des Ziels um 15 %.\nDauer: 10 Sekunden",5388,26,28,false,0,0,0,68
122,"INT-Schub III","Die Intelligenz wird um 6 erhöht.",5142,26,32,false,0,0,6,68
123,"Verbesserter Energieentzug","Die MP-Regeneration durch Energieentzug wird verdoppelt.",5389,26,36,false,0,0,0,68
124,"Verbesserte Kommandos II","Erhöht den Basisschaden und das Regenerationspotenzial von Kommandos außer Auto-Attacke sowie den Basisschaden und die LP-Regeneration von Familiaren um30 %.",5186,26,40,false,0,0,30,68
125,"Verbesserter Ätherfluss III","Die Maximalstapelzahl des Status „Ätherfluss“ wird auf 3 erhöht.",5386,26,40,false,0,0,0,68
126,"Verbessertes Auge um Auge","Die Reaktivierungszeit von „Auge um Auge“ ist auf 120 Sekunden verkürzt.",5390,26,44,false,0,0,0,68
127,"Verbessertes Aufmuntern","Die Reaktivierungszeit von „Aufmuntern“ ist auf 60 Sekunden verkürzt.",5391,26,48,false,0,0,0,68
128,"STR-Schub","Die Stärke des Mitstreiters wird um 5 % erhöht.",9004,0,2,false,0,0,5,0
129,"Erhöhte LP","Die Maximal-LP des Mitstreiters werden um 10 % erhöht.",9001,0,3,false,0,0,10,0
130,"Erhöhte Präzision","Die Präzision des Mitstreiters wird um 5 % erhöht.",9010,0,5,false,0,0,5,0
131,"Verbesserte Kritische Treffer","Die Kritischen Treffer des Mitstreiters sind um 15% erhöht.",9012,0,6,false,0,0,15,0
132,"STR-Schub","Die Stärke des Mitstreiters wird um 5 % erhöht.",9004,0,8,false,0,0,5,0
133,"Erhöhte LP","Die Maximal-LP des Mitstreiters werden um 10 % erhöht.",9001,0,9,false,0,0,10,0
134,"STR-Schub","Die Stärke des Mitstreiters wird um 5 % erhöht.",9004,0,2,false,0,0,5,0
135,"Erhöhte LP","Die Maximal-LP des Mitstreiters werden um 5 % erhöht.",9001,0,3,false,0,0,5,0
136,"Erhöhte Präzision","Die Präzision des Mitstreiters wird um 5 % erhöht.",9010,0,5,false,0,0,5,0
137,"Verbesserte Kritische Treffer","Die Kritischen Treffer des Mitstreiters sind um 15% erhöht.",9012,0,6,false,0,0,15,0
138,"STR-Schub II","Die Stärke des Mitstreiters wird um 10 % erhöht.",9004,0,8,false,0,0,10,0
139,"Angriffsgeschwindigkeit +","Der Wert der Angriffsgeschwindigkeit des Mitstreiters wird um 10 % erhöht.",9013,0,9,false,0,0,-10,0
140,"WLK-Schub","Die Willenskraft des Mitstreiters wird um 10 % erhöht.",9008,0,2,false,0,0,10,0
141,"Erhöhte LP","Die Maximal-LP des Mitstreiters werden um 5 % erhöht.",9001,0,3,false,0,0,5,0
142,"Erhöhte Präzision","Die Präzision des Mitstreiters wird um 5 % erhöht.",9010,0,5,false,0,0,5,0
143,"Verbesserte Kritische Treffer","Die Kritischen Treffer des Mitstreiters sind um 15% erhöht.",9012,0,6,false,0,0,15,0
144,"WLK-Schub II","Die Willenskraft des Mitstreiters wird um 15 % erhöht.",9008,0,8,false,0,0,15,0
145,"Erhöhte LP","Die Maximal-LP des Mitstreiters werden um 5 % erhöht.",9001,0,9,false,0,0,5,0
146,"STR-Schub (PvP)","Die Stärke wird um 2 erhöht.\nSTR-Schub II (PvP): Die Stärke wird um weitere 4 erhöht.\nSTR-Schub III (PvP): Die Stärke wird um weitere 6 erhöht.",9801,0,0,true,4,128,2,1
147,"STR-Schub II (PvP)","Die Stärke wird um 2 erhöht.\nSTR-Schub II (PvP): Die Stärke wird um weitere 4 erhöht.\nSTR-Schub III (PvP): Die Stärke wird um weitere 6 erhöht.",9802,0,0,true,4,129,4,1
148,"STR-Schub III (PvP)","Die Stärke wird um 2 erhöht.\nSTR-Schub II (PvP): Die Stärke wird um weitere 4 erhöht.\nSTR-Schub III (PvP): Die Stärke wird um weitere 6 erhöht.",9803,0,0,true,4,130,6,1
149,"GES-Schub (PvP)","Die Geschicklichkeit wird um 2 erhöht.\nGES-Schub II (PvP): Die Geschicklichkeit wird um weitere 4 erhöht.\nGES-Schub III (PvP): Die Geschicklichkeit wird um weitere 6 erhöht.",9811,0,0,true,4,131,2,1
150,"GES-Schub II (PvP)","Die Geschicklichkeit wird um 2 erhöht.\nGES-Schub II (PvP): Die Geschicklichkeit wird um weitere 4 erhöht.\nGES-Schub III (PvP): Die Geschicklichkeit wird um weitere 6 erhöht.",9812,0,0,true,4,132,4,1
151,"GES-Schub III (PvP)","Die Geschicklichkeit wird um 2 erhöht.\nGES-Schub II (PvP): Die Geschicklichkeit wird um weitere 4 erhöht.\nGES-Schub III (PvP): Die Geschicklichkeit wird um weitere 6 erhöht.",9813,0,0,true,4,133,6,1
152,"KON-Schub (PvP)","Die Konstitution wird um 2 erhöht.\nKON-Schub II (PvP): Die Konstitution wird um weitere 4 erhöht.\nKON-Schub III (PvP): Die Konstitution wird um weitere 6 erhöht.",9821,0,0,true,4,134,2,1
153,"KON-Schub II  (PvP)","Die Konstitution wird um 2 erhöht.\nKON-Schub II (PvP): Die Konstitution wird um weitere 4 erhöht.\nKON-Schub III (PvP): Die Konstitution wird um weitere 6 erhöht.",9822,0,0,true,4,135,4,1
154,"KON-Schub III (PvP)","Die Konstitution wird um 2 erhöht.\nKON-Schub II (PvP): Die Konstitution wird um weitere 4 erhöht.\nKON-Schub III (PvP): Die Konstitution wird um weitere 6 erhöht.",9823,0,0,true,4,136,6,1
155,"INT-Schub (PvP)","Die Intelligenz wird um 2 erhöht.\nINT-Schub II (PvP): Die Intelligenz wird um weitere 4 erhöht.\nINT-Schub III (PvP): Die Intelligenz wird um weitere 6 erhöht.",9831,0,0,true,4,137,2,1
156,"INT-Schub II (PvP)","Die Intelligenz wird um 2 erhöht.\nINT-Schub II (PvP): Die Intelligenz wird um weitere 4 erhöht.\nINT-Schub III (PvP): Die Intelligenz wird um weitere 6 erhöht.",9832,0,0,true,4,138,4,1
157,"INT-Schub III (PvP)","Die Intelligenz wird um 2 erhöht.\nINT-Schub II (PvP): Die Intelligenz wird um weitere 4 erhöht.\nINT-Schub III (PvP): Die Intelligenz wird um weitere 6 erhöht.",9833,0,0,true,4,139,6,1
158,"WLK-Schub (PvP)","Die Willenskraft wird um 2 erhöht.\nWLK-Schub II (PvP): Die Willenskraft wird um weitere 4 erhöht.\nWLK-Schub III (PvP): Die Willenskraft wird um weitere 6 erhöht.",9841,0,0,true,4,140,2,1
159,"WLK-Schub II (PvP)","Die Willenskraft wird um 2 erhöht.\nWLK-Schub II (PvP): Die Willenskraft wird um weitere 4 erhöht.\nWLK-Schub III (PvP): Die Willenskraft wird um weitere 6 erhöht.",9842,0,0,true,4,141,4,1
160,"WLK-Schub III (PvP)","Die Willenskraft wird um 2 erhöht.\nWLK-Schub II (PvP): Die Willenskraft wird um weitere 4 erhöht.\nWLK-Schub III (PvP): Die Willenskraft wird um weitere 6 erhöht.",9843,0,0,true,4,142,6,1
161,"FRM-Schub (PvP)","Die Frömmigkeit wird um 2 erhöht.\nFRM-Schub II (PvP): Die Frömmigkeit wird um weitere 4 erhöht.\nFRM-Schub III (PvP): Die Frömmigkeit wird um weitere 6 erhöht.",9851,0,0,true,4,143,2,1
162,"FRM-Schub II (PvP)","Die Frömmigkeit wird um 2 erhöht.\nFRM-Schub II (PvP): Die Frömmigkeit wird um weitere 4 erhöht.\nFRM-Schub III (PvP): Die Frömmigkeit wird um weitere 6 erhöht.",9852,0,0,true,4,144,4,1
163,"FRM-Schub III (PvP)","Die Frömmigkeit wird um 2 erhöht.\nFRM-Schub II (PvP): Die Frömmigkeit wird um weitere 4 erhöht.\nFRM-Schub III (PvP): Die Frömmigkeit wird um weitere 6 erhöht.",9853,0,0,true,4,145,6,1
164,"Verstäktes Testudo","",0,0,0,true,4,146,0,38
165,"Verstäktes Testudo II","",0,0,0,true,4,147,5,38
166,"Verstäktes Testudo III","",0,0,0,true,4,148,-10,38
167,"Verbesserter Prunkhieb","",0,0,0,true,4,149,0,38
168,"Verbesserter Prunkhieb II","",0,0,0,true,4,150,0,38
169,"Verbessertes Mithril-Gewitter","",0,0,0,true,4,151,0,44
170,"Verbessertes Mithril-Gewitter II","",0,0,0,true,4,152,0,44
171,"Verbessertes Mithril-Gewitter III","",0,0,0,true,4,153,1,44
172,"Verbesserter Schlachtrausch","",0,0,0,true,4,154,0,44
173,"Verbesserter Schlachtrausch II","",0,0,0,true,4,155,5,44
174,"Verbesserter Schlachtrausch III","",0,0,0,true,4,156,10,44
175,"Verbesserter Voller Schwinger","",0,0,0,true,4,157,0,85
176,"Verbesserter Voller Schwinger II","",0,0,0,true,4,158,5,85
177,"Verbesserter Voller Schwinger III","",0,0,0,true,4,159,10,85
178,"Verbesserter Axttritt","",0,0,0,true,4,160,0,41
179,"Verbesserter Axttritt II","",0,0,0,true,4,161,0,41
180,"Verbesserter Axttritt III","",0,0,0,true,4,162,2,41
181,"Verbesserter Salto","",0,0,0,true,4,163,0,41
182,"Verbesserter Salto II","",0,0,0,true,4,164,3,41
183,"Verbesserter Salto III","",0,0,0,true,4,165,-20,41
184,"Verbesserte Obhut","",0,0,0,true,4,166,0,86
185,"Verbesserte Obhut II","",0,0,0,true,4,167,3,86
186,"Verbesserter Impuls-Ansturm","",0,0,0,true,4,168,0,47
187,"Verbesserter Impuls-Ansturm II","",0,0,0,true,4,169,5,47
188,"Verbesserter Impuls-Ansturm III","",0,0,0,true,4,170,0,47
189,"Verbesserter Spieß","",0,0,0,true,4,171,0,47
190,"Verbesserter Spieß II","",0,0,0,true,4,172,5,47
191,"Verbesserter Spieß III","",0,0,0,true,4,173,-20,47
192,"Verbesserter Manasong","",0,0,0,true,4,174,0,50
193,"Verbesserter Manasong II","",0,0,0,true,4,175,15,50
194,"Verbesserter Weitschuss","",0,0,0,true,4,176,0,50
195,"Verbesserter Weitschuss II","",0,0,0,true,4,177,0,50
196,"Verbesserter Weitschuss III","",0,0,0,true,4,178,10,50
197,"Verbesserter Stoßschuss","",0,0,0,true,4,179,0,50
198,"Verbesserter Stoßschuss II","",0,0,0,true,4,180,0,50
199,"Verbesserter Stoßschuss III","",0,0,0,true,4,181,5,50
200,"Verbesserte Barmherzigkeit","",0,0,0,true,4,182,0,53
201,"Verbesserte Barmherzigkeit II","",0,0,0,true,4,183,6,53
202,"Verbesserte Barmherzigkeit III","",0,0,0,true,4,184,30,53
203,"Verbesserter Göttlicher Atem","",0,0,0,true,4,185,0,73
204,"Verbesserter Göttlicher Atem II","",0,0,0,true,4,186,20,73
205,"Verbesserte Nachtschwinge","",0,0,0,true,4,187,0,55
206,"Verbesserte Nachtschwinge II","",0,0,0,true,4,188,5,55
