Index,0 [0x6][0x8],1 [0x3][0xc],2 [0x3][0xd],3 [0x2][0xe],4 [0x0][0x0],5 [0x0][0x4]
45,35,0,0,0,"ディスプレイ設定","使用するディスプレイやスクリーンモードの設定、画面解像度などディスプレイに関する設定画面を表示します。"
46,36,0,0,0,"サウンド設定","音量調節やミュート機能など、サウンドに関する設定画面を表示します。"
47,37,0,0,0,"グラフィック設定","グラフィック品質の設定画面を表示します。プレイヤー環境にあわせて細かく設定することができます。"
48,38,0,0,0,"マウス設定","マウス操作に関する設定画面を表示します。"
49,39,0,0,0,"<if:コントローラー設定/ゲームパッド設定>","<if:振動の設定など、コントローラーに関する設定画面を表示します。/使用するゲームパッドの選択や振動の設定など、ゲームパッドに関する設定画面を表示します。>"
50,51,0,0,0,"その他の設定","スクリーンショットの保存形式や言語設定などの設定画面を表示します。"
51,41,0,0,0,"操作設定","カメラやターゲットなど、操作に関する設定画面を表示します。"
52,42,0,0,0,"ユーザーインターフェース設定","画面上に表示されるHUDなどのユーザーインターフェースに関する設定画面を表示します。"
53,43,0,0,0,"ネームプレート設定","プレイヤー頭上に表示されるネームプレートに関する設定画面を表示します。"
54,44,0,0,0,"ホットバー設定","ホットバーに関する設定画面を表示します。"
55,45,0,0,0,"チャットログ設定","フォントサイズやログフィルターなど、チャットログに関する設定画面を表示します。"
56,53,19,1,6,"PvPプロフィール","PvPコンテンツの戦績閲覧や、PvPアクションの修得が行えます。"
57,54,61,5,1,"パーティ募集","目的やロールなどを指定したパーティメンバー募集が行えます。"
58,55,63,5,3,"フィールドマーカー","フィールド上にパーティ内で共有可能な目印を設置できます。"
59,56,64,5,4,"レディチェック","パーティやアライアンスのメンバー全員に確認を行います。"
60,57,46,3,4,"攻略手帳","様々なコンテンツに設けられた攻略項目の一覧です。攻略項目の達成状況や、得られる報酬などをここで確認できます。項目の達成状況は、（地球時間）毎週<switch:日/月/火/水/木/金/土>曜日、<if:午後/午前><if:#s>時にリセットされます。"
61,58,17,1,4,"マウントリスト","マウントの閲覧や呼び出しなどが行えます。"
62,59,18,1,5,"ミニオンリスト","ミニオンの閲覧や呼び出しなどが行えます。"
63,60,0,0,0,"アクセシビリティ設定","サウンド情報の代替表現などアクセシビリティに関する設定画面を表示します。"
64,61,41,3,-1,"探検手帳","探検の記録が記された手帳です。目的地に関する情報も、ここから確認することができます。"
65,62,20,1,7,"ゴールドソーサー","ゴールドソーサーに関する様々な情報の確認を行います。レースチョコボのパラメータや血統情報の確認や、装備の変更を行えます。カードのデッキ編集もここから行います。"
66,63,12,1,-1,"通貨リスト","ギルや各種通貨の所持数を表示します。"
67,64,51,4,-1,"風脈の泉交感情報","風脈の泉と交感した記録の一覧です。様々な地域で交感をすることで記載内容が追加されていきます。"
