Index,0 [0x0][0x0],1 [0x6][0x4],2 [0x3][0xe],3 [0x3][0xf],4 [0x6][0x8],5 [0x19][0x10],6 [0x5][0xc]
20,"Sehr beliebter Zierfisch bei der Oberschicht Ul'dahs, die fast alles mag, was goldenen Glanz besitzt. Des weiteren besitzt dieser schön anzusehende Fisch ein schwach ausgeprägtes Streifenmuster.",4876,9,0,134,true,0
21,"Dieser lange, glitschige Fisch wird besonders gerne von den Lalafell gegessen, die Ackerbau betreiben. Ob es wohl an seinem eigentümlichen Schlammgeruch liegt? ",4935,9,3,152,true,0
22,"Einer alten Sage zufolge wurde dieser Flussfisch von Oschon dem Wanderer platt getreten und starb. Llymlaen die Lotsin hatte jedoch Mitleid mit ihm und belebte ihn in seiner nun sehr flachen Form wieder.",4877,10,0,135,true,0
23,"Dieser Süßwasserfisch ist sehr leicht zu fangen, da er fast alles frisst. Angler lieben ihn des weiteren auch deswegen, weil man ihn einfach nur salzen und rösten muss, um seinen exquisiten Geschmack kennenzulernen. ",4936,10,2,148,true,0
24,"Winziger Süßwasserfisch, der in Coerthas als wichtige Zutat auf sehr vielen Rezepten steht. Wird oft nach dem Fischen direkt an Ort und Stelle verzehrt.",4937,35,2,155,true,0
25,"Die Augen dieses Fisches haben sich immer weiter zurückgebildet, da er in den dunkelsten Gewässern zu Hause ist und keine natürlichen Feinde hat. Er spürt seine Beute auf, indem er Strömungsveränderungen erkennt.",4938,31,3,135,true,0
26,"Der Schutzpanzer dieser Krabbe ist sehr hart, schwer zu verarbeiten und der essbare Teil ist verschwindend gering. Sie steht daher eher selten auf dem Speiseplan der örtlichen Fischer.",4878,12,0,135,true,0
27,"Dieser Amphibienfisch kann seine Flossen geschickt einsetzen, um sich im Schlamm kriechend fortzubewegen. Oft erkennt man ihn in seichten Gewässern nur an seinen Glupschaugen, die über der Oberfläche periskopartig das Feindesland auszuspähen scheinen.",4939,13,3,140,true,0
28,"Wer das Fliegenfischen liebt, wird diesen Süßwasserfisch oft am Haken haben. Gesalzen, frittiert oder nach Müllerinart - diese Forelle ist einfach ein Gedicht.",4940,15,2,155,true,0
29,"Weil sie tote Fische und Algen liebend gerne verspeist, hat trägt diese Krabbe den Spitznamen „Flussreiniger“. Wenn sie irgendwann aussterben sollte, würde sie ein ganzes Ökosystem aus der Balance bringen.",4941,15,2,152,true,0
30,"Dieser Salzwasserfisch besitzt ein kräftiges, auffälliges Streifenmuster. Es ähnelt dem Muster eines in Othard beheimateten Tigers - daher auch der ungewöhnliche Name. ",4879,15,0,135,true,0
31,"Seine unbändige Kampfeslust macht auch vor Artgenossen nicht halt. Wenn man zwei Exemplare dieses Fisches in das gleiche Aquarium setzt, kommt es einem Gladiatorenkampf in der Arena gleich - Der Kampf endet erst, wenn nur noch einer steht ... beziehungsweise schwimmt.",4942,16,3,148,true,0
32,"Der Name dieses Krustentieres leitet sich aus der Form seiner äußerst harten Schale ab, die wie ein Metallhelm anmutet.",4880,16,0,135,true,0
33,"Ein gewöhnlicher Süßwasserfisch, der in vielen Seen und Flüssen Eorzeas heimisch ist. Er führt hart umkämpfte Schlachten gegen den Spindelbarsch, der die gleichen Nistgebiete für sich beansprucht.",4943,17,3,140,true,0
34,"Kreiselschnecke mit lustigem Namen. Ist nach dem Entfernen des bitteren Teils zwar durchaus genießbar, aber aufgrund ihres strengen Schlammgeruchs nicht als Delikatesse verschrien.",4944,17,2,140,true,0
35,"Die im Rothlyt-Meerbusen beheimateten Exemplare dieser Auster gelten als besonders delikat. Einfach ein wenig Sonnenzitronensaft auf den frischen Fang und fertig!",4881,17,0,135,true,0
36,"Die Bewegungen dieses Süßwasserfisches muten meist träge und plump an. Wenn er sich allerdings auf Beutefang befindet, ist das genaue Gegenteil der Fall. Viele seiner Opfer verenden mit überraschtem Gesichtsausdruck.",4945,18,2,153,true,0
37,"Wie der Name bereits vermuten lässt, ist dieser Fisch in vielen Flüssen La Nosceas anzutreffen. Da er gerne kleine Fische jagt, kann er sehr gut mit Wobbler-Ködern gefischt werden.",4946,18,2,134,true,0
38,"Dieser dünne, lange Salzwasserfisch springt häufig auf der Flucht vor Raubfischen aus dem Wasser, wobei er seine Flossen als Flügel verwendet. Seine Gestalt wird häufig mit einem von Llymlaen geworfenen Dolch verglichen.",4882,18,1,138,true,0
39,"Eine Legende besagt, dass dieser Süßwasserfisch bei Belagerungskämpfen in Zeiten der Kriegswirren in Gridania in Burggräben ausgesetzt wurde, um ihn dann als Nahrungsquelle nutzen zu können.",4947,19,3,132,true,0
40,"Eigentlich in den südlichen Gefilden beheimateter Fisch, der manchmal allerdings aufgrund von Meeresströmungen auch in Eorzea an den Haken zu bekommen ist.",4883,19,1,134,true,0
41,"Künstlich gezüchtete Fischart, die nach mehreren Kreuzungen ihre namensgebende kupferne Farbe entwickelte. Aus dem Osten eingeführt, wurde ihr Bestand durch Aussetzungsmaßnahmen in verschiedenen Gewässern immer weiter erhöht.",4948,20,3,140,true,0
42,"Der Blauglocken-Lachs beginnt sein Leben weit im Landesinneren von Flüssen und bahnt sich von dort den weiten Weg bis hin zu den Indigo-Tiefen. Erst wenn die Zeit zum Laichen gekommen ist, kehrt er an seine Geburtsstätte zurück.",4949,20,2,139,true,0
43,"Wenn diese Muschel überrascht oder gereizt wird, springt sie geradezu aus ihrem Zufluchtsort heraus. Dieses vorhersehbare Verhalten haben sich Seevögel zu Nutze gemacht. Sie lassen in der Nähe kleine Steine fallen und schnappen sich die Muschel sofort, wenn diese sich zeigt.",4884,20,0,135,true,0
44,"Weil diese Krabbe sich oft absichtlich mit Schlamm überhäuft, um von ihren natürlichen Feinden nicht erkannt zu werden, wurde sie früher auch „Schlammgolem“ genannt.",4950,21,2,141,true,0
45,"Dieses Weichtier kreuzt oft seine Tentakel, was ihm eine tanzende Schwimmbewegung verschafft. ",4885,21,1,135,true,0
46,"Das edle Äußere dieses Zierkarpfens kommt besonders gut zum Vorschein, wenn er direkt von oben betrachtet wird. Wenn die künstliche Züchtungsmethode allerdings nicht strikt eingehalten wird, verblasst die wunderschöne Farbe sofort.",4951,21,2,148,true,0
47,"Dieses Krustentier erstrahlt in rotem Glanz wie frisches Blut. Einer Sage zufolge entstand dieser Krebs aus dem vergossenen Blut der Sonnengöttin Azeyma.",4952,22,2,140,true,0
48,"Dieser Aal besitzt eine sehr charakteristische Färbung, die sich je nach Fressverhalten und Lebensumfeld leicht verändert.",4953,22,2,139,true,0
49,"Dieser Fisch besitzt ein Gift, das stumm macht. Für andere Fische ein eher zu vernachlässigendes Problem, aber wenn er aus Versehen auf dem heimischen Esstisch landen sollte, wäre man besser beraten, sich beim Geschichtenerzählen auf das Wesentliche zu beschränken.",4886,22,0,137,true,0
50,"Dieses Schalen-Weichtier speichert alle Verunreinigungen und Fremdkörper, anstatt sie auszustoßen. Zur Genießbarkeit dieser Muschel muss also nicht mehr viel gesagt werden. Auf der anderen Seite ist die Wasserqualität in Gewässern, in denen sie sich aufhält, meist hervorragend.",4954,23,3,139,true,0
51,"Wer beim Fliegenfischen Spaß haben möchte, sollte dies in Gewässern tun, in denen sich dieser Fisch aufhält. In der Nähe solcher Gewässer befinden sich oft auch heiße Quellen, eine wahre Wohltat für Körper und Seele.",4955,23,2,139,true,0
52,"Dieser Fisch ist nur schwer zu fassen. Sein fast vollständig transparenter Körper sorgte bis vor einigen Jahren sogar dafür, dass seine Existenz ganz und gar unbekannt war.",4956,24,2,134,true,0
53,"Dieser Fisch war früher in aller Munde, als das Gerücht bekannt wurde, dass er die Sehkraft verbessern würde. Sein extrem unangenehmer Geschmack ließ dieses Gerücht allerdings schnell wieder sterben.",4957,24,2,139,true,0
54,"Seinen Namen erhielt dieser Fisch aufgrund seiner überaus scharfen Flossen. So manches Fischernetz musste ihretwegen schon geflickt werden.",4887,24,1,138,true,0
55,"Dieser Aal wird oft für die Zubereitung von leckerer Aalpastete verwendet. Tagsüber sitzt er lethargisch in seiner Höhle, wird nachts aber sehr aktiv, wenn er auf Beutefang geht.",4958,25,2,153,true,0
56,"Dieser Süßwasserfisch wurde aus dem fernen Süden importiert und freut erfreut sich aufgrund seiner starken Lebenskraft auch in örtlichen Gewässern stetem Zuwachs.",4959,25,3,141,true,0
57,"Das strahlende Blau ist das Markenzeichen dieser Koralle, die wunderschön anzusehen ist.",5461,25,1,137,true,0
58,"Dieser Raubfisch besitzt einen äußerst kräftigen Körper, der ihm in Anlehnung an einen Nichtsgesandten den Namen „Oger“ einbrachte. Gerüchte, dass er sich gerne mit seinen Namensvettern anlegt, sind allerdings unbegründet.",4888,25,1,134,true,0
59,"Diese Garnele erhielt ihren Namen aufgrund ihrer schildartigen Schale, die an die Sage des Ägiden-Schildes erinnert. Naturkundeforscher schätzen, dass sie schon seit Urzeiten unter uns weilt.",4960,26,3,141,true,0
60,"Dieser kleine Süßwasserfisch ernährt sich größtenteils von Algen und wird nur selten größer als fünf Ilme.",4961,26,3,153,true,0
61,"Dieser Tiefsee-Raubfisch lockt seine Beute mit einem winzigen leuchtenden Anhängsel an seinem Kopf und erhielt so seinen trefflichen Namen. Unter Anglern gilt seine Anwesenheit als gutes Omen. ",4889,26,1,140,true,0
62,"Wenn er aufrecht schwimmt, gleicht dieser seltsame Meeresbewohner einem Chocobo; daher der Name.",4890,26,0,137,true,0
63,"Dieser Fisch erhielt seinen Namen, weil er häufig auf Bäumen gesichtet wurde und damals noch nicht bekannt war, dass der Grund dafür einfach nur Vögel waren, die ihn zuerst erbeutet und dann dort abgelegt hatten. Klettern kann er also leider nicht wirklich.",4962,27,3,153,true,0
64,"Versteckt sich trotz seiner stattlichen Größe sehr geschickt auf dem Grund von stehenden Gewässern. Seine langen Barthaare nehmen selbst die kleinsten Schwingungen wahr und sobald sich ein Beutefisch in seiner Nähe befindet, wird er mit einem Happen verschluckt.",4963,27,3,154,true,0
65,"Sein kirschfarbenes Äußeres zieht Fingerkrebse an, das Leibgericht dieses Salzwasserfisches. Er selbst gilt bei Fischern vor allem als Delikatesse, wenn er aus Bianaq stammt.",4891,27,1,137,true,0
66,"Dieser furchterregende Süßwasserfisch sendet Blitze aus, die seine Beute in Ohnmacht fallen lassen, bevor er sich über sie hermacht. Auch vor Personen macht er keinen Halt und es gibt jedes Jahr neue Berichte über Opfer, die ihm, meist unabsichtlich, zu nahe gekommen sind.",4964,28,3,153,true,0
67,"Dieser Salzwasserfisch ist flach wie eine abgelaufene Schuhsohle. Der Spott, den er dafür erntet, ist ihm aber egal. Was ihm allerdings nicht egal ist, ist die Tatsache, dass er in Verbindung mit Gilpilz-Soße als Delikatesse gilt.",4892,28,0,135,true,0
68,"Dieser Aal saugt sich mit seinem langen Rüssel an seiner Beute fest und absorbiert danach deren gesamte Körpersäfte, was ein zweifellos eher unangenehmes Gefühl verursacht. Er stand früher vor allem auf dem Speiseplan der Adeligen aus Ul'dah.",4965,29,2,146,true,0
69,"Dieser Süßwasserfisch trägt Schädelknochen von Echsen. Wie das überhaupt möglich ist und warum er das tut, muss erst noch untersucht werden.",4966,29,2,146,true,0
70,"Der Kopf dieses Hais gleicht einem Hammer. Er ist ein äußerst flinker Jäger und wird oft im Schwarm mit bis zu hundert seiner Artgenossen angetroffen.",4893,29,1,138,true,0
71,"Dieser Lachs gilt als wahre Delikatesse. Auch unter Monstern. Er schwimmt jedes Jahr stromaufwärts zum laichen und muss sich praktisch vor allem in Acht nehmen, was sich bewegt, um nicht als Hauptspeise zu enden.",4967,28,2,145,true,0
72,"Bei den Seewölfen des Nordmeeres wird dieser Stachelhäuter traditionell fein geschnitten verspeist. Die Piraten schätzen vor allem seine Knusprigkeit.",4894,30,0,137,true,0
73,"Dieser Süßwasserfisch saugt sich gerne an Felsen fest und gilt als einer der seltensten seiner Gattung.",4968,30,3,152,true,0
74,"Ein Ball aus Licht emittierenden Algen, der in Höhlen zu finden ist. Der Grund für dieses Leuchten ist allerdings auch weiterhin umstritten.",5544,31,3,135,true,0
75,"Dieser Fisch wird sowohl als Nahrungsmittel sowie auch als Köder für größere Fische sehr geschätzt. Die Fischergilde fängt diesen Hering daher öfter als jede andere Fischart.",4895,31,0,137,true,0
76,"Der Körper dieses relativ langen und dünnen Aals ist mit einem dichten und harten Schuppenkeid überzogen. Er ist auch dafür bekannt, ab und an mit seinem Maul über der Wasseroberfläche zu verharren.",4969,32,3,146,true,0
77,"Miqo'te haben eine besondere Vorliebe für diesen riesigen Fisch und sein fettes Fleisch. In östlichen Gegenden wird dieser Fisch nach dem Fang sofort zerlegt und roh verzehrt. ",4896,32,1,137,true,0
78,"Dieser seltene Süßwasserfisch wurde in Gottes Griff entdeckt. Ist besonders aufgrund seiner hohen Resistenz gegen Giftstoffe in Forschungskreisen sehr gefragt.",4970,32,3,135,true,0
79,"Diese Süßwasserschnecke wird aufgrund ihres klebrigen Äußeren oft als „Handlanger der Nichtsgesandten“ verunglimpft.",4971,33,3,145,true,0
80,"Eine Spezies, die ausschließlich im Wurzelmoor angetroffen werden kann. Durch geschickte Flossenbewegungen kann sie auf geeigneten Böden ansehnliche Sprünge vollführen. ",4972,33,3,153,true,0
81,"Bis vor kurzem kamen die Fetzenfische noch in allen fünf Meeren vor. Die derzeitigen Bestände sind allerdings stark reduziert, nicht zuletzt durch die Überfischung der Männer aus Ishgard.",4897,33,0,135,true,0
82,"Ein eigentümlicher Kieferbau verleiht diesem Süßwasserfisch die Fähigkeit, kleine Fische oder Insekten ohne Kaubewegung zu schlucken. Besitzt seine jetzige Form schon seit Urzeiten.",4973,34,3,153,true,0
83,"Dieser Salzwasserfisch kommt nur nachts und meist in Schwärmen an die Meeresoberfläche. Bei optimalem Mondschein erstrahlt die Wasseroberfläche sodann dank ihm in milchweißer Farbe. Der Fisch besitzt Menphinas Segen.",4898,34,0,137,true,0
84,"Die Klauen dieses Süßwasser-Krustentieres sind von einer Vielzahl kleiner Borsten übersät, wodurch der Eindruck entsteht, dass die Krabbe Handschuhe tragen würde.",4974,34,2,137,true,0
85,"Der Körper dieses Salzwasserfisches ist sehr straff und es ist fast unmöglich, ihn zu zerkochen. Er ist daher als Zutat für Eintöpfe sehr gefragt. Wegen seines guten Geschmacks gilt er als König des Nordmeeres.",4899,34,1,140,true,0
86,"Vor langer Zeit schenkte ein aus der Südsee kommender Lalafell einem Padjal einen Zierfisch, um seine Freundschaft zu bekunden. Der Nachkomme dieses Fisches scheint der Monke Onke zu sein.",4975,33,2,148,true,0
87,"Eine reine Süßwasserforelle, die ein sehr vorsichtiges Verhalten an den Tag legt. Es ist daher zum großen Teil nur langjährigen Anglern vergönnt, sie an den Haken zu bekommen.",4976,35,2,155,true,0
88,"Eine Doppelschalenmuschel, die zwar nicht essbar ist, aber hin und wieder äußerst seltene weiße Perlen in sich birgt, die überall sehr geschätzt werden.",4900,35,0,137,true,0
89,"Dieser amphibische Fisch kann sogar in Dünengebieten überleben. Dort bildet er allerdings das unterste Glied in der Nahrungskette.",4977,35,4,146,true,0
90,"Dieser Zierfisch wurde irgendwo im Osten künstlich aufgezogen. Um seinen silberfarbenen Glanz zu perfektionieren, haben Züchter der dritten Generation mehrere Jahrzehnte ihres Lebens investiert.",4978,36,3,137,true,0
91,"Seinen prächtigen Farben verdankt dieser Süßwasserfisch wohl auch seinen Namen. Das klar erkennbare Streifenmuster von Kopf bis Schwanzflosse ist sehr schön anzusehen und macht ihn zu einem begehrten Zierfisch.",4979,36,3,146,true,0
92,"Dieser Fisch kann sich auch im Sand fortbewegen. Er sieht einer Brasse zwar ähnlich, ist aber in Wahrheit nicht mit ihr verwandt.",5032,36,4,146,true,0
93,"Dieser parasitäre Salzwasserfisch saugt sich gerne an Walen oder Haien fest.",4901,36,1,137,true,0
94,"Die Schuppen dieses Welses sind so hart, dass sich selbst weitaus größere Fische schon an ihnen die Zähne ausgebissen haben und ihn seitdem meiden. Die geringe Anzahl seiner natürlicher Feinde hat zur Folge, dass er sehr lange lebt und eine enorme Größe erreichen kann.",4980,37,3,153,true,0
95,"Dieser Süßwasserfisch zählt zu den größten seiner Gattung. Des Weiteren ist er auch für seinen großen Appetit bekannt, der auch vor großen Fischen keinen Halt macht.",4981,37,3,156,true,0
96,"Dieser riesige Dünenfisch ernährt sich von praktisch allem, was er in der Wüste findet - Insekten, anderen Dünenfischen und manchmal sogar von Monstern. Er selbst schmeckt auch exquisit, enthält aber eine sehr große Menge an Sand und ist daher nur unter hohem Aufwand zubereitbar.",5033,37,4,146,true,0
97,"Ein Salzwasserfisch, der zu einem furchterregenden Anblick wird, wenn er sich wie ein Luftballon aufbläst und seine Stachel zum Vorschein kommen. Er ist aufgrund dieses Verhaltens auch unter dem Namen „Seebombe“ bekannt.",4902,37,0,137,true,0
98,"Dieser Allesfresser kann mit verschiedenen Methoden ohne großen Aufwand gefischt werden. In Gridania steht er daher in gegrillter Form auf fast jeder Speisekarte.",4982,38,2,153,true,0
99,"Dieser Fisch zeichnet sich durch seine Überlebensfähigkeit in den Brackwassergebieten von Flussmündungen aus. Sein gefleckter Körper ist sehr ansehnlich, was ihn zu einem beliebten Objekt in Aquarien macht. Ihn zu züchten ist allerdings äußerst schwierig.",4983,38,2,137,true,0
100,"Dieser Dünenfisch kann sich so geschwind im Sand bewegen, dass es schon fast an Magie grenzt. Seine Technik erinnert dabei so sehr an gewisse Attentäter aus den östlichen Regionen, dass er irgendwann den Spitznamen „Ninja-Fisch“ erhielt.",5034,38,4,146,true,0
101,"Dieser seltene Fisch hat eine überaus schwache Goldfärbung.",4984,39,3,155,true,0
102,"Sobald sich in der Sagolii-Wüste ein Sandsturm ereignet, setzt dieser Dünenfisch zum mühelosen Gleitflug an.",5035,39,4,146,true,0
103,"Dieser Süßwasser-Aal glänzt in herrlichem Gold und erhielt daher den Spitznamen „Nald'thal-Aal“, der vom Patron der Händlerzunft stammt. Er ist außerdem nachtaktiv, was seine Auffälligkeit nur noch verstärkt.",4985,39,2,145,true,0
104,"Diese Forelle ist unter den einheimischen Fliegenfischern sehr bekannt. Wurde früher fälschlicherweise aufgrund seiner Farbe, die unter bestimmten Verhältnissen auch blutrot anmuten kann, für einen blutsaugenden Fisch gehalten. ",4986,40,2,155,true,0
105,"Ein sehr flacher und farbenfroher Süßwasserfisch, der hübsch anzusehen ist. Laut der im Moment vorherrschenden Theorie sind die südlichen Inseln zwar seine Heimat, aber er wird auf Handelsschiffen auch gerne in andere Gebiete exportiert.",4987,40,2,137,true,0
106,"Wenn man einem Reisebericht des Schriftstellers Derwin Glauben schenken mag, ist diese Schnecke ein Abgesandter der Unterwelt. Bisher hat ihm das allerdings noch niemand geglaubt.",5036,40,4,146,true,0
107,"Eine blutrote Koralle, die als Symbol der Lebenskraft gilt. Sie ist deswegen ein sehr beliebtes Geschenk auf vielen Geburtsfeiern in ganz La Noscea.",5462,40,0,138,true,0
108,"Diese Forelle ist eine dem Bronzesee inhärente Spezies. ",4988,41,3,139,true,0
109,"Die Amalj'aa verehren diese Schnecke als heiliges Nahrungsmittel. Sie vermuten nämlich, dass die Schnecke direkt aus den Klauen des Primae Ifrit heraus geboren wurde.",4989,41,3,156,true,0
110,"Dieser Manta erklimmt die höchsten Sanddünen, um von dort aus im Gleitflug auf Beutejagd zu gehen.",5037,41,4,146,true,0
111,"Normalerweise jagt dieser Hai eher mittelgroße Fische, aber er hat auch schon Schwimmer angegriffen. Wer gar in seinem Nistgebiet schwimmt, muss davon ausgehen, unbarmherzig attackiert zu werden. ",4903,41,1,134,true,0
112,"In Ul'dah wird dieser Fisch auch Sultansfisch genannt. Bei der Krönungsfeier des früheren Sultans Sasabaru wurde ihm dieser Fisch nämlich von einem Händler als Geschenk vermacht. ",4990,42,3,145,true,0
113,"Die im Finsterwald lebenden Mondstreuner verehren diesen Fisch als Symbol der Stärke und halten ihn sich als Maskottchen.",4991,42,2,180,true,0
114,"Der Legende zufolge war es ein Drache, der diesen Fisch aus einem einzigen Tropfen Blut erschuf, der versehentlich in einem Fluss landete. ",4992,43,2,152,true,0
115,"Die Schuppen dieses Süßwasserfisches sind hart wie Metall und seine Form ähnelt einem Schneidewerkzeug. Aber keine Angst, so scharf wie ein Messer ist er zum Glück nicht.",4993,43,2,145,true,0
116,"Mit ihren scharfen Zähnen knackt diese Makrele selbst harte Krustentiere problemlos. Sie selbst schmeckt zwar eher fade, wird allerdings oft als Arznei verabreicht, da ihr nachgesagt wird, sie erhöhe die Körperkraft.",4904,43,1,138,true,0
117,"Bei Regen wird dieser Fisch überaus aktiv und kann von Anglern problemlos an Land gezogen werden. ",4905,43,2,133,true,0
118,"Dieser Süßwasserfisch wird oft mit einer dicken, kräftigen Wurzel eines alten Eichenbaumes verglichen. Leider schmeckt er auch so und ist daher eher selten in Kochtöpfen aufzufinden.",4994,44,2,154,true,0
119,"Dieser Süßwasserfisch ist in ganz Eorzea heimisch. Er nutzt zum Beispiel Steine als Versteck, um Insekten und kleinen Fischen aufzulauern. ",4995,44,2,139,true,0
120,"Mit viel Glück kann man in dieser Doppelschalenmuschel eine schwarze Perle finden, die als extrem selten und wertvoll gilt.",5466,44,0,138,true,0
121,"Dieser Raubfisch stürzt sich auf wirklich alles, was ihm in die Quere kommt. Fische, Muscheln, Frösche, Mäuse und selbst kleine Vögel sind nicht vor ihm sicher.",4996,45,2,153,true,0
122,"Dieser Süßwasserfisch ist mit dem Südhecht verwandt. Der größte Unterschied ist, neben den verschiedenen Nistgebieten, die Farbe der Schwanzflosse. Die des Nordhechts ist rot, die des Südhechts blau.",4997,45,2,155,true,0
123,"Es gibt zwei Theorien über die Herkunft des Namens dieses Fisches. Eine besagt, dass seine Statur der eines Koboldes ähnelt. Die andere, dass seine Färbung aufgrund der Zauberei von Kobolden entstanden ist.",4998,45,2,137,true,0
124,"Unter Piraten wird diese uralte Spezies als heilig angesehen. Seine harte Schale wird zu einem Trinkgefäß verarbeitet, das vor allem bei Siegesfeiern benutzt wird.",4906,45,0,138,true,0
125,"Da dieser Fisch gerne Insekten frisst, findet man ihn besonders oft an Haken von Fliegenfischern.",4999,45,3,137,true,0
126,"Diese Qualle ist unter anderem mit Aurelias artverwandt. Sie kann aufgrund ihrer mit Gas gefüllte Blasen im Körper mühelos durch das Wolkenmeer schweben. ",5038,45,5,155,true,0
127,"Goblins haben diesen Barsch angeblich während einer Pilgerfahrt in die Hände bekommen und ihn daraufhin auch in Eorzea eingeführt.",5000,46,2,153,true,0
128,"Dieser Karpfen kommt ausschließlich im Agelyss vor. Wer ihn springen sieht, soll einer Sage zufolge drei Tage lang Glück haben.",5001,46,2,137,true,0
129,"Früher galt dieser Fisch als Nahrungsmittel ungeeignet und wurde oft einfach entsorgt oder als Dünger verwendet. In letzter Zeit machen allerdings immer mehr Hechtconger-Rezepte die Runde.",4907,46,1,138,true,0
130,"Dieser Süßwasserfisch verteidigt sein Revier mit allen verfügbaren Mitteln und beseitigt eindringende Fische mit der Effizienz eines geübten Attentäters.",5002,47,3,156,true,0
131,"Der Schlammskipper kann aufgrund seiner Toxin-Resistenz selbst in Gewässern überleben, deren Wasserqualität fast kein anderes Leben zulässt. Da er die Giftstoffe allerdings in seinem Körper speichert, ist er als Nahrungsquelle völlig ungeeignet.",5003,44,3,147,true,0
132,"Lange Zeit wurde über die Existenz dieses Fisches spekuliert, da es außer alten Aufzeichnungen keine unterstützenden Beweise gab.",5039,47,5,155,true,0
133,"Der Klumpen an Kopf dieses Salzwasserfisches wächst stetig. Ausgewachsene Exemplare beweisen ihre Tapferkeit, indem sie ihre Artgenossen damit rammen, sobald diese in ihr Sichtfeld kommen.",4908,47,1,138,true,0
