Index,0 [0x3][0xca],1 [0x3][0xcb],2 [0x7][0xc0],3 [0x5][0xc4],4 [0x5][0xc6],5 [0x5][0xc8],6 [0x7][0x0],7 [0x7][0xc],8 [0x7][0x18],9 [0x7][0x24],10 [0x7][0x30],11 [0x7][0x3c],12 [0x7][0x48],13 [0x7][0x54],14 [0x7][0x60],15 [0x7][0x6c],16 [0x7][0x78],17 [0x7][0x84],18 [0x7][0x90],19 [0x7][0x9c],20 [0x7][0xa8],21 [0x7][0xb4],22 [0x7][0x4],23 [0x7][0x10],24 [0x7][0x1c],25 [0x7][0x28],26 [0x7][0x34],27 [0x7][0x40],28 [0x7][0x4c],29 [0x7][0x58],30 [0x7][0x64],31 [0x7][0x70],32 [0x7][0x7c],33 [0x7][0x88],34 [0x7][0x94],35 [0x7][0xa0],36 [0x7][0xac],37 [0x7][0xb8],38 [0x19][0x8],39 [0x19][0x14],40 [0x19][0x20],41 [0x19][0x2c],42 [0x19][0x38],43 [0x19][0x44],44 [0x19][0x50],45 [0x19][0x5c],46 [0x19][0x68],47 [0x19][0x74],48 [0x19][0x80],49 [0x19][0x8c],50 [0x19][0x98],51 [0x19][0xa4],52 [0x19][0xb0],53 [0x19][0xbc],54 [0x1a][0x8],55 [0x1a][0x14],56 [0x1a][0x20],57 [0x1a][0x2c],58 [0x1a][0x38],59 [0x1a][0x44],60 [0x1a][0x50],61 [0x1a][0x5c],62 [0x1a][0x68],63 [0x1a][0x74],64 [0x1a][0x80],65 [0x1a][0x8c],66 [0x1a][0x98],67 [0x1a][0xa4],68 [0x1a][0xb0],69 [0x1a][0xbc],70 [0x1b][0x8],71 [0x1b][0x14],72 [0x1b][0x20],73 [0x1b][0x2c],74 [0x1b][0x38],75 [0x1b][0x44],76 [0x1b][0x50],77 [0x1b][0x5c],78 [0x1b][0x68],79 [0x1b][0x74],80 [0x1b][0x80],81 [0x1b][0x8c],82 [0x1b][0x98],83 [0x1b][0xa4],84 [0x1b][0xb0],85 [0x1b][0xbc]
10,1,3,251,279,280,281,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11,1,3,251,279,280,281,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
12,1,1,251,279,280,281,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
13,1,1,251,279,280,281,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
14,1,1,251,279,280,281,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15,1,1,251,279,280,281,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
16,1,1,251,279,280,281,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
17,1,1,251,279,280,281,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
18,1,1,251,279,280,281,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
19,5,2,251,279,280,281,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20,2,3,251,279,280,281,4982026,4982026,5584138,5582186,5584063,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,71312,71312,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
21,2,3,251,279,280,281,4982026,4982026,5584138,5582186,5584063,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,71312,71312,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
22,2,3,251,279,280,281,4982026,4982026,5584138,5582186,5584063,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,71312,71312,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
23,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
24,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
25,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
26,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
27,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
28,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
29,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
30,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
31,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
32,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
33,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
34,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
35,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
36,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
37,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
38,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
39,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
40,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
41,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
42,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
43,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
44,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
45,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
46,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
47,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
48,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
49,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
50,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
51,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
52,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
53,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
54,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
55,5,2,251,279,280,281,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
56,5,2,251,279,280,281,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
57,5,2,251,279,280,281,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
58,5,2,251,279,280,281,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
59,5,2,251,279,280,281,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
60,4,2,251,279,280,281,5127365,5127365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
