Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x3][0x16],9 [0x7][0x10],10 [0x3][0x17],11 [0x5][0x14],12 [0x19][0x19],13 [0x1a][0x19],14 [0x1b][0x19],15 [0x3][0x18]
2000022,"cougourde",0,"cougourdes",0,0,1,1,0,3,65578,7,1856,true,false,true,0
2000023,"citrouille",0,"citrouilles",0,0,1,1,0,3,65578,7,1858,true,false,true,0
2000024,"giraumon",0,"giraumons",0,0,1,0,0,3,65578,7,1856,true,false,true,0
2000025,"coloquinte",0,"coloquintes",0,0,1,1,0,3,65578,7,1858,true,false,true,0
2000026,"baie de rosier d'Azeyma",0,"baies de rosier d'Azeyma",0,0,1,1,0,3,65577,7,1844,true,false,true,0
2000027,"baie de rosier d'Azeyma",0,"baies de rosier d'Azeyma",0,0,1,1,0,3,65577,7,1844,true,false,true,0
2000028,"baie de rosier d'Azeyma",0,"baies de rosier d'Azeyma",0,0,1,1,0,3,65577,7,1844,true,false,true,0
2000029,"baie de rosier d'Azeyma",0,"baies de rosier d'Azeyma",0,0,1,1,0,3,65577,7,1844,true,false,true,0
2000030,"baie de rosier d'Azeyma",0,"baies de rosier d'Azeyma",0,0,1,1,0,3,65577,7,1844,true,false,true,0
2000031,"baie de rosier d'Azeyma",0,"baies de rosier d'Azeyma",0,0,1,1,0,3,65577,7,1844,true,false,true,0
2000032,"",0,"",0,0,1,0,0,3,720898,0,1624,true,false,true,0
2000033,"porte",0,"portes",0,0,1,1,0,1,0,0,0,false,false,true,0
2000034,"巨大ウィスプの出現を待つ※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000035,"凶悪な魔物に挑む※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000036,"槍術士Aを追う※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000037,"",0,"",0,0,1,0,0,1,0,0,1767,false,false,true,0
2000038,"",0,"",0,0,1,0,0,3,0,7,0,false,false,true,0
2000039,"cellule magitek",0,"cellules magitek",0,0,1,1,0,1,983198,0,3203,true,false,true,0
2000040,"",0,"",0,0,1,0,0,1,0,0,1767,false,false,true,0
2000041,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000042,"destination",0,"destinations",0,0,1,1,0,3,65695,7,3308,true,false,true,0
2000043,"cavité humide",0,"cavités humides",0,0,1,1,0,3,65696,7,1625,true,false,true,0
2000044,"cavité humide",0,"cavités humides",0,0,1,1,0,3,65696,7,1625,true,false,true,0
2000045,"cavité humide",0,"cavités humides",0,0,1,1,0,3,65696,7,1625,true,false,true,0
2000046,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000047,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000048,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000049,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000050,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000051,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000052,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000053,"œuf de Leia",0,"œufs de Leia",0,1,1,0,0,3,65697,7,1842,true,false,true,0
2000054,"",0,"",0,0,1,0,0,3,0,7,0,true,false,true,0
2000055,"rosaire de culte",0,"rosaires de culte",0,0,1,0,0,1,983042,0,1109,true,false,true,0
2000056,"rosaire de culte",0,"rosaires de culte",0,0,1,0,0,1,983043,0,1109,true,false,true,0
2000057,"rosaire de culte",0,"rosaires de culte",0,0,1,0,0,1,983044,0,1109,true,false,true,0
2000058,"barrière magique",0,"barrières magiques",0,0,1,1,0,1,983186,0,0,true,false,true,0
2000059,"barrière magique",0,"barrières magiques",0,0,1,1,0,1,983187,0,0,true,false,true,0
2000060,"barrière magique",0,"barrières magiques",0,0,1,1,0,1,983188,0,0,true,false,true,0
2000061,"orbe de culte",0,"orbes de culte",0,1,1,0,0,1,983178,0,0,true,true,true,0
2000062,"orbe de culte",0,"orbes de culte",0,1,1,0,0,1,983179,0,0,true,true,true,0
2000063,"orbe de culte",0,"orbes de culte",0,1,1,0,0,1,983180,0,0,true,true,true,0
2000064,"cocon des abysses",0,"cocons des abysses",0,0,1,0,0,1,0,0,1366,false,false,true,0
2000065,"pont de pierre",0,"ponts de pierre",0,0,1,0,0,1,0,0,0,false,false,true,0
2000066,"sortie",0,"sorties",0,0,1,1,0,1,0,0,0,false,false,true,0
2000067,"orbe de culte",0,"orbes de culte",0,1,1,0,0,1,983181,0,0,true,true,true,0
2000068,"",0,"",0,0,1,0,0,1,0,0,1767,false,false,true,0
2000069,"",0,"",0,0,1,0,0,1,0,0,1767,false,false,true,0
2000070,"brûle-parfum",0,"brûle-parfums",0,0,1,0,0,3,65556,7,2076,true,false,true,0
2000071,"brûle-parfum",0,"brûle-parfums",0,0,1,0,0,3,65556,7,2076,true,false,true,0
2000072,"sonnette",0,"sonnettes",0,0,1,1,0,3,720906,0,1624,true,false,true,0
2000073,"tableau des ventes",0,"tableaux des ventes",0,0,1,0,0,3,720935,0,1624,true,false,true,0
2000074,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000075,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000076,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000077,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000078,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000079,"×※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000080,"pierre du courage",0,"pierres du courage",0,0,1,1,0,3,0,7,1853,true,false,true,0
2000081,"lanterne gardienne",0,"lanternes gardiennes",0,0,1,1,0,3,0,7,1625,true,false,true,0
2000082,"lanterne gardienne",0,"lanternes gardiennes",0,0,1,1,0,3,0,7,1625,true,false,true,0
2000083,"lanterne gardienne",0,"lanternes gardiennes",0,0,1,1,0,3,0,7,1625,true,false,true,0
2000084,"chemin des lamentations",0,"chemins des lamentations",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000085,"eau claire",0,"eaux claires",0,1,1,1,0,3,0,7,1624,true,false,true,0
2000086,"vieil arbre endommagé",0,"vieux arbres endommagés",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000087,"sortie",0,"sorties",0,0,1,1,0,3,131083,0,0,true,false,true,0
2000088,"lit confortable",0,"lits confortables",0,0,1,0,0,3,720916,0,0,true,false,true,0
2000089,"terre foulée",0,"terres foulées",0,0,1,1,0,3,65592,7,2075,true,false,true,0
2000090,"chemin des lamentations",0,"chemins des lamentations",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000091,"chemin des lamentations",0,"chemins des lamentations",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000092,"pierre du courage",0,"pierres du courage",0,0,1,1,0,3,0,7,1853,true,false,true,0
2000093,"affiche humide",0,"affiches humides",0,1,1,1,0,1,1048578,0,3237,true,false,true,0
2000094,"affiche humide",0,"affiches humides",0,1,1,1,0,1,1048579,0,3237,true,false,true,0
2000095,"affiche humide",0,"affiches humides",0,1,1,1,0,1,1048580,0,3237,true,false,true,0
2000096,"affiche humide",0,"affiches humides",0,1,1,1,0,1,1048581,0,3237,true,false,true,0
2000097,"affiche humide",0,"affiches humides",0,1,1,1,0,3,1048582,0,0,true,false,true,0
2000098,"affiche humide",0,"affiches humides",0,1,1,1,0,1,1048583,0,3237,true,false,true,0
2000099,"affiche humide",0,"affiches humides",0,1,1,1,0,1,1048584,0,3237,true,false,true,0
2000100,"cellule magitek",0,"cellules magitek",0,0,1,1,0,1,983152,0,3203,true,false,true,0
2000101,"cellule magitek",0,"cellules magitek",0,0,1,1,0,1,983153,0,3203,true,false,true,0
2000102,"cellule magitek",0,"cellules magitek",0,0,1,1,0,1,983154,0,3203,true,false,true,0
2000103,"cellule magitek",0,"cellules magitek",0,0,1,1,0,1,983155,0,3203,true,false,true,0
2000104,"cellule magitek",0,"cellules magitek",0,0,1,1,0,2,983182,0,3203,true,false,true,0
2000105,"cellule magitek",0,"cellules magitek",0,0,1,1,0,2,983183,0,3203,true,false,true,0
2000106,"cellule magitek",0,"cellules magitek",0,0,1,1,0,2,983184,0,3203,true,false,true,0
2000107,"cellule magitek",0,"cellules magitek",0,0,1,1,0,2,983185,0,3203,true,false,true,0
2000108,"cellule magitek",0,"cellules magitek",0,0,1,1,0,1,983199,0,3203,true,false,true,0
2000109,"cellule magitek",0,"cellules magitek",0,0,1,1,0,1,983200,0,3203,true,false,true,0
2000110,"cellule magitek",0,"cellules magitek",0,0,1,1,0,1,983201,0,3203,true,false,true,0
2000111,"",0,"",0,0,1,0,0,1,1114145,7,0,false,false,true,0
2000112,"",0,"",0,0,1,0,0,1,1114146,7,0,false,false,true,0
2000113,"",0,"",0,0,1,0,0,1,1114147,7,0,false,false,true,0
2000114,"",0,"",0,0,1,0,0,1,1114148,7,0,false,false,true,0
2000115,"",0,"",0,0,1,0,0,1,1114149,7,0,false,false,true,0
2000116,"terminal magitek",0,"terminaux magitek",0,0,1,0,0,1,983046,0,1621,true,false,true,0
2000117,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000118,"terminal magitek",0,"terminaux magitek",0,0,1,0,0,1,983047,0,1621,true,false,true,0
2000119,"terminal magitek",0,"terminaux magitek",0,0,1,0,0,1,0,0,1621,true,false,true,0
2000120,"",0,"",0,0,1,0,0,3,0,7,0,false,false,true,0
2000121,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000122,"terminal magitek",0,"terminaux magitek",0,0,1,0,0,1,0,0,1621,true,false,true,0
2000123,"terminal magitek",0,"terminaux magitek",0,0,1,0,0,1,0,0,1621,true,false,true,0
2000124,"",0,"",0,0,1,0,0,3,0,7,0,false,false,true,0
2000125,"transporteur magitek",0,"transporteurs magitek",0,0,1,0,0,1,983190,0,1623,true,false,true,0
2000126,"transporteur magitek",0,"transporteurs magitek",0,0,1,0,0,3,983045,0,0,true,false,true,0
2000127,"transporteur magitek",0,"transporteurs magitek",0,0,1,0,0,3,983045,0,0,true,false,true,0
2000128,"boule de pollen",0,"boules de pollen",0,0,1,1,0,3,1114114,7,1625,true,false,true,0
2000129,"boule de pollen",0,"boules de pollen",0,0,1,1,0,1,1114114,7,1666,false,false,true,0
2000130,"boule de pollen",0,"boules de pollen",0,0,1,1,0,2,0,0,1666,false,false,true,0
2000131,"boule de pollen",0,"boules de pollen",0,0,1,1,0,1,0,0,0,false,false,true,0
2000132,"boule de pollen",0,"boules de pollen",0,0,1,1,0,1,0,0,0,false,false,true,0
2000133,"",0,"",0,0,1,0,0,3,0,7,0,false,false,true,0
2000134,"",0,"",0,0,1,0,0,3,0,7,1624,false,false,true,0
2000135,"",0,"",0,0,1,0,0,3,0,7,1624,false,false,true,0
2000136,"trace de pas effacée",0,"traces de pas effacées",0,0,1,1,0,3,65606,7,1626,true,false,true,0
2000137,"boule de pollen",0,"boules de pollen",0,0,1,1,0,1,0,0,0,false,false,true,0
2000138,"boule de pollen",0,"boules de pollen",0,0,1,1,0,1,0,0,0,false,false,true,0
2000139,"sortie",0,"sorties",0,0,1,1,0,1,983045,0,1629,true,false,true,0
2000140,"arbrisseau",0,"arbrisseaux",0,1,1,0,0,3,65707,7,1625,true,false,true,0
2000141,"carnet de mesures",0,"carnets de mesures",0,0,1,0,0,3,65711,7,1848,true,false,true,0
2000142,"arbrisseau",0,"arbrisseaux",0,1,1,0,0,3,65707,7,2075,true,false,true,0
2000143,"borne indicatrice",0,"bornes indicatrices",0,0,1,1,0,3,65735,7,2076,true,false,true,0
2000144,"borne indicatrice",0,"bornes indicatrices",0,0,1,1,0,3,65735,7,2076,true,false,true,0
2000145,"agaric luisant",0,"agarics luisants",0,1,1,0,0,3,65731,7,1852,true,false,true,0
2000146,"pile de sacs de jute tièdes",0,"piles de sacs de jute tièdes",0,0,1,1,0,3,65709,7,1851,true,false,true,0
2000147,"caisse d'outils d'arpentage",0,"caisses d'outils d'arpentage",0,0,1,1,0,3,65711,7,1850,true,false,true,0
2000148,"caisse d'outils d'arpentage",0,"caisses d'outils d'arpentage",0,0,1,1,0,3,65711,7,1850,true,false,true,0
2000149,"corde à treize nœuds",0,"cordes à treize nœuds",0,0,1,1,0,3,65711,7,1849,true,false,true,0
2000150,"œuf d'anolis",0,"œufs d'anolis",0,1,1,0,0,3,65661,7,1843,true,false,true,0
2000151,"éthérite urbaine",0,"éthérites urbaines",0,1,1,1,0,3,720924,0,1585,true,false,true,0
2000152,"petite clef",0,"petites clefs",0,0,1,1,0,1,0,0,1651,true,false,true,0
2000153,"éthérite urbaine",0,"éthérites urbaines",0,1,1,1,0,3,720924,0,1585,true,false,true,0
2000154,"éthérite urbaine",0,"éthérites urbaines",0,1,1,1,0,3,720924,0,1585,true,false,true,0
2000155,"éthérite urbaine",0,"éthérites urbaines",0,1,1,1,0,3,720924,0,1585,true,false,true,0
2000156,"éthérite urbaine",0,"éthérites urbaines",0,1,1,1,0,3,720924,0,1585,true,false,true,0
2000157,"éthérite urbaine",0,"éthérites urbaines",0,1,1,1,0,3,720924,0,1585,true,false,true,0
2000158,"",0,"",0,0,1,0,0,3,0,7,0,false,false,true,0
2000159,"petite clef",0,"petites clefs",0,0,1,1,0,2,983048,0,1651,true,false,false,5
2000160,"porte verrouillée",0,"portes verrouillées",0,0,1,1,0,1,983050,0,0,true,false,true,0
2000161,"",0,"",0,0,1,0,0,1,0,0,0,false,true,true,0
2000162,"levier du monte-charge",0,"leviers du monte-charge",0,0,1,0,0,1,983118,0,0,true,false,true,0
2000163,"levier du monte-charge",0,"leviers du monte-charge",0,0,1,0,0,1,983119,0,3317,true,false,true,0
2000164,"",0,"",0,0,1,0,0,1,0,7,0,false,false,true,0
2000165,"levier du monte-charge",0,"leviers du monte-charge",0,0,1,0,0,1,983120,0,0,true,false,true,0
2000166,"levier du monte-charge",0,"leviers du monte-charge",0,0,1,0,0,1,983121,0,3317,true,false,true,0
2000167,"",0,"",0,0,1,0,0,1,0,7,0,false,false,true,0
2000168,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000169,"amas de 6 onz de poudre",0,"amas de 6 onz de poudre",0,1,1,0,0,1,983052,0,2791,true,false,true,0
2000170,"détonateur",0,"détonateurs",0,0,1,0,0,1,983111,0,0,true,false,true,0
2000171,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000172,"amas de 6 onz de poudre",0,"amas de 6 onz de poudre",0,1,1,0,0,1,983053,0,2791,true,false,true,0
2000173,"porte verrouillée",0,"portes verrouillées",0,0,1,1,0,1,983051,0,0,true,false,true,0
2000174,"levier du monte-charge",0,"leviers du monte-charge",0,0,1,0,0,1,983146,0,0,true,false,true,0
2000175,"levier du monte-charge",0,"leviers du monte-charge",0,0,1,0,0,1,983147,0,3317,true,false,true,0
2000176,"levier du monte-charge",0,"leviers du monte-charge",0,0,1,0,0,1,983148,0,0,true,false,true,0
2000177,"levier du monte-charge",0,"leviers du monte-charge",0,0,1,0,0,1,983149,0,3317,true,false,true,0
2000178,"petite clef",0,"petites clefs",0,0,1,1,0,1,983049,0,1651,true,false,true,0
2000179,"amas de 6 onz de poudre",0,"amas de 6 onz de poudre",0,1,1,0,0,2,983054,0,2791,true,false,false,5
2000180,"détonateur",0,"détonateurs",0,0,1,0,0,1,983112,0,0,true,false,true,0
2000181,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000182,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000183,"",0,"",0,0,1,0,0,1,0,7,0,false,false,true,0
2000184,"détonateur amélioré",0,"détonateurs améliorés",0,0,1,0,0,1,983081,0,0,true,false,true,0
2000185,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000186,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000187,"sortie",0,"sorties",0,0,1,1,0,1,983045,0,1629,true,false,true,0
2000188,"",0,"",0,0,1,0,0,1,1114125,7,0,false,false,true,0
2000189,"",0,"",0,0,1,0,0,1,1114126,7,0,false,false,true,0
2000190,"",0,"",0,0,1,0,0,1,1114127,7,0,false,false,true,0
2000191,"",0,"",0,0,1,0,0,1,1114128,7,0,false,false,true,0
2000192,"",0,"",0,0,1,0,0,1,1114129,7,0,false,false,true,0
2000193,"",0,"",0,0,1,0,0,1,1114130,7,0,false,false,true,0
2000194,"",0,"",0,0,1,0,0,1,1114131,7,0,false,false,true,0
2000195,"",0,"",0,0,1,0,0,1,1114132,7,0,false,false,true,0
2000196,"",0,"",0,0,1,0,0,1,1114133,7,0,false,false,true,0
2000197,"",0,"",0,0,1,0,0,3,0,0,1624,true,false,true,0
2000198,"",0,"",0,0,1,0,0,3,0,0,1624,true,false,true,0
2000199,"",0,"",0,0,1,0,0,3,0,0,1624,true,false,true,0
2000200,"",0,"",0,0,1,0,0,1,1114134,7,0,false,false,true,0
2000201,"",0,"",0,0,1,0,0,1,1114135,7,0,false,false,true,0
2000202,"",0,"",0,0,1,0,0,1,1114136,7,0,false,false,true,0
2000203,"",0,"",0,0,1,0,0,1,1114137,7,0,false,false,true,0
2000204,"",0,"",0,0,1,0,0,3,0,0,1624,true,false,true,0
2000205,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000206,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000207,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000208,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000209,"levier en fer",0,"leviers en fer",0,0,1,0,0,1,983061,0,2537,true,false,true,0
2000210,"",0,"",0,0,1,0,0,2,0,0,3134,false,false,true,0
2000211,"",0,"",0,0,1,0,0,3,0,7,0,false,false,true,0
2000212,"vieux papier",0,"vieux papiers",0,0,1,0,0,1,1048585,0,2221,true,false,true,0
2000213,"corail bleu",0,"coraux bleus",0,0,1,0,0,1,983063,0,0,true,false,true,0
2000214,"corail rouge",0,"coraux rouges",0,0,1,0,0,1,983064,0,0,true,false,true,0
2000215,"corail vert",0,"coraux verts",0,0,1,0,0,1,983065,0,0,true,false,true,0
2000216,"interrupteur",0,"interrupteurs",0,1,1,0,0,1,983066,0,0,true,false,true,0
2000217,"porte cachée",0,"portes cachées",0,0,1,1,0,1,0,0,0,false,false,true,0
2000218,"",0,"",0,0,1,0,0,1,0,0,0,true,false,true,0
2000219,"",0,"",0,0,1,0,0,1,0,0,1624,true,false,true,0
2000220,"",0,"",0,0,1,0,0,1,0,0,1712,true,false,true,0
2000221,"",0,"",0,0,1,0,0,1,983114,0,1624,true,false,true,0
2000222,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000223,"",0,"",0,0,1,0,0,1,0,0,0,true,false,true,0
2000224,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000225,"porte de la Rambade",0,"portes de la Rambade",0,0,1,1,0,1,0,0,0,false,false,true,0
2000226,"porte en bois",0,"portes en bois",0,0,1,1,0,1,983067,0,0,true,false,true,0
2000227,"porte de la cabine du capitaine",0,"portes de la cabine du capitaine",0,0,1,1,0,1,983068,0,0,true,false,true,0
2000228,"porte en bois",0,"portes en bois",0,0,1,1,0,1,983069,0,0,true,false,true,0
2000229,"porte en bois",0,"portes en bois",0,0,1,1,0,1,983070,0,0,true,false,true,0
2000230,"porte en bois",0,"portes en bois",0,0,1,1,0,1,983071,0,0,true,false,true,0
2000231,"porte des bourlingueurs",0,"portes des bourlingueurs",0,0,1,1,0,1,983072,0,0,true,false,true,0
2000232,"porte du Trou",0,"portes du Trou",0,0,1,1,0,1,983073,0,0,true,false,true,0
2000233,"",0,"",0,0,1,0,0,1,0,0,0,true,false,true,0
2000234,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000235,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000236,"porte de la rambade",0,"portes de la rambade",0,0,1,1,0,1,0,0,0,false,false,true,0
2000237,"",0,"",0,0,1,0,0,3,0,0,0,true,false,true,0
2000238,"",0,"",0,0,1,0,0,1,983045,0,1629,true,false,true,0
2000239,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000240,"×敵POPポイント",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000241,"×敵POPポイント２",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000242,"×敵POPポイント",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000243,"×敵POPポイント２",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000244,"×敵POPポイント",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000245,"×敵POPポイント２",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000246,"×敵POPポイント",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000247,"×敵POPポイント",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000248,"",0,"",0,0,1,0,0,1,0,0,0,true,false,true,0
2000249,"",0,"",0,0,1,0,0,1,0,0,0,true,false,true,0
2000250,"clef de la cabine du capitaine",0,"clefs de la cabine du capitaine",0,0,1,1,0,2,983074,0,1652,true,false,false,5
2000251,"clef du repaire",0,"clefs du repaire",0,0,1,1,0,2,983075,0,1624,true,false,false,5
2000252,"clef du repaire",0,"clefs du repaire",0,0,1,1,0,2,983076,0,1624,true,false,false,5
2000253,"clef du repaire",0,"clefs du repaire",0,0,1,1,0,2,983077,0,1624,true,false,false,5
2000254,"clef du repaire",0,"clefs du repaire",0,0,1,1,0,2,983078,0,1624,true,false,false,5
2000255,"clef des bourlingueurs",0,"clefs des bourlingueurs",0,0,1,1,0,2,983079,0,1652,true,false,false,5
2000256,"clef du Trou",0,"clefs du Trou",0,0,1,1,0,1,983080,0,1652,true,false,false,5
2000257,"",0,"",0,0,1,0,0,3,0,0,1624,true,false,true,0
2000258,"",0,"",0,0,1,0,0,3,0,0,1624,true,false,true,0
2000259,"",0,"",0,0,1,0,0,3,0,0,1624,true,false,true,0
2000260,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000261,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000262,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000263,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000264,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000265,"×長谷川テストオブジェクト",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000266,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000267,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000268,"fissure étroite",0,"fissures étroites",0,0,1,1,0,3,65843,7,1625,true,false,true,0
2000269,"touffe d'herbe",0,"touffes d'herbe",0,0,1,1,0,1,983082,0,2729,true,false,true,0
2000270,"",0,"",0,0,1,0,0,2,0,0,1666,false,false,true,0
2000271,"",0,"",0,0,1,0,0,3,0,7,0,false,false,true,0
2000272,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000273,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000274,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000275,"sortie",0,"sorties",0,0,1,1,0,1,983045,0,1629,true,false,true,0
2000276,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000277,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000278,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000279,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000280,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000281,"",0,"",0,0,1,0,0,1,0,0,0,false,false,true,0
2000282,"piège à tonneau",0,"pièges à tonneau",0,0,1,0,0,3,0,7,2032,true,false,true,0
2000283,"point de recherche",0,"points de recherche",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000284,"nid de mégalocrabes",0,"nids de mégalocrabes",0,0,1,0,0,3,65849,7,1625,true,false,true,0
2000285,"×ClsExc050：悲鳴ポイント",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000286,"charrette renversée",0,"charrettes renversées",0,0,1,1,0,3,65850,7,3257,true,false,true,0
2000287,"charrette renversée",0,"charrettes renversées",0,0,1,1,0,3,65851,7,3257,true,false,true,0
2000288,"destination",0,"destinations",0,0,1,1,0,3,65852,7,1625,true,false,true,0
2000289,"gourde de Sighard",0,"gourdes de Sighard",0,0,1,1,0,3,65853,7,3265,true,false,true,0
2000290,"sacoche de Sighard",0,"sacoches de Sighard",0,0,1,1,0,3,65853,7,3263,true,false,true,0
2000291,"×ClsExc200：ニセ証拠品3",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000292,"×ClsExc200：ニセ証拠品4",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
2000293,"×ClsExc200：ニセ証拠品5",0,"",0,0,1,0,0,3,0,7,1625,true,false,true,0
