Index,0 [0x2][0x2a],1 [0x0][0x0],2 [0x0][0x4],3 [0x3][0x8],4 [0x3][0x9],5 [0x3][0xa],6 [0x3][0xb],7 [0x3][0xc],8 [0x3][0xd],9 [0x3][0xe],10 [0x3][0xf],11 [0x3][0x10],12 [0x3][0x11],13 [0x3][0x12],14 [0x3][0x13],15 [0x3][0x14],16 [0x3][0x15],17 [0x3][0x16],18 [0x3][0x17],19 [0x3][0x18],20 [0x3][0x19],21 [0x3][0x1a],22 [0x3][0x1b],23 [0x3][0x1c],24 [0x3][0x1d],25 [0x3][0x1e],26 [0x3][0x1f],27 [0x3][0x20],28 [0x3][0x21],29 [0x3][0x22],30 [0x3][0x23],31 [0x3][0x24],32 [0x3][0x25],33 [0x3][0x26],34 [0x3][0x27],35 [0x3][0x28],36 [0x3][0x29]
40,27,"Erdresistenz","Erdresistenz: Vermindert durch Erde erlittenen Schaden.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
41,28,"Blitzresistenz","Blitzresistenz: Vermindert durch Blitz erlittenen Schaden.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
42,29,"Wasserresistenz","Wasserresistenz: Vermindert durch Wasser erlittenen Schaden.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
43,-1,"Magieresistenz","Magieresistenz: Vermindert durch Magie erlittenen Schaden.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
44,30,"Entschlossenheit","Entschlossenheit: Je höher dieser Wert, desto höher der ausgeteilte magische und physische Schaden und die Höhe der durch Magie geheilten LP.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
45,31,"Schnelligkeit","Schnelligkeit: Je höher dieser Wert, desto kürzer die Reaktivierungszeit von Waffenfertigkeiten und desto höher der ausgeteilte physische Schaden über Zeit.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
46,32,"Zaubertempo","Zaubertempo: Je höher dieser Wert, desto kürzer ist die Aktivierungs- und Reaktivierungszeit von Magie, desto schneller ist also ein Zauber (wieder) einsatzbereit.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
47,33,"速度","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
48,34,"Moral","Moral: Ersetzt bei PvP-Kämpfen die physische und magische Verteidigung zur Berechnung des erlittenen Schadens und beeinflusst den ausgeteilten Schaden.",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,50,34,34,100,100,100,100,100,100,100,100,100,100,100,100,100
49,-1,"Feindseligkeit","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
50,-1,"Feindseligkeitsreduktion","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
51,-1,"Verwertungsgeschick","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
52,-1,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
53,-1,"Regena","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
54,-1,"Erfrischen","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
55,-1,"Bewegungsgeschwindigkeit","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
56,-1,"Stachel","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
57,39,"Gemach-Resistenz","Resistenz gegen Gemach: Beschleunigt die Erholung vom Status Gemach.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
58,-1,"Stein-Resistenz","",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
59,-1,"Paralyse-Resistenz","",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
60,40,"Schweigen-Resistenz","Resistenz gegen Schweigen: Beschleunigt die Erholung vom Status Schweigen.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
61,41,"Blind-Resistenz","Resistenz gegen Blind: Beschleunigt die Erholung vom Status Blind.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
62,42,"Gift-Resistenz","Resistenz gegen Gift: Beschleunigt die Erholung vom Status Gift.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
63,43,"Betäubungs-Resistenz","Resistenz gegen Betäubung: Beschleunigt die Erholung vom Status Betäubung.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
64,44,"Schlaf-Resistenz","Resistenz gegen Schlaf: Beschleunigt die Erholung vom Status Schlaf.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
65,45,"Fessel-Resistenz","Resistenz gegen Fessel: Beschleunigt die Erholung vom Status Fessel.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
66,46,"Gewicht-Resistenz","Resistenz gegen Gewicht: Beschleunigt die Erholung vom Status Gewicht.",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
67,-1,"Verhängnis-Resistenz","",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,70,42,42,100,100,100,100,100,100,100,100,100,100,100,100,100
68,-1,"Verschleißminderung","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100
69,-1,"Erhöhte Bindung","",10,2,8,8,8,8,8,8,8,8,8,8,12,6,16,32,0,16,40,24,24,100,100,100,100,100,100,100,100,100,100,100,100,100
70,35,"Kunstfertigkeit","Kunstfertigkeit: Beeinflusst den Fortschritt der Synthese. Je höher dieser Wert, desto schneller geht die Synthese voran.",35,35,1,30,1,1,1,1,1,1,1,1,35,35,31,33,0,2,34,32,32,100,100,100,100,100,100,100,100,100,100,100,100,100
71,36,"Kontrolle","Kontrolle: Beeinflusst die Qualität bei der Synthese. Je höher dieser Wert, desto schneller steigt die Qualität an.",20,20,10,10,10,10,10,10,1,1,1,1,20,20,20,40,0,20,50,30,30,100,100,100,100,100,100,100,100,100,100,100,100,100
72,37,"Sammelgeschick","Sammelgeschick: Beeinflusst die Sammelrate beim Sammeln. Je höher dieser Wert, desto wahrscheinlicher ist es, dass du einen Gegenstand erhältst.",35,20,1,20,15,1,10,1,1,1,1,1,35,35,21,46,0,11,47,45,31,100,100,100,100,100,100,100,100,100,100,100,100,100
73,38,"Wahrnehmung","Wahrnehmung: Beeinflusst die HQ-Wahrscheinlichkeit beim Sammeln. Je höher dieser Wert, desto wahrscheinlicher ist es, dass du einen HQ-Gegenstand erhältst.",20,35,20,10,1,5,1,10,1,1,1,1,20,20,30,22,0,11,42,12,21,100,100,100,100,100,100,100,100,100,100,100,100,100
