Index,0 [0x5][0x8],1 [0x0][0x0],2 [0x0][0x4],3 [0x5][0xa],4 [0x3][0xc]
132,753,"Recherches sanglantes","",132,110
133,754,"La vérité est au fond du puits","",133,110
134,755,"Recherches tranchantes","",134,110
135,761,"Quand les spriggans montrent les dents","",135,110
136,762,"La parole de la Gardienne","",136,110
137,763,"De l'huile sur les plaies","",137,110
138,764,"Les spores, c'est la santé","",138,110
139,770,"Un Gobelin bien curieux","",139,110
140,771,"La cargaison de l'Orion","",140,110
141,772,"Plus de raisin à Port-aux-Vins","",141,110
142,773,"Flairer le filon","",142,110
143,788,"Les Prœufs d'Ul'dah","",143,110
144,789,"Prœufs en péril à Ul'dah","",144,110
145,793,"Les Prœufs de Gridania","",145,110
146,794,"Prœufs en péril à Gridania","",146,110
147,798,"Dans le feu de l'action","",147,110
148,799,"Des imps impertinents","",148,110
149,800,"La fête des étoiles","",149,110
150,801,"La fête de la transition","",150,110
151,803,"Les Prœufs de Limsa Lominsa","",151,110
152,804,"Prœufs en péril à Limsa Lominsa","",152,110
153,808,"Tâches de guilde","",153,110
154,809,"Le secret de la grotte maudite","",154,110
155,810,"Un commerce risqué","",155,110
156,811,"Forger l'âme","",156,110
157,812,"Unir l'âme","",157,110
158,813,"Eveiller l'âme","",158,110
159,815,"Le retour du roi","",159,110
160,816,"Missions de ravitaillement","",160,110
161,817,"Le mausolée des sables","",161,110
162,818,"Tout ce qui brille n'est pas or","",162,110
163,820,"Exploration des Mille Gueules","",163,110
164,821,"Reprise de la Forteresse","",164,110
165,822,"Le sulfureux Val d'Aurum","",165,110
166,823,"Le dédale de sable du Gouffre","",166,110
167,827,"Le Perchoir","",167,110
168,828,"Des indices","",168,110
169,837,"Auberge de l'Artimon","",169,110
170,838,"Une affaire résolue","",170,110
171,839,"Les mystères de Dalamud","",171,110
172,840,"Le héros de la prophétie","",172,110
173,847,"Auberge du Sablier","",173,110
174,848,"Un suspect","",174,110
175,857,"Evénement saisonnier","",175,110
176,858,"Qui vole un Prœuf, vole un Preux","",176,110
177,859,"Les Feux de la Mort","",177,110
178,860,"Evénements saisonniers (trois Cités)","",178,110
179,861,"Approvisionnement des hameaux","",179,110
180,862,"Le séminaire du professeur Erik","",180,110
181,866,"L'épreuve du vent","",181,110
182,867,"Restauration des armes antiques","",182,110
183,868,"Le pèlerinage","",183,110
184,869,"La fin du rapace","",184,110
185,1200,"L'art de la guerre","",254,112
186,1201,"Au bout de l'extrême limite","",255,112
187,1202,"A la guerre comme à la guerre","",256,112
188,1203,"La grande vadrouille","",257,112
189,1204,"Le bras de fer","",258,112
190,1205,"Le Maître de guerre","",259,112
191,1220,"Le moine errant","",260,112
192,1221,"Les contes des combats passés","",261,112
193,1222,"La quête de pouvoir","",262,112
194,1223,"Le septième chakra","",263,112
195,1224,"Prendre l'habit","",264,112
196,1225,"Le véritable courage","",265,112
197,1240,"De ce qui jaillit du fond des abîmes","",266,112
198,1241,"Des réminiscences de lumière","",267,112
199,1242,"Des lendemains à venir","",268,112
200,1243,"D'un espoir éphémère","",269,112
201,1244,"Du fond de la colère","",270,112
202,1245,"De la chaleur qui comble l'immaculé","",271,112
203,1260,"La voix des Marchands","",272,112
204,1261,"L'appel du sang","",273,112
205,1262,"Des amis étrangers","",274,112
206,1263,"La corruption du néant","",275,112
207,1264,"Les habits du pouvoir","",276,112
208,1265,"La voie de la magie noire","",277,112
209,1280,"Le serment du paladin","",278,112
210,1281,"Un rêve d'enfant","",279,112
211,1282,"Déception, colère et détermination","",280,112
212,1283,"Un poison nommé Solkzagyl","",281,112
213,1284,"Des négociations à haut risque","",282,112
214,1285,"A chacun son chemin","",283,112
215,1300,"Quand les cordes résonnent à l'unisson","",284,112
216,1301,"Les partisans du chant","",285,112
217,1302,"Les desseins du Contemplateur","",286,112
218,1303,"Celui qui pécha par orgueil","",287,112
219,1304,"En quête d'absolution","",288,112
220,1305,"L'hymne à la vie","",289,112
221,1320,"L'éveil du dragon","",290,112
222,1321,"La lance du destin","",291,112
223,1322,"Les griffes de la nuit","",292,112
224,1323,"Des donjons et des dragons","",293,112
225,1324,"Confessions intimes","",294,112
226,1325,"La fureur du dragon","",295,112
227,1400,"Le secret des Preux","",185,113
228,1401,"Enrôlement provisoire au Maelstrom","",186,113
229,1402,"Les sceaux du Maelstrom","",187,113
230,1403,"Les desseins de l'Empire","",188,113
231,1404,"Un vent nouveau en poupe","",189,113
232,1405,"Ecueils à l'horizon","",190,113
233,1406,"Allégeance au Maelstrom","",191,113
234,1409,"Les Mille Gueules de Toto-Rak (Limsa Lominsa)","",192,113
235,1410,"La Forteresse de Dzemael (Limsa Lominsa)","",193,113
236,1415,"Combattre le feu par le feu (Limsa Lominsa)","",194,113
237,1416,"Bulles troubles","",195,113
238,1417,"Les bons, les brutes et les Kobolds","",196,113
239,1418,"Qui s'y frotte, s'y pique","",197,113
240,1419,"Forages au centre de la Terre","",198,113
241,1425,"Aux bons ouvriers, les bons outils","",199,113
242,1426,"La pierre et le Loup","",200,113
243,1427,"Des infiltrations chez les Kobolds","",201,113
244,1428,"Deus ex Machina","",202,113
245,1429,"Qui sème le vent récolte la tempête (Limsa Lominsa)","",203,113
246,1430,"L'union fait la force (Limsa Lominsa)","",204,113
247,1431,"Les sentiers de la victoire (Limsa Lominsa)","",205,113
248,1432,"Joute sous la lune (Limsa Lominsa)","",206,113
249,1433,"Le buffle se rebiffe","",207,113
250,1600,"Les marques du Preux","",208,113
251,1601,"Enrôlement provisoire dans l'Ordre des deux vipères","",209,113
252,1602,"Les sceaux de l'Ordre des deux vipères","",210,113
253,1603,"Une lettre cher payée","",211,113
254,1604,"Vers une nouvelle harmonie","",212,113
255,1605,"Blessures de l'âme","",213,113
256,1606,"Allégeance à l'Ordre des deux vipères","",214,113
257,1609,"Les Mille Gueules de Toto-Rak (Gridania)","",215,113
258,1610,"La Forteresse de Dzemael (Gridania)","",216,113
259,1615,"Combattre le feu par le feu (Gridania)","",217,113
260,1616,"Le cycle de la vie","",218,113
261,1617,"Trouver sa voie","",219,113
262,1618,"L'éthique de la botanique","",220,113
263,1619,"La conquête du ciel","",221,113
264,1625,"Embûches pour les bûcherons","",222,113
265,1626,"L'oiseau de mauvais augure","",223,113
266,1627,"Raid sur le site de déboisement des Ixali","",224,113
267,1628,"Le feu au lac","",225,113
268,1629,"Qui sème le vent récolte la tempête (Gridania)","",226,113
269,1630,"L'union fait la force (Gridania)","",227,113
270,1631,"Les sentiers de la victoire (Gridania)","",228,113
271,1632,"Joute sous la lune (Gridania)","",229,113
272,1633,"Les yeux plus gros que le ventru","",230,113
273,1800,"La réponse du Preux","",231,113
274,1801,"Enrôlement provisoire chez les Immortels","",232,113
275,1802,"Les sceaux des Immortels","",233,113
276,1803,"Course à l'armement","",234,113
277,1804,"Pour la prospérité","",235,113
278,1805,"Le traître","",236,113
279,1806,"Allégeance aux Immortels","",237,113
280,1809,"Les Mille Gueules de Toto-Rak (Ul'dah)","",238,113
281,1810,"La Forteresse de Dzemael (Ul'dah)","",239,113
282,1815,"Combattre le feu par le feu (Ul'dah)","",240,113
283,1816,"Faire les gros yeux","",241,113
284,1817,"Brandon de discorde","",242,113
285,1818,"De fil en épée","",243,113
286,1819,"Mort-aux-draconides","",244,113
287,1825,"Dette or Alive","",245,113
288,1826,"Tel père, tel fils","",246,113
289,1827,"Descente à l'autel amalj'aa","",247,113
290,1828,"Confidence pour confidence","",248,113
291,1829,"Qui sème le vent récolte la tempête (Ul'dah)","",249,113
292,1830,"L'union fait la force (Ul'dah)","",250,113
293,1831,"Les sentiers de la victoire (Ul'dah)","",251,113
294,1832,"Joute sous la lune (Ul'dah)","",252,113
295,1833,"Avancer à coup de bélier","",253,113
