Index,0 [0x7][0x8],1 [0x7][0xc],2 [0x7][0x10],3 [0x7][0x14],4 [0x5][0x18],5 [0x5][0x1a],6 [0x5][0x1c],7 [0x5][0x1e],8 [0x19][0x20],9 [0x0][0x0],10 [0x0][0x4]
131094,4161445,0,0,0,1,1,0,0,false,"Ride lift to Bulwark Hall","Proceed to Bulwark Hall?"
131095,4164411,0,0,0,1,1,0,0,false,"Ride lift to the airship landing","Proceed to the airship landing?"
131096,4164414,0,0,0,1,1,0,0,false,"Ride lift to the Hustings Strip","Proceed to the Hustings Strip?"
131097,4164413,0,0,0,1,1,0,0,false,"Ride lift to the Ruby Road Exchange","Proceed to the Ruby Road Exchange?"
131098,4087066,590451,590452,0,8,1,0,0,false,"","Proceed into the Heart of the Sworn?"
131099,4165046,590611,0,0,1,1,0,0,false,"","Proceed to the Bowl of Embers?"
131100,4165037,590610,0,0,1,1,0,0,false,"","Leave the immediate area?"
131101,4103382,0,590530,590453,9,1,227,232,true,"Purchase passage to Gridania","Travel to Gridania for 120 gil?"
131102,4103399,0,590530,590453,9,1,227,230,true,"Purchase passage to Limsa Lominsa","Travel to Limsa Lominsa for 120 gil?"
131103,4103339,0,589916,590454,9,1,231,228,true,"Purchase passage to Ul'dah","Travel to Ul'dah for 120 gil?"
131104,4103399,0,589916,590454,9,1,231,230,true,"Purchase passage to Limsa Lominsa","Travel to Limsa Lominsa for 120 gil?"
131105,4103339,0,590531,590455,9,1,229,228,true,"Purchase passage to Ul'dah","Travel to Ul'dah for 120 gil?"
131106,4103382,0,590531,590455,9,1,229,232,true,"Purchase passage to Gridania","Travel to Gridania for 120 gil?"
131107,4165398,0,591076,590456,10,1,235,234,true,"","Travel to Limsa Lominsa for 80 gil?"
131108,4165376,0,591077,590457,10,1,233,236,true,"","Travel to Vesper Bay for 80 gil?"
131109,4165794,590514,590515,590622,11,1,0,0,false,"Purchase passage to Aleport","Travel to Aleport for 40 gil?"
131110,4165749,590516,590517,590623,11,1,0,0,false,"Purchase passage to Limsa Lominsa","Travel to Limsa Lominsa for 40 gil?"
131111,4165755,590518,590519,590624,12,1,0,0,false,"Purchase passage to Costa del Sol","Travel to Costa del Sol for 40 gil?"
131112,4165749,590520,590521,590625,12,1,0,0,false,"Purchase passage to Limsa Lominsa","Travel to Limsa Lominsa for 40 gil?"
131113,4165801,590510,0,590511,13,1,0,0,false,"Purchase passage to Jijiroon's Trading Post","Travel to Jijiroon's Trading Post for 40 gil?"
131114,4165797,590512,0,590513,13,1,0,0,false,"Purchase passage to Memeroon's Trading Post","Travel to Memeroon's Trading Post for 40 gil?"
131115,4165794,590522,590626,590628,14,1,0,0,false,"Purchase passage to Aleport","Travel to Aleport for 40 gil?"
131116,4165877,590523,590627,590629,14,1,0,0,false,"Purchase passage to Candlekeep Quay","Travel to Candlekeep Quay for 40 gil?"
131117,1317627,590524,590525,0,15,1,0,0,false,"Travel beyond the White Wolf Gate","Travel beyond the White Wolf Gate?"
131118,1317561,590529,590526,0,15,1,0,0,false,"","Enter Gridania?"
131119,4165759,590527,0,590630,16,1,0,0,false,"Purchase passage to Raincatcher Gully","Travel to Raincatcher Gully for 40 gil?"
131120,4165758,590528,0,590631,16,1,0,0,false,"Purchase passage to Hidden Falls","Travel to Hidden Falls for 40 gil?"
131121,3877982,590535,590536,0,19,1,0,0,false,"Seek entry to the Lotus Stand","Proceed to the Lotus Stand?"
131122,4146949,590563,0,0,20,1,0,0,false,"Seek entry to the command room","Enter the command room?"
131123,4169071,0,0,0,1,1,0,0,false,"","Leave the command room?"
131124,4190590,0,0,0,2,2,0,0,false,"",""
131125,4189532,0,0,0,2,2,0,0,false,"",""
131126,4165939,590603,0,0,1,1,0,0,false,"","Travel to the Minotaur Malm?"
131127,4165935,590604,0,0,1,1,0,0,false,"","Travel to Nald's Reflection?"
131128,4103339,590607,0,0,1,1,0,0,false,"","Leave the landing area?"
131129,4103382,590608,0,0,1,1,0,0,false,"","Leave the landing area?"
131130,4103399,590609,0,0,1,1,0,0,false,"","Leave the landing area?"
131131,4264415,590632,0,0,1,1,0,0,false,"Seek passage to the Wolves' Den","Travel to the Wolves' Den?"
131132,4264426,590633,0,0,1,1,0,0,false,"Seek passage to the Moraby Drydocks","Travel to the Moraby Drydocks?"
131133,4165794,590634,0,0,1,1,0,0,false,"Seek passage to Aleport","Travel to Aleport?"
131134,4264587,590635,590636,590637,22,1,0,0,false,"Purchase passage to the Isles of Umbra","Travel to the Isles of Umbra for 40 gil?"
131135,4165794,0,0,0,1,1,0,0,false,"Seek passage to Aleport","Travel to Aleport?"
131136,4264605,590638,590639,590640,23,1,0,0,false,"Purchase passage to the Serpent's Tongue","Travel to the Serpent's Tongue for 40 gil?"
131137,4321669,0,0,0,1,1,0,0,false,"","Leave Cid's workshop?"
131138,4102803,590843,0,0,1,1,0,0,false,"","Travel to Gridania?"
131139,4332112,0,0,0,1,1,0,0,false,"","Leave the Binding Coil of Bahamut?"
131140,4332121,0,0,0,1,1,0,390,false,"","Leave the Binding Coil of Bahamut?"
131141,4331241,0,0,0,1,1,389,0,false,"","Activate the lift?"
131142,4498658,0,0,0,1,1,0,0,false,"","Enter the solar?"
131143,4498656,0,0,0,1,1,0,0,false,"","Leave the solar?"
131144,4498659,0,0,0,1,1,0,0,false,"","Enter the Rising Stones?"
131145,4498857,0,0,0,1,1,0,0,false,"","Leave the Rising Stones?"
131146,4506602,0,0,0,1,1,0,0,false,"","Enter the Eight Sentinels?"
131147,4506605,0,0,0,1,1,0,0,false,"","Leave the Eight Sentinels?"
131148,0,0,0,0,1,6,0,0,false,"","Enter the estate hall?"
131149,0,0,0,0,1,7,0,0,false,"","Leave the estate hall?"
131150,4549235,591149,0,0,1,1,0,0,false,"",""
131151,4549391,591150,0,0,1,1,0,0,false,"",""
131152,4618997,0,0,0,1,1,0,0,false,"","Leave the 13th Order workshop?"
131153,4629135,0,0,0,1,1,0,0,false,"","Return to Novv's Nursery?"
131154,4629135,0,0,0,1,1,0,0,false,"","Return to Novv's Nursery?"
131155,4629135,0,0,0,1,1,0,0,false,"","Return to Novv's Nursery?"
131156,4629135,0,0,0,1,1,0,0,false,"","Return to Novv's Nursery?"
131157,4629135,0,0,0,1,1,0,0,false,"","Return to Novv's Nursery?"
131158,4549235,591254,591260,0,24,1,0,0,false,"Seek passage to the Lavender Beds","Travel to the Lavender Beds?"
131159,1381038,591255,591261,0,24,1,0,0,false,"",""
131160,4664433,591256,591262,0,25,1,0,0,false,"Seek passage to Mist","Travel to Mist?"
131161,4165749,591257,591263,0,25,1,0,0,false,"",""
131162,4656744,591258,591264,0,26,1,0,0,false,"",""
131163,4660251,591259,591265,0,26,1,0,0,false,"",""
131164,4678209,0,0,0,1,1,0,0,false,"","Leave the Eorzean subterrane?"
131165,4332121,0,0,0,1,1,0,0,false,"","Leave the Binding Coil of Bahamut?"
131166,5036036,591750,0,0,1,1,0,0,false,"","Enter the intercessory?"
131167,5036025,0,0,0,1,1,0,0,false,"","Leave the intercessory?"
131168,5038695,0,0,0,1,1,0,0,false,"","Leave the Ivory Chapel?"
131169,5049372,590097,0,0,1,1,0,0,false,"Board the Rhotano privateer","Board the Rhotano privateer?"
131170,4165755,590098,0,0,1,1,0,0,false,"Return to Costa del Sol","Return to Costa del Sol?"
131171,5341046,0,0,0,1,1,0,0,false,"","Leave the guild?"
131172,5341051,591865,0,0,27,1,0,0,false,"Enter the Rogues' Guild","Enter the Rogues' Guild?"
131173,5341521,0,0,0,1,1,0,0,false,"","Leave the dock storehouse?"
131174,5341524,591889,591888,0,28,1,0,0,false,"Enter the dock storehouse","Enter the dock storehouse?"
131175,5404445,0,0,0,1,1,0,0,false,"","Leave the Eorzean subterrane?"
131176,5038252,0,0,0,1,8,0,0,false,"","Enter the Ivory Chapel?"
131177,5448900,591975,0,0,1,1,0,0,false,"","Ride lift to Chocobo Square?"
131178,5448873,591981,0,0,1,1,0,0,false,"","Return to Entrance Square?"
131179,5649379,0,591990,0,29,1,0,0,false,"Seek passage to the Gold Saucer","Travel to the Gold Saucer?"
131180,5649379,0,591990,0,29,1,0,0,false,"Seek passage to the Gold Saucer","Travel to the Gold Saucer?"
131181,5649379,0,591990,0,29,1,0,0,false,"Seek passage to the Gold Saucer","Travel to the Gold Saucer?"
131182,4103399,0,0,592264,30,1,0,0,false,"Purchase passage to Limsa Lominsa","Travel to Limsa Lominsa for 120 gil?"
131183,4103339,0,0,0,1,1,0,0,false,"Seek passage to Ul'dah","Travel to Ul'dah?"
131184,4103382,0,0,592264,30,1,0,0,false,"Purchase passage to Gridania","Travel to Gridania for 120 gil?"
131185,5827477,592249,0,0,1,1,0,0,false,"","Cross the Steps of Faith to the Arc of the Worthy?"
131186,5835896,592250,0,0,1,1,0,0,false,"","Return to the Gates of Judgement?"
131187,5822019,592251,0,0,1,1,0,0,false,"Enter the proving grounds","Enter the proving grounds?"
131188,5835987,592252,0,0,1,1,0,0,false,"","Travel to Cloudtop?"
131189,5836049,592253,0,0,1,1,0,0,false,"","Travel to the Blue Window?"
131190,5836085,592254,0,0,1,1,0,0,false,"Seek passage to Azys Lla","Make the journey to Azys Lla?"
131191,5821242,592255,0,0,1,1,0,0,false,"","Enter the Saint Endalim Scholasticate?"
131192,5822004,592256,0,0,1,1,0,0,false,"","Enter Fortemps Manor?"
131193,5827748,0,0,0,1,1,0,0,false,"","Leave the Saint Endalim Scholasticate?"
131194,5827491,0,0,0,1,1,0,0,false,"","Leave the Seat of the Lord Commander?"
131195,5827750,0,0,0,1,1,0,0,false,"","Leave Fortemps Manor?"
131196,5827495,0,0,0,1,1,0,0,false,"","Leave the proving grounds?"
131197,5835975,592257,0,0,1,1,0,0,false,"","Travel to Ishgard?"
131198,5835975,0,0,0,1,1,0,0,false,"","Travel to Ishgard?"
131199,5836077,592259,0,0,1,1,0,0,false,"","Climb Sohm Al to the Churning Mists?"
131200,5836076,0,0,0,1,1,0,0,false,"","Descend Sohm Al to the Dravanian forelands?"
131201,5851087,0,0,0,1,1,0,0,false,"","Enter Matoya's Cave?"
131202,5822097,0,0,0,1,1,0,0,false,"","Leave Matoya's Cave?"
131203,5835975,0,0,0,1,1,0,0,false,"","Travel to Ishgard?"
131204,5878288,0,0,0,5,9,0,0,false,"",""
131205,5878405,0,0,0,1,1,0,0,false,"","Exit room?"
131206,5857271,0,0,0,1,1,0,0,false,"","Exit the sacrificial chamber?"
131207,5890154,0,0,0,1,1,0,0,false,"","Move to the Alpha Quadrant?"
131208,5890159,0,0,0,1,1,0,0,false,"","Move to the Beta Quadrant?"
131209,5890166,0,0,0,1,1,0,0,false,"","Move to the Beta Quadrant?"
131210,5890180,0,0,0,1,1,0,0,false,"","Move to the Gamma Quadrant?"
131211,5890183,0,0,0,1,1,0,0,false,"","Move to the Gamma Quadrant?"
131212,5890184,0,0,0,1,1,0,0,false,"","Move to the Delta Quadrant?"
131213,5867863,0,0,0,1,1,0,0,false,"","Move to the research facility?"
131214,5959290,0,0,0,1,1,0,0,false,"","Leave Articulation?"
131215,5959290,0,0,0,1,1,0,0,false,"","Leave the Gordian Knot?"
131216,6034535,592868,0,0,31,1,0,0,false,"Escape reality","Climb to the Eighteenth Floor?"
131217,6034570,0,0,0,1,1,0,0,false,"Live the fantasy","Leave the Eighteenth Floor?"
131218,6045307,0,0,0,1,1,0,0,false,"","Use a shortcut to travel to\nthe Dravanian hinterlands?"
