Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x5][0x24],9 [0x5][0x26],10 [0x7][0x10],11 [0x5][0x28],12 [0x7][0x14],13 [0x7][0x18],14 [0x7][0x1c],15 [0x7][0x20],16 [0x19][0x32],17 [0x3][0x30],18 [0x5][0x2a],19 [0x4][0x2c],20 [0x4][0x2e],21 [0x3][0x31]
53,"",0,"",0,0,1,0,0,290,0,0,141,4205026,4205028,4205029,4205031,true,0,21,1290,1230,23
54,"",0,"",0,0,1,0,0,0,408,0,148,4251958,0,0,0,false,2,0,0,0,0
55,"",0,"",0,0,1,0,0,358,0,0,250,4265667,4265670,4265671,4265672,true,0,51,600,1240,10
56,"",0,"",0,0,1,0,0,1145,0,0,339,0,0,0,0,false,0,72,640,1200,0
57,"",0,"",0,0,1,0,0,1145,0,0,340,0,0,0,0,false,0,82,1560,720,0
58,"",0,"",0,0,1,0,0,1145,0,0,341,0,0,0,0,false,0,83,1260,1380,0
59,"",0,"",0,0,1,0,0,1160,0,0,339,0,0,0,0,false,0,72,640,1200,0
60,"",0,"",0,0,1,0,0,1160,0,0,340,0,0,0,0,false,0,82,1560,720,0
61,"",0,"",0,0,1,0,0,1160,0,0,341,0,0,0,0,false,0,83,1260,1380,0
62,"",0,"",0,0,1,0,0,1484,1517,0,144,5668783,5668784,5668785,5668786,true,5,196,1320,1480,29
63,"",0,"",0,0,1,0,0,0,1518,0,144,5669847,0,0,0,false,5,0,0,0,0
64,"",0,"",0,0,1,0,0,0,1519,0,144,5669865,0,0,0,false,5,0,0,0,0
65,"",0,"",0,0,1,0,0,0,1520,0,144,5669869,0,0,0,false,5,0,0,0,0
66,"",0,"",0,0,1,0,0,0,1521,0,144,5669903,0,0,0,false,5,0,0,0,0
67,"",0,"",0,0,1,0,0,0,1522,0,144,5669975,0,0,0,false,5,0,0,0,0
68,"",0,"",0,0,1,0,0,0,1523,0,144,5673521,0,0,0,false,5,0,0,0,0
69,"",0,"",0,0,1,0,0,0,1524,0,388,5673526,0,0,0,false,5,0,0,0,0
70,"",0,"",0,0,1,0,0,2300,1650,0,418,5877389,5877391,5877419,5877420,true,4,218,1150,450,31
71,"",0,"",0,0,1,0,0,2204,0,0,397,5877470,5877473,5877474,5877475,true,0,211,1000,400,33
72,"",0,"",0,0,1,0,0,2116,0,0,401,5877548,5877549,5877550,5877551,true,0,215,1450,300,41
73,"",0,"",0,0,1,0,0,2123,0,0,401,5877554,5877556,5877557,5877558,true,0,215,1450,260,42
74,"",0,"",0,0,1,0,0,2131,0,0,402,5877573,5877575,5877576,5877577,true,0,216,1300,230,43
75,"",0,"",0,0,1,0,0,2082,0,0,478,5877684,5877692,5877694,5877695,true,0,257,550,430,44
76,"",0,"",0,0,1,0,0,2018,0,0,398,5877731,5877733,5877734,5877735,true,0,212,700,400,45
77,"",0,"",0,0,1,0,0,2025,0,0,398,5877743,5877744,5877745,5877746,true,0,212,650,400,46
78,"",0,"",0,0,1,0,0,2042,0,0,400,5877767,5877768,5877770,5877771,true,0,214,600,350,47
79,"",0,"",0,0,1,0,0,2046,0,0,400,5877776,5877777,5877778,5877779,true,0,214,580,340,48
80,"",0,"",0,0,1,0,0,0,1651,0,418,5916705,0,0,0,false,4,0,0,0,0
81,"",0,"",0,0,1,0,0,0,1652,0,418,5916706,0,0,0,false,4,0,0,0,0
82,"",0,"",0,0,1,0,0,0,1653,0,418,5916704,0,0,0,false,4,0,0,0,0
83,"",0,"",0,0,1,0,0,0,1654,0,419,5916716,0,0,0,false,4,0,0,0,0
84,"",0,"",0,0,1,0,0,0,1655,0,419,5916717,0,0,0,false,4,0,0,0,0
85,"",0,"",0,0,1,0,0,0,1656,0,419,5916722,0,0,0,false,4,0,0,0,0
86,"",0,"",0,0,1,0,0,0,1657,0,419,5916724,0,0,0,false,4,0,0,0,0
87,"",0,"",0,0,1,0,0,0,1658,0,419,5916708,0,0,0,false,4,0,0,0,0
88,"",0,"",0,0,1,0,0,0,1659,0,155,5916727,0,0,0,false,4,0,0,0,0
89,"",0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0
90,"",0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0
