Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x12],4 [0x3][0x13],5 [0x19][0x16],6 [0x3][0x14],7 [0x7][0x8],8 [0x4][0x10],9 [0x3][0x15]
34,"Force améliorée","La force est augmentée de 2 points.",5110,4,8,false,0,0,2,47
35,"Volée défensive améliorée","Le bonus de parade de Volée défensive monte à 80%.",5280,4,20,false,0,0,0,47
36,"Feinte améliorée","La durée de l'effet Lenteur infligé par Feinte monte à 20 secondes.",5279,4,14,false,0,0,0,47
37,"Force améliorée II","La force est augmentée de 4 points.",5111,4,16,false,0,0,4,47
38,"Force améliorée III","La force est augmentée de 6 points.",5112,4,24,false,0,0,6,47
39,"Motivation améliorée","Les PT récupérés avec Motivation montent à 500.",5276,4,36,false,0,0,0,47
40,"Balayette améliorée","Le temps de recharge de Balayette est réduit à 20 secondes.",5282,4,28,false,0,0,0,47
41,"Souffle de vie amélioré","Le temps de recharge de Souffle de vie est réduit à 50 secondes.",5277,4,32,false,0,0,0,47
42,"Du sang pour du sang amélioré","Le bonus de dégâts de Du sang pour du sang monte à 30%, et la pénalité de dégâts reçus est réduite à 15%.",5278,4,44,false,0,0,0,47
43,"Percée puissante améliorée","La durée de Percée puissante monte à 24 secondes.",5281,4,40,false,0,0,0,47
44,"Éventration améliorée","La durée de Éventration monte à 30 secondes.",5283,4,48,false,0,0,0,47
45,"Dextérité améliorée","La dextérité est augmentée de 2 points.",5120,5,14,false,0,0,2,50
46,"Dextérité améliorée II","La dextérité est augmentée de 4 points.",5121,5,16,false,0,0,4,50
47,"Tir à l'arc puissant amélioré","Ajoute à Tir à l'arc puissant 20% de chances que le prochain Tir droit soit critique<if:<if:, et si l'effet de Menuet du Vagabond est actif, il sera également instantané/none>/none>.",5306,5,8,false,0,0,0,50
48,"Dégâts des actions augmentés","Les dégâts de base des actions sont augmentés de 10%.",5302,5,20,false,0,0,10,50
49,"Morsure venimeuse améliorée","La durée de Morsure venimeuse monte à 18 secondes.",5305,5,24,false,0,0,0,50
50,"Tir furieux amélioré","Le temps de recharge de Tir furieux est réduit à 2 minutes.",5307,5,28,false,0,0,0,50
51,"Dextérité améliorée III","La dextérité est augmentée de 6 points.",5122,5,32,false,0,0,6,50
52,"Salve fulgurante améliorée","La portée de Salve fulgurante monte à 12 yalms.",5304,5,36,false,0,0,12,50
53,"Dégâts des actions augmentés II","Les dégâts de base des actions sont augmentés de 20%.",5303,5,40,false,0,0,20,50
54,"Rafale de coups améliorée","Le nombre de coups par attaque automatique monte à 3.",5301,5,44,false,0,0,0,50
55,"Rivière de sang","Accorde 50% de chances que les dégâts périodiques critiques de Morsure venimeuse ou Morsure du vent réinitialisent le temps de recharge d'Hémorragie.",5308,5,48,false,0,0,0,50
56,"Esprit amélioré","L'esprit est augmenté de 2 points.",5150,6,8,false,0,0,2,53
57,"Esprit amélioré II","L'esprit est augmenté de 4 points.",5151,6,14,false,0,0,4,53
58,"Médica amélioré","Accorde 20% de chances que le coût en PM du prochain Médica soit réduit de moitié.",5332,6,16,false,0,0,20,53
59,"Efficacité des actions augmentée","Les soins et les dégâts de base des actions sont augmentés de 10%.",5185,6,20,false,0,0,10,53
60,"Esprit amélioré III","L'esprit est augmenté de 6 points.",5152,6,24,false,0,0,6,53
61,"Vie améliorée","Vie peut être lancé en combat.",5327,6,28,false,0,0,0,53
62,"Soin amélioré","Accorde 15% de chances lors du lancement de Soin que le prochain Extra Soin ne consomme pas de PM.\nDurée: 15s",5330,6,32,false,0,0,0,53
63,"Extra Soin amélioré","Accorde 15% de chances lors du lancement d'Extra Soin que le coût en PM du prochain Méga Soin soit réduit de moitié.\nDurée: 15s",5331,6,44,false,0,0,0,53
64,"Efficacité des actions augmentée II","Les soins et les dégâts de base des actions sont augmentés de 30%.",5186,6,40,false,0,0,30,53
65,"Cuirasse rapide","Le temps de lancement de Cuirasse est réduit à 2,5 secondes.",5328,6,36,false,0,0,5,53
66,"Voile des saints amélioré","La puissance de Voile des saints monte à 80.",5326,6,48,false,0,0,0,53
67,"Intelligence améliorée","L'intelligence est augmentée de 2 points.",5140,7,8,false,0,0,2,55
68,"Intelligence améliorée II","L'intelligence est augmentée de 4 points.",5141,7,14,false,0,0,4,55
69,"Stoïcisme amélioré","Accorde 15% de chances lors du lancement de Stoïcisme que ce dernier n'ait pas de temps de recharge.",5353,7,16,false,0,0,0,55
70,"Efficacité éthérée augmentée","Les soins et les dégâts de base des actions sont augmentés de 10%, et vous pouvez cumuler deux effets Feu astral ou Glace ombrale.",5185,7,20,false,0,0,10,55
71,"Blessure améliorée","Les dégâts de Blessure ont 20% de chances d'être doublés.",5354,7,24,false,0,0,0,55
72,"Sommeil amélioré","L'aire d'effet de Sommeil monte à 5 yalms.",5351,7,36,false,0,0,5,55
73,"Intelligence améliorée III","L'intelligence est augmentée de 6 points.",5142,7,32,false,0,0,6,55
74,"Barrière de mana améliorée","Le montant de dégâts annulés par Barrière de mana monte à 30%.",5356,7,48,false,0,0,0,55
75,"Efficacité éthérée augmentée II","Les soins et les dégâts de base des actions sont augmentés de 30%, et vous pouvez cumuler trois effets Feu astral ou Glace ombrale.",5186,7,40,false,0,0,30,55
76,"Pyromane","Accorde 40% de chances lors du lancement de Feu que le prochain Méga Feu soit instantané et qu'il ne consomme aucun PM.\nDurée: 12s",5352,7,44,false,0,0,0,55
77,"Nuage d'orage","Accorde 10% de chances aux dégâts périodiques d'un sort de type Foudre que le prochain sort Foudre, Extra Foudre ou Méga Foudre ajoute la totalité de ses dégâts périodiques à ses dégâts de base, soit instantané et ne consomme aucun PM.\nDurée: 12s",5355,7,28,false,0,0,0,55
78,"Auto Forestier","Vous bénéficiez automatiquement de l'effet Forestier lorsque vous devenez botaniste.",5451,17,2,false,0,0,0,18
79,"","",0,0,0,false,0,0,2,0
80,"Furtivité améliorée","Vous pouvez vous cacher d'ennemis de niveau 30 ou inférieur.",5452,17,18,false,0,0,30,18
81,"Furtivité améliorée II","Vous pouvez vous cacher d'ennemis de niveau 40 ou inférieur.",5453,17,28,false,0,0,40,18
82,"","",0,0,0,false,0,0,30,0
83,"Furtivité améliorée III","Vous pouvez vous cacher d'ennemis de niveau 50 ou inférieur.",5454,17,38,false,0,0,50,18
84,"","",0,0,0,false,0,0,40,0
85,"","",0,0,0,false,0,0,5,0
86,"Auto Prospecteur","Vous bénéficiez automatiquement de l'effet Prospecteur lorsque vous devenez mineur.",5426,16,2,false,0,0,0,17
87,"","",0,0,0,false,0,0,2,0
88,"Furtivité améliorée","Vous pouvez vous cacher d'ennemis de niveau 30 ou inférieur.",5427,16,18,false,0,0,30,17
89,"Furtivité améliorée II","Vous pouvez vous cacher d'ennemis de niveau 40 ou inférieur.",5428,16,28,false,0,0,40,17
90,"","",0,0,0,false,0,0,30,0
91,"Furtivité améliorée III","Vous pouvez vous cacher d'ennemis de niveau 50 ou inférieur.",5429,16,38,false,0,0,50,17
92,"","",0,0,0,false,0,0,40,0
93,"","",0,0,0,false,0,0,5,0
94,"Amoureux des arbres","Votre connaissance des arbres matures et de la végétation vous permet d'augmenter votre taux de récolte sous certaines conditions.",5455,17,11,false,0,0,0,18
95,"Amoureux des arbres II","Votre connaissance des arbres matures et de la végétation vous permet d'augmenter les tentatives de récolte sous certaines conditions.",5456,17,16,false,0,0,0,18
96,"Amoureux des arbres III","Votre connaissance des arbres matures et de la végétation vous permet d'augmenter vos chances de HQ sous certaines conditions.",5457,17,21,false,0,0,0,18
97,"Amoureux des arbres IV","Votre connaissance des arbres matures et de la végétation vous permet d'augmenter le nombre d'objets récoltés sous certaines conditions.",5458,17,26,false,0,0,0,18
98,"Grâce des Douze","Le bonus de récolte conféré par les actions de type Grâce comprend également les cristaux.",5459,17,41,false,0,0,0,18
99,"Grâce des Douze II","Le bonus de récolte conféré par les actions de type Grâce comprend également les agrégats.",5460,17,50,false,0,0,0,18
100,"Amoureux des pierres","Votre connaissance des filons de minerai et des carrières vous permet d'augmenter votre taux de récolte sous certaines conditions.",5430,16,11,false,0,0,0,17
101,"Amoureux des pierres II","Votre connaissance des filons de minerai et des carrières vous permet d'augmenter les tentatives de récolte sous certaines conditions.",5431,16,16,false,0,0,0,17
102,"Amoureux des pierres III","Votre connaissance des filons de minerai et des carrières vous permet d'augmenter vos chances de HQ sous certaines conditions.",5432,16,21,false,0,0,0,17
103,"Amoureux des pierres IV","Votre connaissance des filons de minerai et des carrières vous permet d'augmenter le nombre d'objets récoltés sous certaines conditions.",5433,16,26,false,0,0,0,17
104,"Grâce des Douze","Le bonus de récolte conféré par les actions de type Grâce comprend également les cristaux.",5434,16,41,false,0,0,0,17
105,"Grâce des Douze II","Le bonus de récolte conféré par les actions de type Grâce comprend également les agrégats.",5435,16,50,false,0,0,0,17
106,"Pêcheur des sables","Vous pouvez pêcher dans les creux sableux des déserts.",5483,18,35,false,0,0,0,19
107,"Pêcheur des nuages","Vous pouvez pêcher dans les nuages, en haut des montagnes enneigées.",5484,18,45,false,0,0,0,19
108,"Furtivité améliorée","Vous pouvez vous cacher d'ennemis de niveau 30 ou inférieur.",5476,18,18,false,0,0,30,19
109,"Furtivité améliorée II","Vous pouvez vous cacher d'ennemis de niveau 40 ou inférieur.",5477,18,28,false,0,0,40,19
110,"Furtivité améliorée III","Vous pouvez vous cacher d'ennemis de niveau 50 ou inférieur.",5478,18,38,false,0,0,50,19
111,"Œil du goéland","Vous pouvez pêcher dans les bancs de poissons de niveau 15 et inférieur.",5479,18,15,false,0,0,15,19
112,"Œil du goéland II","Vous pouvez pêcher dans les bancs de poissons de niveau 35 et inférieur.",5480,18,35,false,0,0,35,19
113,"Œil du goéland III","Vous pouvez pêcher dans les bancs de poissons de niveau 50 et inférieur.",5481,18,50,false,0,0,50,19
114,"Pêche au vif améliorée","Vous pouvez utiliser les poissons attrapés à la pêche au vif comme appât.",5482,18,40,false,0,0,0,19
115,"Flux d'éther amélioré","Flux d'éther vous fait bénéficier de l'effet <color #FF7B1A>Flux d'éther</color>.",5384,26,8,false,0,0,0,68
116,"Intelligence améliorée","L'intelligence est augmentée de 2 points.",5140,26,14,false,0,0,2,68
117,"Intelligence améliorée II","L'intelligence est augmentée de 4 points.",5141,26,16,false,0,0,4,68
118,"Efficacité des actions augmentée","Les soins et les dégâts de base des actions (sauf attaques automatiques) sont augmentés de 10%. Les soins et les dégâts de base des actions du familier sont également augmentés de 10%.",5185,26,20,false,0,0,10,68
119,"Flux d'éther amélioré II","Flux d'éther vous fait bénéficier de l'effet <color #FF7B1A>Flux d'éther II</color>.",5385,26,20,false,0,0,0,68
120,"Empathie éthérée","Votre célérité a 20% de chances d'être augmentée de 20% lorsque votre familier fait un critique avec une action.\n<color #FFFF66>Durée:</color> 8s",5387,26,24,false,0,0,20,68
121,"Virus amélioré","Virus réduit également l'intelligence et l'esprit de 15%.\n<color #FFFF66>Durée:</color> 10s",5388,26,28,false,0,0,0,68
122,"Intelligence améliorée III","L'intelligence est augmentée de 6 points.",5142,26,32,false,0,0,6,68
123,"Aspiration d'énergie améliorée","Le montant de PM récupéré avec Aspiration d'énergie est doublé.",5389,26,36,false,0,0,0,68
124,"Efficacité des actions augmentée II","Les soins et les dégâts de base des actions (sauf attaques automatiques) sont augmentés de 30%. Les soins et les dégâts de base des actions du familier sont également augmentés de 30%.",5186,26,40,false,0,0,30,68
125,"Flux d'éther amélioré III","Flux d'éther vous fait bénéficier de l'effet <color #FF7B1A>Flux d'éther III</color>.",5386,26,40,false,0,0,0,68
126,"Œil pour œil amélioré","Le temps de recharge d'Œil pour œil est réduit à 2 minutes.",5390,26,44,false,0,0,0,68
127,"Stimulation améliorée","Le temps de recharge de Stimulation est réduit à 60 secondes.",5391,26,48,false,0,0,0,68
128,"Force améliorée","La force du compagnon est augmentée de 5%.",9004,0,2,false,0,0,5,0
129,"PV améliorés","Les PV maximums du compagnon sont augmentés de 10%.",9001,0,3,false,0,0,10,0
130,"Précision améliorée","La précision du compagnon est augmentée de 5%.",9010,0,5,false,0,0,5,0
131,"Critique amélioré","Le critique du compagnon est augmenté de 15%.",9012,0,6,false,0,0,15,0
132,"Force améliorée","La force du compagnon est augmentée de 5%.",9004,0,8,false,0,0,5,0
133,"PV améliorés","Les PV maximums du compagnon sont augmentés de 10%.",9001,0,9,false,0,0,10,0
134,"Force améliorée","La force du compagnon est augmentée de 5%.",9004,0,2,false,0,0,5,0
135,"PV améliorés","Les PV maximums du compagnon sont augmentés de 5%.",9001,0,3,false,0,0,5,0
136,"Précision améliorée","La précision du compagnon est augmentée de 5%.",9010,0,5,false,0,0,5,0
137,"Critique amélioré","Le critique du compagnon est augmenté de 15%.",9012,0,6,false,0,0,15,0
138,"Force améliorée","La force du compagnon est augmentée de 10%.",9004,0,8,false,0,0,10,0
139,"Vitesse améliorée","La vitesse d'attaque du compagnon est augmentée de 10%.",9013,0,9,false,0,0,-10,0
140,"Esprit amélioré","L'esprit du compagnon est augmenté de 10%.",9008,0,2,false,0,0,10,0
141,"PV améliorés","Les PV maximums du compagnon sont augmentés de 5%.",9001,0,3,false,0,0,5,0
142,"Précision améliorée","La précision du compagnon est augmentée de 5%.",9010,0,5,false,0,0,5,0
143,"Critique amélioré","Le critique du compagnon est augmenté de 15%.",9012,0,6,false,0,0,15,0
144,"Esprit amélioré","L'esprit du compagnon est augmenté de 15%.",9008,0,8,false,0,0,15,0
145,"PV améliorés","Les PV maximums du compagnon sont augmentés de 5%.",9001,0,9,false,0,0,5,0
146,"Force améliorée (JcJ)","La force est augmentée de 2 points.\n<color #FFFF66>Force améliorée II (JcJ):</color> augmente la force de 4 points supplémentaires\n<color #FFFF66>Force améliorée III (JcJ):</color> augmente la force de 6 points supplémentaires",9801,0,0,true,4,128,2,1
147,"Force améliorée II (JcJ)","La force est augmentée de 2 points.\n<color #FFFF66>Force améliorée II (JcJ):</color> augmente la force de 4 points supplémentaires\n<color #FFFF66>Force améliorée III (JcJ):</color> augmente la force de 6 points supplémentaires",9802,0,0,true,4,129,4,1
148,"Force améliorée III (JcJ)","La force est augmentée de 2 points.\n<color #FFFF66>Force améliorée II (JcJ):</color> augmente la force de 4 points supplémentaires\n<color #FFFF66>Force améliorée III (JcJ):</color> augmente la force de 6 points supplémentaires",9803,0,0,true,4,130,6,1
149,"Dextérité améliorée (JcJ)","La dextérité est augmentée de 2 points.\n<color #FFFF66>Dextérité améliorée II (JcJ):</color> augmente la dextérité de 4 points supplémentaires\n<color #FFFF66>Dextérité améliorée III (JcJ):</color> augmente la dextérité de 6 points supplémentaires",9811,0,0,true,4,131,2,1
150,"Dextérité améliorée II (JcJ)","La dextérité est augmentée de 2 points.\n<color #FFFF66>Dextérité améliorée II (JcJ):</color> augmente la dextérité de 4 points supplémentaires\n<color #FFFF66>Dextérité améliorée III (JcJ):</color> augmente la dextérité de 6 points supplémentaires",9812,0,0,true,4,132,4,1
151,"Dextérité améliorée III (JcJ)","La dextérité est augmentée de 2 points.\n<color #FFFF66>Dextérité améliorée II (JcJ):</color> augmente la dextérité de 4 points supplémentaires\n<color #FFFF66>Dextérité améliorée III (JcJ):</color> augmente la dextérité de 6 points supplémentaires",9813,0,0,true,4,133,6,1
152,"Vitalité améliorée (JcJ)","La vitalité est augmentée de 2 points.\n<color #FFFF66>Vitalité améliorée II (JcJ):</color> augmente la vitalité de 4 points supplémentaires\n<color #FFFF66>Vitalité améliorée III (JcJ):</color> augmente la vitalité de 6 points supplémentaires",9821,0,0,true,4,134,2,1
153,"Vitalité améliorée II (JcJ)","La vitalité est augmentée de 2 points.\n<color #FFFF66>Vitalité améliorée II (JcJ):</color> augmente la vitalité de 4 points supplémentaires\n<color #FFFF66>Vitalité améliorée III (JcJ):</color> augmente la vitalité de 6 points supplémentaires",9822,0,0,true,4,135,4,1
154,"Vitalité améliorée III (JcJ)","La vitalité est augmentée de 2 points.\n<color #FFFF66>Vitalité améliorée II (JcJ):</color> augmente la vitalité de 4 points supplémentaires\n<color #FFFF66>Vitalité améliorée III (JcJ):</color> augmente la vitalité de 6 points supplémentaires",9823,0,0,true,4,136,6,1
155,"Intelligence améliorée (JcJ)","L'intelligence est augmentée de 2 points.\n<color #FFFF66>Intelligence améliorée II (JcJ):</color> augmente l'intelligence de 4 points supplémentaires\n<color #FFFF66>Intelligence améliorée III (JcJ):</color> augmente l'intelligence de 6 points supplémentaires",9831,0,0,true,4,137,2,1
156,"Intelligence améliorée II (JcJ)","L'intelligence est augmentée de 2 points.\n<color #FFFF66>Intelligence améliorée II (JcJ):</color> augmente l'intelligence de 4 points supplémentaires\n<color #FFFF66>Intelligence améliorée III (JcJ):</color> augmente l'intelligence de 6 points supplémentaires",9832,0,0,true,4,138,4,1
157,"Intelligence améliorée III (JcJ)","L'intelligence est augmentée de 2 points.\n<color #FFFF66>Intelligence améliorée II (JcJ):</color> augmente l'intelligence de 4 points supplémentaires\n<color #FFFF66>Intelligence améliorée III (JcJ):</color> augmente l'intelligence de 6 points supplémentaires",9833,0,0,true,4,139,6,1
158,"Esprit amélioré (JcJ)","L'esprit est augmenté de 2 points.\n<color #FFFF66>Esprit amélioré II (JcJ):</color> augmente l'esprit de 4 points supplémentaires\n<color #FFFF66>Esprit amélioré III (JcJ):</color> augmente l'esprit de 6 points supplémentaires",9841,0,0,true,4,140,2,1
159,"Esprit amélioré II (JcJ)","L'esprit est augmenté de 2 points.\n<color #FFFF66>Esprit amélioré II (JcJ):</color> augmente l'esprit de 4 points supplémentaires\n<color #FFFF66>Esprit amélioré III (JcJ):</color> augmente l'esprit de 6 points supplémentaires",9842,0,0,true,4,141,4,1
160,"Esprit amélioré III (JcJ)","L'esprit est augmenté de 2 points.\n<color #FFFF66>Esprit amélioré II (JcJ):</color> augmente l'esprit de 4 points supplémentaires\n<color #FFFF66>Esprit amélioré III (JcJ):</color> augmente l'esprit de 6 points supplémentaires",9843,0,0,true,4,142,6,1
161,"Piété améliorée (JcJ)","La piété est augmentée de 2 points.\n<color #FFFF66>Piété améliorée II (JcJ):</color> augmente la piété de 4 points supplémentaires\n<color #FFFF66>Piété améliorée III (JcJ):</color> augmente la piété de 6 points supplémentaires",9851,0,0,true,4,143,2,1
162,"Piété améliorée II (JcJ)","La piété est augmentée de 2 points.\n<color #FFFF66>Piété améliorée II (JcJ):</color> augmente la piété de 4 points supplémentaires\n<color #FFFF66>Piété améliorée III (JcJ):</color> augmente la piété de 6 points supplémentaires",9852,0,0,true,4,144,4,1
163,"Piété améliorée III (JcJ)","La piété est augmentée de 2 points.\n<color #FFFF66>Piété améliorée II (JcJ):</color> augmente la piété de 4 points supplémentaires\n<color #FFFF66>Piété améliorée III (JcJ):</color> augmente la piété de 6 points supplémentaires",9853,0,0,true,4,145,6,1
164,"Testudo amélioré","",0,0,0,true,4,146,0,38
165,"Testudo amélioré II","",0,0,0,true,4,147,5,38
166,"Testudo amélioré III","",0,0,0,true,4,148,-10,38
167,"Lacération glorieuse améliorée","",0,0,0,true,4,149,0,38
168,"Lacération glorieuse améliorée II","",0,0,0,true,4,150,0,38
169,"Tempête de mithril améliorée","",0,0,0,true,4,151,0,44
170,"Tempête de mithril améliorée II","",0,0,0,true,4,152,0,44
171,"Tempête de mithril améliorée III","",0,0,0,true,4,153,1,44
172,"Frisson de la guerre amélioré","",0,0,0,true,4,154,0,44
173,"Frisson de la guerre amélioré II","",0,0,0,true,4,155,5,44
174,"Frisson de la guerre amélioré III","",0,0,0,true,4,156,10,44
175,"Plein élan amélioré","",0,0,0,true,4,157,0,85
176,"Plein élan amélioré II","",0,0,0,true,4,158,5,85
177,"Plein élan amélioré III","",0,0,0,true,4,159,10,85
178,"Coup de pied retombant amélioré","",0,0,0,true,4,160,0,41
179,"Coup de pied retombant amélioré II","",0,0,0,true,4,161,0,41
180,"Coup de pied retombant amélioré III","",0,0,0,true,4,162,2,41
181,"Saut périlleux amélioré","",0,0,0,true,4,163,0,41
182,"Saut périlleux amélioré II","",0,0,0,true,4,164,3,41
183,"Saut périlleux amélioré III","",0,0,0,true,4,165,-20,41
184,"Émancipation améliorée","",0,0,0,true,4,166,0,86
185,"Émancipation améliorée II","",0,0,0,true,4,167,3,86
186,"Impulsion subite améliorée","",0,0,0,true,4,168,0,47
187,"Impulsion subite améliorée II","",0,0,0,true,4,169,5,47
188,"Impulsion subite améliorée III","",0,0,0,true,4,170,0,47
189,"Embrochement amélioré","",0,0,0,true,4,171,0,47
190,"Embrochement amélioré II","",0,0,0,true,4,172,5,47
191,"Embrochement amélioré III","",0,0,0,true,4,173,-20,47
192,"Chant de mana amélioré","",0,0,0,true,4,174,0,50
193,"Chant de mana amélioré II","",0,0,0,true,4,175,15,50
194,"Tir lointain amélioré","",0,0,0,true,4,176,0,50
195,"Tir lointain amélioré II","",0,0,0,true,4,177,0,50
196,"Tir lointain amélioré III","",0,0,0,true,4,178,10,50
197,"Tir explosif amélioré","",0,0,0,true,4,179,0,50
198,"Tir explosif amélioré II","",0,0,0,true,4,180,0,50
199,"Tir explosif amélioré III","",0,0,0,true,4,181,5,50
200,"Prisme sacré amélioré","",0,0,0,true,4,182,0,53
201,"Prisme sacré amélioré II","",0,0,0,true,4,183,6,53
202,"Prisme sacré amélioré III","",0,0,0,true,4,184,30,53
203,"Souffle divin amélioré","",0,0,0,true,4,185,0,73
204,"Souffle divin amélioré II","",0,0,0,true,4,186,20,73
205,"Aile nocturne améliorée","",0,0,0,true,4,187,0,55
206,"Aile nocturne améliorée II","",0,0,0,true,4,188,5,55
207,"Projectile fantôme amélioré","",0,0,0,true,4,189,0,55
208,"Projectile fantôme amélioré II","",0,0,0,true,4,190,0,55
209,"Projectile fantôme amélioré III","",0,0,0,true,4,191,5,55
210,"Voile de brume amélioré","",0,0,0,true,4,192,0,69
211,"Voile de brume amélioré II","",0,0,0,true,4,193,5,69
212,"Voile de brume amélioré III","",0,0,0,true,4,194,10,69
213,"Flétrissure améliorée","",0,0,0,true,4,195,0,69
214,"","",0,0,0,false,0,0,0,0
215,"","",0,0,0,false,0,0,0,0
216,"Détonation d'aura améliorée","",0,0,0,true,4,198,0,29
217,"Détonation d'aura améliorée II","",0,0,0,true,4,199,0,29
218,"Détonation d'aura améliorée III","",0,0,0,true,4,200,5,29
219,"Traité de la focalisation amélioré","",0,0,0,true,4,201,0,73
220,"Traité de la focalisation amélioré II","",0,0,0,true,4,202,5,73
221,"Traité de la focalisation amélioré III","",0,0,0,true,4,203,10,73
222,"Jet d'arme amélioré","",0,0,0,true,4,204,0,87
223,"Jet d'arme amélioré II","",0,0,0,true,4,205,3,87
224,"Jet d'arme amélioré III","",0,0,0,true,4,206,20,87
225,"Remotivation améliorée","",0,0,0,true,4,207,0,88
226,"Remotivation améliorée II","",0,0,0,true,4,208,250,88
227,"Explosion éthérée améliorée","",0,0,0,true,4,209,0,89
228,"Explosion éthérée améliorée II","",0,0,0,true,4,210,5,89
229,"Explosion éthérée améliorée III","",0,0,0,true,4,211,-20,89
230,"Équanimité améliorée","",0,0,0,true,4,212,0,89
231,"Équanimité améliorée II","",0,0,0,true,4,213,5,89
232,"Regain de mana","",0,0,0,true,4,214,0,90
233,"Regain de mana II","",0,0,0,true,4,215,20,90
234,"Dépuration","",0,0,0,true,4,216,0,1
235,"Harmonie","",0,0,0,true,4,217,0,73
236,"Dextérité améliorée","La dextérité est augmentée de 2 points.",5120,29,8,false,0,0,2,93
237,"Sur ses pattes","Les dégâts reçus en tombant sont réduits.",5401,29,14,false,0,0,10,93
238,"Dextérité améliorée II","La dextérité est augmentée de 4 points.",5121,29,16,false,0,0,4,93
239,"Rôdeur de l'ombre","La puissance d'Attaque furtive monte à 300, ou à 500 si l'attaque est portée par devant.",5402,29,32,false,0,0,0,93
240,"Dextérité améliorée III","La dextérité est augmentée de 6 points.",5122,29,24,false,0,0,6,93
241,"Vive allure","La vitesse de déplacement est augmentée.\n* En zone JcJ, l'effet est annulé par <color #FF7B1A>Baiser de guêpe</color> et <color #FF7B1A>Baiser de vipère</color>.",5403,29,20,false,0,0,10,93
