Index,0 [0x9][0x0],1 [0x9][0x4],2 [0x9][0x8],3 [0x9][0xc],4 [0x9][0x10],5 [0x9][0x14],6 [0x9][0x18],7 [0x9][0x1c],8 [0x9][0x20],9 [0x9][0x24],10 [0x3][0x28],11 [0x19][0x2a],12 [0x3][0x29]
40,2.0,2.9,2.1,2.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,2
41,1.1,1.2,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
42,5.8,3.5,4.7,3.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,2
43,0.9,1.0,1.0,1.0,2.0,6.0,0.4,0.8,3.0,3.0,1,false,1
44,0.9,1.3,0.9,1.2,1.7,4.7,0.0,0.0,3.0,3.0,0,false,1
45,1.1,1.1,0.8,0.5,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
46,1.8,1.3,1.5,1.5,3.0,6.0,0.0,0.0,3.0,3.0,0,false,1
47,1.6,1.6,1.6,1.2,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
48,3.5,1.0,3.0,2.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
49,1.3,2.9,2.1,2.0,2.4,5.5,0.0,0.0,3.0,3.0,0,false,2
50,0.5,1.0,0.7,0.6,2.0,3.5,0.0,0.0,3.0,3.0,0,false,1
51,1.5,1.0,1.6,1.0,2.5,5.5,0.0,0.0,3.0,3.0,0,false,1
52,1.5,1.0,1.6,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
53,3.7,5.3,3.0,3.0,2.0,7.0,0.0,0.0,3.0,3.0,1,false,2
54,1.9,3.2,2.4,1.0,2.5,5.5,0.0,0.0,3.0,3.0,1,false,1
55,1.2,1.6,1.2,1.2,1.0,5.0,0.0,0.0,3.0,3.0,0,false,1
56,1.4,2.4,1.8,1.5,2.0,5.0,0.0,0.0,3.0,3.0,0,false,2
57,2.3,3.2,2.0,2.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
58,4.0,6.0,3.6,3.2,3.0,6.0,0.0,0.0,3.0,3.0,1,false,2
59,0.1,1.0,0.7,0.6,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
60,3.6,5.7,2.6,1.0,2.0,5.0,0.0,0.0,6.0,10.0,1,false,2
61,2.0,2.0,2.3,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
62,2.5,2.0,2.4,2.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,2
63,5.0,4.1,3.5,5.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,2
64,2.0,2.0,1.6,1.4,2.0,5.0,1.8,2.5,6.0,3.0,1,false,1
65,1.2,3.0,1.8,1.4,5.0,5.0,0.0,0.0,3.0,3.0,0,false,1
66,3.5,5.0,2.8,2.5,2.0,5.0,0.0,0.0,3.0,3.0,0,false,2
67,1.3,2.0,1.0,3.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
68,3.0,3.0,3.0,2.5,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
69,2.4,4.0,2.0,1.0,2.0,5.0,2.4,2.4,8.0,3.0,1,true,1
70,4.0,5.0,3.5,3.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,2
71,4.5,4.5,3.5,3.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
72,1.8,2.9,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
73,1.0,1.0,1.3,1.3,2.0,60.0,0.0,0.0,3.0,3.0,1,false,2
74,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
75,1.0,1.0,0.7,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
76,1.0,2.0,1.4,1.3,3.0,6.0,0.0,0.0,3.0,3.0,1,false,1
77,2.8,2.7,2.5,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
78,1.8,1.0,1.5,1.0,2.0,5.0,3.7,3.7,12.0,3.0,1,false,1
79,0.2,0.5,0.7,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
80,0.4,0.6,0.7,1.0,2.5,5.5,1.3,1.7,8.0,3.0,1,false,1
81,0.3,0.3,0.6,0.5,1.0,3.5,0.0,0.0,3.0,3.0,0,false,1
82,0.4,1.0,0.7,0.5,1.2,3.5,0.0,0.0,3.0,3.0,0,false,1
83,0.2,0.6,0.5,0.5,2.0,6.0,0.8,1.2,8.0,3.0,1,true,1
84,0.5,2.0,0.7,1.0,2.0,4.5,0.8,1.2,8.0,3.0,1,false,1
85,0.7,1.0,0.8,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
86,0.7,1.2,0.8,1.0,1.2,3.5,0.0,0.0,3.0,3.0,0,false,1
87,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
88,0.3,0.7,0.6,0.5,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
89,0.7,0.8,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
90,1.0,2.0,1.5,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
91,1.0,1.0,1.5,0.5,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
92,2.3,4.0,2.4,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
93,0.5,0.8,0.6,1.0,2.0,5.0,1.0,1.3,8.0,3.0,1,false,1
94,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
95,1.7,3.8,1.9,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
96,5.0,4.0,4.2,4.0,3.0,8.0,0.0,0.0,3.0,3.0,1,false,2
97,1.0,5.0,3.0,2.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
98,3.5,5.3,3.8,3.5,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
99,6.0,10.0,6.2,1.0,6.0,6.0,0.0,0.0,3.0,3.0,1,false,1
100,2.0,2.0,1.7,1.0,1.0,5.0,0.0,0.0,3.0,3.0,0,false,2
101,2.0,4.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
102,4.5,1.0,12.0,8.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
103,1.0,2.5,1.16,1.1,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
104,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
105,2.3,4.1,2.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
106,1.2,1.1,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
107,3.5,6.5,7.0,5.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
108,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
109,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
110,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
111,0.3,0.4,0.4,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
112,12.0,8.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
113,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
114,1.0,1.0,1.2,1.0,6.0,6.0,0.0,0.0,3.0,3.0,1,false,1
115,1.0,3.0,2.0,2.0,2.0,5.0,3.5,3.5,1.7,3.0,1,false,1
116,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
117,6.0,10.0,6.5,8.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
118,1.4,4.0,1.5,2.0,2.0,5.0,2.5,2.5,1.7,3.0,1,false,1
119,12.0,10.0,7.0,7.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
120,3.0,1.4,1.0,1.0,2.0,15.0,0.0,0.0,3.0,3.0,0,false,1
121,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
122,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
123,3.5,4.8,3.0,3.0,2.0,5.0,1.5,1.5,0.01,3.0,1,false,2
124,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
125,1.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
126,2.5,4.5,3.0,4.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
127,1.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
128,6.0,1.0,5.0,5.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
129,4.0,1.0,3.0,3.0,2.0,5.0,1.0,1.0,0.7,3.0,0,false,1
130,7.0,1.0,6.0,4.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
131,1.0,2.0,1.3,1.3,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
132,3.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
133,0.7,1.1,0.7,0.4,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
134,1.3,1.3,0.9,1.0,2.0,5.0,0.2,0.3,8.0,3.0,1,false,1
135,0.3,0.6,0.5,0.3,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
136,1.2,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
137,0.4,0.6,0.6,1.0,2.0,5.0,0.8,1.2,8.0,3.0,1,true,1
138,0.6,1.1,0.7,1.0,2.0,5.0,1.2,1.5,8.0,3.0,1,false,1
139,3.0,4.2,3.4,6.0,0.4,1.6,0.0,0.0,3.0,3.0,0,false,2
140,0.8,1.6,0.8,1.0,2.0,5.0,0.8,1.2,8.0,3.0,1,false,1
141,1.2,2.7,1.6,2.0,2.0,5.0,0.8,1.2,8.0,3.0,1,false,1
142,1.3,1.9,1.3,2.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
143,1.4,3.1,1.6,3.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,2
144,1.5,6.2,4.0,6.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
145,2.0,2.5,2.3,8.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
146,5.3,3.0,3.5,7.0,5.0,5.0,0.0,0.0,3.0,3.0,1,false,1
147,2.4,2.0,2.0,4.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
148,1.5,2.4,1.2,1.0,5.0,5.0,0.0,0.0,3.0,3.0,0,false,1
149,1.0,3.1,0.8,1.0,1.1,2.5,0.0,0.0,3.0,3.0,0,false,1
150,2.2,3.4,2.0,2.5,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
151,1.7,3.2,1.8,2.5,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
152,0.5,2.0,1.2,0.5,2.0,5.0,0.5,0.9,8.0,3.0,1,false,1
153,0.8,0.6,0.9,0.9,2.0,6.0,1.3,1.7,6.0,3.0,1,false,1
154,0.7,1.7,1.1,1.1,1.2,3.9,0.0,0.0,3.0,3.0,0,false,1
155,0.7,1.7,1.1,1.1,1.2,3.9,0.0,0.0,3.0,3.0,0,false,1
156,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,true,1
157,1.3,1.3,1.3,1.3,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
158,0.5,0.5,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
159,0.6,1.8,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
160,4.2,7.8,6.0,5.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
161,1.1,2.0,1.4,2.0,2.2,6.0,0.0,0.0,3.0,3.0,0,false,1
162,2.0,0.4,1.4,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
163,5.0,14.0,4.0,4.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
164,1.2,2.0,1.2,1.0,6.0,6.0,0.0,0.0,3.0,3.0,0,true,1
165,2.0,1.0,1.8,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
166,0.3,0.8,0.6,0.6,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
167,3.7,3.0,2.5,2.5,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
168,1.8,2.0,1.5,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
169,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
170,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
171,2.3,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
172,1.0,1.0,1.5,1.0,2.0,3.7,0.0,0.0,3.0,3.0,0,false,1
173,2.3,3.3,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
174,6.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,true,1
175,1.2,0.5,1.8,1.4,5.0,5.0,0.0,0.0,3.0,3.0,0,false,1
176,1.7,2.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
177,2.5,2.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,2
178,2.0,4.2,2.5,2.8,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
179,1.0,1.0,0.4,0.4,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
180,0.2,1.0,0.5,0.5,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
181,0.4,0.5,0.5,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
182,0.9,0.7,0.8,1.0,2.0,6.0,0.5,0.9,6.0,3.0,1,true,1
183,2.0,2.0,2.0,2.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
184,3.5,7.5,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
185,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
186,1.7,4.1,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
187,1.5,1.5,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
188,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
189,4.0,6.5,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,true,1
190,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
191,0.3,0.4,1.0,1.0,1.0,6.0,0.0,0.0,3.0,3.0,0,false,2
192,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
193,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
194,2.0,1.5,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
195,2.0,2.0,1.0,1.0,2.0,6.0,0.7,1.0,3.0,3.0,1,false,1
196,1.7,3.0,1.7,2.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
197,0.7,0.5,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
198,0.6,1.7,1.0,1.0,2.0,6.0,1.8,2.2,6.0,3.0,0,true,1
199,0.2,0.4,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
200,1.0,1.8,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
201,2.6,3.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
202,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
203,2.0,2.5,3.0,3.0,2.0,7.0,0.0,0.0,3.0,3.0,1,false,2
204,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
205,12.0,23.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,1
206,15.0,25.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,1
207,0.5,0.7,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
208,0.4,0.3,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
209,1.8,1.7,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
210,5.0,110.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
211,2.0,4.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
212,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
213,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
214,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
215,2.5,2.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
216,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
217,1.2,2.7,1.7,1.8,2.0,6.0,0.0,0.0,3.0,3.0,1,false,1
218,3.0,3.8,3.0,2.5,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
219,1.5,1.3,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
220,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
221,1.6,2.0,1.7,1.0,1.0,5.0,0.0,0.0,3.0,3.0,0,false,1
222,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
223,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
224,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
225,1.6,4.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
226,13.0,13.0,20.0,20.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
227,1.9,3.4,2.4,2.5,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
228,3.0,2.0,2.0,2.0,3.2,9.0,0.0,0.0,3.0,3.0,1,false,1
229,2.5,2.5,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,1
230,6.0,4.0,3.6,3.6,2.0,6.0,5.0,5.0,4.0,3.0,1,true,2
231,2.3,6.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
232,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
233,3.5,4.0,3.0,3.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,2
234,3.5,5.0,3.0,3.0,2.0,6.0,0.6,0.6,0.7,3.0,1,false,1
235,3.0,3.4,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
236,2.3,3.0,1.7,2.4,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
237,1.4,2.2,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
238,3.0,3.0,2.0,2.2,2.0,6.0,0.0,0.0,3.0,3.0,1,false,1
239,1.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
240,5.0,8.0,5.5,5.5,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
241,4.0,12.0,10.0,10.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,1
242,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
243,0.6,1.0,4.0,2.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,1
244,5.0,8.5,4.7,4.5,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
245,3.8,3.0,2.8,2.8,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
246,4.0,4.0,2.8,2.5,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
247,1.7,3.3,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,2
248,2.8,2.7,2.5,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,1
249,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
250,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
251,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
252,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
253,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
254,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
255,5.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
256,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
257,0.8,1.0,1.0,1.0,1.2,3.2,0.0,0.0,3.0,3.0,0,false,1
258,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
259,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
260,1.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
261,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,1,false,1
262,2.0,5.5,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,0,false,2
263,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
264,1.4,2.5,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
265,2.0,5.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
266,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
267,6.0,5.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,2
268,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
269,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
270,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
271,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
272,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
273,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
274,2.5,4.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
275,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
276,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
277,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
278,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
279,0.4,0.6,0.7,1.0,2.0,5.0,0.0,0.0,3.0,3.0,1,false,1
280,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
281,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
282,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
283,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
284,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,3.0,0,false,1
