Index,0 [0x6][0x0],1 [0x3][0x8],2 [0x3][0x9],3 [0x3][0xa],4 [0x4][0x4],5 [0x4][0x6]
333,4896,5,7,10,0,77
334,4898,3,5,7,0,83
335,4900,3,5,7,0,88
336,4982,5,7,10,0,98
337,5462,3,5,7,0,107
338,4903,1,2,3,0,111
339,4905,1,2,3,0,117
340,5466,3,5,7,0,120
341,4997,5,7,10,0,122
342,5040,3,5,7,0,134
343,12871,5,7,10,0,0
344,12888,5,7,10,0,0
345,12568,5,7,10,0,0
346,12635,5,7,10,0,0
347,12637,5,7,10,0,0
348,12873,5,7,10,0,0
349,12575,5,7,10,0,0
350,12609,5,7,10,0,0
351,12628,5,7,10,0,0
352,12569,5,7,10,0,0
353,12636,5,7,10,0,0
354,12874,5,7,10,0,0
355,12570,5,7,10,0,0
356,5449,5,7,10,0,0
357,5448,5,7,10,0,0
358,12629,5,7,10,0,0
359,12872,5,7,10,0,0
360,12571,5,7,10,0,0
361,12576,5,7,10,0,0
362,12875,5,7,10,0,0
363,12876,5,7,10,0,0
364,12600,5,7,10,0,0
365,12627,5,7,10,0,0
366,12630,5,7,10,0,0
367,12572,5,7,10,0,0
368,12573,5,7,10,0,0
369,12577,5,7,10,0,0
370,12599,5,7,10,0,0
371,5126,15,20,30,298,0
372,12531,15,20,30,299,0
373,12553,15,20,30,303,0
374,12552,15,20,30,302,0
375,12551,15,20,30,300,0
376,12631,15,20,30,304,0
377,12559,15,20,30,316,0
378,12555,15,20,30,305,0
379,12554,15,20,30,306,0
380,12532,15,20,30,309,0
381,12556,15,20,30,308,0
382,12632,15,20,30,310,0
383,12539,15,20,30,314,0
384,12560,15,20,30,317,0
385,12557,15,20,30,311,0
386,12533,15,20,30,315,0
387,12558,15,20,30,312,0
388,5127,15,20,30,319,0
389,5403,15,20,30,342,0
390,5384,15,20,30,343,0
391,12597,15,20,30,344,0
392,12883,15,20,30,346,0
393,12880,15,20,30,345,0
394,12598,15,20,30,348,0
395,12578,15,20,30,349,0
396,12585,15,20,30,350,0
397,12885,15,20,30,353,0
398,12638,15,20,30,354,0
399,12887,15,20,30,355,0
400,12639,15,20,30,356,0
401,12586,15,20,30,358,0
402,12642,15,20,30,359,0
403,12643,15,20,30,360,0
404,12640,15,20,30,361,0
405,12891,15,20,30,362,0
406,12641,15,20,30,363,0
407,12715,5,7,10,0,302
408,12719,5,7,10,0,305
409,12725,5,7,10,0,311
410,12721,5,7,10,0,307
411,12728,5,7,10,0,314
412,12737,5,7,10,0,323
413,12739,5,7,10,0,325
414,12747,5,7,10,0,333
415,12750,5,7,10,0,336
416,12749,5,7,10,0,335
417,12765,5,7,10,0,351
418,12767,5,7,10,0,353
419,12781,5,7,10,0,367
420,12790,5,7,10,0,376
421,12811,5,7,10,0,397
422,12809,5,7,10,0,395
423,12817,5,7,10,0,403
424,12824,5,7,10,0,410
425,12828,5,7,10,0,414
426,12819,5,7,10,0,405
427,5521,15,20,30,297,0
428,12722,5,7,10,0,308
429,12733,5,7,10,0,319
430,12758,5,7,10,0,344
431,12780,5,7,10,0,366
432,12736,5,7,10,0,322
433,0,0,0,0,0,0
434,0,0,0,0,0,0
435,0,0,0,0,0,0
436,0,0,0,0,0,0
437,0,0,0,0,0,0
438,0,0,0,0,0,0
439,0,0,0,0,0,0
440,0,0,0,0,0,0
441,0,0,0,0,0,0
442,0,0,0,0,0,0
443,0,0,0,0,0,0
444,0,0,0,0,0,0
445,0,0,0,0,0,0
446,0,0,0,0,0,0
447,0,0,0,0,0,0
448,0,0,0,0,0,0
449,0,0,0,0,0,0
450,0,0,0,0,0,0
