Index,0 [0x7][0x18],1 [0x0][0x0],2 [0x0][0x4],3 [0x0][0x8],4 [0x0][0xc],5 [0x0][0x10],6 [0x0][0x14]
61,0,"Mahlstrom-Reißer","Ordens-Reißer","Legions-Reißer","Mahlstrom-Reißerin","Ordens-Reißerin","Legions-Reißerin"
62,0,"Mahlstrom-Reißer","Ordens-Reißer","Legions-Reißer","Mahlstrom-Reißerin","Ordens-Reißerin","Legions-Reißerin"
63,0,"Mahlstrom-Reißer","Ordens-Reißer","Legions-Reißer","Mahlstrom-Reißerin","Ordens-Reißerin","Legions-Reißerin"
64,0,"Mahlstrom-Reißer","Ordens-Reißer","Legions-Reißer","Mahlstrom-Reißerin","Ordens-Reißerin","Legions-Reißerin"
65,0,"Mahlstrom-Reißer","Ordens-Reißer","Legions-Reißer","Mahlstrom-Reißerin","Ordens-Reißerin","Legions-Reißerin"
66,0,"Mahlstrom-Reißer","Ordens-Reißer","Legions-Reißer","Mahlstrom-Reißerin","Ordens-Reißerin","Legions-Reißerin"
67,0,"Mahlstrom-Reißer","Ordens-Reißer","Legions-Reißer","Mahlstrom-Reißerin","Ordens-Reißerin","Legions-Reißerin"
68,0,"Mahlstrom-Reißer","Ordens-Reißer","Legions-Reißer","Mahlstrom-Reißerin","Ordens-Reißerin","Legions-Reißerin"
69,0,"Mahlstrom-Reißer","Ordens-Reißer","Legions-Reißer","Mahlstrom-Reißerin","Ordens-Reißerin","Legions-Reißerin"
70,0,"Mahlstrom-Wolf","Ordens-Wolf","Legions-Wolf","Mahlstrom-Wölfin","Ordens-Wolf","Legions-Wolf"
71,0,"Mahlstrom-Wolf","Ordens-Wolf","Legions-Wolf","Mahlstrom-Wölfin","Ordens-Wolf","Legions-Wolf"
72,0,"Mahlstrom-Wolf","Ordens-Wolf","Legions-Wolf","Mahlstrom-Wölfin","Ordens-Wolf","Legions-Wolf"
73,0,"Mahlstrom-Wolf","Ordens-Wolf","Legions-Wolf","Mahlstrom-Wölfin","Ordens-Wolf","Legions-Wolf"
74,0,"Mahlstrom-Wolf","Ordens-Wolf","Legions-Wolf","Mahlstrom-Wölfin","Ordens-Wolf","Legions-Wolf"
75,0,"Mahlstrom-Wolf","Ordens-Wolf","Legions-Wolf","Mahlstrom-Wölfin","Ordens-Wolf","Legions-Wolf"
76,0,"Mahlstrom-Wolf","Ordens-Wolf","Legions-Wolf","Mahlstrom-Wölfin","Ordens-Wolf","Legions-Wolf"
77,0,"Mahlstrom-Wolf","Ordens-Wolf","Legions-Wolf","Mahlstrom-Wölfin","Ordens-Wolf","Legions-Wolf"
78,0,"Mahlstrom-Wolf","Ordens-Wolf","Legions-Wolf","Mahlstrom-Wölfin","Ordens-Wolf","Legions-Wolf"
79,0,"Mahlstrom-Wolf","Ordens-Wolf","Legions-Wolf","Mahlstrom-Wölfin","Ordens-Wolf","Legions-Wolf"
80,0,"Mahlstrom-Rudelsführer","Ordens-Rudelsführer","Legions-Rudelsführer","Mahlstrom-Rudelsführerin","Ordens-Rudelsführerin","Legions-Rudelsführerin"
81,0,"Mahlstrom-Rudelsführer","Ordens-Rudelsführer","Legions-Rudelsführer","Mahlstrom-Rudelsführerin","Ordens-Rudelsführerin","Legions-Rudelsführerin"
82,0,"Mahlstrom-Rudelsführer","Ordens-Rudelsführer","Legions-Rudelsführer","Mahlstrom-Rudelsführerin","Ordens-Rudelsführerin","Legions-Rudelsführerin"
83,0,"Mahlstrom-Rudelsführer","Ordens-Rudelsführer","Legions-Rudelsführer","Mahlstrom-Rudelsführerin","Ordens-Rudelsführerin","Legions-Rudelsführerin"
84,0,"Mahlstrom-Rudelsführer","Ordens-Rudelsführer","Legions-Rudelsführer","Mahlstrom-Rudelsführerin","Ordens-Rudelsführerin","Legions-Rudelsführerin"
85,0,"Mahlstrom-Rudelsführer","Ordens-Rudelsführer","Legions-Rudelsführer","Mahlstrom-Rudelsführerin","Ordens-Rudelsführerin","Legions-Rudelsführerin"
86,0,"Mahlstrom-Rudelsführer","Ordens-Rudelsführer","Legions-Rudelsführer","Mahlstrom-Rudelsführerin","Ordens-Rudelsführerin","Legions-Rudelsführerin"
87,0,"Mahlstrom-Rudelsführer","Ordens-Rudelsführer","Legions-Rudelsführer","Mahlstrom-Rudelsführerin","Ordens-Rudelsführerin","Legions-Rudelsführerin"
88,0,"Mahlstrom-Rudelsführer","Ordens-Rudelsführer","Legions-Rudelsführer","Mahlstrom-Rudelsführerin","Ordens-Rudelsführerin","Legions-Rudelsführerin"
89,0,"Mahlstrom-Rudelsführer","Ordens-Rudelsführer","Legions-Rudelsführer","Mahlstrom-Rudelsführerin","Ordens-Rudelsführerin","Legions-Rudelsführerin"
90,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
91,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
92,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
93,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
94,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
95,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
96,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
97,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
98,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
99,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
100,0,"Hüter der See","Hüter des Waldes","Hüter der Wüste","Hüterin der See","Hüterin des Waldes","Hüterin der Wüste"
