Index,0 [0x7][0x18],1 [0x0][0x0],2 [0x0][0x4],3 [0x0][0x8],4 [0x0][0xc],5 [0x0][0x10],6 [0x0][0x14]
18,9850,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
19,11590,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
20,13510,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
21,15670,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
22,18070,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
23,20710,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
24,23590,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
25,26710,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
26,30130,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
27,33850,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
28,37870,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
29,42190,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
30,46810,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
31,51790,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
32,57130,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
33,62830,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
34,68890,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
35,75310,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
36,82150,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
37,89410,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
38,97090,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
39,105190,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
40,113710,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
41,122710,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
42,132190,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
43,142150,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
44,152590,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
45,163510,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
46,174970,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
47,186970,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
48,199510,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
49,212590,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
50,226210,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
51,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
52,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
53,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
54,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
55,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
56,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
57,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
58,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
59,0,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
60,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
61,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
62,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
63,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
64,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
65,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
66,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
67,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
68,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
69,0,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
70,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
71,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
72,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
73,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
74,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
75,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
76,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
77,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
78,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
79,0,"Storm Wolf","Serpent Wolf","Flame Wolf","Storm Wolf","Serpent Wolf","Flame Wolf"
80,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
81,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
82,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
83,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
84,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
85,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
86,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
87,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
88,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
89,0,"Ocean Star","Shroud Star","Desert Star","Ocean Star","Shroud Star","Desert Star"
90,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
91,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
92,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
93,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
94,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
95,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
96,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
97,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
98,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
99,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
100,0,"Protector of the Sea","Protector of the Wood","Protector of the Sands","Protector of the Sea","Protector of the Wood","Protector of the Sands"
