Index,0 [0x5][0x38],1 [0x9][0x0],2 [0x9][0x4],3 [0x9][0x8],4 [0x9][0xc],5 [0x9][0x10],6 [0x9][0x14],7 [0x9][0x18],8 [0x9][0x1c],9 [0x9][0x20],10 [0x9][0x24],11 [0x9][0x28],12 [0x9][0x2c],13 [0x9][0x30],14 [0x9][0x34]
16,2,0.4,-0.05,-0.7,1.0,0.9,0.95,1.3,1.2,1.2,1.1,0.9,1.1,1.2,1.0
17,3,0.0,0.0,2.0,1.0,0.5,0.8,1.0,1.1,1.0,1.0,0.5,0.8,1.0,0.8
18,3,0.0,0.0,-2.3,1.0,0.6,0.8,1.2,1.1,1.0,1.0,0.6,0.8,1.2,0.8
19,3,-2.2,0.0,0.0,1.0,0.5,0.8,1.1,1.1,1.0,1.0,0.5,0.8,1.1,0.8
20,3,2.2,0.0,0.0,1.0,0.5,0.8,1.1,1.1,1.0,1.0,0.5,0.8,1.1,0.8
21,3,-1.4,-0.1,1.4,1.0,0.5,0.8,1.1,1.1,1.0,1.0,0.5,0.8,1.1,0.8
22,3,1.4,-0.1,1.4,1.0,0.5,0.8,1.1,1.1,1.0,1.0,0.5,0.8,1.1,0.8
23,3,-1.5,-0.1,-1.7,1.0,0.6,0.8,1.3,1.1,1.0,1.0,0.6,0.8,1.3,0.8
24,3,1.5,-0.1,-1.7,1.0,0.6,0.8,1.3,1.1,1.0,1.0,0.6,0.8,1.3,0.8
25,4,0.0,0.0,2.4,1.1,0.5,0.9,1.1,1.1,1.0,1.1,0.5,0.9,1.1,0.9
26,4,0.0,0.0,-2.7,1.1,0.6,0.9,1.3,1.2,1.0,1.1,0.6,0.9,1.3,0.9
27,4,-2.6,0.0,0.0,1.1,0.5,0.9,1.2,1.1,1.0,1.1,0.5,0.9,1.2,0.9
28,4,2.6,0.0,0.0,1.1,0.5,0.9,1.2,1.1,1.0,1.1,0.5,0.9,1.2,0.9
29,4,-1.8,0.0,1.8,1.1,0.5,0.9,1.1,1.0,1.0,1.1,0.5,0.9,1.1,0.9
30,4,1.8,0.0,1.8,1.1,0.5,0.9,1.1,1.0,1.0,1.1,0.5,0.9,1.1,0.9
31,4,-1.8,0.0,-2.0,1.1,0.6,0.9,1.3,1.1,1.0,1.1,0.6,0.9,1.3,0.9
32,4,1.8,0.0,-2.0,1.1,0.6,0.9,1.3,1.1,1.0,1.1,0.6,0.9,1.3,0.9
33,4,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,4,0.0,5.0,-5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,4,-5.2,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,4,5.2,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,4,-4.2,5.0,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,4,4.2,5.0,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,4,-4.2,5.0,-4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,4,4.2,5.0,-4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,4,0.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,4,0.0,0.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,4,-6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,4,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,4,-4.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,4,4.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,4,-4.0,0.0,-4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,4,4.0,0.0,-4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,1000,-0.3,0.15,-0.8,1.2,1.0,0.9,1.6,1.0,1.0,1.2,1.0,0.9,1.6,1.0
50,1000,0.3,0.15,-0.8,1.2,1.0,0.9,1.6,1.0,1.0,1.2,1.0,0.9,1.6,1.0
51,1000,-0.5,0.15,-0.8,1.2,1.0,0.9,1.6,1.0,1.0,1.2,1.0,0.9,1.6,1.0
52,1000,0.5,0.15,-0.8,1.2,1.0,0.9,1.6,1.0,1.0,1.2,1.0,0.9,1.6,1.0
