Index,0 [0x3][0x4],1 [0x3][0x5],2 [0x3][0x6],3 [0x0][0x0]
65580,16,9,5,"bgcommon/hou/dyna/mat/wl/0016/material/rom_wl_20016a.mtrl"
65581,17,9,5,"bgcommon/hou/dyna/mat/wl/0017/material/rom_wl_20017a.mtrl"
65582,18,9,5,"bgcommon/hou/dyna/mat/wl/0018/material/rom_wl_20018a.mtrl"
65583,19,9,4,"bgcommon/hou/dyna/mat/wl/0019/material/rom_wl_20019a.mtrl"
65584,14,10,4,"bgcommon/hou/dyna/mat/fl/0014/material/rom_fl_20014a.mtrl"
65585,15,10,4,"bgcommon/hou/dyna/mat/fl/0015/material/rom_fl_20015a.mtrl"
65586,16,10,4,"bgcommon/hou/dyna/mat/fl/0016/material/rom_fl_20016a.mtrl"
65587,17,10,4,"bgcommon/hou/dyna/mat/fl/0017/material/rom_fl_20017a.mtrl"
65588,16,11,0,"bgcommon/hou/dyna/lmp/lp/0016/asset/lmp_s0_m0016.sgb"
65589,20,9,5,"bgcommon/hou/dyna/mat/wl/0020/material/rom_wl_20020a.mtrl"
65590,21,9,5,"bgcommon/hou/dyna/mat/wl/0021/material/rom_wl_20021a.mtrl"
65591,22,9,4,"bgcommon/hou/dyna/mat/wl/0022/material/rom_wl_20022a.mtrl"
65592,18,10,4,"bgcommon/hou/dyna/mat/fl/0018/material/rom_fl_20018a.mtrl"
65593,19,10,6,"bgcommon/hou/dyna/mat/fl/0019/material/rom_fl_20019a.mtrl"
65594,17,11,0,"bgcommon/hou/dyna/lmp/lp/0017/asset/lmp_s0_m0017.sgb"
65595,18,11,0,"bgcommon/hou/dyna/lmp/lp/0018/asset/lmp_s0_m0018.sgb"
65596,25,9,5,"bgcommon/hou/dyna/mat/wl/0025/material/rom_wl_20025a.mtrl"
65597,26,9,5,"bgcommon/hou/dyna/mat/wl/0026/material/rom_wl_20026a.mtrl"
65598,20,10,10,"bgcommon/hou/dyna/mat/fl/0020/material/rom_fl_20020a.mtrl"
65599,21,10,4,"bgcommon/hou/dyna/mat/fl/0021/material/rom_fl_20021a.mtrl"
65600,22,10,4,"bgcommon/hou/dyna/mat/fl/0022/material/rom_fl_20022a.mtrl"
65601,19,11,0,"bgcommon/hou/dyna/lmp/lp/0019/asset/lmp_s0_m0019.sgb"
65602,23,9,4,"bgcommon/hou/dyna/mat/wl/0023/material/rom_wl_20023a.mtrl"
65603,24,9,6,"bgcommon/hou/dyna/mat/wl/0024/material/rom_wl_20024a.mtrl"
65604,23,10,5,"bgcommon/hou/dyna/mat/fl/0023/material/rom_fl_20023a.mtrl"
65605,24,10,5,"bgcommon/hou/dyna/mat/fl/0024/material/rom_fl_20024a.mtrl"
65606,20,11,0,"bgcommon/hou/dyna/lmp/lp/0020/asset/lmp_s0_m0020.sgb"
65607,21,11,0,"bgcommon/hou/dyna/lmp/lp/0021/asset/lmp_s0_m0021.sgb"
65608,22,11,0,"bgcommon/hou/dyna/lmp/lp/0022/asset/lmp_s0_m0022.sgb"
65609,0,0,0,"アセットパス"
65610,0,0,0,"アセットパス"
