Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x5][0x24],12 [0x3][0x30],13 [0x3][0x31],14 [0x3][0x32],15 [0x3][0x33],16 [0x3][0x34],17 [0x3][0x35],18 [0x3][0x36],19 [0x3][0x37],20 [0x3][0x38],21 [0x19][0x40],22 [0x1a][0x40],23 [0x1b][0x40],24 [0x1c][0x40],25 [0x5][0x26],26 [0x1d][0x40],27 [0x1e][0x40],28 [0x5][0x28],29 [0x5][0x2a],30 [0x1f][0x40],31 [0x3][0x39],32 [0x3][0x3a],33 [0x5][0x2c],34 [0x3][0x3b],35 [0x3][0x3c],36 [0x3][0x3d],37 [0x20][0x40],38 [0x19][0x41],39 [0x1a][0x41],40 [0x1b][0x41],41 [0x1c][0x41],42 [0x3][0x3e],43 [0x5][0x2e],44 [0x3][0x3f],45 [0x0][0x1c],46 [0x0][0x20]
10,"serpent hatchling",0,"serpent hatchlings",0,0,1,0,0,"Summon your serpent hatchling minion. Not more than a fortnight out of the shell, but his blood already runs Twin Adder yellow.","Raised by a serpent private from an egg found abandoned in the company stables he was charged with cleaning, this adorable fledgling is a symbol of new beginnings for the Order of the Twin Adder.","Chocobo dander can\nbe a mite ripe.\n  - Chocobokeep",425,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4510,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
11,"flame hatchling",0,"flame hatchlings",0,0,1,0,0,"Summon your flame hatchling minion. Not more than a fortnight out of the shell, but his blood already runs Immortal Flames black.","Raised by a flame private from an egg found abandoned in the company stables he was charged with cleaning, this adorable fledgling is a symbol of new beginnings for the Immortal Flames.","Chocobo dander can\nbe a mite ripe.\n  - Chocobokeep",426,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4511,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
12,"morbol seedling",0,"morbol seedlings",0,0,1,0,0,"Summon your morbol seedling minion...if you think you can stand his breath.","It is in fashion amongst wealthy Ul'dahn merchants and nobles to bring morbol seedlings to banquets, so that the upper crust might inhale the seedkin's “boot-like” bad breath to induce vomiting, allowing them to engorge themselves for the\nduration of the gatherings.","Did a morbol just empty\nits innards? I feel ill...\n  - Imperial Soldier",429,100,30,0,0,0,2,0,8,6,true,true,false,false,0,false,true,4512,6,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
13,"tiny rat",0,"tiny rats",0,0,1,0,0,"Summon your tiny rat minion. He may infest your granaries, and he may carry the plague, but he's <i>simply too adorable</i> to condemn to the life-ending jaws of a metal trap.","It was only recently that an enterprising merchant from the Sapphire Avenue Exchange in Ul'dah was tossed into the sultanate's oubliettes for fluffing the tails of rats caught on Pearl Lane and selling prettied pests to tourists\nas “tiny squirrels.”","Pray waste no time\nchasing rats.\n  - Nanamo Ul Namo",431,100,30,0,0,0,2,0,8,7,true,false,false,true,0,false,true,4513,7,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
14,"baby bun",0,"baby buns",0,0,1,0,0,"Summon your baby bun minion. Tastes great on salads and in stews.","For those wondering on the ill effects of inhaling spores released by common funguars, according to the <i>Encyclopedia Eorzea</i> (third edition), funguar spores “befoul the body's humours and claim control of an individual's very soul,\nrendering them a mindless\nthrall.”","You mushroom-headed,\nspindly-legged, spore-\nspewing abominations!\n  - Gabineaux",432,100,30,0,0,0,2,0,8,8,true,false,true,false,0,false,true,4514,8,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
15,"chigoe larva",0,"chigoe larvae",0,0,1,0,0,"Summon your chigoe larva minion. This tiny vilekin takes the blood pact with his master <i>very</i> seriously.","Chirurgeons of the fallen city of Gelmorra once used chigoes to leech the dark humours of the infirm until it was realized the patients were contracting additional maladies as a result of the treatment.","What am I going to do\nwith a pile of dead vilekin?\n  - Waltheof",433,100,30,0,0,0,2,0,8,9,true,true,true,false,0,false,true,4515,9,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
16,"bluebird",0,"bluebirds",0,0,1,0,0,"Summon your bluebird minion. Known to retroactively bring good fortune to those who have already experienced good fortune.","Fortunate to hatch before being eaten by lizards. Unfortunate to fall from its nest before learning to fly. Fortunate to land in an empty treasure coffer. Unfortunate to still be in said coffer as it is filled with booty and locked up again.\nFortunate to be\nplundered...by you.","The disbelieving cries\nof our foe will be as\nthe sweetest birdsong.\n  - Yadovv Gah",434,80,30,0,0,0,2,2,8,10,true,true,false,true,0,false,true,4516,10,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
17,"wide-eyed fawn",0,"wide-eyed fawns",0,0,1,0,0,"Summon your wide-eyed fawn minion. His mother was either lost in a terrible hunting accident...or perhaps is just lost.","An easy target for Eorzea's carnivorous fauna, antelopes must use every advantage they have to remain free from death's dripping jaws. One of those is the remarkable ability to run mere minutes from birth. Unfortunately, that\ntrait did not save this\nspecimen from capture.","When making an offering\nof antelope innards, it is\nproper they are still warm.\n  - Common Knowledge",435,100,30,0,0,30,2,0,8,11,true,false,false,true,0,false,true,4517,11,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
18,"infant imp",0,"infant imps",0,1,1,0,0,"Summon your infant imp minion. Hopes that one day, he will rule the seven hells. But for now, your backside will do.","Scholars believe there are three ways in which voidsent can make the journey from their realm to ours─tearing a hole in the aether on their side, having a hole torn for them on our side, or stumbling into a randomly occurring\nhole, the latter being the\nmost common for imps.","This bastard's got\nsome nasty spells!\n  - Stalwart Swordsman",436,100,30,0,0,0,2,0,8,12,true,false,false,true,0,false,true,4518,29,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
19,"coeurl kitten",0,"coeurl kittens",0,0,1,0,0,"Summon your coeurl kitten minion. It will still be several summers before his trademark whiskers grow out.","Coeurls are extremely proud and defiant creatures, even when young. Faced with insurmountable odds, a coeurl will rarely shy away from a fight, choosing rather to perish in combat than run. This characteristic keeps coeurl numbers low,\nbut ensures the strength\nof those who survive.","Coeurl got your tongue?\n  - Wilred",437,85,10,10,0,0,2,0,8,13,true,true,false,true,35,true,true,4552,13,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
20,"black coeurl",0,"black coeurls",0,0,1,0,0,"Summon your black coeurl minion. Beware, for if one should cross your path, you will experience seven years of...AWWWWWW.","To the untrained eye, this coeurl appears to be of an entirely new species, when in fact the only thing separating him from his mottled brethren is that his spots are so large, they overlap with one another, rendering him completely\nblack.","Look what the\ncoeurl dragged in.\n  - Momodi",438,75,10,10,0,0,2,0,8,13,true,true,false,true,35,true,true,4614,13,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
21,"wind-up gentleman",0,"wind-up gentlemen",0,0,1,0,0,"Summon your wind-up gentleman minion. If “clockwork Hildibrand” doesn't quite roll off the tongue, both “minion of enquiry” and “mammet extraordinaire” are acceptable alternatives.","Though he has once more taken to the heavens in a selfless act of sacrifice, Inspector Hildibrand lives on in the hearts of all whose lives he touched with his inimitable brand of gallantry, perception, and panache. Wind him up and\nlet him follow you as\nonly a Manderville can.","I have peeled away the\nfoul scab of uncertainty\nto reveal the truth within!\n  - Hildibrand",882,100,10,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4615,268,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
22,"gravel golem",0,"gravel golems",0,0,1,0,0,"Summon your gravel golem minion. Only you stand between it and a hard place.","Mage-controlled golems were in such wide use by the end of the Fifth Astral Era that entire battles were waged by armies comprised of nothing but the lifeless soulkin. This recreation, however, is nothing but a standard model #001\nmammet outfitted with\nsimple gravel plating.","Gummice pollums? I fear\nI'm not familiar with them.\n  - Yhom Epocan",440,100,30,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4519,202,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
23,"wind-up tonberry",0,"wind-up tonberries",0,0,1,0,0,"Summon your wind-up tonberry minion. Now with 100% less rancor.","While merely a clockwork toy crafted to resemble the twisted survivors of Nym, owners of similar creations claim waking to find their wind-up tonberries propped upon their chests, wooden knives pressed firmly against their throats.","I came expectin' to fight\none tonberry, not a whole\nbloody mess of 'em.\n  - Soft Marauder",441,100,30,0,0,0,1,0,8,0,false,false,false,false,0,true,true,4553,203,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
24,"tiny tortoise",0,"tiny tortoises",0,0,1,0,0,"Summon your tiny tortoise minion. Will not carry you to an underwater kingdom if you ride on its back.","Hatched from an egg laid in the ivory sands of La Noscea's Salt Strand, if lucky, this baby adamantoise may live to see as many as ten score summers...that is, if it does not accidentally launch itself off a cliff with its constant spinning.","What is that foul stench!?\nIt's like the inside of an\nadamantoise's arse!\n  -  Wood Wailer Sentry",442,100,30,0,0,0,2,0,8,18,true,false,false,true,0,false,true,4520,18,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
25,"baby raptor",0,"baby raptors",0,0,1,0,0,"Summon your baby raptor minion. Luckily for you, his teeth haven't all grown in...yet.","Taking a hint from goblin merchants who raise raptors to serve as beasts of burden, a shopkeep from the village of Boughbury has begun hatching raptor eggs of his own (stolen from nearby nests). One can only hope the mother raptors\nare not as clever as the\nshopkeep thinks <i>he</i> is.","By the gods...\nThis raptor is sublime!\n  - Nonopesa",443,100,30,0,0,0,2,0,8,19,true,false,false,true,0,false,true,4521,11,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
26,"baby bat",0,"baby bats",0,0,1,0,0,"Summon your baby bat minion. Has yet to acquire a taste for blood.","Nonoroon, resident junkmonger at Memeroon's Trading Post, came up with the idea for capturing and selling baby bats one day while raiding caves for bat eggs...of which he could not find any.","Even ate a wing off one\nafore I made up my mind\nto climb down the wall.\n  - Ahldfoet",444,100,30,0,0,0,2,0,8,20,true,false,false,false,0,false,true,4522,20,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
27,"tiny bulb",0,"tiny bulbs",0,0,1,0,0,"Summon your tiny bulb minion. Some questions, such as why this bulb can walk, are best left unanswered.","To answer the question, “why can this bulb walk,” one must trace the seedkin's evolution back thousands of generations. Since this guide lacks the space to do so, let us simply say it has something to do with seeking sunlight under the eternal\ndarkness of the Black\nShroud's thick canopy.","Each sapling is another\nglimpse into the wonder\nof the world around us.\n  - Fufucha",445,100,30,0,0,0,2,0,8,21,true,false,false,false,0,false,true,4523,21,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
28,"dust bunny",0,"dust bunnies",0,0,1,0,0,"Summon your dust bunny minion. Despite the striking similarities, spriggans are not related to rabbits. But they have been known to eat them.","It is not fully known why spriggans hoard precious rocks and minerals, though scholars would have us believe that it is the rocks and minerals which are hoarding the spriggans, hence the creatures' scientific classification as\nsoulkin.","Between the four of us,\nsurely we can outsmart\na few rogue spriggans.\n  - Augustiniel",446,100,10,0,0,30,2,0,8,22,true,false,true,false,0,false,true,4524,22,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
29,"wind-up dullahan",0,"wind-up dullahans",0,0,1,0,0,"Summon your wind-up dullahan minion. Warning: may contain sharp parts.","Voidsent dullahan are, in fact, shapeless entities who must first inhabit an inanimate host (such as a suit of armor) before gaining the ability to exert force upon the physical plane in which we reside. Luckily, the only things inhabiting this\nwind-up contraption are\nmanifold gears and rods. ","Pray retrieve the gift ere\nit is crushed beneath the\niron feet of the dullahans!\n  - G'raha Tia",447,100,30,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4525,204,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
30,"gigantpole",0,"gigantpoles",0,0,1,0,0,"Summon your gigantpole minion. Yes, it can survive for hours on end without any water, and yes, it can fly. Your argument is invalid.","Over countless generations, the gigantoads of Thanalan have adapted to the arid climes by taking on traits not seen in their cousins to the north, such as thick membranes to keep their skin hydrated out of water, and a set of extra fins\nwhich act as wings to\npropel them over land.","These toads are huge,\nwhich means they have\nhuge guts.\n  - Hamon",448,100,30,0,0,0,2,0,8,24,true,false,false,false,0,false,true,4526,24,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
31,"pudgy puk",0,"pudgy puks",0,0,1,0,0,"Summon your pudgy puk minion. Don't ask what it has eaten to grow so plump.","Fattened from birth to be a succulent snack for the sadistic Steropes, this fledgling puk's excess baggage ensures that even if he attempts to flee, he will not be getting that far.","Ul'dah ain't more'n a\nsand-crusted pile o' puk\ndung bakin' in the desert.\n  - Baderon Tenfingers",449,100,30,0,0,0,2,0,8,25,true,false,false,true,0,false,true,4527,25,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
32,"buffalo calf",0,"buffalo calves",0,0,1,0,0,"Summon your buffalo calf minion. Milk-fed until tender and juicy. Not that anyone would <i>ever</i> think of eating him.","When the Scions of the Seventh Dawn began clearing out the Waking Sands in preparation for the move to Revenant's Toll, this wide-eyed calf was discovered hiding in a disused linen closet. Though an inquiry was made by the Antecedent\nherself, it is still not known\nwho was keeping the beast.","I made the grievous error\nof visiting a great buffalo\nwith a handsaw.\n  - Godbert",450,100,30,0,0,0,2,0,8,26,true,true,false,true,0,false,true,4528,26,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
33,"cactuar cutting",0,"cactuar cuttings",0,0,1,0,0,"Summon your cactuar cutting minion. Take care not to suffer 1,000 points of damage...to your heart.","Hab, loneliest zombie in the realm, is certain that this cactuar cutting was taken from his trusty companion Sabotendrick. Or if not, then most positively Sabotendred. What he does not know, is that it is, in fact, from the oft forgotten\nSabotendale.","The interior of its arm\nholds a surprising amount\nof fresh, drinkable water.\n  - Common Knowledge",451,100,20,0,0,20,2,0,3,27,true,true,false,false,0,false,true,4529,27,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
34,"smallshell",0,"smallshells",0,0,1,0,0,"Summon your smallshell minion. The mere sight of this wee wavekin may cause severe psychological trauma to those who spent years of their lives on faraway shores culling his relatives.","As is implied by its name, the smallshell's shell is small. What is not widely known is that unlike normal crabs whose shells grow thicker and, hence, larger as the crabs age, smallshell carapaces actually reduce in size due to erosion over the\nwavekin's lifespan, until\nnothing is left but legs.","Got naught but a sea\nlion's share of crab offal\n'twixt them ears, I reckon.\n  - Ighii Moui",452,100,30,0,0,0,2,0,8,28,true,true,false,false,0,false,true,4530,28,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
35,"wolf pup",0,"wolf pups",0,0,1,0,0,"Summon your wolf pup minion. Idolizes one Gaius van Baelsar for obvious reasons.","Bred to serve as a war wolf in the Imperial Garlean Army, this pup was rescued before any permanent damage could be done to its playful spirit. He will follow you to the end of the world and back...as\nlong as you toss him an\noccasional biscuit. ","I've got no words to mince\nwith whelps...unless you're\nhere to become a wolf.\n  - Curious Gorge",453,100,10,10,0,0,2,0,8,29,true,true,true,true,19,true,true,4550,12,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
36,"beady eye",0,"beady eyes",0,0,1,0,0,"Summon your beady eye minion. That feeling you get sometimes that you are being watched? More often than not it is him.","One of the most outlandish theories recently posed by scholars of the void is that ahrimans do not reproduce by typical sexual means, but rather by shedding tears which eventually grow into new creatures.","Black scorpion to sharpen\none's wit; ahriman\nmembrane for the mind.\n  - Severian",454,100,30,0,0,0,2,0,8,30,true,false,true,true,0,false,true,4531,30,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
37,"fledgling dodo",0,"fledgling dodos",0,0,1,0,0,"Summon your fledgling dodo minion. Properly trained not to eructate, regurgitate, expectorate, or flatulate.","Dodos mature extremely fast, going from fledgling to full-grown fryer in but a few short moons. This, coupled with the fact an adult female can lay up to seven eggs a sennight, makes this particular cloudkin the perfect option for\nfeeding the hungry masses.\n","Lightning Drools over the\nBismarck's Delightful\nGrilled Dodo!\n  - The Harbor Herald",455,100,30,0,0,30,2,0,8,31,true,false,false,true,0,false,true,4532,31,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
38,"coblyn larva",0,"coblyn larvae",0,0,1,0,0,"Summon your coblyn larva minion. Too dangerous to allow to grow any larger...too adorable to condemn to the furnace.","Coblyns will lay their eggs near ore deposits so that when the larvae emerge, they will have a ready supply of nourishment to form their protective outer carapaces. This is a slow process which involves dousing the ore in digestive\nfluid, waiting for it to clarify,\nthen ingesting the ooze.","The lads go through gear\nfaster'n a coblyn chewin'\non a chunk of mythril.\n  - Wawarukka",456,100,30,0,0,0,2,0,8,32,true,false,false,false,0,false,true,4533,32,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
39,"wind-up aldgoat",0,"wind-up aldgoats",0,0,1,0,0,"Summon your wind-up aldgoat. No aldgoats were harmed in the making of this automaton.","While in Ishgardian folklore the aldgoat is used to represent greed and gluttony, the Dunesfolk believe the insatiable creatures are a symbol of wealth and prosperity, and will present aldgoat fetishes to families with newborn\nchildren.","A nice big aldgoat steak\nshould put some color\nback in 'er cheeks.\n  - Lyngsath",457,85,30,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4534,205,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
40,"fledgling apkallu",0,"fledgling apkallus",0,0,1,0,0,"Summon your fledgling apkallu minion. Will follow you until you give him a fish. Will continue to follow you after being given a fish.","While the hatchlings of other flightless cloudkin have been observed covered in a dull brown coat of down when they emerge from their eggs, apkallus enter the world covered in the same vivid green plumage they will bear for their entire\nlives.","Nesting hens do not spear\na failed egg thief a score\nand a half times.\n  - Frandelont Raimdelle",458,100,30,0,0,0,2,0,8,34,true,true,false,true,0,false,true,4535,34,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
41,"goobbue sproutling",0,"goobbue sproutlings",0,0,1,0,0,"Summon your goobbue sproutling minion. Has been known to attack kittens for no apparent reason.","To achieve their cyclopean size, goobbues must maintain a daily diet of several times their own weight. Luckily, the seedkin are not finicky eaters, and will consume almost anything that cannot outrun them. If rumors are to be\nbelieved, this includes\nLalafells.","These goobbues are wont\nto devour anything and\neverything.\n  - Aileen",459,100,10,0,0,0,2,0,8,35,true,false,false,false,0,false,true,4536,35,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
42,"bite-sized pudding",0,"bite-sized puddings",0,0,1,0,0,"Summon your bite-sized pudding minion. Not intended for consumption.","Unable to reproduce, puddings increase their number solely via mitosis. Because of this, it is widely believed that all Eorzea's puddings descended from a single entity─a proto-pudding, if you will. This, however, leaves us with the question:\nwhence did the first\npudding come?","A talking...pudding?\n  - You",460,100,30,0,0,0,2,0,8,36,true,false,true,false,0,false,true,4537,36,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
43,"model vanguard",0,"model vanguards",0,0,1,0,0,"Summon your model vanguard minion. An exact 1:9 scale replica of a ceruleum-powered magitek vanguard (imperial pilot action figure not included).","Part of the Guildmaster Series, this high-quality replica is so exact in its rendition of the vanguard's build that Garlemald has banned the item's import into the empire's outlying provinces, for fear the data gleaned from it will be used by rebel\nforces still active in these\nlands.","I'd sooner face a vanguard\nwhile naked as my\nnameday!\n  - Flame Private",461,100,30,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4538,221,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
44,"demon brick",0,"demon bricks",0,0,1,0,0,"Summon your demon brick minion. We are all better off not knowing what arcane magicks animate this ordinary stone block.","For many years, modern archaeologists did not understand how a seemingly primitive civilization without clockwork or steam technology could build the massive stone structures of Amdapor. Animated bricks, such as the one that\nhas chosen to follow you,\nmay be the missing link.","Underneath this gear, I'm\nbuilt like a brick privy!\n  - Chachabi",462,100,10,0,0,30,2,0,8,38,true,false,true,false,0,false,true,4539,38,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
45,"mini mole",0,"mini moles",0,0,1,0,0,"Summon your mini mole minion. When not dining on a protein-rich diet of earthworms and grubs, he dreams of making mountains.","Snatched from its hill while still young by infamous naturalist Marcette Manne, this poor creature has suffered countless experiments filled with endless pokings, proddings, potations, and panaceas. Compared to that, following\nan adventurer around all\nday is a veritable vacation.","Hear me, you mole\nbastards? I am steel!\n  - Eager Red Swallow",463,100,30,0,0,0,2,0,8,39,true,false,false,true,0,false,true,4540,39,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
46,"tender lamb",0,"tender lambs",0,0,1,0,0,"Summon your tender lamb minion. Mint jelly optional.","As if predestined, your path crossed with that of the tender lamb's after she was brought to Eorzea from the dark reaches of the Far East by a hitsuji bugyo. Since then, you have been inseparable, the fluffy ball\nof fleece following your\nevery footstep. ","But everywhere the little\nlambs went, lice were sure\nto go.\n  - Chartain",464,100,30,0,0,0,2,0,10,40,true,true,false,true,0,false,true,4541,70,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
47,"slime puddle",0,"slime puddles",0,0,1,0,0,"Summon your slime puddle minion. Fun for the whole family.","Once stepped upon, slime can be nigh on impossible to remove from the soles of boots, making the shapeless creatures a nuisance to those who mine the mountains in which slimes reside. The <i>Encyclopedia Eorzea</i> recommends a\nsqueeze of sun lemon to\nloosen their stony grip.","Silence the slimes, lest\nyou succumb to the\nflames.\n  - Ancient Proverb",465,100,30,0,0,0,2,0,8,41,true,false,true,false,0,false,true,4551,41,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
48,"kidragora",0,"kidragoras",0,0,1,0,0,"Summon your kidragora minion. Even in space, everyone can hear this seedkin scream.","One must take care when harvesting mandragoras, for if the roots are disturbed they will emit a high-pitched scream powerful enough to shatter glass over a malm away.","While little is known about\nthem, what is known\ntends to be disturbing.\n  - Eorzean Naturalist",466,90,20,0,30,0,2,0,8,42,true,true,false,true,0,false,true,4542,42,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
