Index,0 [0x0][0x0],1 [0x6][0x8],2 [0x6][0xc],3 [0x6][0x10],4 [0x6][0x14],5 [0x6][0x18],6 [0x6][0x1c],7 [0x6][0x20],8 [0x6][0x24],9 [0x3][0x32],10 [0x3][0x33],11 [0x19][0x35],12 [0x1a][0x35],13 [0x1b][0x35],14 [0x1c][0x35],15 [0x3][0x34],16 [0x6][0x28],17 [0x5][0x2c],18 [0x5][0x2e],19 [0x5][0x30],20 [0x7][0x4]
29,"称賛する",723,0,0,636,749,749,0,0,1,0,false,true,false,false,43,430,64029,128,228,0
30,"活を入れる",724,0,0,0,0,0,0,0,1,0,false,true,false,false,28,431,64030,129,229,0
31,"敬礼する",725,0,0,0,750,750,0,0,1,0,false,true,false,false,6,432,64031,130,230,0
32,"動転する",729,0,0,0,751,751,0,0,1,0,false,true,false,false,71,433,64032,131,231,0
33,"肩をすくめる",730,0,0,0,752,752,0,0,1,0,false,true,false,false,72,434,64033,132,232,0
34,"励ます",731,0,0,0,0,0,0,0,1,0,false,true,false,false,24,435,64034,133,233,0
35,"なだめる",732,0,0,0,753,753,0,0,1,0,false,true,false,false,25,436,64035,134,234,0
36,"よろめく",733,0,0,0,0,0,0,0,1,0,false,true,false,false,73,437,64036,135,235,0
37,"伸びをする",734,0,0,0,588,588,0,0,1,0,false,true,false,false,100,438,64037,136,236,0
38,"すねる",735,0,0,0,0,0,0,0,1,0,false,true,false,false,68,439,64038,137,237,0
39,"考える",736,0,0,669,589,589,0,0,1,0,false,true,false,false,94,440,64039,138,238,0
40,"がっかりする",737,0,0,670,590,590,0,0,1,0,false,true,false,false,66,441,64040,139,239,0
41,"歓迎する",738,0,0,0,591,591,0,0,1,0,false,true,false,false,2,442,64041,140,240,0
42,"うなずく",739,0,0,671,671,671,0,0,1,0,false,true,false,false,40,443,64042,141,241,0
43,"肯定する",740,0,0,672,592,592,0,0,1,0,false,true,false,false,41,444,64043,142,242,0
44,"自分を見る",714,0,0,0,744,744,0,0,1,0,false,true,false,false,95,445,64044,143,243,0
45,"ポーズをとる",722,0,0,0,0,0,0,0,1,0,false,true,false,false,90,446,64045,144,244,0
46,"投げキッス",692,0,0,0,0,0,0,0,1,0,false,true,false,false,30,447,64049,148,248,0
47,"土下座",701,0,0,0,0,0,0,0,1,0,false,true,false,false,76,448,64051,150,250,0
48,"すごく喜ぶ",709,0,0,0,684,684,0,0,1,0,false,true,false,false,23,449,64052,151,251,0
49,"すごくがっかりする",718,0,0,668,747,747,0,0,1,0,false,true,false,false,67,450,64053,152,252,0
50,"座る",654,653,0,0,0,0,0,0,2,1,false,false,true,false,96,451,64054,0,0,0
51,"立ち上がる",655,0,0,655,0,0,0,0,2,1,true,false,false,false,0,0,64054,0,0,0
52,"座る",643,642,0,0,0,0,0,0,2,2,false,false,false,false,0,0,64054,0,0,0
53,"立ち上がる",644,0,0,0,644,0,0,0,2,2,true,false,false,false,0,0,64054,0,0,0
54,"引用",688,0,0,0,673,673,0,0,1,0,false,true,false,false,102,455,64063,0,0,0
55,"黒渦団・敬礼",726,0,0,0,0,0,0,0,1,0,false,true,false,false,7,456,64046,145,245,0
56,"双蛇党・敬礼",727,0,0,0,0,0,0,0,1,0,false,true,false,false,7,457,64047,146,246,0
57,"不滅隊・敬礼",728,0,0,0,0,0,0,0,1,0,false,true,false,false,7,458,64048,147,247,0
58,"祈る",742,0,0,0,0,0,0,0,1,0,false,true,false,false,29,459,64064,178,278,0
59,"帝国式敬礼",587,0,0,0,0,0,0,0,1,0,false,true,false,false,8,460,64066,179,279,23
60,"頭装備の開閉",0,0,0,0,0,0,0,0,2,0,false,false,false,false,255,461,64065,0,0,0
61,"頭装備の開閉",0,0,0,0,0,0,0,0,2,0,false,false,false,false,255,0,64065,0,0,0
62,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
63,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
64,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
65,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
66,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
67,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
68,"表情：素顔",604,0,0,0,0,0,0,0,3,0,false,false,false,false,200,469,64101,161,261,0
69,"表情：微笑",605,0,0,0,0,0,0,0,3,0,false,false,false,false,201,470,64102,162,262,0
70,"表情：笑顔",606,0,0,0,0,0,0,0,3,0,false,false,false,false,202,471,64103,163,263,0
71,"表情：自信",607,0,0,0,0,0,0,0,3,0,false,false,false,false,203,472,64104,164,264,0
72,"表情：不敵",608,0,0,0,0,0,0,0,3,0,false,false,false,false,204,473,64105,165,265,0
73,"表情：瞑目",611,0,0,0,0,0,0,0,3,0,false,false,false,false,205,474,64106,166,266,0
74,"表情：泣き顔",612,0,0,0,0,0,0,0,3,0,false,false,false,false,206,475,64107,167,267,0
75,"表情：恐怖",614,0,0,0,0,0,0,0,3,0,false,false,false,false,207,476,64108,168,268,0
76,"表情：呆然",615,0,0,0,0,0,0,0,3,0,false,false,false,false,208,477,64109,169,269,0
77,"表情：激痛",616,0,0,0,0,0,0,0,3,0,false,false,false,false,209,478,64110,170,270,0
78,"表情：不機嫌",617,0,0,0,0,0,0,0,3,0,false,false,false,false,210,479,64111,171,271,0
79,"表情：感知",619,0,0,0,0,0,0,0,3,0,false,false,false,false,211,480,64112,172,272,0
80,"表情：心配",620,0,0,0,0,0,0,0,3,0,false,false,false,false,212,481,64113,173,273,0
81,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
82,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
83,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
84,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
85,"投げる",641,0,0,0,0,0,0,0,1,0,false,true,false,false,92,486,64050,180,280,24
86,"雪玉を投げる",743,0,0,0,0,0,0,0,1,0,false,true,false,false,0,0,64050,149,249,24
87,"雪玉を投げる",640,0,0,0,0,0,0,0,1,0,false,false,false,false,0,0,64050,149,249,24
88,"寝る",585,584,0,0,0,0,0,0,2,3,false,false,false,false,0,0,64054,0,0,0
89,"",586,0,0,0,0,0,586,0,2,3,true,false,false,false,0,0,64054,0,0,0
90,"ポーズを変える",0,0,0,0,0,0,0,0,2,0,false,false,false,false,254,491,64068,0,0,0
91,"",3124,3123,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
92,"",3126,3125,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
93,"",3128,3127,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
94,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
95,"",3132,3131,0,0,3132,0,0,0,4,2,false,false,false,false,0,0,0,0,0,0
96,"",3134,3133,0,0,3134,0,0,0,4,2,false,false,false,false,0,0,0,0,0,0
97,"",3136,3135,0,3136,0,0,0,0,4,1,false,false,false,false,0,0,0,0,0,0
98,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
99,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
100,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
101,"ステップダンス",570,569,0,0,0,0,0,0,2,4,false,true,false,true,32,502,64069,182,282,27
102,"豊穣の舞",572,571,0,0,0,0,0,0,2,5,false,true,false,true,33,503,64070,183,283,28
103,"宮廷の舞",574,573,0,0,0,0,0,0,2,6,false,true,false,true,34,504,64071,184,284,29
104,"紳士の舞",576,575,0,0,0,0,0,0,2,7,false,true,false,true,35,505,64072,185,285,30
105,"なでる",3177,0,0,0,3179,3179,0,3174,1,0,false,true,false,false,48,506,64067,186,286,0
106,"わたす",3178,0,0,0,3180,3180,0,3176,1,0,false,true,false,false,93,507,64073,187,287,0
107,"",3182,3181,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
108,"",3184,3183,0,0,0,0,0,0,4,0,false,false,false,false,0,0,0,0,0,0
109,"ボム踊り",3188,3187,0,0,0,0,0,0,2,8,false,true,false,true,36,510,64074,189,288,98
110,"勝ちどき",741,0,0,0,0,0,0,0,1,0,false,true,false,false,45,511,64075,190,289,225
111,"平手打ち",3752,0,0,0,3755,3755,0,3758,1,0,false,true,false,false,77,512,64076,191,290,0
112,"ハグ",3753,0,0,0,3756,3756,0,3759,1,0,false,true,false,false,46,513,64077,192,291,0
113,"抱き合う",3754,0,0,0,3757,3757,0,3760,1,0,false,true,false,false,47,514,64078,193,292,229
114,"事件屋の決めポーズ",3764,3763,0,0,0,0,0,0,2,9,false,true,false,true,37,515,64079,194,293,244
115,"拳を突き出す",3766,0,0,0,3767,3767,0,3768,1,0,false,true,false,false,49,516,64080,195,294,259
