Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x2c],3 [0x5][0x2e],4 [0x5][0x30],5 [0x2][0x35],6 [0x3][0x32],7 [0x3][0x33],8 [0x7][0x8],9 [0x19][0x36],10 [0x3][0x34],11 [0x6][0xc],12 [0x6][0x10],13 [0x6][0x14],14 [0x6][0x18],15 [0x6][0x1c],16 [0x6][0x20],17 [0x6][0x24],18 [0x6][0x28]
100016,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %",240,247,1552,9,10,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100017,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1557,9,10,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100018,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 125 %\nErfolgswahrscheinlichkeit: 80 %",240,247,1566,9,10,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100019,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1570,9,10,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100020,"Zeichen des Feuers","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 % (bei feuerbasiertem Rezept 200 %)\nErfolgswahrscheinlichkeit: 90 %",239,246,1559,9,33,37,0,false,6,100020,100020,100020,100020,100020,100020,100020,100020
100021,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1565,9,10,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100022,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",240,247,1567,9,10,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100023,"Beobachten","Wartet für einen Arbeitsschritt ab.",242,249,1568,9,10,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100024,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100025,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100026,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100027,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100028,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100029,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100030,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1601,10,11,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100031,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %",240,247,1602,10,11,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100032,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1607,10,11,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100033,"Schnelle Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 250 %\nErfolgswahrscheinlichkeit: 50 %",241,248,1619,10,33,15,0,false,0,100033,100033,100033,100033,100033,100033,100033,100033
100034,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 125 %\nErfolgswahrscheinlichkeit: 80 %",240,247,1616,10,11,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100035,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1621,10,11,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100036,"Zeichen des Eises","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 % (bei eisbasiertem Rezept 200 %)\nErfolgswahrscheinlichkeit: 90 %",239,246,1609,10,33,37,0,false,6,100036,100036,100036,100036,100036,100036,100036,100036
100037,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1615,10,11,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100038,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",240,247,1617,10,11,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100039,"Stück für Stück","Die Arbeit schreitet um etwa ein Drittel des verbliebenen Fortschritts fort, dafür sinkt die Belastbarkeit.\nErfolgswahrscheinlichkeit: 90 %",239,246,1622,10,33,50,0,false,15,100039,100039,100039,100039,100039,100039,100039,100039
100040,"Beobachten","Wartet für einen Arbeitsschritt ab.",242,249,1618,10,11,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100041,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100042,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100043,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100044,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100045,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1701,12,13,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100046,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %",240,247,1702,12,13,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100047,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1707,12,13,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100048,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 125 %\nErfolgswahrscheinlichkeit: 80 %",240,247,1716,12,13,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100049,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1720,12,13,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100050,"Zeichen der Erde","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 % (bei erdbasiertem Rezept 200 %)\nErfolgswahrscheinlichkeit: 90 %",239,246,1709,12,33,37,0,false,6,100050,100050,100050,100050,100050,100050,100050,100050
100051,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1715,12,13,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100052,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",240,247,1717,12,13,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100053,"Beobachten","Wartet für einen Arbeitsschritt ab.",242,249,1718,12,13,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100054,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100055,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100056,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100057,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100058,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100059,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100060,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1751,13,14,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100061,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %",240,247,1752,13,14,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100062,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1757,13,14,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100063,"Sorgfältige Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 90 %\nErfolgswahrscheinlichkeit: 100 %",240,247,1768,13,33,15,0,false,0,100063,100063,100063,100063,100063,100063,100063,100063
100064,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 125 %\nErfolgswahrscheinlichkeit: 80 %",240,247,1765,13,14,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100065,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1770,13,14,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100066,"Zeichen des Blitzes","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 % (bei blitzbasiertem Rezept 200 %)\nErfolgswahrscheinlichkeit: 90 %",239,246,1758,13,33,37,0,false,6,100066,100066,100066,100066,100066,100066,100066,100066
100067,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1764,13,14,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100068,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",240,247,1766,13,14,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100069,"Sorgfältige Bearbeitung II","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 120 %\nErfolgswahrscheinlichkeit: 100 %",240,247,1771,13,33,50,0,false,0,100069,100069,100069,100069,100069,100069,100069,100069
100070,"Beobachten","Wartet für einen Arbeitsschritt ab.",242,249,1767,13,14,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100071,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100072,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100073,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100074,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100075,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1651,11,12,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100076,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %",240,247,1652,11,12,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100077,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1657,11,12,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100078,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 125 %\nErfolgswahrscheinlichkeit: 80 %",240,247,1665,11,12,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100079,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1670,11,12,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100080,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1664,11,12,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100081,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",240,247,1666,11,12,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100082,"Beobachten","Wartet für einen Arbeitsschritt ab.",242,249,1667,11,12,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100083,"Makellose Bearbeitung","Die Arbeit schreitet um 40 Einheiten fort, dafür sinkt die Belastbarkeit.\nErfolgswahrscheinlichkeit: 90 %",239,246,1673,11,33,37,0,false,15,100083,100083,100083,100083,100083,100083,100083,100083
100084,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100085,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100086,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100087,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100088,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100089,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100090,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1801,14,15,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100091,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %",240,247,1802,14,15,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100092,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1807,14,15,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100093,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 125 %\nErfolgswahrscheinlichkeit: 80 %",240,247,1816,14,15,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100094,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1821,14,15,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100095,"Zeichen des Wassers","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 % (bei wasserbasiertem Rezept 200 %)\nErfolgswahrscheinlichkeit: 90 %",239,246,1809,14,33,37,0,false,6,100095,100095,100095,100095,100095,100095,100095,100095
100096,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1815,14,15,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100097,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",240,247,1817,14,15,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100098,"Kunstgriff","Stellt 20 HP wieder her. Kann nur eingesetzt werden, wenn der Zustand des Materials mindestens „Gut“ ist.",242,249,1819,14,33,15,0,false,0,100098,100098,100098,100098,100098,100098,100098,100098
100099,"Beobachten","Wartet für einen Arbeitsschritt ab.",242,249,1818,14,15,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100100,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100101,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100102,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100103,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100104,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100105,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1851,15,16,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100106,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %",240,247,1852,15,16,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100107,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1857,15,16,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100108,"Hastige Veredelung","Die Qualität wird erhöht, aber keine HP verbraucht.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 50 %",241,248,1868,15,33,15,0,false,0,100108,100108,100108,100108,100108,100108,100108,100108
100109,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 125 %\nErfolgswahrscheinlichkeit: 80 %",240,247,1865,15,16,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100110,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1870,15,16,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100111,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1864,15,16,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100112,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",240,247,1866,15,16,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100113,"Beobachten","Wartet für einen Arbeitsschritt ab.",242,249,1867,15,16,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100114,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100115,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100116,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100117,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100118,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100119,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100120,"Byregots Schwung","Die Qualität wird erhöht.\nEffizienz: 150 % (+ pro Status „Innere Ruhe“ weitere\n10 %, wobei „Innere Ruhe“ durch dieses Kommando beendet wird)\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>",240,247,1523,8,9,51,0,false,18,100120,100121,100122,100123,100124,100125,100126,100127
100121,"Byregots Schwung","Die Qualität wird erhöht.\nEffizienz: 150 % (+ pro Status „Innere Ruhe“ weitere\n10 %, wobei „Innere Ruhe“ durch dieses Kommando beendet wird)\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>",240,247,1573,9,10,51,0,false,18,100120,100121,100122,100123,100124,100125,100126,100127
100122,"Byregots Schwung","Die Qualität wird erhöht.\nEffizienz: 150 % (+ pro Status „Innere Ruhe“ weitere\n10 %, wobei „Innere Ruhe“ durch dieses Kommando beendet wird)\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>",240,247,1624,10,11,51,0,false,18,100120,100121,100122,100123,100124,100125,100126,100127
100123,"Byregots Schwung","Die Qualität wird erhöht.\nEffizienz: 150 % (+ pro Status „Innere Ruhe“ weitere\n10 %, wobei „Innere Ruhe“ durch dieses Kommando beendet wird)\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>",240,247,1675,11,12,51,0,false,18,100120,100121,100122,100123,100124,100125,100126,100127
100124,"Byregots Schwung","Die Qualität wird erhöht.\nEffizienz: 150 % (+ pro Status „Innere Ruhe“ weitere\n10 %, wobei „Innere Ruhe“ durch dieses Kommando beendet wird)\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>",240,247,1723,12,13,51,0,false,18,100120,100121,100122,100123,100124,100125,100126,100127
100125,"Byregots Schwung","Die Qualität wird erhöht.\nEffizienz: 150 % (+ pro Status „Innere Ruhe“ weitere\n10 %, wobei „Innere Ruhe“ durch dieses Kommando beendet wird)\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>",240,247,1773,13,14,51,0,false,18,100120,100121,100122,100123,100124,100125,100126,100127
100126,"Byregots Schwung","Die Qualität wird erhöht.\nEffizienz: 150 % (+ pro Status „Innere Ruhe“ weitere\n10 %, wobei „Innere Ruhe“ durch dieses Kommando beendet wird)\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>",240,247,1824,14,15,51,0,false,18,100120,100121,100122,100123,100124,100125,100126,100127
100127,"Byregots Schwung","Die Qualität wird erhöht.\nEffizienz: 150 % (+ pro Status „Innere Ruhe“ weitere\n10 %, wobei „Innere Ruhe“ durch dieses Kommando beendet wird)\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>",240,247,1874,15,16,51,0,false,18,100120,100121,100122,100123,100124,100125,100126,100127
100128,"Präzise Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>\nZusatzeffekt: + 1 Status „Innere Ruhe“ (max. 11).",240,247,1524,8,9,53,0,false,18,100128,100129,100130,100131,100132,100133,100134,100135
100129,"Präzise Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>\nZusatzeffekt: + 1 Status „Innere Ruhe“ (max. 11).",240,247,1574,9,10,53,0,false,18,100128,100129,100130,100131,100132,100133,100134,100135
100130,"Präzise Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>\nZusatzeffekt: + 1 Status „Innere Ruhe“ (max. 11).",240,247,1625,10,11,53,0,false,18,100128,100129,100130,100131,100132,100133,100134,100135
100131,"Präzise Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>\nZusatzeffekt: + 1 Status „Innere Ruhe“ (max. 11).",240,247,1676,11,12,53,0,false,18,100128,100129,100130,100131,100132,100133,100134,100135
100132,"Präzise Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>\nZusatzeffekt: + 1 Status „Innere Ruhe“ (max. 11).",240,247,1724,12,13,53,0,false,18,100128,100129,100130,100131,100132,100133,100134,100135
100133,"Präzise Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>\nZusatzeffekt: + 1 Status „Innere Ruhe“ (max. 11).",240,247,1774,13,14,53,0,false,18,100128,100129,100130,100131,100132,100133,100134,100135
100134,"Präzise Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %\n<color #FF7B1A>Nur einsetzbar, wenn der Materialzustand mindestens „Gut“ ist.</color>\nZusatzeffekt: + 1 Status „Innere Ruhe“ (max. 11).",240,247,1825,14,15,53,0,false,18,100128,100129,100130,100131,100132,100133,100134,100135
