Index,0 [0x6][0x8],1 [0x6][0xc],2 [0x7][0x0],3 [0x7][0x4],4 [0x6][0x10]
195,9366,9,9,2250,1
196,9369,9,9,2250,1
197,9371,9,9,2250,1
198,9372,9,9,2250,1
199,6170,9,1,20000,1
200,7799,9,1,48000,1
201,7095,9,1,19150,1
202,7133,9,1,10950,1
203,7143,9,1,10950,1
204,6600,9,1,14470,1
205,9539,9,1,20000,1
206,10124,9,1,4000,1
207,10112,9,1,600,1
208,10113,9,1,600,1
209,10114,9,1,600,1
210,10115,9,1,600,1
211,10116,9,1,600,1
212,10117,9,1,600,1
213,10118,9,1,600,1
214,10119,9,1,600,1
215,10120,9,1,600,1
216,10121,9,1,600,1
217,10122,9,1,600,1
218,0,0,1,0,0
219,0,0,1,0,0
220,1618,1,1,1060,2
221,1690,1,1,1060,2
222,1760,1,1,1060,2
223,1829,1,1,1060,2
224,1902,1,1,1060,2
225,2007,1,1,1060,2
226,2113,1,1,1060,2
227,2153,1,1,1060,2
228,9190,1,1,1060,2
229,1629,4,1,1770,2
230,1702,4,1,1770,2
231,1772,4,1,1770,2
232,1841,4,1,1770,2
233,1911,4,1,1770,2
234,2017,4,1,1770,2
235,2073,4,1,1770,2
236,2162,4,1,1770,2
237,9199,4,1,1770,2
238,10419,4,1,1770,2
239,10481,4,1,1770,2
240,10543,4,1,1770,2
241,1645,6,1,2970,2
242,1713,6,1,2970,2
243,1783,6,1,2970,2
244,1852,6,1,2970,2
245,1922,6,1,2970,2
246,2028,6,1,2970,2
247,2081,6,1,2970,2
248,2171,6,1,2970,2
249,9206,6,1,2970,2
250,10422,6,1,2970,2
251,10484,6,1,2970,2
252,10546,6,1,2970,2
253,1653,7,1,3530,2
254,1720,7,1,3530,2
255,1719,7,1,3530,2
256,1789,7,1,3530,2
257,1858,7,1,3530,2
258,1928,7,1,3530,2
259,1980,7,1,3530,2
260,2033,7,1,3530,2
261,2129,7,1,3530,2
262,2178,7,1,3530,2
263,9211,7,1,3530,2
264,10425,7,1,3530,2
265,10487,7,1,3530,2
266,10549,7,1,3530,2
267,1725,8,1,4200,2
268,1793,8,1,4200,2
269,1864,8,1,4200,2
270,1934,8,1,4200,2
271,2036,8,1,4200,2
272,2090,8,1,4200,2
273,2181,8,1,4200,2
274,9216,8,1,4200,2
275,10428,8,1,4200,2
276,10490,8,1,4200,2
277,10552,8,1,4200,2
278,1667,9,1,7040,2
279,1737,9,1,7040,2
280,1807,9,1,7040,2
281,1876,9,1,7040,2
282,1946,9,1,7040,2
283,1989,9,1,7040,2
284,2099,9,1,7040,2
285,2195,9,1,7040,2
286,2196,9,1,7040,2
287,9221,9,1,7040,2
288,10431,9,1,7040,2
289,10493,9,1,7040,2
290,10555,9,1,7040,2
291,2715,1,1,680,3
292,3047,1,1,1040,3
293,3565,1,1,660,3
294,3796,1,1,730,3
295,3071,2,1,1390,3
296,3070,2,1,1390,3
297,3812,2,1,970,3
298,3811,2,1,970,3
299,3813,2,1,970,3
300,3993,2,1,560,3
301,4436,2,1,540,3
302,2252,3,1,1520,3
303,3080,3,1,1470,3
304,3081,3,1,1470,3
305,3078,3,1,1470,3
306,3079,3,1,1470,3
307,3589,3,1,1050,3
308,3588,3,1,1050,3
309,3590,3,1,1050,3
310,3357,3,1,1080,3
311,3358,3,1,1080,3
312,4319,3,1,720,3
313,2760,4,1,1280,3
314,3110,4,1,1960,3
315,3109,4,1,1960,3
316,3111,4,1,1960,3
317,3374,4,1,1360,3
318,4123,4,1,1210,3
319,3390,5,1,1620,3
320,3388,5,1,1620,3
321,3389,5,1,1620,3
322,4026,5,1,1110,3
323,4228,5,1,1190,3
324,2265,6,1,2540,3
325,3630,6,1,1960,3
326,3632,6,1,1960,3
327,3631,6,1,1960,3
328,4127,6,1,1710,3
329,2273,7,1,3380,3
330,2274,7,1,3380,3
331,3153,7,1,3280,3
332,3151,7,1,3280,3
333,3152,7,1,3280,3
334,3873,7,1,2710,3
335,3874,7,1,2710,3
336,3872,7,1,2710,3
337,4354,7,1,1710,3
338,2281,8,1,4020,3
339,2282,8,1,4020,3
340,2839,8,1,2860,3
341,2838,8,1,2860,3
342,2841,8,1,2860,3
343,2840,8,1,2860,3
344,3434,8,1,3040,3
345,3433,8,1,3040,3
346,3435,8,1,3040,3
347,4251,8,1,2500,3
348,4488,8,1,1900,3
349,4489,8,1,1900,3
350,4494,8,1,2010,3
351,2916,9,1,4800,3
352,3245,9,1,7340,3
353,3702,9,1,4650,3
354,3923,9,1,5100,3
355,5594,1,5,60,1
356,5595,1,5,170,1
357,5596,1,5,350,1
358,4564,1,1,120,1
359,4566,1,1,290,1
360,7796,1,5,1000,1
361,6018,1,1,2000,1
362,5881,1,1,250,1
363,4568,2,1,1010,1
364,4567,2,1,1710,1
365,4632,3,1,1440,1
366,4633,3,1,1440,1
367,5597,4,5,690,1
368,5598,4,5,1150,1
369,10386,9,5,1725,1
370,6023,5,1,4000,1
371,4562,5,1,2850,1
372,6024,6,1,6000,1
373,4634,7,1,2300,1
374,4635,7,1,2300,1
375,4636,8,1,2730,1
376,6025,8,1,8000,1
377,6141,8,1,500,1
378,7060,8,1,1000,1
379,7059,8,1,1500,1
380,6528,8,1,5050,1
381,6554,8,1,6900,1
382,6539,8,1,8300,1
383,6557,8,1,6700,1
384,6546,8,1,9070,1
385,6662,8,1,1100,1
386,6657,8,1,4900,1
387,6472,8,1,6800,1
388,6151,9,10,200,1
389,6153,9,10,200,1
390,6154,9,10,200,1
391,5530,9,1,200,1
392,5531,9,1,200,1
393,5502,9,1,200,1
394,5501,9,1,200,1
395,5261,9,1,200,1
396,5119,9,1,200,1
397,5274,9,1,200,1
398,5532,9,1,200,1
399,7596,9,1,1500,1
400,7597,9,1,1500,1
401,7598,9,1,1500,1
402,7599,9,1,1500,1
403,7600,9,1,1500,1
404,7601,9,1,1500,1
405,7806,9,1,450,1
406,7602,9,10,300,1
407,7603,9,10,300,1
408,7604,9,10,300,1
409,7605,9,10,300,1
410,9367,9,1,2250,1
411,9368,9,1,2250,1
412,9370,9,1,2250,1
413,9366,9,9,2250,1
414,9369,9,9,2250,1
415,9371,9,9,2250,1
416,9372,9,9,2250,1
417,6171,9,1,20000,1
418,7799,9,1,48000,1
419,7097,9,1,19150,1
420,7134,9,1,10950,1
421,7144,9,1,10950,1
422,6600,9,1,14470,1
423,9539,9,1,20000,1
424,10124,9,1,4000,1
425,10112,9,1,600,1
426,10113,9,1,600,1
427,10114,9,1,600,1
428,10115,9,1,600,1
429,10116,9,1,600,1
430,10117,9,1,600,1
431,10118,9,1,600,1
432,10119,9,1,600,1
433,10120,9,1,600,1
434,10121,9,1,600,1
435,10122,9,1,600,1
436,0,0,1,0,0
437,0,0,1,0,0
438,1620,1,1,1060,2
439,1692,1,1,1060,2
440,1762,1,1,1060,2
441,1831,1,1,1060,2
442,1904,1,1,1060,2
443,2009,1,1,1060,2
444,2115,1,1,1060,2
445,2155,1,1,1060,2
446,9192,1,1,1060,2
447,1631,4,1,1770,2
448,1704,4,1,1770,2
449,1774,4,1,1770,2
450,1843,4,1,1770,2
451,1913,4,1,1770,2
452,2019,4,1,1770,2
453,2075,4,1,1770,2
454,2164,4,1,1770,2
455,9201,4,1,1770,2
456,10421,4,1,1770,2
457,10483,4,1,1770,2
458,10545,4,1,1770,2
459,1647,6,1,2970,2
460,1715,6,1,2970,2
461,1785,6,1,2970,2
462,1854,6,1,2970,2
463,1924,6,1,2970,2
464,1973,6,1,2970,2
465,2082,6,1,2970,2
466,2173,6,1,2970,2
467,9208,6,1,2970,2
468,10424,6,1,2970,2
469,10486,6,1,2970,2
470,10548,6,1,2970,2
471,1655,7,1,3530,2
472,1656,7,1,3530,2
473,1722,7,1,3530,2
474,1792,7,1,3530,2
475,1861,7,1,3530,2
476,1931,7,1,3530,2
477,1930,7,1,3530,2
478,2035,7,1,3530,2
479,2087,7,1,3530,2
480,2180,7,1,3530,2
481,9213,7,1,3530,2
482,10427,7,1,3530,2
483,10489,7,1,3530,2
484,10551,7,1,3530,2
485,1727,8,1,4200,2
486,1795,8,1,4200,2
487,1866,8,1,4200,2
488,1936,8,1,4200,2
489,2038,8,1,4200,2
490,2092,8,1,4200,2
491,2183,8,1,4200,2
492,9218,8,1,4200,2
493,10430,8,1,4200,2
494,10492,8,1,4200,2
495,10554,8,1,4200,2
496,1669,9,1,7040,2
497,1739,9,1,7040,2
498,1809,9,1,7040,2
499,1878,9,1,7040,2
500,1948,9,1,7040,2
501,1991,9,1,7040,2
502,2101,9,1,7040,2
503,2199,9,1,7040,2
504,2200,9,1,7040,2
505,9223,9,1,7040,2
506,10433,9,1,7040,2
507,10495,9,1,7040,2
508,10557,9,1,7040,2
509,2717,1,1,680,3
510,3049,1,1,1040,3
511,3567,1,1,660,3
512,3798,1,1,730,3
513,3074,2,1,1390,3
514,3075,2,1,1390,3
515,3818,2,1,970,3
516,3819,2,1,970,3
517,3820,2,1,970,3
518,3817,2,1,970,3
519,3995,2,1,560,3
520,4438,2,1,540,3
521,2254,3,1,1520,3
522,3088,3,1,1470,3
523,3089,3,1,1470,3
524,3087,3,1,1470,3
525,3086,3,1,1470,3
526,3595,3,1,1050,3
527,3594,3,1,1050,3
528,3596,3,1,1050,3
529,3362,3,1,1080,3
530,3361,3,1,1080,3
531,4319,3,1,720,3
532,2762,4,1,1280,3
533,3116,4,1,1960,3
534,3115,4,1,1960,3
535,3117,4,1,1960,3
536,3376,4,1,1360,3
537,4123,4,1,1210,3
538,3396,5,1,1620,3
539,3394,5,1,1620,3
540,3395,5,1,1620,3
541,4028,5,1,1110,3
542,4230,5,1,1190,3
543,2267,6,1,2540,3
544,3636,6,1,1960,3
545,3638,6,1,1960,3
546,3637,6,1,1960,3
547,4129,6,1,1710,3
548,2276,7,1,3380,3
549,2277,7,1,3380,3
550,3159,7,1,3280,3
551,3157,7,1,3280,3
552,3158,7,1,3280,3
553,3878,7,1,2710,3
554,3880,7,1,2710,3
555,3879,7,1,2710,3
556,4356,7,1,1710,3
557,2285,8,1,4020,3
558,2286,8,1,4020,3
559,2847,8,1,2860,3
560,2846,8,1,2860,3
561,2849,8,1,2860,3
562,2848,8,1,2860,3
563,3439,8,1,3040,3
564,3440,8,1,3040,3
565,3441,8,1,3040,3
566,4253,8,1,2500,3
567,4492,8,1,1900,3
568,4493,8,1,1900,3
569,4496,8,1,2010,3
570,2918,9,1,4800,3
571,3247,9,1,7340,3
572,3704,9,1,4650,3
573,3925,9,1,5100,3
574,5594,1,5,60,1
575,5595,1,5,170,1
576,5596,1,5,350,1
577,4564,1,1,120,1
578,4566,1,1,290,1
579,7796,1,5,1000,1
580,6019,1,1,2000,1
581,5881,1,1,250,1
582,4568,2,1,1010,1
583,4567,2,1,1710,1
584,4632,3,1,1440,1
585,4633,3,1,1440,1
586,5597,4,5,690,1
587,5598,4,5,1150,1
588,10386,9,5,1725,1
589,6026,5,1,4000,1
590,4563,5,1,2850,1
591,6027,6,1,6000,1
592,4634,7,1,2300,1
593,4635,7,1,2300,1
594,4636,8,1,2730,1
595,6028,8,1,8000,1
596,6141,8,1,500,1
597,7060,8,1,1000,1
598,7059,8,1,1500,1
599,6527,8,1,5050,1
600,6555,8,1,6900,1
601,6540,8,1,8300,1
602,6558,8,1,6700,1
603,6547,8,1,9070,1
604,6662,8,1,1100,1
605,6658,8,1,4900,1
606,6471,8,1,6800,1
607,6151,9,10,200,1
608,6153,9,10,200,1
609,6154,9,10,200,1
610,5530,9,1,200,1
611,5531,9,1,200,1
612,5502,9,1,200,1
613,5501,9,1,200,1
614,5261,9,1,200,1
615,5119,9,1,200,1
616,5274,9,1,200,1
617,5532,9,1,200,1
618,7596,9,1,1500,1
619,7597,9,1,1500,1
620,7598,9,1,1500,1
621,7599,9,1,1500,1
622,7600,9,1,1500,1
623,7601,9,1,1500,1
624,7806,9,1,450,1
625,7602,9,10,300,1
626,7603,9,10,300,1
627,7604,9,10,300,1
628,7605,9,10,300,1
629,9367,9,1,2250,1
630,9368,9,1,2250,1
631,9370,9,1,2250,1
632,9366,9,9,2250,1
633,9369,9,9,2250,1
634,9371,9,9,2250,1
635,9372,9,9,2250,1
636,6172,9,1,20000,1
637,7799,9,1,48000,1
638,7152,9,1,19150,1
639,7096,9,1,19150,1
640,7135,9,1,10950,1
641,7145,9,1,10950,1
642,6600,9,1,14470,1
643,9539,9,1,20000,1
644,10124,9,1,4000,1
645,10112,9,1,600,1
646,10113,9,1,600,1
647,10114,9,1,600,1
648,10115,9,1,600,1
649,10116,9,1,600,1
650,10117,9,1,600,1
651,10118,9,1,600,1
652,10119,9,1,600,1
653,10120,9,1,600,1
654,10121,9,1,600,1
655,10122,9,1,600,1
656,0,0,1,0,0
