Index,0 [0x7][0xc],1 [0x0][0x8],2 [0x0][0x0],3 [0x0][0x4]
222,2,"","ちょっといいですか？","チョットイイデスカ?"
223,2,"","それではよい旅を。","ソレデハヨイタビヲ。"
224,2,"","ここに来るのは初めてです。","ココニクルノハハジメテデス。"
225,2,"","楽しみです！","タノシミデス!"
226,2,"","お疲れ様でした。","オツカレサマデシタ。"
227,2,"","よろしくお願いします！","ヨロシクオネガイシマス!"
228,2,"","ありがとうございました。これで失礼します。","アリガトウゴザイマシタ。コレデシツレイシマス。"
229,2,"","気楽にやりましょう！","キラクニヤリマショウ!"
230,2,"","がんばります！","ガンバリマス!"
300,3,"@","【質問】","シツモン."
301,3,"","誰ですか？","ダレデスカ?"
302,3,"","どちらですか？","ドチラデスカ?"
303,3,"","どうすればいいですか？","ドウスレバイイデスカ?"
304,3,"","何ですか？","ナンデスカ?"
305,3,"","いつですか？","イツデスカ?"
306,3,"","いくつですか？","イクツデスカ?"
307,3,"","どこですか？","ドコデスカ?"
308,3,"","なぜですか？","ナゼデスカ?"
309,3,"","どうしてですか？","ドウシテデスカ?"
310,3,"","どこに行きますか？","ドコニイキマスカ?"
311,3,"","できますか？","デキマスカ?"
312,3,"","助けはいりますか？","タスケハイリマスカ?"
313,3,"","どのコンテンツをやりますか？","ドノコンテンツヲヤリマスカ?"
314,3,"","どのコンテンツならできますか？","ドノコンテンツナラデキマスカ?"
315,3,"","持っていますか？","モッテイマスカ?"
316,3,"","今どんな武器を持っていますか？","イマドンナブキヲモッテイマスカ?"
317,3,"","他にどのクラスができますか？","ホカニドノクラスガデキマスカ?"
318,3,"","他にどのロールができますか？","ホカニドノロールガデキマスカ?"
319,3,"","セットしていますか？","セットシテイマスカ?"
320,3,"","どんな戦術でいきますか？","ドンナセンジュツデイキマスカ?"
321,3,"","フレンドになってくれませんか？","フレンドニナッテクレマセンカ?"
322,3,"","休憩しませんか？","キュウケイシマセンカ?"
323,3,"","修理しましょうか？","シュウリシマショウカ?"
324,3,"","修理してくれませんか？","シュウリシテクレマセンカ?"
325,3,"","マテリア装着しましょうか？","マテリアソウチャクシマショウカ?"
326,3,"","マテリア装着してくれませんか？","マテリアソウチャクシテクレマセンカ?"
327,3,"","パーティに入りませんか？","パーティニハイリマセンカ?"
328,3,"","パーティに入れてくれませんか？","パーティニイレテクレマセンカ?"
329,3,"","パーティを解散しますか？","パーティヲカイサンシマスカ?"
330,3,"","リンクシェルに入りませんか？","リンクシェルニハイリマセンカ?"
331,3,"","リンクシェルに入れてくれませんか？","リンクシェルニイレテクレマセンカ?"
332,3,"","フリーカンパニーに入りませんか？","フリーカンパニーニハイリマセンカ?"
333,3,"","フリーカンパニーに入れてくれませんか？","フリーカンパニーニイレテクレマセンカ?"
334,3,"","何をしていますか？","ナニヲシテイマスカ?"
335,3,"","カード対戦しませんか？","カードタイセンシマセンカ?"
336,3,"","ルールを変えませんか？","ルールヲカエマセンカ?"
337,3,"","大会の対戦をしませんか？","タイカイノタイセンヲシマセンカ?"
338,3,"","MPは大丈夫ですか？","MPハダイジョウブデスカ?"
339,3,"","わからないことはありますか？","ワカラナイコトハアリマスカ?"
340,3,"","見ましたか？","ミマシタカ?"
341,3,"","攻略方法はわかりますか？","コウリャクホウホウハワカリマスカ?"
400,4,"@","【答え】","コタエ."
401,4,"","わかりません。","ワカリマセン。"
402,4,"","いりません。","イリマセン。"
403,4,"","はい。お願いします。","ハイ。オネガイシマス。"
404,4,"","お願いします。","オネガイシマス。"
405,4,"","わかりました。","ワカリマシタ。"
406,4,"","今忙しいので、後にしてください。","イマイソガシイノデ、アトニシテクダサイ。"
407,4,"","今は独りで行動したいんです。","イマハヒトリデコウドウシタインデス。"
408,4,"","答えたいけど表現がわかりません。","コタエタイケドヒョウゲンガワカリマセン。"
409,4,"","なるほど。","ナルホド。"
410,4,"","せっかくだけど遠慮します。","セッカクダケドエンリョシマス。"
411,4,"","へぇー。","ヘェー。"
412,4,"","えーっと…","エーット・・・"
413,4,"","えっ！？","エッ!?"
414,4,"","本当に？","ホントウニ?"
415,4,"","むむむ。","ムムム。"
416,4,"","もうすぐ別の予定があるんです。","モウスグベツノヨテイガアルンデス。"
417,4,"","再戦を希望します。","サイセンヲキボウシマス。"
418,4,"","対戦を終わりにしましょう。","タイセンヲオワリニシマショウ。"
419,4,"","一時中断させてください。","イチジチュウダンサセテクダサイ。"
420,4,"","そうかもしれません。","ソウカモシレマセン。"
500,5,"@","【理由】","リユウ."
501,5,"","詠唱中です。","エイショウチュウデス。"
502,5,"","仕事の時間です。","シゴトノジカンデス。"
503,5,"","約束があるんです。","ヤクソクガアルンデス。"
504,5,"","眠くなりました。","ネムクナリマシタ。"
505,5,"","疲れました。","ツカレマシタ。"
506,5,"","用事があるので、これで。","ヨウジガアルノデ、コレデ。"
507,5,"","体調が悪いんです。","タイチョウガワルインデス。"
508,5,"","気が向きません。","キガムキマセン。"
509,5,"","興味があります。","キョウミガアリマス。"
510,5,"","コンテンツ中なんです。","コンテンツチュウナンデス。"
511,5,"","戦闘中なんです。","セントウチュウナンデス。"
512,5,"","お金を稼ぎたいです。","オカネヲカセギタイデス。"
513,5,"","覚えてないんです。","オボエテナインデス。"
514,5,"","知らないんです。","シラナインデス。"
515,5,"","使ったばかりです。","ツカッタバカリデス。"
516,5,"","経験値が欲しいです。","ケイケンチガホシイデス。"
517,5,"","間違えました。","マチガエマシタ。"
518,5,"","すでに誘われています。","スデニサソワレテイマス。"
519,5,"","すでに持っています。","スデニモッテイマス。"
520,5,"","募集が終わりました。","ボシュウガオワリマシタ。"
521,5,"","準備をしています。","ジュンビヲシテイマス。"
522,5,"","手が離せません。","テガハナセマセン。"
523,5,"","雑談をしています。","ザツダンヲシテイマス。"
524,5,"","キーボードを使っていません。","キーボードヲツカッテイマセン。"
525,5,"","探索中です。","タンサクチュウデス。"
600,6,"@","【トレード】","トレード."
601,6,"","くれませんか？","クレマセンカ?"
602,6,"","してくれませんか？","シテクレマセンカ?"
603,6,"","安くしてくれませんか？","ヤスクシテクレマセンカ?"
604,6,"","買ってくれませんか？","カッテクレマセンカ?"
605,6,"","売ってくれませんか？","ウッテクレマセンカ?"
606,6,"","トレードしませんか？","トレードシマセンカ?"
607,6,"","いりませんか？","イリマセンカ?"
608,6,"","製作できませんか？","セイサクデキマセンカ?"
609,6,"","持っていませんか？","モッテイマセンカ?"
610,6,"","必要な素材は何ですか？","ヒツヨウナソザイハナンデスカ?"
611,6,"","お金がありません。","オカネガアリマセン。"
612,6,"","アイテムがありません。","アイテムガアリマセン。"
613,6,"","あなたにあげられる物はなさそうです。","アナタニアゲラレルモノハナサソウデス。"
614,6,"","これをあなたにあげましょう。","コレヲアナタニアゲマショウ。"
615,6,"","ください。","クダサイ。"
616,6,"","報酬：","ホウシュウ:"
617,6,"","値段：","ネダン:"
618,6,"","お届け物","オトドケモノ"
700,7,"@","【編成】","ヘンセイ."
701,7,"","募集中です。","ボシュウチュウデス。"
702,7,"","集まってください。","アツマッテクダサイ。"
703,7,"","一緒にやりませんか？","イッショニヤリマセンカ?"
704,7,"","1人ですか？","ヒトリデスカ?"
705,7,"","空きはありますか？","アキハアリマスカ?"
706,7,"","誘ってください。","サソッテクダサイ。"
707,7,"","入れてください。","イレテクダサイ。"
708,7,"","リーダーは誰ですか？","リーダーハダレデスカ?"
709,7,"","短時間でもいいんですが。","タンジカンデモイインデスガ。"
710,7,"","フルパーティなんです。","フルパーティナンデス。"
711,7,"","手伝ってください。","テツダッテクダサイ。"
712,7,"","パーティを解散します。","パーティヲカイサンシマス。"
713,7,"","席を外します。","セキヲハズシマス。"
714,7,"","パーティ参加を希望します。","パーティサンカヲキボウシマス。"
715,7,"","ライトパーティ","-"
716,7,"","フルパーティ","-"
717,7,"","不慣れです。","フナレデス。"
800,8,"@","【戦術】","センジュツ."
801,8,"","ついてきてください。","ツイテキテクダサイ。"
802,8,"","ついていきます。","ツイテイキマス。"
803,8,"","調べてみてください。","シラベテミテクダサイ。"
804,8,"","見つけました！","ミツケマシタ!"
805,8,"","全力で攻撃してください！","ゼンリョクデコウゲキシテクダサイ!"
806,8,"","少し下がって。","スコシサガッテ。"
807,8,"","敵視に注意してください。","テキシニチュウイシテクダサイ。"
808,8,"","これを先にやっつけて！","コレヲサキニヤッツケテ!"
809,8,"","攻撃しないでください。","コウゲキシナイデクダサイ。"
810,8,"","足止めしてください！","アシドメシテクダサイ!"
811,8,"","無効化してください！","ムコウカシテクダサイ!"
812,8,"","回復してください！","カイフクシテクダサイ!"
813,8,"","掛けてください！","カケテクダサイ!"
814,8,"","逃げて！","ニゲテ!"
815,8,"","助けて！","タスケテ!"
816,8,"","止まって！","トマッテ!"
817,8,"","待機します。","タイキシマス。"
818,8,"","なくなりました。","ナクナリマシタ。"
819,8,"","ありません。","アリマセン。"
820,8,"","節約してください。","セツヤクシテクダサイ。"
821,8,"","節約します。","セツヤクシマス。"
822,8,"","装備品の耐久度が下がってきました。","ソウビヒンノタイキュウドガサガッテキマシタ。"
823,8,"","準備完了！","ジュンビカンリョウ!"
824,8,"","マーカーを設定してください。","マーカーヲセッテイシテクダサイ。"
825,8,"","使ってください。","ツカッテクダサイ。"
826,8,"","休憩しましょう。","キュウケイシマショウ。"
827,8,"","敵を連れてきます。","テキヲツレテキマス。"
828,8,"","敵を引きつけます。","テキヲヒキツケマス。"
829,8,"","待ってください。","マッテクダサイ。"
830,8,"","現地に集合しましょう。","ゲンチニシュウゴウシマショウ。"
831,8,"","移動しましょう。","イドウシマショウ。"
832,8,"","そこにいてください。","ソコニイテクダサイ。"
833,8,"","これから向かいます。","コレカラムカイマス。"
834,8,"","すぐ戻ります。","スグモドリマス。"
835,8,"","ロットしてください。","ロットシテクダサイ。"
836,8,"","弱点：","ジャクテン:"
837,8,"","注意：","チュウイ:"
838,8,"","おすすめ：","オススメ:"
839,8,"","討伐順：","トウバツジュン:"
840,8,"","欲しいもの：","ホシイモノ:"
841,8,"","敵視を稼いでください。","テキシヲカセイデクダサイ。"
842,8,"","敵が近づいてます！","テキガチカヅイテマス!"
843,8,"","気にしないでください。","キニシナイデクダサイ。"
844,8,"","無視してください。","ムシシテクダサイ。"
845,8,"","スイッチ","-"
846,8,"","交代してください！","コウタイシテクダサイ!"
847,8,"","私が最初に攻撃します！","ワタシガサイショニコウゲキシマス!"
848,8,"","ゆっくり進みましょう。","ユックリススミマショウ。"
849,8,"","実行してください！","ジッコウシテクダサイ!"
900,9,"@","【役割】","ヤクワリ."
901,9,"","リーダー","-"
902,9,"","マスター","-"
903,9,"","ファイター","-"
904,9,"","ソーサラー","-"
905,9,"","ギャザラー","-"
906,9,"","クラフター","-"
907,9,"","タンク","-"
908,9,"","近接攻撃役","キンセツコウゲキヤク"
909,9,"","遠隔攻撃役","エンカクコウゲキヤク"
910,9,"","ヒーラー","-"
911,9,"","強化役","キョウカヤク"
912,9,"","魔法攻撃役","マホウコウゲキヤク"
913,9,"","DPS","-"
950,10,"@","【位置】","イチ."
951,10,"","位置","イチ"
952,10,"","北","キタ"
953,10,"","南","ミナミ"
954,10,"","東","ヒガシ"
955,10,"","西","ニシ"
956,10,"","上","ウエ"
957,10,"","下","シタ"
958,10,"","右","ミギ"
959,10,"","左","ヒダリ"
960,10,"","表","オモテ"
961,10,"","裏","ウラ"
962,10,"","横","ヨコ"
963,10,"","正面","ショウメン"
964,10,"","中央","チュウオウ"
965,10,"","側面","ソクメン"
966,10,"","内側","ウチガワ"
967,10,"","外側","ソトガワ"
968,10,"","こっち","コッチ"
969,10,"","あっち","アッチ"
970,10,"","そっち","ソッチ"
971,10,"","もっと近く","モットチカク"
972,10,"","もっと遠く","モットトオク"
973,10,"","入口","イリグチ"
974,10,"","出口","デグチ"
1000,11,"@","【時間】","ジカン."
1001,11,"","おととい","オトトイ"
1002,11,"","昨日","キノウ"
1003,11,"","今日","キョウ"
1004,11,"","明日","アシタ"
1005,11,"","あさって","アサッテ"
1006,11,"","先週","センシュウ"
1007,11,"","今週","コンシュウ"
1008,11,"","来週","ライシュウ"
1009,11,"","午前","ゴゼン"
1010,11,"","午後","ゴゴ"
1011,11,"","朝","アサ"
1012,11,"","昼","ヒル"
1013,11,"","夜","ヨル"
1014,11,"","曜日","ヨウビ"
1015,11,"","日曜日","ニチヨウビ"
1016,11,"","月曜日","ゲツヨウビ"
1017,11,"","火曜日","カヨウビ"
1018,11,"","水曜日","スイヨウビ"
1019,11,"","木曜日","モクヨウビ"
1020,11,"","金曜日","キンヨウビ"
1021,11,"","土曜日","ドヨウビ"
1022,11,"","休日","キュウジツ"
1023,11,"","休み","ヤスミ"
1024,11,"","長期","チョウキ"
1025,11,"","短期","タンキ"
1026,11,"","日付","ヒヅケ"
1027,11,"","秒","ビョウ"
1028,11,"","分","フン"
1029,11,"","時間","ジカン"
1030,11,"","月","ツキ"
1031,11,"","年","ネン"
1032,11,"","1月","1ガツ"
1033,11,"","2月","2ガツ"
1034,11,"","3月","3ガツ"
1035,11,"","4月","4ガツ"
1036,11,"","5月","5ガツ"
1037,11,"","6月","6ガツ"
1038,11,"","7月","7ガツ"
1039,11,"","8月","8ガツ"
1040,11,"","9月","9ガツ"
1041,11,"","10月","10ガツ"
1042,11,"","11月","11ガツ"
1043,11,"","12月","12ガツ"
1044,11,"","先月","センゲツ"
1045,11,"","今月","コンゲツ"
1046,11,"","来月","ライゲツ"
1047,11,"","去年","キョネン"
1048,11,"","今年","コトシ"
1049,11,"","来年","ライネン"
1050,11,"","今","イマ"
1051,11,"","もうすぐ","モウスグ"
1052,11,"","いつでも","イツデモ"
1053,11,"","最初","サイショ"
1054,11,"","最後","サイゴ"
1055,11,"","待ち時間","マチジカン"
1056,11,"","残り時間","ノコリジカン"
1057,11,"","終了時間","シュウリョウジカン"
1058,11,"","第六星暦","ダイロクセイレキ"
1059,11,"","第七霊災","ダイナナレイサイ"
1060,11,"","第七星暦","ダイナナセイレキ"
1150,13,"@","【移動方法】","イドウホウホウ."
1151,13,"","歩く","アルク"
1152,13,"","走る","ハシル"
1153,13,"","追従","ツイジュウ"
1154,13,"","チョコボ","-"
1155,13,"","マイチョコボ","-"
1156,13,"","レンタルチョコボ","-"
1157,13,"","チョコボポーター","-"
1158,13,"","マウント","-"
1159,13,"","テレポ","-"
1160,13,"","デジョン","-"
1161,13,"","都市転送網","トシテンソウモウ"
1162,13,"","飛空艇","ヒクウテイ"
1163,13,"","ホームポイント","-"
1164,13,"","定期船","テイキセン"
1165,13,"","フライングマウント","-"
1200,14,"@","【施設】","シセツ."
1201,14,"","エーテライト","-"
1202,14,"","都市転送網","トシテンソウモウ"
1203,14,"","冒険者ギルド","ボウケンシャギルド"
1204,14,"","ギルド","ギルド"
1205,14,"","ショップ","-"
1206,14,"","チョコボ留","チョコボドメ"
1207,14,"","宿屋","ヤドヤ"
1208,14,"","呼び鈴","ヨビリン"
1209,14,"","レストエリア","-"
1210,14,"","ギルドリーヴ発行窓口","ギルドリーヴハッコウマドグチ"
1211,14,"","リンクシェル発行窓口","リンクシェルハッコウマドグチ"
1212,14,"","マーケットボード","-"
1213,14,"","リテイナー雇用窓口","リテイナーコヨウマドグチ"
1214,14,"","修理屋","シュウリヤ"
1215,14,"","ランディング","-"
1216,14,"","レターモーグリ","-"
1217,14,"","船着場","フナツキバ"
1218,14,"","フェリードック","-"
1219,14,"","飛空艇乗り場","ヒクウテイノリバ"
1220,14,"","黒渦団：軍令部","コッカダングンレイブ"
1221,14,"","双蛇党：統合司令部","ソウジャトウトウゴウシレイブ"
1222,14,"","不滅隊：作戦本部","フメツタイサクセンホンブ"
1223,14,"","冒険者居住区","ボウケンシャキョジュウク"
1224,14,"","コロセウム対戦受付","コロセウムタイセンウケツケ"
1225,14,"","モブハントボード","-"
1226,14,"","天気予報士","テンキヨホウシ"
1227,14,"","美容師の呼び鈴","ビヨウシノヨビリン"
1228,14,"","拡張街","カクチョウガイ"
1250,15,"@","【グランドカンパニー】","グランドカンパニー."
1251,15,"","グランドカンパニー","-"
1252,15,"","階級","カイキュウ"
1253,15,"","軍需品","グンジュヒン"
1254,15,"","補給品","ホキュウヒン"
1255,15,"","稀少品","キショウヒン"
1256,15,"","黒渦団","コッカダン"
1257,15,"","双蛇党","ソウジャトウ"
1258,15,"","不滅隊","フメツタイ"
1270,16,"@","【フリーカンパニー】","フリーカンパニー."
1271,16,"","フリーカンパニー","-"
1272,16,"","署名","ショメイ"
1273,16,"","カンパニーボード","-"
1274,16,"","カンパニーチェスト","-"
1275,16,"","カンパニークレスト","-"
1276,16,"","カンパニーアクション","-"
1300,17,"@","【ゲームシステム】","ゲームシステム."
1301,17,"","クラス","-"
1302,17,"","クラスチェンジ","-"
1303,17,"","ジョブ","-"
1304,17,"","ジョブチェンジ","-"
1305,17,"","ソウルクリスタル","-"
1306,17,"","レベル","-"
1307,17,"","経験値","ケイケンチ"
1308,17,"","守護神","シュゴシン"
1309,17,"","民族","ミンゾク"
1310,17,"","部族","ブゾク"
1311,17,"","エリア","-"
1312,17,"","アーマリー","-"
1313,17,"","アイテム","-"
1314,17,"","ギアセット","-"
1315,17,"","レストボーナス","-"
1316,17,"","ソロ","-"
1317,17,"","パーティ","-"
1318,17,"","マウント","-"
1319,17,"","ミニオン","-"
1320,17,"","リテイナー","-"
1321,17,"","バトル","-"
1322,17,"","製作","セイサク"
1323,17,"","採集","サイシュウ"
1324,17,"","耐久度","タイキュウド"
1325,17,"","錬精度","レンセイド"
1326,17,"","装備適性","ソウビテキセイ"
1327,17,"","宝箱","タカラバコ"
1328,17,"","ターゲット","-"
1329,17,"","ロックオン","-"
1330,17,"","フォーカスターゲット","-"
1331,17,"","ターゲットマーカー","-"
1332,17,"","メニュー","-"
1333,17,"","マップ","-"
1334,17,"","サポートデスク","-"
1335,17,"","スクリーンショット","-"
1336,17,"","ログアウト","-"
1337,17,"","ゲーム終了","ゲームシュウリョウ"
1338,17,"","シャットダウン","-"
1339,17,"","定型文辞書","テイケイブンジショ"
1340,17,"","エモート","-"
1341,17,"","アチーブメント","-"
1342,17,"","称号","ショウゴウ"
1343,17,"","通貨","ツウカ"
1344,17,"","ギル","-"
1345,17,"","トレード","-"
1346,17,"","調べる","シラベル"
1347,17,"","自動追尾","ジドウツイビ"
1348,17,"","アライアンス","-"
1349,17,"","ハウジング","-"
1350,17,"","友好度","ユウコウド"
1351,17,"","友好ランク","ユウコウランク"
1352,17,"","MIP","エムアイピー"
1353,17,"","アラガントームストーン","-"
1354,17,"","アラガントームストーン:神話","アラガントームストーンシンワ"
1355,17,"","アラガントームストーン:哲学","アラガントームストーンテツガク"
1356,17,"","投票除名","トウヒョウジョメイ"
1357,17,"","ギブアップ投票","ギブアップトウヒョウ"
1358,17,"","フィールドマーカー","-"
1359,17,"","グラウンドターゲット","-"
1360,17,"","武具投影","ブグトウエイ"
1361,17,"","アラガントームストーン:戦記","アラガントームストーンセンキ"
1362,17,"","美容師","ビヨウシ"
1363,17,"","リテイナーベンチャー","-"
1364,17,"","アートマ","-"
1365,17,"","ゾディアックウェポン","-"
1366,17,"","アレキサンドライト","-"
1367,17,"","アニムス","-"
1368,17,"","ノウス","-"
1369,17,"","同盟記章","ドウメイキショウ"
1370,17,"","モブ手配書","モブテハイショ"
1371,17,"","アウトロー戦区","アウトローセンク"
1372,17,"","超える力","コエルチカラ"
1373,17,"","チョコボ育成","チョコボイクセイ"
1374,17,"","天気予報","テンキヨホウ"
1375,17,"","アラガントームストーン:詩学","アラガントームストーンシガク"
1376,17,"","貢献値","コウケンチ"
1377,17,"","軍票","グンピョウ"
1378,17,"","対人戦績","タイジンセンセキ"
1379,17,"","ゼニス","-"
1380,17,"","ネクサス","-"
1381,17,"","セントリオ記章","セントリオキショウ"
1382,17,"","アラガントームストーン:法典","アラガントームストーンホウテン"
1383,17,"","アラガントームストーン:禁書","アラガントームストーンキンショ"
1384,17,"","マスタールート","-"
1385,17,"","グリード限定","グリードゲンテイ"
1400,18,"@","【バトル】","バトル."
1401,18,"","攻撃","コウゲキ"
1402,18,"","アクション","-"
1403,18,"","ジェネラルアクション","-"
1404,18,"","タレント","-"
1405,18,"","ジョブアクション","ジョブアクション"
1406,18,"","追加アクション","ツイカアクション"
1407,18,"","魔法","マホウ"
1408,18,"","ウェポンスキル","-"
1409,18,"","アビリティ","-"
1410,18,"","キャストタイム","-"
1411,18,"","リキャストタイム","-"
1412,18,"","行動適性","コウドウテキセイ"
1413,18,"","リンク","-"
1414,18,"","ペット","-"
1415,18,"","バディ","-"
1416,18,"","敵視","テキシ"
1417,18,"","好戦的","コウセンテキ"
1418,18,"","非好戦的","ヒコウセンテキ"
1419,18,"","戦闘不能","セントウフノウ"
1420,18,"","戦利品","センリヒン"
1421,18,"","分配","ブンパイ"
1422,18,"","ロット","-"
1423,18,"","レジスト","-"
1424,18,"","修得","シュウトク"
1425,18,"","感知","カンチ"
1426,18,"","範囲","ハンイ"
1427,18,"","リミットブレイク","-"
1428,18,"","敵","テキ"
1429,18,"","モンスター","-"
1430,18,"","ノートリアスモンスター","-"
1431,18,"","フィジカルボーナス","-"
1432,18,"","チェーンボーナス","-"
1433,18,"","アーマリーボーナス","-"
1434,18,"","レベルシンク","-"
1435,18,"","PvPアクション","-"
1436,18,"","範囲攻撃","ハンイコウゲキ"
1437,18,"","前方範囲攻撃","ゼンポウハンイコウゲキ"
1438,18,"","後方範囲攻撃","コウホウハンイコウゲキ"
1439,18,"","全体攻撃","ゼンタイコウゲキ"
1440,18,"","アウトポスト","-"
1441,18,"","居住区跡","キョジュウクアト"
1442,18,"","拠点","キョテン"
1443,18,"","フラッグ","-"
1444,18,"","占拠","センキョ"
1445,18,"","中立化","チュウリツカ"
1446,18,"","戦術値","センジュツチ"
1447,18,"","市場跡","シジョウアト"
1448,18,"","太陽神殿","タイヨウシンデン"
1449,18,"","コンボ","-"
1450,18,"","アドレナリンラッシュ","-"
1451,18,"","単体攻撃","タンタイコウゲキ"
1452,18,"","バリスタ","-"
1453,18,"","アラガントームリス","-"
1500,19,"@","【オンラインステータス】","オンラインステータス."
1501,19,"","オンライン","-"
1502,19,"","離席","リセキ"
1503,19,"","取り込み中","トリコミチュウ"
1504,19,"","パーティ希望","パーティキボウ"
1505,19,"","マテリア装着請負中","マテリアソウチャクウケオイチュウ"
1506,19,"","コンテンツ中","コンテンツチュウ"
1507,19,"","オフライン","-"
1508,19,"","パーティ募集中","パーティボシュウチュウ"
1509,19,"","ビギナー","-"
1550,20,"@","【コミュニケーション】","コミュニケーション."
1551,20,"","チャット","-"
1552,20,"","Tell","テル"
1553,20,"","Say","セイ"
1554,20,"","Shout","シャウト"
1555,20,"","Yell","エール"
1556,20,"","フレンドリスト","-"
1557,20,"","ブラックリスト","-"
1558,20,"","PCサーチ","-"
1559,20,"","リンクシェル","-"
1560,20,"","モグレター","-"
1561,20,"","ロードストーン","-"
1562,20,"","日記","ニッキ"
1563,20,"","フォロー","-"
1564,20,"","フォーラム","-"
1565,20,"","ランキング","-"
1566,20,"","グランドカンパニーランキング","-"
1567,20,"","フリーカンパニーランキング","-"
1568,20,"","Party","パーティ"
1569,20,"","Alliance","アライアンス"
1570,20,"","Linkshell","リンクシェル"
1571,20,"","FreeCompany","フリーカンパニー"
1600,22,"@","【製作&採集】","セイサク&サイシュウ."
1601,22,"","シャード","-"
1602,22,"","クリスタル","-"
1603,22,"","クラスター","-"
1604,22,"","マテリア","-"
1605,22,"","マテリア化","-"
1606,22,"","マテリアクラフト","-"
1607,22,"","マーケット","-"
1608,22,"","マーケットサーチ","-"
1609,22,"","HQ","ハイクオリティ"
1610,22,"","Rare","レア"
1611,22,"","Ex","エクスクルーシブ"
1612,22,"","素材","ソザイ"
1613,22,"","簡易製作","カンイセイサク"
1614,22,"","品質","ヒンシツ"
1615,22,"","高品質","コウヒンシツ"
1616,22,"","最高品質","サイコウヒンシツ"
1617,22,"","修理","シュウリ"
1618,22,"","修理材","シュウリザイ"
1619,22,"","染色","センショク"
1620,22,"","良木","リョウギ"
1621,22,"","伐採","バッサイ"
1622,22,"","草刈","クサカリ"
1623,22,"","採掘場","サイクツバ"
1624,22,"","採掘","サイクツ"
1625,22,"","砕岩","サイガン"
1626,22,"","釣り","ツリ"
1627,22,"","マテリア装着","マテリアソウチャク"
1628,22,"","禁断のマテリア装着","キンダンノマテリアソウチャク"
1629,22,"","栽培","サイバイ"
1630,22,"","育成","イクセイ"
1631,22,"","収穫","シュウカク"
1632,22,"","秘伝書","ヒデンショ"
1633,22,"","分解","ブンカイ"
1634,22,"","ヌシ釣り","ヌシヅリ"
1635,22,"","リリース","-"
1636,22,"","未知の採集場所","ミチノサイシュウバショ"
1637,22,"","蒐集品","シュウシュウヒン"
1638,22,"","マイスター","-"
1639,22,"","護符","ゴフ"
1640,22,"","伝承録","デンショウロク"
1641,22,"","クラフタースクリップ","-"
1642,22,"","ギャザラースクリップ","-"
1643,22,"","クラフタースクリップ:赤貨","クラフタースクリップセキカ"
1644,22,"","クラフタースクリップ:青貨","クラフタースクリップセイカ"
1645,22,"","ギャザラースクリップ:赤貨","ギャザラースクリップセキカ"
1646,22,"","ギャザラースクリップ:青貨","ギャザラースクリップセイカ"
1900,23,"@","【蛮神&蛮族】","バンシン&バンゾク."
