Index,0 [0x6][0x0],1 [0x3][0xc],2 [0x6][0x4],3 [0x3][0xd],4 [0x6][0x8],5 [0x3][0xe],6 [0x6][0x10],7 [0x3][0x1c],8 [0x6][0x14],9 [0x3][0x1d],10 [0x6][0x18],11 [0x3][0x1e],12 [0x6][0x20],13 [0x3][0x2c],14 [0x6][0x24],15 [0x3][0x2d],16 [0x6][0x28],17 [0x3][0x2e],18 [0x6][0x30],19 [0x3][0x3c],20 [0x6][0x34],21 [0x3][0x3d],22 [0x6][0x38],23 [0x3][0x3e],24 [0x6][0x40],25 [0x3][0x4c],26 [0x6][0x44],27 [0x3][0x4d],28 [0x6][0x48],29 [0x3][0x4e],30 [0x6][0x50],31 [0x3][0x5c],32 [0x6][0x54],33 [0x3][0x5d],34 [0x6][0x58],35 [0x3][0x5e],36 [0x6][0x60],37 [0x3][0x6c],38 [0x6][0x64],39 [0x3][0x6d],40 [0x6][0x68],41 [0x3][0x6e],42 [0x6][0x70],43 [0x3][0x7c],44 [0x6][0x74],45 [0x3][0x7d],46 [0x6][0x78],47 [0x3][0x7e],48 [0x6][0x80],49 [0x3][0x8c],50 [0x6][0x84],51 [0x3][0x8d],52 [0x6][0x88],53 [0x3][0x8e],54 [0x6][0x90],55 [0x3][0x9c],56 [0x6][0x94],57 [0x3][0x9d],58 [0x6][0x98],59 [0x3][0x9e],60 [0x6][0xa0],61 [0x3][0xac],62 [0x6][0xa4],63 [0x3][0xad],64 [0x6][0xa8],65 [0x3][0xae]
16,2574,1,0,1,0,1,4642,1,4651,1,0,1,2147,1,1961,1,4597,3,3550,1,2680,1,0,1,3547,1,3979,1,3980,1,4095,1,2444,1,0,1,3325,1,3023,1,3974,1,2522,1,1607,1,1686,1,5130,10,0,1,0,1,4810,10,4834,10,4785,10,4942,3,0,1,0,1
17,1825,1,0,1,0,1,4674,1,4683,1,4717,1,4595,3,0,1,0,1,2236,1,0,1,0,1,2672,1,3774,1,4099,1,2109,1,4311,1,4205,1,3332,1,3036,1,3038,1,1754,1,2548,1,1756,1,5132,10,0,1,0,1,4811,10,4820,10,0,1,4944,3,0,1,0,1
18,2000,1,0,1,0,1,4697,1,4709,1,0,1,4596,3,0,1,0,1,2497,1,2471,1,0,1,3549,1,3552,1,1688,1,2685,1,2687,1,2693,1,3041,1,3064,1,0,1,2370,1,2395,1,2344,1,5129,10,0,1,0,1,4786,10,5541,10,4787,10,4946,3,4882,3,0,1
19,1897,1,2459,1,2002,1,4667,1,0,1,0,1,4594,3,0,1,0,1,3985,1,2708,1,3793,1,3784,1,3982,1,2697,1,2691,1,2689,1,2695,1,3039,1,2699,1,2700,1,2549,1,2433,1,2536,1,5524,10,5465,10,0,1,5386,10,4796,10,0,1,4947,3,4883,3,0,1
20,2703,1,1827,1,2575,1,4690,1,4675,1,0,1,2149,1,4598,3,0,1,3563,1,2712,1,3045,1,4435,1,3562,1,0,1,2061,1,4430,1,4431,1,3341,1,3339,1,3561,1,1609,1,2318,1,2523,1,5229,10,0,1,0,1,5405,10,5563,10,0,1,4949,3,0,1,0,1
21,1899,1,2004,1,0,1,4722,1,4746,1,4643,1,1963,1,4574,3,4575,3,3557,1,2241,1,0,1,3788,1,3790,1,3795,1,4433,1,4313,1,4209,1,3568,1,3987,1,0,1,1758,1,2484,1,2562,1,5155,10,0,1,0,1,4806,10,4812,10,0,1,4950,3,4951,3,0,1
22,2408,1,1833,1,0,1,4730,1,4684,1,4652,1,2151,1,4566,3,4576,3,3802,1,2723,1,0,1,3559,1,2714,1,3337,1,2446,1,2111,1,0,1,3050,1,3343,1,3800,1,2358,1,2383,1,1614,1,5270,10,0,1,0,1,4797,10,6145,10,0,1,4886,2,4953,2,0,1
23,2460,1,0,1,0,1,4710,1,4699,1,4662,1,0,1,0,1,0,1,2498,1,3057,1,2472,1,2710,1,3791,1,3983,1,2063,1,0,1,0,1,3053,1,3052,1,2719,1,2537,1,2434,1,1694,1,5153,10,5152,10,0,1,4835,10,5535,10,0,1,4954,3,4955,3,0,1
24,1905,1,3805,1,2011,1,4749,1,0,1,0,1,2156,1,0,1,0,1,2725,1,2242,1,3998,1,3991,1,3989,1,3347,1,2447,1,4211,1,2728,1,3345,1,3348,1,3575,1,2550,1,1764,1,2319,1,5156,10,5154,10,0,1,5388,10,4836,10,0,1,4956,3,4957,3,4887,3
25,2576,1,2409,1,0,1,4711,1,0,1,0,1,4552,3,0,1,0,1,3352,1,3579,1,3068,1,3799,1,3576,1,3578,1,2731,1,2118,1,2066,1,2727,1,3349,1,3351,1,2563,1,2511,1,1622,1,5157,10,0,1,0,1,4819,10,4821,10,0,1,4888,1,4885,1,0,1
26,2246,1,1908,1,0,1,4731,1,4718,1,4644,1,0,1,0,1,0,1,2473,1,0,1,0,1,4314,1,3808,1,0,1,4317,1,4439,1,4440,1,2729,1,3066,1,3996,1,2397,1,2372,1,2346,1,5528,10,0,1,0,1,4822,10,0,1,0,1,4960,3,4889,3,4890,3
27,1836,1,0,1,0,1,4723,1,4668,1,4653,1,1965,1,0,1,0,1,2248,1,2499,1,0,1,3810,1,3581,1,3821,1,4320,1,4322,1,4109,1,4001,1,3355,1,3090,1,2359,1,2525,1,2384,1,5523,10,0,1,0,1,4788,10,0,1,0,1,4962,3,4963,1,4891,3
28,1627,1,0,1,0,1,4732,1,4676,1,0,1,1967,1,0,1,0,1,4007,1,3096,1,0,1,1697,1,4003,1,0,1,4328,1,4330,1,4117,1,3092,1,2734,1,4006,1,1625,1,2320,1,1769,1,5125,10,0,1,0,1,4789,10,0,1,0,1,0,1,0,1,0,1
29,2577,1,1838,1,2015,1,4827,1,0,1,0,1,2160,1,0,1,0,1,2753,1,2474,1,2500,1,4106,1,2250,1,3367,1,4326,1,4115,1,4448,1,3077,1,3583,1,2750,1,2422,1,1699,1,2551,1,5527,10,0,1,0,1,5359,10,0,1,0,1,4965,1,4966,3,0,1
30,1845,1,2021,1,0,1,4669,1,0,1,0,1,4568,3,0,1,0,1,3599,1,3825,1,2755,1,3099,1,3597,1,3100,1,4324,1,4113,1,4446,1,3363,1,3601,1,3104,1,2398,1,2526,1,2539,1,5231,10,0,1,0,1,5559,10,0,1,0,1,4968,3,0,1,0,1
31,1915,1,0,1,0,1,4700,1,4685,1,0,1,4603,3,4600,3,0,1,3586,1,2257,1,2765,1,4011,1,3827,1,3369,1,4332,1,4121,1,4454,1,3603,1,4013,1,3372,1,1633,1,2436,1,2334,1,5134,10,0,1,0,1,5409,10,5346,10,0,1,0,1,0,1,0,1
32,2578,1,0,1,0,1,4691,1,4645,1,0,1,4601,3,4602,3,0,1,3605,1,3835,1,3118,1,4456,1,3377,1,4016,1,2449,1,0,1,0,1,2763,1,3120,1,0,1,2487,1,2513,1,1776,1,5137,10,0,1,0,1,4790,10,4837,10,0,1,4969,3,4970,3,0,1
33,2462,1,3837,1,0,1,4712,1,4670,1,0,1,4599,3,0,1,0,1,2260,1,2501,1,0,1,2767,1,4022,1,3611,1,2745,1,2743,1,2735,1,3121,1,3379,1,3607,1,2565,1,2540,1,2527,1,5135,10,5136,10,5271,10,4798,10,5543,10,0,1,4971,3,4972,3,4975,1
34,2411,1,1637,1,0,1,4701,1,4654,1,0,1,1969,1,2166,1,0,1,2475,1,3614,1,4024,1,4333,1,3613,1,0,1,2071,1,2758,1,1706,1,2776,1,3125,1,3383,1,2361,1,2374,1,2349,1,5114,10,0,1,0,1,5360,10,4791,10,0,1,4973,3,4974,3,4899,3
35,2023,1,1847,1,0,1,4719,1,0,1,0,1,4556,3,4579,3,4583,3,3386,1,3619,1,2786,1,3844,1,3841,1,3843,1,2123,1,4231,1,2078,1,3397,1,3131,1,2779,1,2552,1,2386,1,1778,1,5139,10,0,1,0,1,5562,10,4838,10,4843,10,4977,3,0,1,0,1
36,1920,1,1850,1,0,1,4686,1,4724,1,0,1,4580,3,4582,3,4581,3,2502,1,0,1,0,1,3616,1,4130,1,4132,1,4337,1,4465,1,4349,1,2778,1,3140,1,4030,1,2335,1,2437,1,0,1,5142,10,0,1,0,1,4807,10,4814,10,0,1,4978,3,4979,3,5032,3
37,2026,1,2579,1,0,1,4677,1,0,1,0,1,2169,1,0,1,0,1,2268,1,0,1,0,1,3402,1,2788,1,4032,1,4349,1,4339,1,4343,1,2804,1,3849,1,3404,1,1639,1,0,1,0,1,5144,10,0,1,0,1,4840,10,0,1,0,1,4980,3,5033,3,4902,3
38,1855,1,0,1,0,1,4663,1,4702,1,0,1,1971,1,0,1,0,1,3622,1,2812,1,4034,1,3851,1,3625,1,3405,1,4143,1,4135,1,4145,1,2805,1,3144,1,3621,1,2528,1,1643,1,2554,1,5141,10,0,1,0,1,4793,10,0,1,0,1,4982,3,4983,3,5034,3
39,3870,1,0,1,0,1,4687,1,4692,1,0,1,1976,1,1974,1,1978,1,3628,1,3149,1,3854,1,3860,1,3165,1,4482,1,4243,1,4241,1,4468,1,2806,1,2810,1,3411,1,1781,1,1711,1,2425,1,5168,10,0,1,0,1,4844,10,4841,10,0,1,5035,2,4985,2,0,1
40,1925,1,2464,1,2580,1,4747,1,4733,1,6143,1,4567,3,0,1,0,1,3142,1,2802,1,2476,1,3639,1,4039,1,4044,1,4239,1,4472,1,4147,1,2808,1,3408,1,2814,1,2400,1,1786,1,2439,1,5525,10,5526,10,0,1,4842,10,0,1,0,1,4987,3,5036,3,0,1
41,1650,1,0,1,0,1,4646,1,0,1,0,1,0,1,0,1,0,1,3858,1,2817,1,3623,1,3416,1,3426,1,3423,1,2125,1,4480,1,4247,1,3413,1,3162,1,3640,1,2516,1,2490,1,0,1,5145,10,0,1,0,1,4845,10,0,1,0,1,5037,1,4903,1,0,1
42,2030,1,0,1,0,1,4671,1,0,1,0,1,2174,1,0,1,0,1,3861,1,2819,1,2827,1,3871,1,2270,1,0,1,2798,1,2790,1,1716,1,3415,1,3425,1,3176,1,2388,1,1723,1,2426,1,5272,10,0,1,0,1,6146,10,5564,10,0,1,4990,3,4991,2,0,1
43,2413,1,2581,1,0,1,4720,1,0,1,0,1,4553,3,0,1,0,1,3642,1,4047,1,3431,1,3177,1,4360,1,3660,1,2452,1,2094,1,4255,1,3647,1,3427,1,2835,1,1659,1,2555,1,2529,1,5115,10,0,1,0,1,4815,10,0,1,0,1,4992,1,4993,3,4904,1
44,1862,1,2039,1,0,1,4693,1,4679,1,0,1,4608,3,0,1,0,1,2830,1,2279,1,3180,1,3653,1,4051,1,3668,1,4497,1,2834,1,2130,1,3187,1,2852,1,3442,1,2440,1,2543,1,2338,1,5143,10,0,1,0,1,5536,10,0,1,0,1,4994,2,4995,3,0,1
45,2287,1,1932,1,2465,1,4664,1,4703,1,0,1,1983,1,4604,3,4607,3,3883,1,3183,1,3669,1,2862,1,3457,1,3909,1,4363,1,2878,1,4501,1,3456,1,2882,1,3454,1,1801,1,2364,1,2491,1,5140,10,0,1,0,1,5054,10,0,1,0,1,4996,3,4999,2,5038,3
46,1937,1,0,1,0,1,4655,1,0,1,0,1,4606,3,4605,3,4569,3,2859,1,3887,1,0,1,3885,1,3471,1,0,1,2870,1,4367,1,0,1,2886,1,3681,1,3914,1,2325,1,2427,1,2402,1,5263,10,0,1,0,1,5393,10,0,1,0,1,5000,1,5001,3,4907,3
47,1867,1,2414,1,0,1,4750,1,0,1,0,1,4584,3,4588,3,0,1,2504,1,0,1,0,1,3904,1,3206,1,0,1,4162,1,4164,1,4508,1,3467,1,2891,1,3469,1,2377,1,0,1,0,1,5116,10,0,1,0,1,5414,10,0,1,0,1,5002,1,5039,3,4908,3
48,3908,1,2582,1,0,1,4713,1,0,1,0,1,4587,3,2189,1,1987,1,3670,1,0,1,0,1,4516,1,2298,1,0,1,4369,1,4168,1,4156,1,3211,1,3473,1,3696,1,2530,1,2556,1,0,1,0,1,0,1,0,1,4846,10,0,1,0,1,5005,1,5041,1,4909,3
49,1942,1,0,1,0,1,4694,1,0,1,0,1,4585,3,0,1,0,1,2861,1,2893,1,2296,1,3213,1,4061,1,0,1,4510,1,4272,1,2097,1,2895,1,3698,1,0,1,1663,1,1733,1,0,1,5458,10,0,1,0,1,5055,10,0,1,0,1,5007,2,5008,3,5042,3
50,1872,1,0,1,0,1,4647,1,4678,1,4721,1,2047,1,0,1,0,1,3203,1,0,1,0,1,3916,1,0,1,0,1,2133,1,4266,1,4262,1,3918,1,3215,1,3475,1,1803,1,0,1,0,1,5439,10,5126,10,0,1,5403,10,5384,10,0,1,5009,1,5043,1,5044,1
51,10604,1,10610,1,10634,1,12845,1,0,1,0,1,10646,1,10652,1,0,1,10684,1,10691,1,10719,1,10740,1,10775,1,11965,1,10640,1,11018,1,11955,1,10782,1,10859,1,10929,1,10598,1,10622,1,10628,1,12531,10,12553,10,0,1,12597,10,0,1,0,1,12714,3,12715,3,12716,3
52,10605,1,10611,1,11911,1,12861,1,12866,1,0,1,10647,1,10653,1,10635,1,11895,1,11899,1,0,1,11988,1,10818,1,10937,1,10971,1,11891,1,12017,1,10699,1,10797,1,10909,1,11875,1,11887,1,11903,1,12552,10,0,1,0,1,12883,10,0,1,0,1,12719,1,12721,3,12726,2
53,11927,1,11935,1,12014,1,12850,1,12853,1,0,1,12612,1,12613,1,0,1,10665,1,0,1,0,1,10671,1,10916,1,12026,1,10641,1,10989,1,11055,1,10720,1,10762,1,11994,1,10587,1,10593,1,10617,1,12551,10,0,1,0,1,12880,10,0,1,0,1,12728,2,12737,2,12753,3
54,10606,1,10612,1,12011,1,12867,1,0,1,0,1,12614,1,12616,1,0,1,10693,1,10714,1,11896,1,10854,1,10945,1,11989,1,10642,1,10984,1,11892,1,10938,1,10966,1,11970,1,10600,1,10624,1,10630,1,12631,10,12559,10,0,1,12598,10,12578,10,0,1,12738,2,12739,2,12743,2
55,11912,1,0,1,0,1,12890,1,0,1,0,1,10648,1,10654,1,0,1,10666,1,10679,1,10749,1,10763,1,10833,1,11967,1,10660,1,11002,1,11020,1,10868,1,10889,1,11957,1,11872,1,11884,1,11908,1,12555,10,12554,10,0,1,12585,10,12885,10,0,1,12750,3,12760,3,12765,1
56,10613,1,10883,1,11936,1,12863,1,0,1,0,1,10649,1,10655,1,0,1,10694,1,10729,1,10841,1,10736,1,10897,1,12008,1,11057,1,11069,1,12018,1,10820,1,11962,1,12003,1,11924,1,11932,1,11948,1,12532,10,0,1,0,1,12638,10,0,1,0,1,12769,1,12770,1,12771,2
57,11913,1,12021,1,0,1,12859,1,12869,1,0,1,10637,1,0,1,0,1,10708,1,10764,1,11901,1,10701,1,10869,1,10960,1,10661,1,10967,1,12030,1,10806,1,10911,1,10932,1,10625,1,10631,1,11889,1,12556,10,12632,10,0,1,12887,10,12639,10,0,1,12781,1,12787,1,12790,2
58,10608,1,10614,1,10638,1,12843,1,12856,1,0,1,10650,1,10656,1,12623,1,10688,1,10716,1,10751,1,10772,1,10926,1,11971,1,11022,1,11052,1,12706,1,10758,1,10898,1,10947,1,10590,1,10602,1,10620,1,12539,10,12560,10,0,1,12586,10,12642,10,0,1,12793,1,12805,2,12811,3
59,11929,1,11937,1,12012,1,12851,1,0,1,0,1,12624,1,12625,1,12626,1,10668,1,10681,1,10744,1,10919,1,10738,1,11997,1,10644,1,11082,1,10993,1,10807,1,10870,1,10891,1,11941,1,11945,1,11953,1,12557,10,12533,10,0,1,12643,10,12640,10,12891,10,12813,1,12817,1,12822,1
60,10615,1,10639,1,11914,1,12864,1,12868,1,0,1,10657,1,0,1,0,1,10689,1,10724,1,10920,1,10871,1,10962,1,11992,1,12707,1,10885,1,11047,1,10766,1,10927,1,11977,1,10597,1,10627,1,11906,1,12558,10,5127,10,0,1,12641,10,0,1,0,1,12819,1,12826,1,12834,1
