Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x3][0x5],3 [0x3][0x6],4 [0x3][0x7],5 [0x2][0x8]
17,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> den Rang „<if:<ref:ObjStr>>“ bearbeitet.",4,5,0,3,3
18,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> den Rang „<if:<ref:ObjStr>>“ hinzugefügt.",4,5,0,3,3
19,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> den Rang „<if:<ref:ObjStr>>“ entfernt.",4,5,0,3,3
20,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Hierarchie umstrukturiert.",4,0,0,3,3
21,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Einstellungen der Schatztruhe für „[<value>] <if:<ref:ObjStr>>“ geändert.",4,6,1,0,-1
22,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Gil-Einstellungen der Schatztruhe geändert.",4,0,0,0,-1
23,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> hat die Kristall-Einstellungen der Schatztruhe geändert.",4,0,0,0,-1
24,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Anschlagbrett der Gesellschaft aktualisiert.",4,0,0,3,4
25,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Profil der Gesellschaft aktualisiert.",4,0,0,3,4
26,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Wappen der Gesellschaft geändert.",4,0,0,3,8
27,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Kommando „<ref:CompanyAction>“ erworben.",4,0,1,4,9
28,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Kommando „<ref:CompanyAction>“ benutzt.",4,0,1,4,9
29,"Diese Aktivität wurde gelöscht.",0,0,0,0,4
30,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> einen Rang in „<if:<ref:ObjStr>>“ umbenannt.",4,5,0,3,3
31,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Anwendung von „<ref:CompanyAction>“ beendet.",4,0,1,4,9
32,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Kommando „<ref:CompanyAction>“ entfernt.",4,0,1,4,9
33,"Das Kürzel der Gesellschaft wurde zu „<if:<ref:ObjStr>>“ geändert.",0,3,0,3,4
34,"Der Name der Gesellschaft wurde zu „<if:<ref:ObjStr>>“ geändert.",0,2,0,3,4
35,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> den Namen des Gebäudes <ref:PlaceName>, <value>. Bezirk - <value> in „<if:<ref:ObjStr>>“ geändert.",4,9,0,5,11
36,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Grußwort von „<if:<ref:ObjStr>>“ geändert.",4,8,0,5,11
37,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> ein Grundstück <ref:PlaceName>, <value>. Bezirk - <value> erworben.",4,7,0,5,11
38,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Grundstück <ref:PlaceName>, <value>. Bezirk - <value> aufgegeben.",4,7,0,5,11
39,"Das Grundstück <ref:PlaceName>, <value>. Bezirk - <value> wurde automatisch zurückgegeben.",0,7,0,5,11
40,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> auf dem Grundstück <ref:PlaceName>, <value>. Bezirk - <value> ein Gebäude vom Typ „<ref:HousingPreset>“ errichtet.",4,7,1,5,11
41,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> „<if:<ref:ObjStr>>“ entfernt.",4,8,0,5,11
42,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Außenansicht von „<if:<ref:ObjStr>>“ verändert.",4,8,0,5,11
43,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Inneneinrichtung von „<if:<ref:ObjStr>>“ geändert.",4,8,0,5,11
44,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Mobiliar von „<if:<ref:ObjStr>>“ umgestellt.",4,8,0,5,11
45,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Außenmobiliar von „<if:<ref:ObjStr>>“ umgestellt.",4,8,0,5,11
46,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> eine Nachricht aus dem Gästebuch von „<if:<ref:ObjStr>>“ gelöscht.",4,8,0,5,11
47,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> ein Beitrittsgesuch gestellt.",4,0,0,2,12
48,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Beitrittsgesuch zurückgezogen.",4,0,0,2,12
49,"Der Charakter „<if:<switch:>/<if:<?0x32>>>“ wurde gelöscht.",4,0,0,2,12
50,"Die Aufnahme von <if:<switch:>/<if:<?0x32>>> wurde abgelehnt.",4,0,0,2,12
51,"Die maximale Anzahl von Beitrittsgesuchen ist erreicht.",0,0,0,2,12
52,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> im Garten von „<if:<ref:ObjStr>>“ <?0x32> gepflanzt. ",4,10,1,6,13
53,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Pflanzung von „<if:<ref:ObjStr>>“ mit <?0x32> versorgt.",4,10,1,6,13
54,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Pflanzen von „<if:<ref:ObjStr>>“ gepflegt.",4,10,0,6,13
55,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> im Garten von „<if:<ref:ObjStr>>“ <?0x32> geerntet.",4,11,1,6,13
56,"Außerdem konnte<if:none/n> durch erfolgreiche Kreuzung <?0x32> geerntet werden.",0,11,1,6,13
57,"Da <if:<switch:>/<if:<?0x32>>> nicht anwesend <if:bist/ist>, wurden die Rechte als „<if:<ref:ObjStr>>“ weitergegeben.",4,5,0,2,3
58,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> Pflanzen im Garten von „<if:<ref:ObjStr>>“ entfernt und untergepflügt.",4,10,0,6,13
59,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Gebäude um Zimmer Nr. <value> erweitert.",4,0,1,5,11
60,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> Zimmer Nr. <value> geräumt.",4,0,1,5,11
61,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> den Chocobo-Stall gesäubert.",4,0,0,7,11
62,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> <if:<switch:>/<if:<?0x32>>> trainiert.",4,12,0,7,11
63,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> <?0x32> in Einschub <value> des Ätherrad-Ständers angebracht.",16,14,1,5,11
64,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> <?0x32> aus Einschub <value> des Ätherrad-Ständers entfernt.",16,14,1,5,11
65,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> <?0x32> aus Einschub <value> des Ätherrad-Ständers an <if:dich/sich> genommen.",16,14,1,5,11
66,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Energie <?0x32> verwendet, um das Gesellschaftskommando „<ref:CompanyAction>“ bereitzumachen.",16,14,1,4,9
67,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> eine Werkstätte im Keller der Unterkunft der Freien Gesellschaft eingerichtet.",16,0,0,8,15
68,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Werkstätte im Keller der Unterkunft der Freien Gesellschaft aufgelassen.",16,0,0,8,15
69,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Herstellung <?0x32> in der Syntheseeinrichtung der Freien Gesellschaft festgelegt.",16,14,0,8,15
70,"Alle Materialien für die Herstellung <?0x32> wurden bereitgestellt.",0,14,0,8,15
71,"Die Arbeit an <?0x32> <switch:ist fortgeschritten/zeigt gute Fortschritte/zeigt ausgezeichnete Fortschritte>.",0,14,1,8,15
72,"<2b?:0xff, 0x11, 0x2> wurde erfolgreich hergestellt!<switch:/ Gute Arbeit!/ Ausgezeichnete Arbeit!>",0,14,1,8,15
73,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> <?0x32> aus der Produktion der Gesellschafts-Werkstätte entgegengenommen.",16,14,0,8,15
74,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das momentane Projekt der Gesellschafts-Werkstätte abgebrochen.",16,0,0,8,15
75,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> einen <ref:CompanyCraftDraft> erstellt.",16,0,1,8,15
76,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das <value>. Luftschiff unter dem Namen „<if:<ref:ObjStr>>“ registriert.",16,15,1,9,14
77,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> den Namen des <value>. Luftschiffs zu „<if:<ref:ObjStr>>“ geändert.",16,15,1,9,14
78,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das <value>. Luftschiff („<if:<ref:ObjStr>>“) demontiert.",16,15,1,9,14
79,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> das Luftschiff „<if:<ref:ObjStr>>“ auf Erkundung geschickt.",16,15,0,9,14
80,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> die Erkundungsreise des Luftschiffs „<if:<ref:ObjStr>>“ abgebrochen.",16,15,0,9,14
81,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> den Abschluss der Erkundungsreise des Luftschiffs „<if:<ref:ObjStr>>“ bestätigt.",16,15,0,9,14
82,"Der Rang des Luftschiffs „<if:<ref:ObjStr>>“ ist auf <value> gestiegen!",16,15,1,9,14
83,"Dank der Erkundungsreise des Luftschiffs „<if:<ref:ObjStr>>“ ist nun die Registrierung eines <value>. Luftschiffs möglich.",16,15,1,9,14
84,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> <?0x32> für <value> Staatstaler erworben.",16,22,1,1,0
85,"<2b?:0xff, 0x46, 0x2> <if:hast/hat> mehr als 60 % der für die Herstellung <?0x32> nötigen Menge an <?0x32> geliefert.",16,22,1,8,15
