Index,0 [0x3][0x0],1 [0x1][0xf],2 [0x2][0x3],3 [0x2][0x6],4 [0x2][0x9],5 [0x2][0xc],6 [0x3][0x1],7 [0x1][0x10],8 [0x2][0x4],9 [0x2][0x7],10 [0x2][0xa],11 [0x2][0xd],12 [0x3][0x2],13 [0x1][0x11],14 [0x2][0x5],15 [0x2][0x8],16 [0x2][0xb],17 [0x2][0xe]
81,11,true,10,26,13,33,0,false,0,0,0,0,0,false,0,0,0,0
82,11,true,10,34,13,43,0,false,0,0,0,0,0,false,0,0,0,0
83,70,true,10,38,12,47,11,true,4,14,5,17,0,false,0,0,0,0
84,70,true,10,49,12,61,11,true,4,14,5,18,0,false,0,0,0,0
85,72,true,6,6,7,7,73,true,2,2,3,3,0,false,0,0,0,0
86,72,true,6,7,7,9,10,true,2,8,3,10,0,false,0,0,0,0
87,72,true,6,8,7,10,73,true,2,3,3,4,0,false,0,0,0,0
88,72,true,6,9,7,11,73,true,2,3,3,4,0,false,0,0,0,0
89,72,true,6,10,7,12,10,true,2,9,3,11,0,false,0,0,0,0
90,72,true,6,14,7,17,10,true,2,10,3,12,0,false,0,0,0,0
91,72,true,6,14,7,17,73,true,2,6,3,7,0,false,0,0,0,0
92,72,true,6,15,7,19,73,true,2,6,3,8,0,false,0,0,0,0
93,72,true,6,19,7,24,73,true,2,8,3,10,0,false,0,0,0,0
94,71,true,8,4,10,5,0,false,0,0,0,0,0,false,0,0,0,0
95,71,true,8,8,10,10,0,false,0,0,0,0,0,false,0,0,0,0
96,71,true,8,12,10,15,0,false,0,0,0,0,0,false,0,0,0,0
97,71,true,8,14,10,17,0,false,0,0,0,0,0,false,0,0,0,0
98,71,true,8,16,10,20,0,false,0,0,0,0,0,false,0,0,0,0
99,71,true,8,18,10,23,0,false,0,0,0,0,0,false,0,0,0,0
100,71,true,8,22,10,27,0,false,0,0,0,0,0,false,0,0,0,0
101,71,true,8,25,10,31,0,false,0,0,0,0,0,false,0,0,0,0
102,3,false,1,0,1,0,0,false,0,0,0,0,0,false,0,0,0,0
103,3,false,1,0,1,0,0,false,0,0,0,0,0,false,0,0,0,0
104,3,true,8,2,10,2,0,false,0,0,0,0,0,false,0,0,0,0
105,3,true,8,2,10,2,0,false,0,0,0,0,0,false,0,0,0,0
106,3,true,8,2,10,3,0,false,0,0,0,0,0,false,0,0,0,0
107,3,true,8,2,10,3,0,false,0,0,0,0,0,false,0,0,0,0
108,3,true,8,2,10,3,0,false,0,0,0,0,0,false,0,0,0,0
109,3,true,8,2,10,3,0,false,0,0,0,0,0,false,0,0,0,0
110,3,true,6,6,7,8,0,false,0,0,0,0,0,false,0,0,0,0
111,3,false,1,0,1,0,0,false,0,0,0,0,0,false,0,0,0,0
112,3,false,1,0,1,0,0,false,0,0,0,0,0,false,0,0,0,0
113,3,false,1,0,1,0,0,false,0,0,0,0,0,false,0,0,0,0
114,19,true,8,2,10,3,3,false,1,0,1,0,22,false,1,0,1,0
115,19,true,8,5,10,6,3,true,4,3,5,4,22,true,2,2,2,3
116,19,true,7,6,9,8,3,true,4,4,5,5,22,true,2,2,2,3
117,19,true,7,7,9,9,3,true,4,4,5,5,27,true,2,2,2,3
118,19,true,7,10,9,12,3,true,4,6,5,7,45,true,2,4,2,5
119,19,true,6,10,7,13,3,true,4,6,5,8,22,true,2,4,2,5
120,19,true,6,13,7,16,3,true,4,8,5,10,45,true,2,5,2,6
121,19,true,4,18,5,23,3,true,3,11,4,14,22,true,2,7,2,9
122,19,true,4,22,5,27,3,true,4,15,5,19,22,true,2,9,2,11
123,19,true,4,24,5,30,3,true,4,18,5,23,22,true,2,10,2,12
124,19,true,4,26,5,33,3,true,4,22,5,28,27,true,2,13,3,16
125,10,true,6,19,7,24,72,true,2,2,3,3,0,false,0,0,0,0
126,10,true,6,19,7,24,73,false,5,0,6,0,0,false,0,0,0,0
127,10,true,6,20,7,25,73,true,2,2,3,3,0,false,0,0,0,0
128,10,true,6,21,7,26,72,true,2,3,3,4,0,false,0,0,0,0
129,10,true,6,22,7,27,72,true,2,3,3,4,0,false,0,0,0,0
130,10,true,6,23,7,29,73,true,2,5,3,6,0,false,0,0,0,0
131,10,true,6,24,7,30,72,true,2,6,3,7,0,false,0,0,0,0
132,10,true,6,24,7,31,73,true,2,6,3,8,0,false,0,0,0,0
133,22,true,8,3,10,4,3,false,1,0,1,0,45,false,1,0,1,0
134,22,true,8,3,10,4,3,false,1,0,1,0,46,false,1,0,1,0
135,22,true,8,3,10,4,3,true,4,2,5,2,46,false,1,0,1,0
136,22,true,8,3,10,4,3,true,4,2,5,2,27,false,1,0,1,0
137,22,true,8,5,10,6,3,true,4,2,5,3,45,true,2,2,2,2
138,22,true,7,6,9,7,3,true,4,3,5,4,45,true,2,2,2,3
139,22,true,7,7,9,9,3,true,4,4,5,5,27,true,2,2,2,3
140,22,true,6,13,7,16,3,true,4,8,5,10,27,true,2,5,2,6
141,22,true,5,14,6,17,3,true,4,9,5,11,45,true,2,6,2,7
142,22,true,4,17,5,21,3,true,3,10,4,13,27,true,2,7,2,9
143,22,true,4,22,5,27,3,true,4,15,5,19,27,true,2,9,2,11
144,22,true,4,24,5,30,3,true,4,18,5,23,27,true,2,10,2,12
145,27,true,4,26,5,33,3,true,4,22,5,28,22,true,2,13,3,16
146,45,true,8,2,10,3,3,false,1,0,1,0,22,false,1,0,1,0
147,45,true,8,4,10,5,3,true,4,2,5,2,22,true,2,2,2,2
148,45,true,8,4,10,5,3,true,4,2,5,3,27,true,2,2,2,2
149,45,true,8,5,10,6,3,true,4,2,5,3,19,true,2,2,2,2
150,45,true,8,6,10,7,3,true,4,3,5,4,27,true,2,2,2,3
151,45,true,7,7,9,9,3,true,4,4,5,5,0,false,0,0,0,0
152,45,true,7,8,9,10,3,true,4,5,5,6,44,true,2,2,2,2
153,45,true,6,10,7,12,3,true,4,6,5,8,22,true,2,4,2,5
154,45,true,4,14,5,18,3,true,3,9,4,11,22,true,2,6,2,7
155,45,true,4,21,5,26,3,true,3,12,4,15,22,true,2,8,2,10
156,45,true,4,22,5,27,3,true,4,15,5,19,22,true,2,9,2,11
157,45,true,4,24,5,30,3,true,4,18,5,23,44,true,2,6,2,8
158,70,true,12,8,15,10,0,false,0,0,0,0,0,false,0,0,0,0
159,70,true,12,12,15,15,0,false,0,0,0,0,0,false,0,0,0,0
160,70,true,12,16,15,20,0,false,0,0,0,0,0,false,0,0,0,0
161,70,true,12,20,15,25,0,false,0,0,0,0,0,false,0,0,0,0
162,70,true,12,24,15,30,0,false,0,0,0,0,0,false,0,0,0,0
163,70,true,12,32,15,40,0,false,0,0,0,0,0,false,0,0,0,0
164,73,true,6,6,7,7,0,false,0,0,0,0,0,false,0,0,0,0
165,73,true,6,6,7,7,10,true,2,8,3,10,0,false,0,0,0,0
166,73,true,6,6,7,8,72,true,2,2,3,3,0,false,0,0,0,0
167,73,true,6,8,7,10,72,true,2,3,3,4,0,false,0,0,0,0
168,73,true,6,10,7,12,10,true,2,9,3,11,0,false,0,0,0,0
169,73,true,6,11,7,14,10,true,2,9,3,11,0,false,0,0,0,0
170,73,true,6,13,7,16,72,true,2,5,3,6,0,false,0,0,0,0
171,73,true,6,15,7,19,10,true,2,10,3,12,0,false,0,0,0,0
172,73,true,6,22,7,28,10,true,2,10,3,12,0,false,0,0,0,0
173,27,true,8,2,10,3,3,false,1,0,1,0,22,false,1,0,1,0
174,27,true,8,5,10,6,3,true,4,2,5,3,44,false,1,0,1,0
175,27,true,7,6,9,8,3,true,4,4,5,5,22,true,2,2,2,3
176,27,true,7,8,9,10,3,true,4,5,5,6,44,true,2,2,2,2
177,27,true,6,10,7,13,3,true,4,6,5,8,22,true,2,4,2,5
178,27,true,4,19,5,24,3,true,3,11,4,14,22,true,2,8,2,10
179,27,true,4,22,5,27,3,true,4,15,5,19,22,true,2,9,2,11
180,27,true,4,14,4,14,3,true,4,9,4,9,68,false,2,0,2,0
181,45,true,4,22,4,22,3,true,4,15,4,15,68,false,3,0,3,0
182,46,true,4,22,4,22,3,true,4,15,4,15,68,false,3,0,3,0
183,22,true,4,20,4,20,3,true,4,12,4,12,68,false,2,0,2,0
184,6,true,4,5,4,5,3,true,4,6,4,6,68,false,2,0,2,0
185,3,true,4,3,4,3,0,false,0,0,0,0,68,false,1,0,1,0
186,3,true,4,10,4,10,0,false,0,0,0,0,68,false,1,0,1,0
187,46,true,4,12,4,12,3,true,4,7,4,7,68,false,2,0,2,0
188,44,true,4,4,4,4,3,true,4,5,4,5,68,false,2,0,2,0
189,27,true,4,21,4,21,3,true,4,13,4,13,68,false,3,0,3,0
190,3,true,4,18,4,18,0,false,0,0,0,0,68,false,2,0,2,0
191,3,true,4,13,4,13,0,false,0,0,0,0,68,false,2,0,2,0
192,72,true,6,24,7,30,71,true,8,38,10,48,69,false,2,0,2,0
193,6,true,4,19,5,24,3,true,4,26,5,33,46,true,2,11,2,14
194,6,true,4,21,5,26,3,true,4,27,5,34,44,true,2,9,2,11
195,6,true,4,24,5,30,3,true,5,30,6,37,46,true,2,13,3,16
196,46,true,4,27,5,34,3,true,4,24,5,30,22,true,2,11,2,14
197,46,true,4,29,5,36,3,true,4,26,5,33,27,true,2,11,2,14
198,46,true,4,30,5,37,3,true,4,28,5,35,22,true,2,12,2,15
199,46,true,5,32,6,40,3,true,5,30,6,37,44,true,2,10,3,13
200,19,true,4,30,5,37,3,true,4,27,5,34,27,true,2,13,3,16
201,19,true,4,28,5,35,3,true,4,26,5,33,22,true,2,11,2,14
202,19,true,4,30,5,37,3,true,4,28,5,35,22,true,2,12,2,15
203,19,true,5,32,6,40,3,true,5,30,6,37,27,true,2,14,3,17
204,44,true,4,18,5,23,3,true,4,26,5,32,19,true,2,11,2,14
205,44,true,4,24,5,30,3,true,4,28,5,35,45,true,2,12,2,15
206,22,true,4,29,5,36,3,true,4,26,5,33,27,true,2,11,2,14
207,27,true,4,30,5,37,3,true,4,27,5,34,22,true,2,14,3,18
208,22,true,5,32,6,40,3,true,5,30,6,37,44,true,2,10,3,13
209,45,true,4,28,5,35,3,true,4,25,5,31,27,true,2,12,2,15
210,45,true,4,26,5,33,3,true,4,22,5,27,44,true,2,8,2,10
211,45,true,4,30,5,38,3,true,4,28,5,35,44,true,2,10,2,12
212,11,true,10,38,13,48,70,true,4,22,5,28,0,false,0,0,0,0
213,71,true,10,54,12,68,70,true,4,23,5,29,0,false,0,0,0,0
214,70,true,10,60,12,75,11,true,4,15,5,19,0,false,0,0,0,0
215,71,true,10,58,12,73,11,true,4,15,5,19,0,false,0,0,0,0
216,11,true,12,40,15,50,71,true,4,25,5,31,0,false,0,0,0,0
217,73,true,6,26,7,32,10,true,3,13,4,16,0,false,0,0,0,0
218,72,true,6,26,7,32,73,true,2,10,3,13,0,false,0,0,0,0
219,10,true,6,30,7,38,73,true,2,11,3,14,0,false,0,0,0,0
220,73,true,6,29,7,36,72,true,2,10,3,13,0,false,0,0,0,0
221,72,true,6,30,7,37,10,true,3,15,4,19,0,false,0,0,0,0
222,6,true,4,19,4,19,3,true,4,26,4,26,68,false,3,0,3,0
223,45,true,4,28,4,28,3,true,4,26,4,26,68,false,3,0,3,0
224,46,true,4,28,4,28,3,true,4,26,4,26,68,false,3,0,3,0
225,22,true,4,28,4,28,3,true,4,26,4,26,68,false,3,0,3,0
226,44,true,4,19,4,19,3,true,4,26,4,26,68,false,3,0,3,0
227,19,true,4,28,4,28,3,true,4,26,4,26,68,false,3,0,3,0
228,1,true,16,84,20,105,0,false,0,0,0,0,0,false,0,0,0,0
229,2,true,16,84,20,105,0,false,0,0,0,0,0,false,0,0,0,0
230,3,true,16,82,20,103,0,false,0,0,0,0,0,false,0,0,0,0
231,4,true,16,84,20,105,0,false,0,0,0,0,0,false,0,0,0,0
232,5,true,16,84,20,105,0,false,0,0,0,0,0,false,0,0,0,0
233,22,false,2,0,3,0,3,false,1,0,1,0,44,false,1,0,1,0
234,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
235,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
236,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
237,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
238,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
239,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
240,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
241,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
242,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
243,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
244,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
245,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
246,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
247,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
248,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
249,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
250,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
251,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
252,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
253,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
254,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
255,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
256,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
257,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
258,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
259,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
260,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
261,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
262,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
263,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
264,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
265,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
266,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
267,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
268,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
269,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
270,51,false,1,0,2,0,68,false,4,0,5,0,0,false,0,0,0,0
271,51,false,3,0,4,0,0,false,0,0,0,0,0,false,0,0,0,0
272,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
273,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
274,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
275,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
276,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
277,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
278,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
279,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
280,57,false,15,0,20,0,0,false,0,0,0,0,0,false,0,0,0,0
281,60,false,15,0,20,0,0,false,0,0,0,0,0,false,0,0,0,0
282,61,false,15,0,20,0,0,false,0,0,0,0,0,false,0,0,0,0
283,62,false,15,0,20,0,0,false,0,0,0,0,0,false,0,0,0,0
284,63,false,15,0,20,0,0,false,0,0,0,0,0,false,0,0,0,0
285,64,false,15,0,20,0,0,false,0,0,0,0,0,false,0,0,0,0
286,65,false,15,0,20,0,0,false,0,0,0,0,0,false,0,0,0,0
287,66,false,15,0,20,0,0,false,0,0,0,0,0,false,0,0,0,0
288,57,false,3,0,5,0,0,false,0,0,0,0,0,false,0,0,0,0
289,60,false,3,0,5,0,0,false,0,0,0,0,0,false,0,0,0,0
290,61,false,3,0,5,0,0,false,0,0,0,0,0,false,0,0,0,0
291,62,false,3,0,5,0,0,false,0,0,0,0,0,false,0,0,0,0
292,63,false,3,0,5,0,0,false,0,0,0,0,0,false,0,0,0,0
293,64,false,3,0,5,0,0,false,0,0,0,0,0,false,0,0,0,0
294,65,false,3,0,5,0,0,false,0,0,0,0,0,false,0,0,0,0
295,66,false,3,0,5,0,0,false,0,0,0,0,0,false,0,0,0,0
296,69,false,3,0,3,0,0,false,0,0,0,0,0,false,0,0,0,0
297,68,false,30,0,30,0,0,false,0,0,0,0,0,false,0,0,0,0
298,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
299,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
300,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0
