#,Radius,Height,VFXScale,FloatHeight,FloatDown,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,FloatUp,Unknown8,LoopFlySE,MotionBlendType
26,0.3,0.6,1,8,3,300,600,100,100,100,100,130,170,0,1,1,True
27,3,2.5,2,3,3,200,500,66,200,66,200,0,0,0,0,2,False
28,0.3,0.6,0.5,3,3,250,550,66,80,66,91,0,0,0,0,1,False
29,1,1.3,0.5,3,3,300,600,66,67,66,83,0,0,0,0,1,False
30,2.4,2.2,2,3,3,250,550,66,160,66,182,0,0,0,1,1,False
31,0.4,1,1,3,3,200,500,67,67,67,67,0,0,0,0,1,False
32,0.5,0.7,0.5,3,3,150,400,66,167,66,156,0,0,0,0,1,False
33,1.1,1,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
34,2.2,2.5,1.7,3,3,200,550,66,100,66,91,0,0,0,0,2,False
35,4,4.5,3,3,3,300,600,66,133,66,167,0,0,0,1,2,False
36,0.4,0.4,0.7,3,3,200,500,66,100,66,100,0,0,0,0,1,False
37,3.5,2.7,1,3,3,200,500,66,143,66,143,0,0,0,1,2,False
38,2,1.6,1,3,3,200,500,66,125,66,125,0,0,0,0,1,False
39,2.7,2.2,2,3,3,200,450,66,125,66,139,0,0,0,0,1,False
40,2,2.1,2,3,3,200,500,66,167,66,167,0,0,0,0,2,False
41,1.1,1,1,3,3,200,600,66,167,66,139,0,0,0,0,1,False
42,5.8,4.7,3,3,3,200,500,66,200,66,200,0,0,0,0,2,False
43,0.9,1,1,3,3,200,600,100,100,100,100,40,80,90,1,1,False
44,0.9,0.9,1.2,3,3,170,470,66,78,66,71,0,0,0,0,1,False
45,1.1,0.8,0.5,3,3,200,500,66,200,66,200,0,0,0,0,1,False
46,1.8,1.5,1.5,3,3,300,600,66,167,66,83,0,0,0,0,1,False
47,1.6,1.6,1.2,3,3,200,500,66,100,66,100,0,0,0,0,1,False
48,3.5,3,2,3,3,200,500,66,300,66,300,0,0,0,1,1,False
49,1.3,2.1,2,3,3,240,550,66,104,66,114,0,0,0,0,2,False
50,0.5,0.7,0.6,3,3,200,350,66,100,66,143,0,0,0,0,1,False
51,1.5,1.6,1,3,3,250,550,66,114,66,130,0,0,0,0,1,False
52,1.5,1.6,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
53,3.7,3,3,3,3,200,700,66,100,66,71,0,0,0,1,2,False
54,1.9,2.4,1,3,3,250,550,66,80,66,91,0,0,0,1,1,False
55,1.2,1.2,1.2,3,3,100,500,66,300,66,200,0,0,0,0,1,False
56,1.4,1.8,1.5,3,3,200,500,66,100,66,100,0,0,0,0,2,False
57,2.3,2,2,3,3,200,600,66,100,66,83,0,0,0,1,2,False
58,4,3.6,3.2,3,3,300,600,66,95,66,119,0,0,0,1,2,False
59,0.1,0.7,0.6,3,3,200,500,66,100,66,100,0,0,0,0,1,False
60,3.6,2.6,1,6,10,200,500,66,300,66,300,0,0,140,1,2,False
61,2,2.3,1,3,3,200,500,66,67,66,67,0,0,0,1,1,False
62,2.5,2.4,2,3,3,200,500,66,100,66,100,0,0,0,0,2,False
63,5,3.5,5,3,3,200,500,66,125,66,125,0,0,0,0,2,False
64,2,1.6,1.4,6,3,200,500,100,100,100,100,180,250,0,1,1,False
65,1.2,1.8,1.4,3,3,500,500,66,100,66,125,0,0,0,0,1,False
66,3.5,2.8,2.5,3,3,200,500,66,100,66,100,0,0,0,0,2,False
67,1.3,2,3,3,3,200,600,100,100,83,83,0,0,0,0,1,False
68,3,3,2.5,3,3,200,500,66,143,66,143,0,0,0,1,2,False
69,2.4,2,1,8,3,200,500,100,100,100,100,240,240,0,1,1,True
70,4,3.5,3,3,3,200,500,66,143,66,143,0,0,0,0,2,False
71,4.5,3.5,3,3,3,200,500,77,167,77,167,0,0,100,1,1,False
72,1.8,1,1,3,3,200,600,66,100,66,83,0,0,0,0,1,False
73,1,1.3,1.3,3,3,200,6000,66,100,66,100,0,0,0,1,2,False
74,1,1,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
75,1,0.7,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
76,1,1.4,1.3,3,3,300,600,66,67,66,83,0,0,0,1,1,False
77,2.8,2.5,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
78,1.8,1.5,1,12,3,200,500,100,100,100,100,370,370,0,1,1,False
79,0.2,0.7,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
80,0.4,0.7,1,8,3,250,550,100,100,100,100,130,170,0,1,1,False
81,0.3,0.6,0.5,3,3,100,350,66,200,66,143,0,0,0,0,1,False
82,0.4,0.7,0.5,3,3,120,350,66,167,66,143,0,0,0,0,1,False
83,0.2,0.5,0.5,8,3,200,600,100,100,100,100,80,120,0,1,1,True
84,0.5,0.7,1,8,3,200,450,100,100,100,100,80,120,0,1,1,False
85,0.7,0.8,1,3,3,200,500,66,83,66,83,0,0,0,0,1,False
86,0.7,0.8,1,3,3,120,350,66,167,66,143,0,0,0,0,1,False
87,1,1,1,3,3,200,600,66,200,66,167,0,0,0,0,1,False
88,0.3,0.6,0.5,3,3,200,500,66,100,66,100,0,0,0,0,1,False
89,0.7,1,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
90,1,1.5,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
91,1,1.5,0.5,3,3,200,500,100,100,100,100,0,0,0,0,1,False
92,2.3,2.4,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
93,0.5,0.6,1,8,3,200,500,100,100,100,100,100,130,0,1,1,False
94,1,1,1,3,3,200,600,66,300,66,300,0,0,0,0,1,False
95,1.7,1.9,1,3,3,200,500,66,125,66,125,0,0,0,1,2,False
96,5,4.2,4,3,3,300,800,67,67,66,100,0,0,0,1,2,False
97,1,3,2,3,3,200,500,66,100,66,100,0,0,0,1,2,False
98,3.5,3.8,3.5,3,3,200,500,67,67,67,67,0,0,0,1,2,False
99,6,6.2,1,3,3,600,600,66,100,83,83,0,0,0,1,1,False
100,2,1.7,1,3,3,100,500,66,300,66,300,0,0,0,0,2,False
101,2,1,1,3,3,200,500,100,100,100,100,0,0,0,1,1,False
102,4.5,12,8,3,3,200,500,66,100,66,100,0,0,0,1,1,False
103,1,1.16,1.1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
104,1,1,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
105,2.3,2,1,3,3,200,500,100,200,100,200,0,0,60,0,1,False
106,1.2,1,1,3,3,200,500,66,83,66,83,0,0,0,0,1,False
107,3.5,7,5,3,3,200,600,100,100,83,83,0,0,0,0,1,False
108,1,1,1,3,3,200,500,66,300,66,300,0,0,0,1,1,False
109,1,1.05,1.5,3,3,200,600,100,100,100,100,0,0,0,0,2,False
110,7.5,7,7,3,3,200,600,66,300,66,130,0,0,0,1,1,False
111,0.3,0.4,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
112,12,1,1,3,3,200,500,67,67,67,67,0,0,0,1,1,False
113,1,1,1,3,3,200,500,66,300,66,300,0,0,0,0,1,False
114,1,1.2,1,3,3,600,600,66,100,66,83,0,0,0,1,1,False
115,1,2,2,1.7,3,200,500,100,100,100,100,350,350,0,1,1,False
116,1,1,1,3,3,200,500,66,300,66,300,0,0,0,1,1,False
117,6,6.5,8,3,3,200,500,67,300,67,300,0,0,0,1,1,False
118,1.4,1.5,2,1.7,3,200,500,100,100,100,100,250,250,0,1,1,False
119,12,7,7,3,3,200,500,100,100,100,100,0,0,0,1,2,False
120,3,1,1,3,3,200,1500,66,100,66,100,0,0,0,0,1,False
121,1,1,1,3,3,200,500,66,300,66,300,0,0,0,0,1,False
122,1,1,1,3,3,200,500,66,83,66,83,0,0,0,0,1,False
123,3.5,3,3,0.01,3,200,500,100,100,100,100,150,150,0,1,2,False
124,1.5,2,2,3,3,200,500,66,100,66,100,0,0,0,1,2,False
125,1,1,1,3,3,200,500,66,100,66,100,0,0,0,1,1,False
126,2.5,3,4,3,3,200,500,67,77,67,77,0,0,0,1,1,False
127,1,1,1,3,3,200,500,66,100,66,100,0,0,0,1,2,False
128,6,5,5,3,3,200,500,66,83,66,83,0,0,0,0,1,False
129,4,3,3,0.7,3,200,500,100,100,100,100,100,100,0,0,1,False
130,7,6,4,3,3,200,500,66,100,66,100,0,0,0,1,1,False
131,1,1.3,1.3,3,3,200,500,66,100,66,100,0,0,0,0,1,False
132,3,1,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
133,0.7,0.7,0.4,3,3,200,500,66,100,66,100,0,0,0,0,1,False
134,1.3,0.9,1,8,3,200,500,100,100,100,100,20,30,0,1,1,False
135,0.3,0.5,0.3,3,3,200,500,66,100,66,100,0,0,0,0,1,False
136,1.2,1,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
137,0.4,0.6,1,8,3,200,500,100,100,100,100,80,120,0,1,1,True
138,0.6,0.7,1,8,3,200,500,100,100,100,100,120,150,0,1,1,False
139,3,3.4,6,3,3,40,160,100,300,100,300,0,0,0,0,2,False
140,0.8,0.8,1,8,3,200,500,100,100,100,100,80,120,0,1,1,False
141,1.2,1.6,2,8,3,200,500,100,100,100,100,100,100,0,1,1,False
142,1.3,1.3,2,3,3,200,500,66,167,66,167,0,0,0,0,1,False
143,1.4,1.6,3,3,3,200,500,66,100,66,100,0,0,0,0,2,False
144,1.5,4,6,3,3,200,500,100,111,100,111,0,0,0,0,1,False
145,2,2.3,8,3,3,200,500,83,200,83,200,0,0,0,0,1,False
146,5.3,3.5,4,3,3,500,500,66,100,71,125,0,0,0,1,1,False
147,2.4,2,4,3,3,200,500,66,100,66,100,0,0,0,0,1,False
148,1.5,1.2,1,3,3,500,500,66,67,66,167,0,0,0,0,1,False
149,1,0.8,1,3,3,110,250,182,182,200,200,0,0,0,0,1,False
150,2.2,2,2.5,3,3,200,500,66,125,66,125,0,0,0,0,1,False
151,1.7,1.8,2.5,3,3,200,500,66,100,66,100,0,0,0,0,1,False
152,0.5,1.2,0.5,8,3,200,500,100,100,100,100,50,90,0,1,1,False
153,0.8,0.9,0.9,6,3,200,600,100,100,100,100,130,170,0,1,1,False
154,0.7,1.1,1.1,3,3,120,390,67,167,66,128,0,0,0,0,1,False
155,0.7,1.1,1.1,3,3,120,390,67,95,66,73,0,0,0,0,1,False
156,1,1,1,3,3,200,500,66,200,66,200,0,0,0,1,1,True
157,1.3,1.3,1.3,3,3,200,500,100,100,100,100,0,0,0,0,1,False
158,0.5,0.6,0.5,3,3,200,500,66,100,66,100,0,0,0,0,1,False
159,0.6,1,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
160,4.2,6,5,3,3,200,500,100,100,100,100,0,0,0,0,1,False
161,1.1,1.4,2,3,3,220,600,66,91,66,83,0,0,0,0,1,False
162,2,1.4,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
163,5,4,4,3,3,200,500,71,125,71,125,0,0,0,0,1,False
164,1.2,1.2,1,3,3,600,600,66,100,83,83,0,0,0,0,1,True
165,2,1.8,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
166,0.3,0.6,0.6,3,3,200,500,66,100,66,100,0,0,0,1,1,False
167,3.7,2.5,2.5,3,3,200,500,100,167,100,167,0,0,0,0,1,False
168,1.8,1.5,1,3,3,200,500,67,267,67,67,0,0,85,0,1,False
169,1,1,1,3,3,200,500,66,300,66,300,0,0,0,0,1,False
170,1,1,1,3,3,200,500,66,300,66,300,0,0,0,0,1,False
171,2.3,1.6,1.3,3,3,200,600,66,100,66,83,0,0,0,1,2,False
172,1,1.5,1,3,3,200,370,66,100,68,135,0,0,0,0,1,False
173,2.3,1,1,3,3,200,500,66,100,66,100,0,0,0,1,2,False
174,6,1,1,3,3,200,500,100,100,100,100,0,0,0,0,1,True
175,1.2,1.8,1.4,3,3,500,500,66,100,66,100,0,0,0,0,1,False
176,1.7,3.4,2.2,3,3,200,600,67,200,66,167,0,0,170,1,2,False
177,2.5,2,2,3,3,200,600,66,300,66,83,0,0,120,0,2,False
178,2,2.5,2.8,3,3,200,600,66,100,66,83,0,0,0,1,2,False
179,1,0.4,0.4,3,3,200,600,66,100,66,100,0,0,0,0,1,False
180,0.2,0.5,0.5,3,3,200,600,66,100,66,100,0,0,0,0,1,False
181,0.4,0.5,1,3,3,200,600,66,100,66,83,0,0,0,0,1,False
182,0.9,0.8,1,6,3,200,600,100,100,100,100,50,90,0,1,1,True
183,2,2,2,3,3,200,600,66,100,66,83,0,0,0,1,2,False
184,3.5,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
185,1,1,1,3,3,200,600,67,125,66,104,0,0,0,0,1,False
186,1.7,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
187,1.5,1,1,3,3,200,600,66,100,66,83,0,0,0,0,1,False
188,1,1,1,3,3,200,600,66,300,66,300,0,0,0,0,1,False
189,4,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,True
190,1,1,1,3,3,200,600,66,100,66,100,0,0,0,0,1,False
191,0.3,1,1,3,3,100,600,100,100,66,100,0,0,0,0,2,False
192,1,1,1,3,3,200,600,66,300,66,300,0,0,90,0,1,False
193,1,1,1,3,3,200,600,66,300,66,300,0,0,50,1,1,False
194,2,1,1,3,3,200,600,66,125,66,104,0,0,0,0,1,False
195,2,1.8,1.8,3,3,200,600,100,100,100,100,70,100,0,1,1,False
196,1.7,1.7,2,3,3,200,600,66,67,66,100,0,0,0,0,1,False
197,0.7,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
198,0.6,1,1,6,3,200,600,100,100,100,100,180,220,0,0,1,True
199,0.2,0.4,1,3,3,200,600,66,100,66,100,0,0,0,0,1,False
200,1,1,1,3,3,200,600,66,100,66,83,0,0,0,0,1,False
201,2.6,1,1,3,3,200,600,77,100,66,83,0,0,0,0,1,False
202,1,1,1,3,3,200,600,80,80,67,67,0,0,0,0,1,False
203,2,3,3,3,3,200,700,100,200,71,71,0,0,150,1,2,False
204,1,1.6,1,3,3,200,600,66,100,66,100,0,0,0,0,1,False
205,12,1,1,3,3,200,600,100,300,83,278,0,0,0,1,1,False
206,15,1,1,3,3,200,600,200,200,167,167,0,0,0,1,1,False
207,0.5,1,1,3,3,200,600,66,100,66,100,0,0,0,0,1,False
208,0.4,1,1,3,3,200,600,66,100,66,83,0,0,0,0,1,False
209,1.8,1.6,2,3,3,200,600,67,125,66,104,0,0,0,1,2,False
210,5,1,1,3,3,200,600,83,83,69,69,0,0,0,0,1,False
211,2,1,1,3,3,200,600,83,100,69,83,0,0,0,0,1,False
212,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
213,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
214,1,1,1,3,3,200,600,66,300,66,300,0,0,0,0,1,False
215,2.5,2,1.5,3,3,200,600,66,100,66,83,0,0,0,0,2,False
216,1,1,1,3,3,200,600,66,300,66,300,0,0,0,0,1,False
217,1.2,1.7,1.8,3,3,200,600,66,100,66,100,0,0,0,1,1,False
218,3,3,2.5,3,3,200,600,83,83,69,69,0,0,0,0,1,False
219,1.5,1,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
220,1,1,1,3,3,200,600,66,100,66,83,0,0,0,0,1,False
221,1.6,1.7,1,3,3,100,500,66,300,66,300,0,0,0,0,1,False
222,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
223,1,1,1,3,3,200,600,66,300,66,300,0,0,0,0,1,False
224,1,1,1,3,3,200,600,66,300,66,300,0,0,0,0,1,False
225,1.6,1,1,3,3,200,600,66,143,66,119,0,0,0,1,2,False
226,13,20,20,3,3,200,600,143,143,119,119,0,0,0,0,1,False
227,1.9,2.4,2.5,3,3,200,500,67,200,67,200,0,0,0,1,2,False
228,3,2,2,3,3,320,900,66,300,66,300,0,0,200,1,1,False
229,2.5,1,1,3,3,200,600,66,300,66,300,0,0,60,1,1,False
230,6,3.6,3.6,4,3,200,600,100,100,100,100,500,500,0,1,2,True
231,2.3,1,1,3,3,200,600,111,111,93,93,0,0,0,0,1,False
232,1,1,1,3,3,200,600,71,100,66,83,0,0,0,0,1,False
233,3.5,3,3,3,3,200,600,66,200,66,167,0,0,0,0,2,False
234,3.5,3,3,0.7,3,200,600,100,100,100,100,60,60,40,1,1,False
235,3,2.5,3,3,3,200,600,67,125,66,104,0,0,0,0,2,False
236,2.3,1.7,2.4,3,3,200,600,66,100,66,83,0,0,170,1,2,False
237,1.4,1,1,3,3,200,600,66,100,66,100,0,0,0,0,1,False
238,3,2,2.2,3,3,200,600,66,100,66,83,0,0,0,1,1,False
239,1,1,1,3,3,200,500,83,143,83,143,0,0,0,1,1,False
240,5,5.5,5.5,3,3,200,600,111,111,93,93,0,0,0,1,2,False
241,4,10,10,3,3,200,600,111,111,93,93,0,0,0,1,1,False
242,1.5,1.5,2,3,3,320,900,66,300,66,300,0,0,90,1,1,False
243,0.6,4,2,3,3,200,600,66,100,66,100,0,0,0,1,1,False
244,5,4.7,4.5,3,3,200,500,143,143,143,143,0,0,0,1,1,False
245,3.8,2.8,2.8,3,3,200,600,66,100,66,100,0,0,0,1,2,False
246,4,2.8,2.5,3,3,200,600,66,100,66,83,0,0,0,1,2,False
247,1.7,1.8,3,3,3,200,600,66,100,66,83,0,0,0,1,2,False
248,2.8,2.5,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
249,1,1,1,3,3,200,600,66,100,66,100,0,0,0,0,1,False
250,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
251,1,1,1,3,3,200,600,67,100,66,83,0,0,0,0,1,False
252,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
253,1,1,1,3,3,200,600,66,67,66,100,0,0,0,0,1,False
254,1,1,1,3,3,200,600,66,100,66,100,0,0,0,0,1,False
255,5,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
256,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
257,0.8,1,1,3,3,120,320,66,100,66,100,0,0,70,0,1,False
258,1,1,1,3,3,200,600,66,300,66,300,0,0,0,0,1,False
259,1,1,1,3,3,200,600,125,125,104,104,0,0,0,0,1,False
260,1,1,1,3,3,200,500,66,100,66,100,0,0,0,1,1,False
261,1,1,1,3,3,200,600,66,100,66,100,0,0,0,1,1,False
262,2,1,1,3,3,200,500,83,100,83,100,0,0,0,0,2,False
263,1,1.5,1,3,3,200,500,66,267,66,100,0,0,100,1,1,False
264,1.4,1.7,2,3,3,200,500,66,100,66,100,0,0,0,1,2,False
265,2,1,1,3,3,200,500,100,300,100,300,0,0,0,1,1,False
266,1,1,1,3,3,200,600,143,143,119,119,0,0,0,0,1,False
267,6,3.5,4.2,3,3,200,500,77,143,77,143,0,0,0,1,2,False
268,1,1,1,3,3,200,600,71,71,66,100,0,0,0,0,1,False
269,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
270,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
271,1,1,1,3,3,200,600,66,200,66,167,0,0,0,0,1,False
272,1,1,1,3,3,200,600,66,100,66,83,0,0,0,0,1,False
273,1,1,1,3,3,200,600,66,100,66,83,0,0,0,0,1,False
274,2.5,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
275,1,1,1,3,3,200,600,66,100,66,100,0,0,0,0,1,False
276,5.3,4,3,3,3,200,600,100,100,83,83,0,0,0,1,1,False
277,5.5,4,4,3,3,200,500,80,143,80,143,0,0,0,1,2,False
278,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
279,0.4,0.7,1,3,3,200,500,66,67,66,67,0,0,0,1,1,False
280,5,3.2,3,3,3,200,500,67,100,67,100,0,0,0,1,2,False
281,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
282,3,2.5,2,3,3,200,500,66,154,66,154,0,0,0,1,2,False
283,1,1,1,3,3,200,600,100,100,83,83,0,0,0,0,1,False
284,5,4.5,2,3,3,200,500,100,100,100,100,0,0,0,1,2,False
285,1,1.2,1.2,0.7,3,200,500,100,100,100,100,70,70,0,1,2,False
286,1.5,1.3,1.3,3,3,200,500,66,100,66,100,0,0,0,1,1,False
287,1.6,1,1,3,3,200,600,66,100,66,100,0,0,0,0,1,False
288,12,7.5,8,3,3,200,500,71,100,71,100,0,0,0,1,2,False
289,1,1,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
290,1.1,0.9,0.8,3,3,200,500,66,100,66,100,0,0,0,0,1,False
291,1,1,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
292,1,1,1,3,3,320,900,100,100,100,100,10,10,25,1,1,False
293,9,4,1,3,3,200,500,100,100,100,100,0,0,0,1,1,False
294,5,3,3,3,3,200,500,67,67,67,67,0,0,0,1,1,False
295,4.5,5,4,3,3,200,500,100,100,100,100,0,0,0,0,1,False
296,4,2.8,2.5,0.7,3,200,500,100,100,100,100,60,60,60,1,1,False
297,16,12,15,3,3,800,3600,66,100,66,100,0,0,0,0,2,False
298,5,7,10,3,3,300,700,148,185,159,198,0,0,0,0,2,False
299,5,7,10,3,3,300,700,148,148,159,159,0,0,0,0,2,False
300,12,13,13,3,3,200,500,67,100,222,222,0,0,0,1,2,False
301,1,1,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
302,1,1,1,3,3,200,500,66,83,66,83,0,0,0,0,1,False
303,2,1,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
304,1,1,1,3,3,200,500,67,67,67,67,0,0,0,0,1,False
305,1.5,1.5,2,3,3,200,500,66,300,66,300,0,0,0,0,2,False
306,2.5,1,1,3,3,200,500,66,100,66,100,0,0,25,1,2,False
307,6.5,3,1,3,3,200,500,66,100,66,100,0,0,0,0,2,False
308,2,1.5,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
309,2,1,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
310,1.5,3,3,3,3,200,500,67,167,67,167,0,0,0,1,2,False
311,3,4,4,3,3,200,500,66,100,66,100,0,0,0,1,2,False
312,1,1,1,3,3,200,500,66,300,66,300,0,0,140,0,1,False
313,2.3,1,1,3,3,200,500,100,100,100,100,0,0,0,1,2,False
314,2,1.3,1.3,3,3,200,500,67,100,67,100,0,0,0,1,1,False
315,3,2,2,3,3,200,500,100,100,100,100,0,0,0,1,1,False
316,3,3,3,3,3,200,500,111,111,111,111,0,0,0,1,1,False
317,1.5,1.2,2,3,3,300,900,66,300,66,300,0,0,200,1,1,False
318,8,9,5,3,3,200,500,100,167,100,167,0,0,0,0,1,False
319,1,1,1,3,3,200,500,66,300,66,300,0,0,65,0,1,False
320,0.5,0.6,0.8,3,3,30,100,111,111,83,83,0,0,0,1,2,False
321,1,1,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
322,2.5,2.7,2.5,3,3,200,500,100,143,100,143,0,0,0,1,1,False
323,2,2.5,2.5,3,3,200,500,100,100,100,100,0,0,0,0,1,False
324,1,1,1,3,3,1200,1200,66,100,66,100,0,0,0,1,1,False
325,2.5,1,1,3,3,200,500,66,300,66,300,0,0,0,1,1,False
326,1,1,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
327,5.5,5,3,3,3,200,500,100,100,100,100,0,0,0,1,2,False
328,12.5,11.5,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
329,10,7,7,3,3,200,500,100,100,100,100,0,0,0,1,2,False
330,1.3,1.5,1,3,3,200,500,66,100,66,100,0,0,0,1,1,False
331,1,0.5,0.3,3,3,200,500,66,100,66,100,0,0,0,0,1,False
332,1,1,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
333,1,1,1,0.7,3,200,500,100,100,100,100,90,100,0,1,1,False
334,1,1.2,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
335,1,1,1,3,3,200,500,66,300,66,300,0,0,50,0,1,False
336,3,3.4,1,3,3,200,500,100,125,100,125,0,0,0,0,2,False
337,1,1,1,3,3,200,500,66,300,66,300,0,0,40,1,1,False
338,0.5,1,1,3,3,240,600,69,83,69,83,0,0,0,0,1,False
339,3,2.5,1,3,3,200,500,100,111,100,111,0,0,0,1,2,False
340,2,1.8,1,3,3,200,500,67,100,67,100,0,0,0,1,2,False
341,1.2,1,1,3,3,200,500,66,300,66,300,0,0,50,1,1,False
342,0.6,1,1,3,3,200,500,66,300,66,300,0,0,50,1,1,False
343,1.8,3,5,3,3,200,500,66,100,66,100,0,0,0,1,1,False
344,5,2.5,1,3,3,200,500,100,100,100,100,0,0,0,1,1,False
345,5,2.5,1,3,3,200,500,100,100,100,100,0,0,0,1,1,False
346,1,1,1,3,3,200,500,66,300,66,300,0,0,0,0,1,False
347,6.2,6,5,3,3,200,500,118,118,118,118,0,0,0,0,2,False
348,1,1,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
349,0.5,1,1,3,3,200,500,77,77,77,77,0,0,0,0,1,False
350,1,3,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
351,7.4,7,1,3,3,200,500,125,125,125,125,0,0,0,1,1,False
352,1,1.5,1,3,3,200,500,66,100,66,100,0,0,0,1,1,False
353,1.1,1.3,1,3,3,200,500,77,300,77,300,0,0,0,1,1,False
354,8,5,1,3,3,200,500,100,100,100,100,0,0,0,1,2,False
355,1.5,1,1,2,1,200,500,100,100,100,100,45,45,0,1,2,False
356,1.1,1,1,3,3,200,500,66,300,66,300,0,0,80,1,1,False
357,1,3.5,1,3,3,200,500,100,100,100,100,0,0,0,0,1,False
