#,ChapterName,ChapterPart,Transient,Quest,Unknown0,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,UITab,Category,Unknown1
19,Alexander,Alexander,"Die riesige, burgartige Maschine, die bisher still im Thaliak, einem Fluss im dravanischen Hinterland, gelegen hatte, ist an die Oberfläche gekommen. Die Helden Eorzeas versammeln sich vor der neuen Bedrohung, die man ob ihrer Kraft für einen neuen Primae halten kann, um ein fantastisches Abenteuer zu erleben, das sie über die Grenzen der Zeit hinweg führt.",67875,0,114713,114113,114413,3,4,2
20,Schatten von Mhach,Schatten von Mhach,"Niemand kennt die Sieben Himmel besser als die Luftpiraten, die ihre Luftschiffe auf der Suche nach unbekannten Ländern und vergessenen Schätzen durch das endlose Wolkenmeer steuern. Unter ihnen macht ein Gerücht über ein Geisterschiff im Wolkenmeer die Runde: die Nichts-Arche, von Magiern des Altertums einst zur Rettung vor einer drohenden Flutkatastrophe gebaut. Alle Mann klar zum Entern!",67910,0,114714,114114,114414,3,5,2
21,Kriegstriade,Kriegstriade,"Drei mächtige Primae ruhen eingeschlossen in den schwebenden Inseln von Azys Lla, doch Sephirot, eine der drei Ikonen, erwacht aus seinem Schlaf. Auf Warnung des maskierten Unukalhai hin treten die Helden des Bundes der Morgenröte der neuen Bedrohung entgegen.",67930,0,114715,114115,114415,3,6,1
22,Omega,Omega,"Cid und Nero aktivierten die uralte Omega-Waffe, um Eorzea vor der Zerstörung durch die Primae zu schützen. Der heftige Kampf mit dem erweckten Shinryu trug die Superwaffe in Richtung Gyr Abania, wo sich jede Spur verlor. Nun entbrennt ausgerechnet im Inter­dimen­sio­nalen Riss ein schier undenkbarer Kampf ...",68693,0,114716,114116,114416,3,4,3
23,Rückkehr nach Ivalice,Rückkehr nach Ivalice,"Kugane bekommt Besuch von der *Prima Vista*, halb Luftschiff, halb Theater­bühne. Die Schau­spiel­truppe garleischer Exilanten führt das Stück „Die Zodiak-Streiter“ in der Hafenstadt des Ostens auf, in dem es um die Rückkehr in das sagenumwobene Königreich von Ivalice geht. Handelt es sich dabei vielleicht um mehr als nur eine Legende?",68725,0,114717,114117,114417,3,5,3
24,Der Mythos der vier Tierheiligen,Die vier Tierheiligen,"Die Legende des Samurai Tenzen, der zusammen mit vier heiligen Tieren einen Dämonen vertrieb, ist in ganz Othard bekannt. Doch hinter mancher Legende steckt mehr, als es scheint ... Welche Geheimnisse warten in der Rubinsee darauf, enthüllt zu werden?",68702,0,114718,114118,114418,3,6,2
25,Hildibrands Fälle,Hildibrands Fälle,"Man dachte, er habe sein Leben in der Siebten Katastrophe gelassen, doch gegen diesen ehrenwerten Meisterkriminologen ist kein Gras gewachsen. Hildibrand Manderville stellt seine messerscharfe Kombinationsgabe und seinen todsicheren Spürsinn in den Dienst der Bewohner von Eorzea und lässt keinen Fall ungelöst.",66038,0,114719,114119,114419,2,7,1
26,Hildibrands Fälle (Heavensward),Hildibrands Fälle (Heavensward),"Hildibrand verabschiedete sich auf dem Luftweg in Richtung Norden und bleibt verschwunden. Seine treue Assistentin Nashu Mhakaracca macht sich auf den Weg ins eisige Ishgard, um ihren Meister zu finden. In welcher misslichen Lage wird sie den kongenialen Kriminologen antreffen?",67908,0,114720,114120,114420,2,7,2
27,Hildibrands Fälle (Stormblood),Hildibrands Fälle (Stormblood),"Diesmal verabschiedete sich Hildibrand mit einem luftigen Hupfer in den Fernen Osten, doch Nasha Mhakaracca ist ihm bereits auf den Fersen. In Kugane angekommen erfährt sie von Gerüchten über den Einsamen Wolf, einen listigen Dieb. Wo ist der Meisterkriminologe bloß, wenn man am ihn am dringendsten braucht?",68704,0,114721,114121,114421,2,7,3
28,Sankt Endalim-Theologikum,Sankt Endalim-Theologikum,"Die Wahrheit über die Ursache des Drachenkriegs, die die Kriegerin des Lichts und ihre Gefährten aufdeckten, hat das historische und religiöse Fundament der Heiligen Stadt erschüttert. Im Zentrum der Kritik steht das Sankt Endalim-Theologikum, seit Jahrhunderten Ishgards altehrwürdige Ausbildungsstätte des orthodoxen Glaubens. Nun scheint der Umbruch unaufhaltsam. Eine harte Probe erwartet die Adepten ...",67900,0,114722,114122,114422,2,8,1
29,Drachenkrieg (Epilog),Drachenkrieg (Epilog),"Die Kriegerin des Lichts stapft in einer Erinnerungsreise durch den Schnee, um sich die Heraus­forde­rungen und Errungenschaften des zu Ende gebrachten Drachenkrieges noch einmal ins Gedächtnis zu rufen.",67015,0,114723,114123,114423,2,9,1
30,Zimmerer - Kapitel 1,Kapitel 1,"In Gridania, dem grünen Herzen des Finsterwaldes, treffen tüchtige Handwerker auf die höchste Form der Holz­ver­arbeitung. Die Zimmerergilde ist nicht nur ein wichtiges Standbein der Stadt selbst, der Gildenmeister Beatin heißt auch Abenteurer von nah und fern willkommen, die sich an seiner Kunst versuchen wollen. Mit seinem Talent und der tiefen Hingabe zum Material stellt Beatin allerlei Gegenstände her, die das Leben der Gridanier bereichern und erleichtern.",66075,0,114724,114124,114424,7,10,1
31,Zimmerer - Kapitel 2,Kapitel 2,"Es gab großen Tumult um Gairhard, einen engen Freund von Gildenmeister Beautin - erst totgeglaubt, rettete ein von der Abenteurerin eigens hergestellter Bogen ihm schließlich das Leben. So kehrte er mehr oder minder heil zurück und für diese außer­ordent­liche Leistung verlieh Beautin den Titel der Meisterzimmerin. Nun schickt er die Abenteurerin mit einem gebrochenen Speer gen Ishgard, um ihn seinem rechtmäßigen Besitzer zuzuführen.",67537,0,114725,114125,114425,7,10,2
32,Zimmerer - Kapitel 3,Kapitel 3,"Der Speer brachte die Abenteurerin zu dem Ishgarder Barthovieu, dem sie letztendlich selbst einen meisterhaften Speer baute. Mit dessen Hilfe erschlug Barthovieu jenen Drachen, der einst seinem Vater das Leben raubte, und wurde ehrenhaft in die Reihe der Tempelritter aufgenommen. Der Weg der Abenteurerin führt sie nun weiter nach Hingashi, wo sie die östlichen Künste der Zimmerei erwarten.",67981,0,114726,114126,114426,7,10,3
33,Grobschmied - Kapitel 1,Kapitel 1,"Die Geschichte der limsischen Schmiedekunst ist eng mit den Piraten und den Kobolden verbunden. Auf stetigen Austausch von Techniken und Kenntnissen achtet auch der ansässige Gildenmeister Brithael, der mehr als willig scheint, die Abenteurerin in den Künsten der Grobschmiederei zu unterrichten. So man sich denn als fähig erweist ...",65838,0,114727,114127,114427,7,11,1
34,Grobschmied - Kapitel 2,Kapitel 2,"Die vielen, vielen Auftragsarbeiten für den Händler Faezahl haben die Abenteurerin einiges gelehrt und die Schmiedekünste geschliffen. Das erkennt auch Brithael, der sie zu einer Grobschmiedemeisterin erklärt und auch prompt einen neuen Kontakt parat hält. Man soll sich doch bitte an einen hochrangigen Adeligen in Ishgard wenden ...",67547,0,114728,114128,114428,7,11,2
35,Grobschmied - Kapitel 3,Kapitel 3,"In Ishgard unterstützt die Abenteurerin Baronin Laurisse Jervaint dabei, die Ehre ihres gefallenen Hauses wie­der­her­zu­stel­len. Dafür bedarf es all ihrer Schmiedekünste, um das Familienschwert zu neuem Glanz zu bringen und der Adeligen so zu einem Tempelritter-Rang zu verhelfen. Mit dieser guten Tat kehrt sie Ishgard nun aber den Rücken und wendet sich gen Osten, wo weitere Heraus­forde­rungen warten.",68155,0,114729,114129,114429,7,11,3
36,Plattner - Kapitel 1,Kapitel 1,"Die hochspezialisierten Plattner und ihre Gilde entstammen Limsa Lominsas berühmter Schmiedekunst. Ihre Speerpitze ist Gildenmeisterin H'naanza, die genauso viel auf Tradition wie auf die Qualität ihrer Rüstungen gibt. Die Abenteurerin trifft auf einen ihrer Lehrlinge, der ihre Neugier auf diese besondere Form des Schmiedens weckt ...",65820,0,114730,114130,114430,7,12,1
37,Plattner - Kapitel 2,Kapitel 2,"Die herausragenden Fä­hig­kei­ten als Plattnerin beeindruckten nicht nur Admiral Merlwyb selbst, sie brachten der Abenteurerin auch den Sieg über Blanstyr im Gildenwettstreit ein. Das hat Blanstyr auf den Boden der Tatsachen zurückgeholt und der hitzköpfige Roegadyn konnte sogar den ein oder anderen Kniff lernen.",67578,0,114731,114131,114431,7,12,2
38,Plattner - Kapitel 3,Kapitel 3,"Blanstyr hat sich zu einer regelrechten Plattner-Koryphäe entwickelt, die Aufträge nehmen gar kein Ende! Doch der rastlose Roegadyn verfolgt höhere Ziele - man soll in den Fernen Osten reisen, wo er durch kulturellen Austausch auf gänzlich neue Techniken und Methoden hofft.",68134,0,114732,114132,114432,7,12,3
39,Goldschmied - Kapitel 1,Kapitel 1,"Ul'dah ist als das funkelnde Juwel Thanalans bekannt, nicht zuletzt durch ihren Reichtum an Gold, Silber und Edelsteinen. Es gäbe keinen passenderen Sitz für die Gilde der Goldschmiede, angeführt von ihrer edlen Meisterin Serendipity. Gemeinsam mit ihrer scharfzüngigen Assistentenmarionette lehrt sie die Kunst des Goldschmiedens all jenen, die sich der fordernden Kunst gewachsen fühlen.",66194,0,114733,114133,114433,7,13,1
40,Goldschmied - Kapitel 2,Kapitel 2,"Der verrufene Jadefuchs ist endlich gefasst und die Marionette Gigi repariert - all das dank der  nimmermüden Bemühungen der Abenteurerin! Serendipity ist tief beeindruckt von ihrer Entwicklung und macht deutlich, dass sie alles von ihr gelernt hat, was es zu lernen gibt. Daher stellt sie ihr dem Schmuckhändler Eshtaime vor, um ihren Werdegang auch weiterhin zu fördern.",67610,0,114734,114134,114434,7,13,2
41,Goldschmied - Kapitel 3,Kapitel 3,"Man hat sich der schier unmöglichen Heraus­forde­rung gestellt, zwei miteinander harmonierende Spieldosen herzustellen, die das Jubiläum eines ganz besonderen Pärchens feiern sollen. Diese Meisterwerke haben den Ruf der Abenteurerin weit getragen, bis an die Ohren einer sehr speziellen Auftraggeberin ...",68139,0,114735,114135,114435,7,13,3
42,Gerber - Kapitel 1,Kapitel 1,"Seit Jahrhunderten ist der Finsterwald das Herz der eorzäischen Jagdbräuche und Gridania somit der unangefochtene Mittelpunkt der Lederverarbeitung. Beinahe genauso alt ist die Gerbergilde, angeführt von der genialen Gildenmeisterin Geva. Nichts ist für sie wichtiger als das Leben zu ehren, aus dem ihre Kunst entsteht. Doch nicht alle Gerber teilen ihre noblen Ansichten.",65602,0,114736,114136,114436,7,14,1
43,Gerber - Kapitel 2,Kapitel 2,"Lange lagen die Abenteurerin und Geva im Clinch mit der neuen Ledermarke Angrbotha, die trotz Betrügerei und Ruchlosigkeit letztlich den Kürzeren ziehen musste. Ihre Werke waren es, die bei der alles entscheidenden Produktschau allen den Atem raubten und ein für allemal bewiesen, dass Gevas Weg des Gerbens der bessere ist. Nun schickt die Gildenmeisterin die Kriegerin des Lichts gen Ishgard, wo eine aufstrebende Händlerin auf sie wartet.",67615,0,114737,114137,114437,7,14,2
44,Gerber - Kapitel 3,Kapitel 3,"Gemeinsam mit Elde hat die Abenteurerin die hohe Kunst der gridanischen Gerberei auch in Ishgard verbreitet und die halbe Stadt mit exquisiten Waren beliefert. Eine Entwicklung, die natürlich auch Gildenmeisterin Gevas Herz höher schlagen lässt. Als wahre Meisterin des Fachs erwartet die Kriegerin des Lichts nun ein Auftrag von einer hochspezialisierten Forscherin.",68151,0,114738,114138,114438,7,14,3
45,Weber - Kapitel 1,Kapitel 1,"Die Kunst des Webens zieht ihre Fäden quer durch Thanalans Geschichte und ist eng mit dem Reichtum ihrer Hauptstadt verwoben. Doch extrem günstige Importware aus fernen Landen bedroht die lokale Handwerkskunst. Dieser Gefahr stellt sich Duftende Rose, der Meister der Webergilde, mit exquisiter Qualität entgegen. Sein erstes Ziel ist es, Thanalans Minenarbeitern zu besseren Klamotten zu verhelfen.",66190,0,114739,114139,114439,7,15,1
46,Weber - Kapitel 2,Kapitel 2,"Es war ein steiniger Weg, über den der Minenarbeiter Wawarukka und die Händlerstochter Kokomo zueinander gefunden haben. Erst der feinste Zwirn, der Nadel der Abenteurerin entsprungen, half der jungen Liebe, ihre zarten Blüten zu entfalten. Duftende Rose ist zwar hingerissen von all dem Fortschritt, hat jedoch mehr zu tun als jemals zuvor und schickt die Kriegerin des Lichts daher ins kalte Ishgard, um ihre Künste anderswo zu vertiefen. ",67542,0,114740,114140,114440,7,15,2
47,Weber - Kapitel 3,Kapitel 3,"In Ishgard wartet Averil, eine junge Adelige, die an der Weberei selbst wenig Interesse hat. Stattdessen näht die Abenteurerin ihr die passenden Gewänder, damit sie ihrem Liebsten als Heilerin auf dem Schlachtfeld zur Seite stehen kann. Nachdem sich das Paar verabschiedet hat, hält Duftende Rose auch schon den nächsten Kontakt bereit.",67971,0,114741,114141,114441,7,15,3
48,Alchemist - Kapitel 1,Kapitel 1,"Frondales Physiatrische Akademie in Ul'dah ist eine Hochburg der Medizin und Alchemie. So ist es nicht verwunderlich, dass sich die klügsten Köpfe um den exzentrischen, genialen Severian scharten und der kurzerhand die Alche­misten­gilde gründete. Eben jener Gildenmeister verpflichtet die Abenteurerin nun, ihm bei der Erforschung des größten alchemistischen Geheimnisses zu assistieren.",66186,0,114742,114142,114442,7,16,1
49,Alchemist - Kapitel 2,Kapitel 2,"Vor Severian ist wirklich kein Geheimnis sicher und der scharfsinnige Forscher schafft es tatsächlich, seine verstorbene Geliebte von den Toten wiederauferstehen zu lassen. Zumindest lange genug für ein kurzes, warmes Wieder­sehen, das ihn von seiner schweren Last befreit. Nun steckt er voller neuem Tatendrang und betraut die Abenteurerin mit einer oberflächlich sehr trivialen Aufgabe.",67605,0,114743,114143,114443,7,16,2
50,Alchemist - Kapitel 3,Kapitel 3,"Gemeinsam mit Wiltwaek und Chanene hat die Kriegerin des Lichts ihre investigative Seite erkundet und letztlich einen garstigen Mörder gestellt. Einfach war die Sache nicht, doch alchemistisches Fachwissen hat viel zu einem guten Ende beigetragen. Severian wartet allerdings gleich mit der nächsten morbiden Aufgabe - es geht um einen nicht verwesenden Leichnam auf Ul'dahs Friedhof.",67976,0,114744,114144,114444,7,16,3
51,Gourmet - Kapitel 1,Kapitel 1,"Die Berge, das Meer und blühender Handel - Limsa Lominsa hat die beste Kombination an Zutaten, die es für eine vielfältige und exquisite kulinarische Geschichte braucht. So ist es nicht verwunderlich, dass sich die Gourmet-Gilde in dem Stadt­staat niedergelassen hat und im Restaurant Bismarck auch bestens vertreten ist. Chefkoch des Ganzen ist Lyngsath, der seine köstlichen Kreationen auch willigen Aben­teu­re­rin­nen nicht verwehrt.",65806,0,114745,114145,114445,7,17,1
52,Gourmet - Kapitel 2,Kapitel 2,"Man tischt Sultana Nanamo die erlesensten Speisen auf und erfreut damit nicht nur ihren Gaumen, sondern durchkreuzt damit auch die finsteren Pläne von Lolorito. Der Ruf der Gourmet-Gilde ist gerettet und die Kriegerin des Lichts erweist sich als wahrliche Meisterköchin! Lyngsath ist ähnlich begeistert von diesem Können und will sie den Leichtblütigen Sirenen vorstellen, um ihren Ruf weiter zu verbreiten.",67583,0,114746,114146,114446,7,17,2
53,Gourmet - Kapitel 3,Kapitel 3,"Eigentlich bestand nie ein Zweifel daran, dass H'mhasi Tia beim Kochwettbewerb geschlagen und der hochmütige Chefkoch auf den Kuchenboden der Tatsachen geholt wird. So erzielt die Kriegerin des Lichts die höchste Punktzahl beim Dellemont d'Or, die jemals verzeichnet wurde, und geht so in Limsa Lominsas kulinarische Geschichte ein. Doch diese köstliche Reise scheint noch längst nicht zu Ende, als ein Bewunderer auftaucht und sie dazu ermutigt, ihren Horizont im Osten zu erweitern.",68144,0,114747,114147,114447,7,17,3
54,Minenarbeiter - Kapitel 1,Kapitel 1,"Unter Thanalans trockener Erde schlummern unzählige Mineralvorkommen, die vor allem dem Stadt­staat Ul'dah zu immensem Reichtum verhelfen. Doch diejenigen, die die Schätze der Erde bergen, profitieren davon meist wenig. Ihre Interessen vertritt die Minenarbeitergilde mit Meisterin Adalberta als ihre Speerspitze. Ihr soll die Abenteurerin im Austausch für ihr enormes Fachwissen dabei helfen, einen Konflikt mit der Amajina Bergbau AG zu lösen.",66182,0,114748,114148,114448,8,18,1
55,Minenarbeiter - Kapitel 2,Kapitel 2,"Dank des beherzten Einsatzes mehrerer Spitzhacken gelang es der Kriegerin des Lichts, letztlich eine Brücke zwischen Adalberta und Tiefe Schlucht von der Amajina Bergbau AG zu bauen. Es war kein leichtes Unterfangen, doch immerhin ein äußerst lehrreiches. Nun wartet Arbeit bei einem von Ishgard angeheuerten Söldnertrupp.",67620,0,114749,114149,114449,8,18,2
56,Minenarbeiter - Kapitel 3,Kapitel 3,"Gemeinsam mit Oschons Räubern hat die Abenteurerin die Lande um Ishgard nach wertvollen Mineralvorkommen durchkämmt und dabei nicht nur dem Söldnertrupp zu neuem Aufschwung verholfen, sondern auch ein verloren geglaubtes Familienmitglied aufgespürt. Adalberta ist tief beeindruckt von diesen Fortschritten und schickt sie sofort gen Frohehalde, wo bereits ein neuer Auftrag wartet.",68094,0,114750,114150,114450,8,18,3
57,Gärtner - Kapitel 1,Kapitel 1,"Der Finsterwald lässt nur diejenigen an seinen reichen Gaben teilnehmen, die die Stimmen der Gebieter hören. Dies ist der Leitsatz von Gridanias Gärtnergilde, die ihr Handwerk unter Fufuchas Leitung und in völligem Einklang mit der Natur betreiben. Nur wer diesem Leitsatz folgt darf die hohe Kunst des Gärtnerns erlernen und einen Einblick in die vielen Geschehnisse tief im Wald erhaschen.",65549,0,114751,114151,114451,8,19,1
58,Gärtner - Kapitel 2,Kapitel 2,Fufucha war ihres Handwerks müde und von allerlei Sorgen geplagt. Doch die Hingabe zum Gärtnern hat neuerlichen Eifer in ihr entfacht und die Gildenmeisterin erblüht wieder voll und ganz in ihrer Arbeit. Sie hat auch gleich eine neue Aufgabe für die Kriegerin des Lichts. Gemeinsam mit einer Reporterin des Wochenmagazins „Der Rabe“ soll sie nach Coerthas reisen und als Inspiration für eine Serie von Artikeln dienen.,67588,0,114752,114152,114452,8,19,2
59,Gärtner - Kapitel 3,Kapitel 3,"Gemeinsam mit Basyle, einem Gärtner aus dem Wolkenmeer, hat die Abenteurerin der Reporterin Mujih mehr als genug Inspiration geliefert, um ein ausgiebiges Portrait der Gärnerei zu verfassen. Dies verleiht ihrem eigenen Ruf sprichwörtliche Flügel und Fufucha schickt sie prompt nach Frohehalde, wo ein neuer Auftrag wartet. ",68160,0,114753,114153,114453,8,19,3
60,Fischer - Kapitel 1,Kapitel 1,"Nirgendwo sind die Fische so frisch wie in Limsa Lominsa! Das weiß auch die hiesige Fischergilde, deren Fangtechniken in ganz Eorzea bekannt sind. Geführt wird sie offiziell von Wawalago, doch im Moment ist es Sisipu, die den Alltag der Gilde schmeißt. Wer bereit ist, die Angel in die Hand zu nehmen, erhält sofort einen ersten Auftrag von ihr.",66654,0,114754,114154,114454,8,20,1
61,Fischer - Kapitel 2,Kapitel 2,"Nach der Sichtung einer enormen Seeschlange wurde ein weitreichendes Angelverbot verhängt, das der Gilde selbst­verständ­lich hart zusetzte. Erst durch das beherzte Eingreifen der Abenteurerin gelang es, jene Seeschlange als besonders großen Marlin zu enttarnen und das Verbot wieder aufzuheben. Ihr Können als Fischerin brachte ihr überschwängliches Lob von Sisipu und einen angelnden Reisegefährten ein, den sie nun nach Ishgard begleitet.",67625,0,114755,114155,114455,8,20,2
62,Fischer - Kapitel 3,Kapitel 3,"Einer geschickten Angel entgeht wirklich nichts! Nicht einmal Ansaulmes Wappenring, der ihn als rechtmäßigen Erben etabliert und seinen tyrannischen Bruder seiner Position enthebt. Ein derart geschickter Fang bleibt selbst­verständ­lich nicht unbemerkt und Wawalago betraut die Kriegerin des Lichts mit einer schier unmöglichen Aufgabe - die als ausgestorben geltende Meerschnuppe soll gefunden werden. ",68435,0,114756,114156,114456,8,20,3
