#,Name,Description,Icon,Action,UnlockLink,Unknown0,Recast,UIPriority,Unknown2,Unknown1
19,Entziffern,Du entschlüsselst vorsichtig eine vergilbte Schatzkarte.,115,1694,25,1,0,61,False,False
20,Ausgraben,"Du durchkämmst das auf der alten Karte angegebene Gebiet nach einem Schatz.
Radius: 30y",116,1695,25,1,67,62,False,False
21,Raffinieren,"Du reduzierst ein Sammlerstück auf seine Essenz, um einen anderen Gegenstand zu erhalten.",121,0,256,2,0,52,False,True
22,Projizieren,"Du verbrauchst ein Projektionsprisma, um das Aussehen eines Aus­rüstungs­gegen­standes zu verändern.",119,0,15,2,0,42,False,True
23,Absteigen,Du steigst von deinem Reittier ab.,19628,0,0,1,0,0,False,False
24,Flugreittier-Roulette,Ruft ein zufällig ausgewähltes fliegendes Reittier herbei.,122,0,0,1,0,0,False,False
25,Projektionsplatte,"Du erstellst Ausrüstungssets aus Projektionen, um das Aussehen deiner aktuellen Ausrüstung zu verändern.",125,0,15,2,0,43,False,True
26,Spezialkommando 1,Führt ein inhaltsspezifisches Kommando aus.,123,0,0,1,0,1,True,False
27,Spezialkommando 2,Führt ein inhaltsspezifisches Kommando aus.,124,0,0,1,0,2,True,False
28,Einstecken,Steckt das momentane Modeaccessoire wieder ein.,19688,0,0,1,0,0,False,False
29,Helfer-Kommandomenü,"Ändert die Reihenfolge der Kommandos, die im Helfer-Kommandomenü angelegt sind.",19692,0,0,1,0,0,False,True
30,Helfer-Kommandomenü,"Ändert die Reihenfolge der Kommandos, die im Helfer-Kommandomenü angelegt sind.",19692,0,0,1,0,0,False,True
31,Phantomkommando 1,Führt ein inhaltsspezifisches Kommando aus.,126,0,537,1,0,3,True,False
32,Phantomkommando 2,Führt ein inhaltsspezifisches Kommando aus.,127,0,537,1,0,4,True,False
33,Phantomkommando 3,Führt ein inhaltsspezifisches Kommando aus.,128,0,537,1,0,5,True,False
34,Phantomkommando 4,Führt ein inhaltsspezifisches Kommando aus.,129,0,537,1,0,6,True,False
35,Phantomkommando 5,Führt ein inhaltsspezifisches Kommando aus.,130,0,537,1,0,7,True,False
36,Markierung „Angreifen“ anvisieren,"Du visierst das mit der Markierung „Angreifen“ 1 bis 8 versehene Ziel an. Gibt es mehrere Ziele, werden sie aufsteigender Reihe nach anvisiert.",133,0,0,3,0,14,False,True
37,Markierung „Binden“ anvisieren,"Du visierst das mit der Markierung „Binden“ 1 bis 3 versehene Ziel an. Gibt es mehrere Ziele, werden sie aufsteigender Reihe nach anvisiert.",134,0,0,3,0,15,False,True
38,Markierung „Ignorieren“ anvisieren,"Du visierst das mit der Markierung „Ignorieren“ 1 oder 2 versehene Ziel an. Gibt es mehrere Ziele, werden sie aufsteigender Reihe nach anvisiert.",135,0,0,3,0,16,False,True
39,Quadrat anvisieren,Du visierst das mit Quadrat markierte Ziel an.,136,0,0,3,0,17,False,True
40,Kreis anvisieren,Du visierst das mit Kreis markierte Ziel an.,137,0,0,3,0,18,False,True
41,Plus anvisieren,Du visierst das mit Plus markierte Ziel an.,138,0,0,3,0,19,False,True
42,Dreieck anvisieren,Du visierst das mit Dreieck markierte Ziel an.,139,0,0,3,0,20,False,True
43,Nächste Strategie,Wählt das nächste Strategiebrett aus.,140,0,0,3,0,71,False,True
44,Vorherige Strategie,Wählt das vorherige Strategiebrett aus.,141,0,0,3,0,72,False,True
