#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Priority,Enemy,Icon,Order,HP,SkillAngle,Unknown1,Scale,InactiveIdle0,InactiveIdle1,InactiveBattle,InactiveWandering,Behavior,Special,Unknown10,Unknown11,WanderingWait,Unknown2,Cost,Unknown3,SkillCost,Unknown4,MinionRace,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Battle,Roulette,IdleAnimation
17,Rehkitz,Rehkitze,2,2,0,1,2,0,435,11,0,4417,1007,400,360,632,100,20,10,0,30,2,0,0,0,8,0,15,22,20,2,1,True,False,False,False,True,False,True,True
18,Baby-Imp,Baby-Imps,4,1,0,1,0,0,436,12,0,4418,1008,380,120,608,100,20,10,0,0,2,0,0,0,8,0,20,1,20,2,2,True,False,False,False,True,False,True,True
19,Mini-Coeurl,Mini-Coeurl,3,1,0,1,0,0,437,13,35,4452,1009,365,30,603,85,10,10,0,0,2,0,0,0,8,0,10,1,30,3,1,True,False,True,False,True,True,True,True
20,schwarz[a] Coeurl,schwarz[a] Coeurl,3,1,0,1,0,0,438,13,35,4514,1010,380,0,620,75,10,10,0,0,2,0,0,0,8,0,15,31,30,3,1,True,False,True,False,True,True,True,True
21,Hildibrand-Puppe,Hildibrand-Puppen,4,1,0,1,1,0,882,268,0,4515,9014,400,360,630,100,10,0,0,0,1,0,0,0,8,0,30,16,60,2,3,False,True,False,False,False,False,True,True
22,Kiesgolem,Kiesgolems,4,1,0,1,0,0,440,202,0,4419,1011,480,0,620,100,20,10,0,0,1,0,0,0,8,0,20,10,20,2,2,False,True,False,True,False,False,True,True
23,Tomberry-Stofftier,Tomberry-Stofftiere,4,2,0,1,2,0,441,203,0,4453,1012,470,360,630,100,30,0,0,0,1,0,0,0,8,0,20,16,60,1,2,False,True,False,True,False,True,True,True
24,Zwergschildkröte,Zwergschildkröten,3,1,0,1,1,0,442,18,0,4420,1013,480,120,622,100,10,10,0,0,2,0,0,0,8,0,20,14,20,2,2,True,False,False,False,True,False,True,True
25,Baby-Raptor,Baby-Raptoren,4,1,0,1,0,0,443,19,0,4421,1014,400,0,620,100,20,20,0,0,2,0,0,0,8,0,10,21,20,2,2,True,False,False,False,True,False,True,True
26,Baby-Fledermaus,Baby-Fledermäuse,3,2,0,1,1,0,444,20,0,4422,1015,420,120,631,100,30,0,0,0,2,0,0,0,8,0,10,20,20,1,2,True,False,False,False,False,False,True,True
27,Mini-Knolle,Mini-Knollen,3,1,0,1,1,0,445,21,0,4423,1016,480,360,634,100,30,0,0,0,2,0,0,0,8,0,25,35,25,1,2,True,False,False,False,False,False,True,True
28,Staubhäschen,Staubhäschen,4,1,0,1,2,0,446,22,0,4424,1017,340,120,609,100,10,10,0,30,2,0,0,0,8,0,10,1,20,2,1,True,False,False,True,False,False,True,True
29,mechanisch[a] Dullahan,mechanisch[a] Dullahan,3,1,0,1,0,0,447,204,0,4425,1018,445,360,634,100,30,0,0,0,1,0,0,0,8,0,20,35,30,1,2,False,True,True,False,False,False,True,True
30,Kaulquappe,Kaulquappe,3,2,0,1,1,0,448,24,0,4426,1019,495,30,607,100,30,0,0,0,2,0,0,0,8,0,20,13,20,1,2,True,False,False,False,False,False,True,True
31,Schwabbelpuk,Schwabbelpuks,4,1,0,1,0,0,449,25,0,4427,1020,460,30,606,100,20,10,0,0,2,0,0,0,8,0,15,23,20,2,2,True,False,False,False,True,False,True,True
32,Büffelkalb,Büffelkälber,4,2,0,0,2,0,450,26,0,4428,1021,440,0,620,100,30,0,0,0,2,0,0,0,8,0,10,9,20,1,2,True,False,True,False,True,False,True,True
33,Kaktorfigur,Kaktorfiguren,3,1,0,1,1,0,451,27,0,4429,1022,380,0,620,100,20,0,0,20,2,0,0,0,3,0,10,17,30,1,2,True,False,True,False,False,False,True,True
34,Mini-Krabbe,Mini-Krabben,3,1,0,1,1,0,452,28,0,4430,1023,420,120,605,100,30,0,0,0,2,0,0,0,8,0,10,28,20,1,2,True,False,True,False,False,False,True,True
35,Wolfshundwelpe,Wolfshundwelpen,8,1,0,1,0,0,453,29,19,4450,1024,385,360,617,100,10,10,0,0,2,0,0,0,8,0,15,11,20,3,1,True,False,True,True,True,True,True,True
36,Wächterauge,Wächteraugen,4,1,0,1,2,0,454,30,0,4431,1024,440,30,613,100,30,0,0,0,2,0,0,0,8,0,10,1,20,1,2,True,False,False,True,True,False,True,True
37,Dodo-Küken,Dodo-Küken,4,1,0,1,2,0,455,31,0,4432,1025,500,0,620,100,20,10,0,30,2,0,0,0,8,0,25,39,20,2,2,True,False,False,False,True,False,True,True
38,Kobalos-Larve,Kobalos-Larven,3,1,0,1,1,0,456,32,0,4433,1026,400,360,626,100,20,10,0,0,2,0,0,0,8,0,15,12,20,2,2,True,False,False,False,False,False,True,True
39,Steinbock-Stofftier,Steinbock-Stofftiere,4,2,0,1,2,0,457,205,0,4434,1027,340,360,623,85,30,0,0,0,1,0,0,0,8,0,10,29,20,1,1,False,True,True,False,False,False,True,True
40,Apkallu-Küken,Apkallu-Küken,4,1,0,1,2,0,458,34,0,4435,1028,510,0,620,100,20,10,0,0,2,0,0,0,8,0,30,41,20,2,1,True,False,True,False,True,False,True,True
41,Baby-Goobbue,Baby-Goobbue,3,1,0,1,1,0,459,35,0,4436,1029,410,0,620,100,10,0,0,0,2,0,0,0,8,0,20,37,20,1,2,True,False,False,False,False,False,True,True
42,Mini-Pudding,Mini-Puddings,4,1,0,1,0,0,460,36,0,4437,1030,400,0,620,100,30,0,0,0,2,0,0,0,8,0,10,21,20,1,2,True,False,False,True,False,False,True,True
43,Aufzieh-Frontbrecher,Aufzieh-Frontbrecher,4,2,0,1,0,0,461,221,0,4438,11003,340,360,625,100,30,0,0,0,1,0,0,0,8,0,10,25,20,1,2,False,True,False,True,False,False,True,True
44,Dämonenwürfel,Dämonenwürfel,4,2,0,1,0,0,462,38,0,4439,1031,390,120,609,100,10,5,0,30,2,0,0,0,8,0,15,38,20,2,2,True,False,False,True,False,False,True,True
45,Mini-Mull,Mini-Mulle,4,2,0,1,0,0,463,39,0,4440,1032,430,0,620,100,20,10,0,0,2,0,0,0,8,0,25,9,20,2,1,True,False,False,False,True,False,True,True
46,Schäfchen,Schäfchen,4,1,0,1,2,0,464,40,0,4441,1033,680,0,620,100,30,0,0,0,2,0,0,0,10,0,20,10,20,1,1,True,False,True,False,True,False,True,True
47,Schleimpfütze,Schleimpfützen,3,1,0,1,1,0,465,41,0,4451,1034,430,30,606,100,30,0,0,0,2,0,0,0,8,0,10,23,20,1,2,True,False,False,True,False,False,True,True
48,Kindragora,Kindragoras,3,1,0,1,1,0,466,42,0,4442,1025,360,120,609,90,10,10,30,0,2,0,0,0,8,0,15,1,20,2,1,True,False,True,False,True,False,True,True
49,Goblin-Stofftier,Goblin-Stofftiere,4,2,0,1,2,0,467,207,0,4443,7001,435,120,622,100,10,5,0,0,1,0,0,0,8,0,15,26,20,2,3,False,True,False,True,False,False,True,True
50,Sylphen-Puppe,Sylphen-Puppen,3,1,0,1,1,0,468,208,0,4449,7002,490,30,621,100,30,0,0,0,1,0,0,0,8,0,15,13,20,1,3,False,True,True,False,False,False,True,True
51,Zeigerhändchen,Zeigerhändchen,4,1,0,1,2,0,469,0,0,4444,11501,400,30,621,100,20,0,0,0,1,0,0,0,8,0,15,14,20,2,4,False,False,False,False,False,False,True,True
52,Aufzieh-Luftschiff,Aufzieh-Luftschiffe,4,2,0,1,2,0,470,0,0,4445,11001,465,360,617,100,30,0,0,0,1,0,0,0,8,0,25,11,20,2,4,False,False,False,False,False,False,True,True
53,Qiqirn-Stofftier,Qiqirn-Stofftiere,4,2,0,1,2,0,471,206,0,4446,6001,380,0,620,90,30,0,0,0,1,0,0,0,8,0,15,44,30,1,3,False,True,True,False,False,False,True,True
54,schwarz[a] Chocobo-Küken,schwarz[a] Chocobo-Küken,4,1,0,1,2,0,505,3,0,4448,5,450,360,634,100,30,0,30,0,2,0,0,0,8,0,25,35,25,1,1,True,False,True,False,True,False,True,True
55,mechanisch[a] Dalamud,mechanisch[a] Dalamuds,4,1,0,1,0,0,472,0,0,4447,11004,520,0,620,100,30,0,0,0,1,0,0,0,8,0,20,17,30,1,4,False,False,False,False,False,False,True,True
56,Mini-Gedankenschinder,Mini-Gedankenschinder,4,2,0,1,0,0,578,49,0,4461,1035,455,120,616,100,30,0,0,0,2,0,0,0,8,0,25,13,20,2,2,True,False,False,False,True,False,True,True
57,schnatterfaul[a] Kolibri,schnatterfaul[a] Kolibris,4,1,0,1,0,0,579,50,0,4462,1036,365,0,631,55,30,0,0,0,2,3,0,0,8,0,10,40,30,1,1,True,False,True,False,True,False,True,True
58,Aufzieh-Amalj'aa,Aufzieh-Amalj'aa,4,1,0,1,0,0,580,213,0,4454,7003,465,360,626,100,30,0,0,0,1,0,0,0,8,0,10,12,20,2,3,False,True,False,True,False,False,True,True
59,Ixal-Puppe,Ixal-Puppen,3,1,0,1,1,0,581,214,0,4474,7005,390,0,620,100,30,0,30,0,1,0,0,0,8,0,10,10,20,1,3,False,True,False,True,False,False,True,True
60,Kobold-Puppe,Kobold-Puppen,3,1,0,1,1,0,699,215,0,4463,7006,440,120,622,100,30,0,0,0,1,0,0,0,8,0,10,13,20,1,3,False,True,False,True,False,False,True,True
61,Jung-Sahagin,Jung-Sahagin,4,1,0,1,0,0,700,216,0,4464,7007,435,120,605,100,30,0,0,0,1,0,0,0,8,0,15,28,20,1,3,False,True,False,True,False,False,True,True
62,Golem,Golems,4,1,0,1,0,0,577,51,0,4455,13001,410,0,620,100,30,0,0,0,2,0,0,0,8,0,10,10,20,1,2,True,False,False,False,True,False,True,True
63,Aufzieh-Shantotto,Aufzieh-Shantottos,3,1,0,1,1,0,527,358,0,4456,12111,525,0,620,100,20,0,0,0,1,0,0,0,8,0,25,9,20,1,3,False,True,False,False,False,False,True,True
64,Aufzieh-Edvya,Aufzieh-Edvyas,3,1,0,1,1,0,584,219,0,4457,10007,360,120,622,100,30,0,0,0,1,0,0,0,8,0,15,23,30,1,3,False,True,False,False,False,False,True,True
65,portabl[a] Studiosonne,portabl[a] Studiosonnen,3,1,0,1,1,0,585,0,0,4465,11502,440,0,620,100,0,0,0,0,3,8,0,0,8,0,15,10,20,1,4,False,False,False,False,False,False,True,True
66,Sitzkissen,Sitzkissen,4,1,0,1,2,0,586,0,0,4466,11503,390,360,623,100,30,0,0,0,3,12,0,0,8,80,10,30,20,1,4,False,False,False,False,False,False,True,True
67,Begleiter[p] des Lichts,Begleiter[p] des Lichts,4,2,0,1,0,0,0,0,0,4458,12011,100,0,0,100,0,0,0,0,1,0,0,0,8,0,10,0,20,1,3,False,True,False,False,False,False,True,False
68,Begleiter[p] des Lichts,Begleiter[p] des Lichts,4,2,0,1,0,0,587,223,0,4550,12011,430,30,604,100,10,0,70,0,1,0,0,0,8,0,10,13,20,1,3,False,True,False,False,False,False,True,True
69,Begleiter[p] des Lichts,Begleiter[p] des Lichts,4,2,0,1,0,0,623,223,0,4551,12011,420,360,615,100,10,0,70,0,1,0,0,0,8,0,10,27,30,1,3,False,True,False,False,False,False,True,True
70,Begleiter[p] des Lichts,Begleiter[p] des Lichts,4,2,0,1,0,0,624,223,0,4552,12011,395,120,610,100,10,0,70,0,1,0,0,0,8,0,10,23,30,1,3,False,True,False,False,False,False,True,True
71,Aufzieh-Anführer,Aufzieh-Anführer,4,2,0,1,0,0,0,0,0,4459,9015,100,0,0,100,0,0,0,0,1,0,0,0,8,0,20,0,20,1,3,False,True,False,True,False,False,True,False
72,Aufzieh-Merlwyb,Aufzieh-Merlwybs,3,1,0,1,1,0,626,224,0,4554,9016,470,0,620,100,10,0,0,0,1,0,0,0,8,0,20,43,20,1,3,False,True,False,True,False,False,True,True
73,Aufzieh-Kan-E,Aufzieh-Kan-Es,3,1,0,1,1,0,627,224,0,4553,9017,430,360,623,100,10,0,0,0,1,0,0,0,8,0,20,29,30,1,3,False,True,False,True,False,False,True,True
74,Aufzieh-Raubahn,Aufzieh-Raubahns,4,1,0,1,0,0,625,224,0,4555,9018,470,120,609,100,10,0,0,0,1,0,0,0,8,0,20,19,30,1,3,False,True,False,True,False,False,True,True
75,Chocobo-Prinz,Chocobo-Prinzen,6,1,0,1,0,0,634,3,0,4460,6,365,30,621,100,30,0,30,0,2,0,0,0,8,0,10,14,20,1,1,True,False,True,False,True,False,True,True
76,Mini-Odin,Mini-Odin,4,1,0,1,0,0,683,230,0,4468,8007,500,120,605,90,5,10,0,0,2,0,0,0,8,80,30,1,20,2,2,False,True,False,True,False,False,True,True
77,Mini-Lichtkrieger,Mini-Lichtkrieger,4,2,0,1,0,0,684,235,0,4467,12012,380,30,604,80,10,0,0,0,1,0,0,0,8,0,15,1,20,1,3,False,True,False,True,False,False,True,True
78,Aufzieh-Bahamut,Aufzieh-Bahamut,4,1,0,1,0,0,685,0,118,4469,2002,410,120,636,100,10,0,0,0,2,0,0,0,8,0,25,1,20,3,2,True,False,False,False,False,False,True,True
79,Mogry-Stofftier,Mogry-Stofftiere,4,1,0,1,2,0,688,233,0,4472,10,470,120,614,100,10,0,0,0,1,4,0,0,8,0,20,1,20,1,3,False,True,False,False,False,False,True,True
80,Stoff-Opo-Opo,Stoff-Opo-Opos,4,1,0,1,0,0,686,52,0,4470,1037,420,120,605,60,30,0,0,0,2,1,0,0,8,0,10,23,30,1,1,True,False,True,False,False,False,True,True
81,emsig[a] Besen,emsig[a] Besen,4,1,0,1,0,0,687,0,0,4471,11504,420,360,623,100,10,0,0,80,2,0,0,0,5,0,25,30,20,1,4,False,False,False,False,False,False,True,True
82,Sukkubus-Puppe,Sukkubus-Puppen,3,1,0,1,1,0,748,231,0,4475,1038,340,360,617,80,10,0,0,0,1,2,0,0,8,0,10,11,30,1,2,False,True,False,True,False,False,True,True
83,Zu-Küken,Zu-Küken,4,1,0,1,2,0,682,54,0,4473,1039,450,0,620,100,30,0,0,0,2,0,0,0,8,0,10,9,20,1,2,True,False,False,False,True,False,True,True
84,Nanamo-Puppe,Nanamo-Puppen,3,1,0,1,1,0,751,266,0,4499,9019,490,0,620,80,10,0,0,0,1,1,0,0,8,0,20,15,20,1,3,False,True,True,False,False,False,True,True
85,Aufzieh-Gilgamesch,Aufzieh-Gilgamesche,3,1,0,1,0,0,756,68,0,4476,9501,485,360,600,100,10,0,0,0,1,0,0,0,8,0,25,5,30,2,3,False,True,False,True,False,False,True,True
86,Prinz Zwiebel,Prinz Zwiebel,3,1,0,0,0,1,742,42,0,4477,1025,440,0,620,100,10,20,0,0,2,0,0,0,8,0,15,31,30,1,1,True,False,True,False,True,False,True,True
87,Ritter Aubergine,Ritter Aubergine,3,1,0,0,0,1,743,42,0,4478,1025,415,360,626,100,15,10,0,0,2,0,0,0,8,0,15,12,20,1,1,True,False,True,False,True,False,True,True
88,Sir Knoblauch,Sir Knoblauch,3,1,0,0,0,1,744,42,0,4479,1025,435,360,617,100,15,10,0,0,2,0,0,0,8,0,15,11,20,1,1,True,False,True,False,True,False,True,True
89,König Tomate,König Tomate,3,1,0,0,0,1,745,42,0,4480,1025,355,0,620,100,10,10,0,0,2,0,0,0,8,0,20,9,20,1,1,True,False,True,False,True,False,True,True
90,Königin Mandragora,Königin Mandragora,3,1,0,0,1,1,746,42,0,4481,1025,560,360,615,100,25,5,0,0,2,0,0,0,8,0,30,27,30,1,1,True,False,True,False,True,False,True,True
91,Y'shtola-Puppe,Y'shtola-Puppen,3,1,0,1,1,0,750,262,0,4500,9001,435,360,618,100,10,0,0,0,1,0,0,0,8,0,25,12,20,1,3,False,True,False,True,False,False,True,True
92,Aufzieh-Zwiebelritter,Aufzieh-Zwiebelritter,4,2,0,1,0,0,749,240,0,4482,12031,430,0,620,100,10,0,0,0,1,0,0,0,8,90,15,21,20,1,3,False,True,False,True,False,False,True,True
93,Schatzkiste,Schatzkisten,3,1,0,1,1,0,747,56,0,4483,1040,390,30,621,100,5,10,0,0,2,0,0,0,8,0,15,8,20,1,2,True,False,True,False,False,False,True,True
94,Tapirjung[a],Tapirjung[a],3,1,0,1,2,0,754,57,0,4484,3001,390,120,631,80,30,0,0,0,2,0,0,0,8,0,10,23,30,1,1,True,False,True,False,True,False,True,True
95,Nana-Stoffbär,Nana-Stoffbären,6,1,0,1,0,0,752,238,0,4485,3002,380,30,604,100,20,0,0,0,1,0,0,0,8,0,10,1,20,1,1,False,True,False,True,False,False,True,True
96,Miniaturlore,Miniaturloren,3,1,0,1,1,0,753,0,0,4486,11505,415,360,625,100,10,0,0,0,1,0,0,0,8,0,15,25,20,1,4,False,False,False,False,False,False,True,True
97,Nussfresser,Nussfresser,4,2,0,1,0,0,755,59,0,4487,3003,450,360,634,100,10,0,0,30,2,1,0,0,8,0,30,36,30,1,1,True,False,True,False,True,False,True,True
98,Minfilia-Puppe,Minfilia-Puppen,3,1,0,1,1,0,797,262,0,4488,9002,400,30,604,100,10,0,0,0,1,0,0,0,8,0,20,1,20,1,3,False,True,False,True,False,False,True,True
99,Thancred-Puppe,Thancred-Puppen,3,1,0,1,1,0,796,262,0,4489,9003,450,360,634,100,10,0,0,0,1,0,0,0,8,0,20,35,30,1,3,False,True,False,True,False,False,True,True
100,Aufzieh-Magitek-Drohne,Aufzieh-Magitek-Drohnen,3,1,0,1,1,0,1016,0,0,4516,11005,455,30,612,100,10,0,0,0,2,0,0,0,8,0,30,1,20,1,2,False,False,False,False,False,True,True,True
101,Wölkchen[p] der Dunkelheit,Wölkchen[p] der Dunkelheit,4,1,0,1,2,0,1017,232,0,4517,2101,540,30,612,80,10,0,0,0,1,2,0,0,8,0,30,4,20,2,2,False,True,False,True,False,False,True,True
102,Ninki Nanka-Puppe,Ninki Nanka-Puppen,3,1,0,1,1,0,808,60,0,4490,1041,415,360,617,100,30,0,0,0,2,0,0,0,8,0,15,11,20,1,2,True,False,True,False,False,False,True,True
103,Panda-Stofftier,Panda-Stofftiere,4,2,0,1,2,0,816,241,0,4491,3004,450,360,634,100,20,0,0,0,1,0,0,0,8,0,15,35,30,1,1,False,True,True,False,False,False,True,True
104,Aufzieh-Ultros,Aufzieh-Ultrosse,3,2,0,1,0,0,799,237,0,4504,9503,395,360,624,100,30,0,0,0,1,11,0,0,8,0,20,18,30,1,2,False,True,True,True,False,False,True,True
105,Zuckerschneemann,Zuckerschneemänner,2,2,0,1,0,0,803,220,0,4505,11507,420,0,620,100,20,0,0,0,1,0,0,0,8,0,15,44,30,1,3,False,True,False,True,False,False,True,True
106,Chocopummelchen,Chocopummelchen,4,1,0,1,2,0,800,0,0,4506,7,360,0,620,100,1,0,0,0,1,0,0,0,8,90,15,42,20,1,1,False,False,False,False,True,False,True,True
107,Yda-Puppe,Yda-Puppen,3,1,0,1,1,0,878,262,0,4501,9004,460,30,606,100,10,0,0,0,1,0,0,0,8,0,25,1,20,1,3,False,True,False,True,False,False,True,True
108,Papalymo-Puppe,Papalymo-Puppen,3,1,0,1,1,0,879,262,0,4502,9005,420,120,633,100,10,0,0,0,1,0,0,0,8,0,20,20,20,1,3,False,True,False,True,False,False,True,True
109,Urianger-Puppe,Urianger-Puppen,3,1,0,1,1,0,880,262,0,4503,9006,435,120,616,100,10,0,0,0,1,0,0,0,8,0,20,1,20,1,3,False,True,False,True,False,False,True,True
110,dick[a] Katze,dick[a] Katze,3,1,0,1,1,0,802,61,0,4507,3005,380,360,626,100,10,0,0,0,1,0,0,0,8,0,10,12,20,2,1,True,False,False,False,True,False,True,True
111,Kleinfuß,Kleinfüße,2,1,0,1,0,0,801,62,0,4508,1042,410,30,611,100,10,0,0,0,2,0,0,0,8,0,15,1,20,1,2,True,False,True,False,True,False,True,True
112,Mini-Mumie,Mini-Mumien,3,1,0,1,1,0,798,63,0,4509,1043,475,30,613,100,5,10,0,0,2,0,0,0,8,0,15,23,20,2,2,True,False,False,True,False,False,True,True
113,Aufzieh-Enterprise,Aufzieh-Enterprise,3,1,0,1,1,0,887,0,0,4497,11002,460,120,629,100,10,0,0,0,1,0,0,0,8,0,20,1,20,2,4,False,False,False,False,False,False,True,True
114,Mogry-Stoffpostbote,Mogry-Stoffpostboten,8,1,0,1,0,0,809,233,0,4498,11,370,120,614,100,5,10,0,0,1,4,0,0,8,0,20,14,20,1,3,False,True,False,False,False,False,True,True
115,fliegend[a] Kampffisch,fliegend[a] Kampffische,2,2,0,1,0,0,807,64,0,4510,4002,425,30,603,100,10,5,0,0,2,5,0,0,8,0,10,2,20,2,1,True,False,False,True,True,False,True,True
116,beseelt[a] Geschenkpäckchen,beseelt[a] Geschenkpäckchen,4,1,0,1,2,0,805,65,0,4513,11508,530,0,620,100,10,10,0,0,2,0,0,0,8,0,30,37,20,2,1,True,False,False,True,False,False,True,True
117,Flusskobold,Flusskobolde,4,2,0,1,0,0,886,66,0,4511,12901,430,120,605,60,10,0,0,0,2,0,0,0,8,0,20,13,20,1,1,True,False,False,False,True,False,True,True
118,Aufzieh-Louisoix,Aufzieh-Louisoix,3,1,0,1,0,0,881,267,78,4512,9007,410,360,615,100,10,0,0,0,1,0,0,0,8,0,15,27,30,2,3,False,True,False,True,False,False,True,True
119,Midgardsormr,Midgardsormrs,3,1,0,0,0,1,883,0,0,4518,9504,435,0,620,100,10,0,0,0,2,2,0,0,8,0,25,33,20,1,1,False,False,False,False,True,False,True,True
120,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
121,klein[a] Elster,klein[a] Elstern,3,1,0,1,1,0,1337,10,0,4556,5002,310,0,620,80,30,0,0,0,2,0,0,0,8,0,15,10,20,1,1,True,False,True,False,True,False,True,True
122,Aufzieh-Enkidu,Aufzieh-Enkidus,4,1,0,1,0,0,888,68,0,4521,9502,480,120,605,100,10,0,0,0,2,0,0,0,8,0,20,28,20,1,1,True,False,False,False,False,False,True,True
123,Finstrigen-Puppe,Finstrigen-Puppen,3,1,0,1,1,0,901,208,0,4493,7002,480,360,632,100,30,0,0,0,1,0,0,0,8,0,15,22,20,1,3,False,True,False,True,False,False,True,True
124,Aufzieh-Gründer,Aufzieh-Gründer,4,2,0,1,0,0,902,213,0,4492,7003,440,0,620,100,30,0,0,0,1,0,0,0,8,0,15,10,20,1,3,False,True,False,True,False,False,True,True
125,Dezul-Qualan-Puppe,Dezul-Qualan-Puppen,3,1,0,1,1,0,903,214,0,4494,7004,460,0,620,100,30,0,30,0,1,0,0,0,8,0,15,31,30,1,3,False,True,False,True,False,False,True,True
126,Aufzieh-Kobold[p] Nr. 2,Aufzieh-Kobolde[p] Nr. 2,4,2,0,1,0,0,582,215,0,4495,7006,440,360,600,100,30,0,0,0,1,0,0,0,8,0,10,5,30,1,3,False,True,False,True,False,False,True,True
127,Aufzieh-Seeteufel,Aufzieh-Seeteufel,4,2,0,1,0,0,583,216,0,4496,7007,500,0,620,100,30,0,0,0,1,0,0,0,8,0,25,9,20,1,3,False,True,False,True,False,False,True,True
128,Brief-Chocobo-Küken,Brief-Chocobo-Küken,4,1,0,1,2,0,990,3,0,4524,5,405,360,634,100,10,0,0,0,2,0,0,0,8,0,20,35,30,1,1,True,False,True,False,True,False,True,True
129,Kain-Puppe,Kain-Puppen,3,1,0,1,1,0,989,242,0,4525,12041,440,0,620,80,10,0,0,0,1,0,0,0,8,0,30,46,20,1,3,False,True,False,True,False,True,True,True
130,Aufzieh-Alphinaud,Aufzieh-Alphinaud,3,1,0,1,0,0,884,262,0,4519,9008,420,120,633,100,10,0,0,0,1,0,0,0,8,0,10,4,20,1,3,False,True,False,True,False,False,True,True
131,Aufzieh-Alisaie,Aufzieh-Alisaie,3,1,0,1,1,0,885,262,0,4520,9009,460,120,616,100,10,0,0,0,1,0,0,0,8,0,15,1,20,2,3,False,True,False,True,False,False,True,True
