#,Item,Order,Category,SubCategory
511,36832,33401,5,34
512,36833,33402,5,34
513,36834,33403,5,34
514,36835,33404,5,34
515,36836,33405,5,34
516,38253,38301,7,61
517,38254,38302,7,61
518,38255,38303,7,61
519,38256,38304,7,61
520,38257,38305,7,61
521,38258,38306,7,61
522,38259,38307,7,61
523,38260,38308,7,61
524,38233,31251,2,24
525,38234,31252,2,24
526,38235,31253,2,24
527,38236,31254,2,24
528,38237,31255,2,24
529,38228,35301,6,42
530,38229,35302,6,42
531,38230,35303,6,42
532,38231,35304,6,42
533,38232,35305,6,42
534,39245,33451,5,35
535,39246,33452,5,35
536,40416,36251,7,67
537,40417,36252,7,67
538,40418,36253,7,67
539,40419,36254,7,67
540,40420,36255,7,67
541,13327,44151,9,99
542,13700,44152,9,99
543,13701,44153,9,99
544,13702,44154,9,99
545,15642,54104,10,161
546,15643,54105,10,161
547,15644,54106,10,161
548,15639,54101,10,161
549,15640,54102,10,161
550,15641,54103,10,161
551,10328,58001,11,142
552,30277,58053,11,143
553,22499,58052,11,143
554,21035,58051,11,143
555,27984,50002,10,116
556,41555,39151,8,71
557,41556,39152,8,71
558,41557,39153,8,71
559,41558,39154,8,71
560,41560,39303,8,74
561,41561,39304,8,74
562,41562,39305,8,74
563,41563,39306,8,74
564,41564,39301,8,74
565,41565,32001,2,25
566,41566,32002,2,25
567,13322,44101,9,98
568,13691,44102,9,98
569,13692,44103,9,98
570,13323,44051,9,97
571,13693,44052,9,97
572,13694,44053,9,97
573,13695,44054,9,97
574,13696,44201,9,100
575,13326,44202,9,100
576,13697,44203,9,100
577,13698,44204,9,100
578,13699,44205,9,100
579,13324,44251,9,101
580,13325,44252,9,101
581,13321,44001,9,96
582,14863,46051,9,105
583,14864,46052,9,105
584,14865,46053,9,105
585,14866,46054,9,105
586,14867,46055,9,105
587,14861,46001,9,106
588,14862,46002,9,106
589,15942,44104,9,98
590,15943,44105,9,98
591,15944,44106,9,98
592,15938,44055,9,97
593,15939,44056,9,97
594,15940,44057,9,97
595,15941,44058,9,97
596,21302,44253,9,101
597,21303,44254,9,101
598,21304,44255,9,101
599,21305,44256,9,101
600,21306,44257,9,101
601,23013,46351,9,110
602,23014,46352,9,110
603,23015,46353,9,110
604,23016,46354,9,110
605,24158,46401,9,111
606,24159,46402,9,111
607,24160,46403,9,111
608,24161,46404,9,111
609,24162,46405,9,111
610,17596,46264,9,107
611,17597,46265,9,107
612,17598,46266,9,107
613,17599,46267,9,107
614,17600,46268,9,107
615,17601,46269,9,107
616,17602,46270,9,107
617,17603,46271,9,107
618,17473,46201,9,108
619,17474,46202,9,108
620,20633,46157,9,104
621,20634,46158,9,104
622,20635,46159,9,104
623,20636,46160,9,104
624,22452,46101,9,103
625,22453,46102,9,103
626,22454,46103,9,103
627,22455,46104,9,103
628,22456,46105,9,103
629,24999,44002,9,96
630,25000,44003,9,96
631,27933,44351,9,102
632,27934,44352,9,102
633,27935,44353,9,102
634,28553,46451,9,112
635,28554,46452,9,112
636,28555,46453,9,112
637,30062,44108,9,98
638,30063,44109,9,98
639,30064,44110,9,98
640,30065,44111,9,98
641,31418,44301,9,95
642,33042,44302,9,95
643,33751,46551,9,113
644,33752,46552,9,113
645,33753,46553,9,113
646,36336,46501,9,115
647,36338,46502,9,115
648,36337,46503,9,115
649,36339,46504,9,115
650,36843,44258,9,101
651,39302,46608,9,114
652,39626,46606,9,114
653,39625,46607,9,114
654,39627,46605,9,114
655,39623,46604,9,114
656,39624,46603,9,114
657,39622,46602,9,114
658,39621,46601,9,114
659,38688,44303,9,95
660,40448,46301,9,109
661,40449,46302,9,109
662,40450,46303,9,109
663,40451,46304,9,109
664,17705,46251,9,107
665,17706,46252,9,107
666,17704,46253,9,107
667,17707,46254,9,107
668,17708,46255,9,107
669,17709,46256,9,107
670,17716,46257,9,107
671,17710,46258,9,107
672,17711,46259,9,107
673,17712,46260,9,107
674,17715,46261,9,107
675,17713,46262,9,107
676,17714,46263,9,107
677,20628,46151,9,104
678,20630,46152,9,104
679,20629,46153,9,104
680,36335,46154,9,104
681,20632,46155,9,104
682,30066,44107,9,98
683,20631,46156,9,104
684,20489,50256,10,149
685,20490,50257,10,149
686,20491,50258,10,149
687,20492,50259,10,149
688,20493,50260,10,149
689,20494,50251,10,149
690,20495,50252,10,149
691,20496,50253,10,149
692,20497,50254,10,149
693,20498,50255,10,149
694,17718,50152,10,147
695,17719,50153,10,147
696,17720,50154,10,147
697,17721,50155,10,147
698,17722,50156,10,147
699,14857,54004,10,159
700,14858,54005,10,159
701,14859,54006,10,159
702,14854,54001,10,159
703,14855,54002,10,159
704,14856,54003,10,159
705,15480,50051,10,145
706,15481,50052,10,145
707,15482,54051,10,160
708,15483,54052,10,160
709,15484,54053,10,160
710,15485,54054,10,160
711,15486,54055,10,160
712,16588,54151,10,162
713,16589,54152,10,162
714,16590,54153,10,162
715,16591,54154,10,162
716,16592,54155,10,162
717,16593,54156,10,162
718,16594,54157,10,162
719,16595,54158,10,162
720,20479,50201,10,148
721,20480,50202,10,148
722,20481,50203,10,148
723,20482,50204,10,148
724,20483,50205,10,148
725,20484,50206,10,148
726,20485,50207,10,148
727,20486,50208,10,148
728,20487,50209,10,148
729,20488,50210,10,148
730,16578,50101,10,146
731,16579,50102,10,146
732,16580,50103,10,146
733,16581,50104,10,146
734,16582,50105,10,146
735,16583,50106,10,146
736,16584,50107,10,146
737,16585,50108,10,146
738,16586,50109,10,146
739,16587,50110,10,146
740,22367,50301,10,150
741,22368,50302,10,150
742,22369,50303,10,150
743,22370,50304,10,150
744,22371,50305,10,150
745,22372,50306,10,150
746,22373,50307,10,150
747,22374,50308,10,150
748,22375,50309,10,150
749,22376,50310,10,150
750,24602,54304,10,165
751,24603,54305,10,165
752,24604,54306,10,165
753,24599,54301,10,165
754,24600,54302,10,165
755,24601,54303,10,165
756,23003,50351,10,151
757,23004,50352,10,151
758,23005,50353,10,151
759,23006,50354,10,151
760,23007,50355,10,151
761,23008,50356,10,151
762,23009,50357,10,151
763,23010,50358,10,151
764,23011,50359,10,151
765,23012,50360,10,151
766,24148,54251,10,164
767,24149,54252,10,164
768,24150,54253,10,164
769,24151,54254,10,164
770,24152,54255,10,164
771,24153,54256,10,164
772,24154,54257,10,164
773,24155,54258,10,164
774,24156,54259,10,164
775,24157,54260,10,164
776,30058,50451,10,153
777,30059,50452,10,153
778,30060,50453,10,153
779,30061,50454,10,153
780,28595,50401,10,152
781,28596,50402,10,152
782,28597,50403,10,152
783,28598,50404,10,152
784,28599,50405,10,152
785,31413,50506,10,154
786,31414,50507,10,154
787,31415,50508,10,154
788,31416,50509,10,154
789,31417,50510,10,154
790,31408,50501,10,154
791,31409,50502,10,154
792,31410,50503,10,154
793,31411,50504,10,154
794,31412,50505,10,154
795,32806,50551,10,155
796,32807,50552,10,155
797,32808,50553,10,155
798,32809,50554,10,155
799,32810,50555,10,155
800,32811,50556,10,155
801,28600,54351,10,166
802,28601,54352,10,166
803,28602,54353,10,166
804,28603,54354,10,166
805,28604,54355,10,166
806,28605,54356,10,166
807,28606,54357,10,166
808,28607,54358,10,166
809,28608,54359,10,166
810,28609,54360,10,166
811,33663,50601,10,156
812,33664,50602,10,156
813,33665,50603,10,156
814,33666,50604,10,156
815,36826,50651,10,157
816,36827,50652,10,157
817,36828,50654,10,157
818,36829,50655,10,157
819,36830,50656,10,157
820,36831,50653,10,157
821,38248,50511,10,154
822,38249,50512,10,154
823,38250,50513,10,154
824,38251,50514,10,154
825,38252,50515,10,154
826,39295,50557,10,155
827,39296,50558,10,155
828,39297,50559,10,155
829,39298,50560,10,155
830,39299,50561,10,155
831,39300,50562,10,155
832,39301,50563,10,155
833,40421,50311,10,150
834,40422,50312,10,150
835,40423,50313,10,150
836,40424,50314,10,150
837,40425,50315,10,150
838,39303,50701,10,158
839,39304,50702,10,158
840,39305,50703,10,158
841,39306,50704,10,158
842,39307,50705,10,158
843,21027,58054,11,143
844,21029,58055,11,143
845,21031,58056,11,143
846,21028,58057,11,143
847,21030,58058,11,143
848,21032,58059,11,143
849,30274,58060,11,143
850,30275,58061,11,143
851,30276,58062,11,143
852,38238,58101,11,144
853,38239,58102,11,144
854,38240,58103,11,144
855,38241,58104,11,144
856,38242,58105,11,144
857,41567,50455,10,153
858,41568,50456,10,153
859,41569,50457,10,153
860,41570,50459,10,153
861,41571,50458,10,153
862,41572,44304,9,95
863,41573,44305,9,95
864,41574,44306,9,95
865,41575,44307,9,95
866,40452,54401,10,167
867,40453,54402,10,167
868,40454,54403,10,167
869,40455,54404,10,167
870,8111,36007,7,62
871,8116,36008,7,62
872,8119,36009,7,62
873,8124,37001,7,44
874,8128,37002,7,44
875,8164,37003,7,44
876,25055,50151,10,147
877,27956,50001,10,116
878,41796,39302,8,74
879,41081,42302,4,89
880,21036,54201,10,163
881,21037,54202,10,163
882,21038,54203,10,163
883,21039,54204,10,163
884,21040,54205,10,163
885,21041,54206,10,163
886,41678,42301,4,89
887,43471,35351,6,43
888,43472,35352,6,43
889,43473,35353,6,43
890,43474,35354,6,43
891,43475,35355,6,43
892,20677,40303,3,78
893,44645,30351,2,117
894,44646,30352,2,117
895,44647,30353,2,117
896,44648,30354,2,117
897,44649,30355,2,117
898,44661,50751,10,118
899,44662,50752,10,118
900,0,0,10,0
901,44664,50755,10,118
902,44665,50756,10,118
903,44666,50753,10,118
904,44668,50801,10,119
905,44669,50802,10,119
906,44670,50804,10,119
907,44671,50805,10,119
908,44672,50807,10,119
909,44673,50803,10,119
910,44674,50806,10,119
911,44675,50808,10,119
912,44676,44403,9,121
913,44677,44404,9,121
914,44678,44405,9,121
915,44679,44406,9,121
916,44680,46652,9,122
917,44681,46653,9,122
918,44682,46654,9,122
919,44683,46655,9,122
920,44684,56001,10,123
921,44685,56002,10,123
922,44686,56003,10,123
923,44687,56004,10,123
924,44688,56005,10,123
925,48727,46706,9,125
926,44690,56007,10,123
927,44691,56008,10,123
928,44973,44402,9,121
929,44974,44401,9,121
930,44975,46651,9,122
931,47906,46701,9,125
932,47907,46702,9,125
933,47908,46703,9,125
934,47909,46704,9,125
935,47910,46705,9,125
936,47911,44308,9,95
937,47912,44309,9,95
938,47913,44310,9,95
939,47914,44311,9,95
940,47924,33501,5,124
941,47925,33502,5,124
942,47926,33503,5,124
943,47927,33504,5,124
944,47270,50851,10,120
945,47271,50852,10,120
946,47272,50853,10,120
947,47273,50854,10,120
948,47274,50855,10,120
949,47275,46751,9,126
950,47276,46752,9,126
951,47277,46753,9,126
952,47278,46754,9,126
953,47301,56051,10,127
954,47302,56052,10,127
955,47303,56053,10,127
956,47304,56054,10,127
957,47305,56055,10,127
958,47306,56056,10,127
959,47307,56057,10,127
960,47308,56058,10,127
961,47309,56059,10,127
962,47310,56060,10,127
963,47311,56061,10,127
964,47263,38351,7,168
965,47264,38352,7,168
966,47265,38353,7,168
967,47266,38354,7,168
968,47267,38355,7,168
969,47268,38356,7,168
970,47269,38357,7,168
971,50285,31301,2,169
972,50286,31302,2,169
973,50287,31303,2,169
974,50288,31304,2,169
975,50289,31305,2,169
976,50290,31306,2,169
977,50257,56151,10,128
978,50258,56152,10,128
979,50259,56153,10,128
980,50260,56154,10,128
981,50261,56155,10,128
982,50262,56156,10,128
983,50263,56157,10,128
984,50264,56158,10,128
985,50265,56159,10,128
986,50266,56160,10,128
987,50267,56161,10,128
988,50268,56162,10,128
989,50269,56163,10,128
990,50270,56164,10,128
991,50271,56165,10,128
992,50272,50901,10,129
993,50273,50902,10,129
994,50274,50903,10,129
995,50275,50904,10,129
996,50276,50905,10,129
997,50277,56101,10,130
998,50278,56102,10,130
999,50279,56103,10,130
1000,50280,56104,10,130
1001,50281,56105,10,130
1002,50282,56106,10,130
1003,50283,56107,10,130
1004,50284,56108,10,130
1005,50848,30401,2,170
1006,50849,30402,2,170
1007,50850,30403,2,170
1008,50851,30404,2,170
1009,50451,50951,10,171
1010,50452,50952,10,171
1011,50453,50953,10,171
1012,52404,46801,9,172
1013,52405,46802,9,172
1014,52406,46803,9,172
1015,52407,46804,9,172
1016,52408,46805,9,172
1017,52409,46851,9,173
1018,52410,46852,9,173
1019,52411,46853,9,173
1020,52412,46854,9,173
1021,52413,50856,10,120
1022,52414,50857,10,120
1023,52415,50858,10,120
1024,52416,50859,10,120
1025,52417,50860,10,120
1026,52433,50954,10,171
1027,52434,50955,10,171
1028,52435,50956,10,171
1029,52436,50957,10,171
1030,52437,50958,10,171
1031,52438,50959,10,171
1032,16958,40524,3,80
1033,16959,40525,3,80
1034,16960,40526,3,80
1035,16961,40527,3,80
1036,16962,40528,3,80
1037,16963,40529,3,80
1038,16964,40530,3,80
1039,16965,40531,3,80
1040,16966,40532,3,80
1041,16967,40533,3,80
1042,16968,40534,3,80
1043,22353,40206,3,77
1044,22354,40207,3,77
1045,22355,40208,3,77
1046,22356,40209,3,77
1047,24821,40535,3,80
1048,24822,40536,3,80
1049,24823,40537,3,80
1050,24824,40538,3,80
1051,24825,40539,3,80
1052,24826,40540,3,80
1053,24827,40541,3,80
1054,24828,40542,3,80
1055,24829,40543,3,80
1056,24830,40544,3,80
1057,24831,40545,3,80
1058,33356,40547,3,80
1059,33357,40548,3,80
1060,33358,40549,3,80
1061,41913,24001,12,189
1062,41914,24010,12,189
1063,41915,24002,12,189
1064,41916,24007,12,189
1065,41917,24016,12,189
1066,41918,24026,12,189
1067,41919,24021,12,189
1068,41920,24022,12,189
1069,41921,24027,12,189
1070,41922,24013,12,189
1071,41923,24003,12,189
1072,41924,24017,12,189
1073,41925,24028,12,189
1074,41926,24011,12,189
1075,41927,24023,12,189
1076,41928,24004,12,189
1077,41929,24018,12,189
1078,41930,24008,12,189
1079,41931,24029,12,189
1080,41932,24014,12,189
1081,41933,24024,12,189
1082,41934,24035,12,189
1083,41935,24051,12,189
1084,41936,24061,12,189
1085,41937,24071,12,189
1086,41938,24081,12,189
1087,41939,24091,12,189
1088,41940,24052,12,189
1089,41941,24062,12,189
1090,41942,24072,12,189
1091,41943,24082,12,189
1092,41944,24092,12,189
1093,41945,24053,12,189
1094,41946,24063,12,189
1095,41947,24073,12,189
1096,41948,24083,12,189
1097,41949,24093,12,189
1098,41950,24055,12,189
1099,41951,24065,12,189
1100,41952,24075,12,189
1101,41953,24085,12,189
1102,41954,24095,12,189
1103,41955,24054,12,189
1104,41956,24064,12,189
1105,41957,24074,12,189
1106,41958,24084,12,189
1107,41959,24094,12,189
1108,41960,24057,12,189
1109,41961,24067,12,189
1110,41962,24077,12,189
1111,41963,24087,12,189
1112,41964,24097,12,189
1113,41965,24056,12,189
1114,41966,24066,12,189
1115,41967,24076,12,189
1116,41968,24086,12,189
1117,41969,24096,12,189
1118,41970,24101,12,189
1119,41971,24102,12,189
1120,41972,24104,12,189
1121,41973,24107,12,189
1122,41974,24106,12,189
1123,41975,24111,12,189
1124,41976,24112,12,189
1125,41977,24114,12,189
1126,41978,24117,12,189
1127,41979,24116,12,189
1128,41980,24121,12,189
1129,41981,24122,12,189
1130,41982,24124,12,189
1131,41983,24127,12,189
1132,41984,24126,12,189
1133,41985,24131,12,189
1134,41986,24132,12,189
1135,41987,24134,12,189
1136,41988,24137,12,189
1137,41989,24136,12,189
1138,42067,24151,12,190
1139,42068,24160,12,190
1140,42069,24152,12,190
1141,42070,24157,12,190
1142,42071,24166,12,190
1143,42072,24176,12,190
1144,42073,24171,12,190
1145,42074,24172,12,190
1146,42075,24177,12,190
1147,42076,24163,12,190
1148,42077,24153,12,190
1149,42078,24167,12,190
1150,42079,24178,12,190
1151,42080,24161,12,190
