#,Name,Description,Icon,Action,Pet,MasterOrder,DisableOrder,Unknown0
18,Schockwelle,"Schleudert das Ziel mit einer windbasierten magischen Attacke um 15y zurück.
Attacke-Wert: 90
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,793,5,True,False,False
19,Lufthieb,"Führt eine windbasierte magische Attacke auf das Ziel und die Gegner in seiner Nähe aus.
Attacke-Wert: 90
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,794,5,True,False,False
20,Infektion,"Erhöht den vom Ziel erlittenen Magieschaden um 10 %.
Dauer: 15 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,795,5,True,False,False
21,Windschlag,"Führt eine windbasierte magische Attacke auf das Ziel und die Gegner in seiner Nähe aus.
Attacke-Wert: 250
Wird ausgeführt, wenn du **Entflammung** einsetzt.",786,796,5,True,False,False
22,Steinsprenger,"Führt eine erdbasierte magische Attacke aus.
Attacke-Wert: 85
Zusatzeffekt: Erhöhte Feindseligkeit",786,787,4,True,False,False
23,Bergsprenger,"Führt eine erdbasierte magische Attacke auf alle umstehenden Gegner aus.
Attacke-Wert: 70
Zusatzeffekt: Erhöhte Feindseligkeit
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,788,4,True,False,False
24,Erdengewahrsam,"Verringert den Schaden, den das Familiar selbst erleidet, um 20 %.
Dauer: 20 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,789,4,True,False,False
25,Bergsturz,"Führt eine erdbasierte magische Attacke aus.
Attacke-Wert: 70
Zusatzeffekt: **Betäubung**
Dauer: 2 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,790,4,True,False,False
26,Gaias Zorn,"Führt eine erdbasierte magische Attacke auf die Gegner in der Nähe aus.
Attacke-Wert: 200
Zusatzeffekt: Schafft ein Gebiet, in dem Gegner Schaden nehmen.
Schadens-Wert: 20
Dauer: 15 Sekunden
Wird ausgeführt, wenn du **Entflammung** einsetzt.",786,791,4,True,False,False
27,Zinnober-Zyklon,"Führt eine feuerbasierte magische Attacke aus.
Attacke-Wert: 110
Zusatzeffekt: **Betäubung**
Dauer: 2 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,797,3,True,False,False
28,Brennender Schlag,"Führt eine feuerbasierte magische Attacke aus.
Attacke-Wert: 135",786,798,3,True,False,False
29,Glühender Schild,"Errichtet eine Barriere um sich selbst und Grup­pen­mit­glieder in der Nähe.
Dauer: 20 Sekunden
Effekt der Barriere: Mit 100 % Wahr­schein­lich­keit wird die physische Verwundbarkeit des Angreifers um 2 % erhöht.
Dauer: 4 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,799,3,True,False,False
30,Flammenstoß,"Führt eine feuerbasierte magische Attacke auf die Gegner in der Nähe aus.
Attacke-Wert: 110
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,800,3,True,False,False
31,Inferno,"Führt eine fächerförmige feuerbasierte magische Attacke auf alle Gegner vor sich aus.
Attacke-Wert: 200
Zusatzeffekt: Feuerschaden über Zeit
Schadenswert: 20
Dauer: 15 Sekunden
Wird ausgeführt, wenn du **Entflammung** einsetzt.",786,801,3,True,False,False
32,Sanfte Umarmung,"Regeneriert LP des Ziels.
Heilpotenzial: 250",786,802,6,True,False,False
33,Erhebendes Flüstern,"Regeneriert schrittweise eigene LP und LP von umstehenden Grup­pen­mit­gliedern.
Heilpotenzial: 120
Dauer: 21 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,803,6,True,False,False
34,Feenverheißung,"Erhöht die Magieabwehr von sich selbst und umstehenden Grup­pen­mit­gliedern um 20 %.
Dauer: 20 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,804,6,True,False,False
35,Illumination,"Erhöht das eigene Potenzial von Heilmagie und das von umstehenden Grup­pen­mit­gliedern um 10 %.
Dauer: 20 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,805,6,True,False,False
36,Sanfte Umarmung,"Regeneriert LP des Ziels.
Heilpotenzial: 250",786,806,7,True,False,False
37,Abendstille,"Fügt dem Ziel **Stumm** zu.
Dauer: 1 Sekunde
Ak­ti­vie­rungs­zeit: sofort
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,807,7,True,False,False
38,Feenhauch,"Entfernt einen negativen Status von den umstehenden Grup­pen­mit­gliedern.
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,810,7,True,False,False
39,Feenwind,"Verkürzt die Intervalle zwischen Auto-Attacken und die (Re-)Ak­ti­vie­rungs­zei­ten von Waf­fen­fer­tig­kei­ten und Magie von sich selbst und den umstehenden Grup­pen­mit­gliedern um 3 %.
Dauer: 30 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,811,7,True,False,False
40,Offensivmodus,"Du befiehlst deinem Gyrocopter, Gegner anzugreifen.",405,0,8,True,False,False
41,Regeneriermodus,"Du befiehlst deinem Gyrocopter, Verbündete zu regenerieren.",405,0,8,True,False,False
42,,,405,7428,10,True,False,False
43,,,405,7449,10,True,False,False
44,,,405,7450,0,True,False,False
45,,,405,7416,8,True,False,False
46,,,405,7417,9,True,False,False
47,,,405,7438,0,True,False,False
48,,,405,7440,0,True,False,False
49,,,405,7441,0,True,False,False
50,,,405,8879,0,True,False,False
51,,,405,8881,0,True,False,False
52,,,405,9127,0,True,False,False
