#,BNpcName,TargetSmall,TargetLarge,Endurance,Fire,Ice,Wind,Earth,Thunder,Water,Slashing,Piercing,Blunt,Magic,HideStats,SlowVuln,PetrificationVuln,ParalysisVuln,InterruptionVuln,BlindVuln,StunVuln,SleepVuln,BindVuln,HeavyVuln,FlatOrDeathVuln
54,9231,72054,72154,14,0,0,0,20,21,0,0,0,0,0,False,True,True,True,True,True,True,True,True,True,True
55,9230,72053,72153,12,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True,True,True,True,True,True
56,9239,72055,72155,13,21,0,20,0,0,0,0,0,0,0,False,True,True,True,False,True,True,True,True,True,True
57,9241,72056,72156,14,0,0,0,0,20,21,0,0,0,0,False,True,True,True,False,True,True,True,True,True,True
58,9233,72057,72157,14,21,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True,True,True,True,True,True
59,9245,72052,72152,14,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True
60,3046,72025,72125,14,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True,True,True,True,True,True
61,9908,72058,72158,14,0,0,0,0,0,0,0,0,0,0,True,True,True,True,False,True,True,True,True,True,True
62,12471,72059,72159,14,0,0,0,0,0,0,0,0,0,0,True,True,True,True,False,True,True,True,True,True,True
63,12472,72060,72160,10,21,21,21,21,21,21,21,21,21,21,True,True,True,True,False,True,True,True,True,True,True
