#,Name,Description,LGBEventObject,LGBMapRange,Quest,Announce,IconObjective0,IconObjective1,Unknown6,Unknown7,Unknown2,EventType,EnemyType,MaxParticipants,Duration,Unknown5,SingleBattle,Unknown9,Unknown8
25,Eiswolf Hrodvitnir,Die Beschwörer des Spezialbataillons haben den grimmigen Eiswolf in einer frostigen Nacht gerufen. Bereite ihm ein heißes Abschiedsfest.,8664692,8664769,69628,0,0,0,0,0,0,1,2,48,20,0,0,0,True
26,Dämonid Belias,"Die Jünger, eine ketzerische Randgruppe der IV. Legion, haben ihr Leben riskiert und die Macht eines Auracitensplitters entfesselt. Lösche den Herrscher über die lodernden Flammenmeere umgehend aus!",8664693,8664770,69628,0,0,0,0,0,0,1,8,48,20,0,0,0,True
27,Die Gepanzerte Zenturie,Magitechnicus Sicinius hat eine neue Kampfeinheit ins Feld geschickt. Schicke sie gleich weiter auf den Schrottplatz!,8664694,8664771,69629,0,0,0,0,0,0,3,1,48,20,0,0,0,True
28,"Alkonost, schrecklich und gefiedert","Der Bestientrupp hat in Zusammenarbeit mit dem Spezialbataillon Alkonost, einen mythischen Vogel von schrecklicher Gestalt, entfesselt. Rupf die Bestie!",8664695,8664772,69629,0,0,0,0,0,0,1,4,48,20,0,0,0,True
29,Hashmallim der Einiger,"Die Jünger, eine ketzerische Randgruppe der IV. Legion, haben ihr Leben riskiert und die Macht eines Auracitensplitters entfesselt. Besiege den Einiger, der nicht sein darf!",8664696,8664773,69620,0,0,0,0,0,0,1,8,48,20,0,0,0,True
30,Regenbogenschlange Ayida,Eifrige Magier des Spezialbataillons haben eine neue Kreatur beschworen. Bereite dem schillernden Wesen ein farbloses Ende!,8664697,8664774,69629,0,0,0,0,0,0,1,2,48,20,0,0,0,True
31,Revanche: Lyon der Bestienkönig,"Der Anführer des Bestientrupps würde nichts lieber tun, als dich zu zähmen. Nimm die Herausforderung an und beweise ihm deine Wildheit!",8664698,8664775,69629,0,0,0,0,0,0,2,3,1,20,0,6,0,True
32,Sturm auf die Dalriada,"Das Flaggschiff liegt antriebslos am Boden. Einen besseren Moment, in sein Inneres einzudringen und mit der Führung der IV. Legion aufzuräumen, wird es nicht geben.",0,0,69624,9678,0,0,222,302,-661,4,6,48,20,5,0,0,True
33,Die Geißel des Geistes,Nichts mundet dem Gedankenschinder so sehr wie ein saftiges Gehirn. Und natürlich dürstet es dem Monstrum ganz besonders nach deinem Verstand!,10962704,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
34,Das schwarze Regiment,"Eine Herde schwarzer Chocobos meint, die Insel gehöre ihnen ganz allein. Stutze ihnen das Gefieder und weise sie in ihre Schranken!",10940977,0,0,0,0,0,0,0,0,3,4,72,20,0,0,0,True
35,Zorn auf zwei Beinen,"Ein magischer Homunculus, der zwar keine Seele hat, aber dafür umso mehr Zorn, wütet über Kreszentia. Halte ihn auf, bevor er alles in Schutt und Asche legt!",10962716,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
36,Das messerscharfe Schicksal,"Verbotene Magie brachte diesen untoten Unhold hervor, der den Lebenden nun nach besagtem Leben trachtet. Bringe die Todesklaue zur Strecke.",10940989,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
37,Das versiegelte Unheil,"Einst versiegelt vom Herren der Insel, kehrt der Klosterdämon nun aus dem Nichts zurück, um eben diesen Bann zu brechen. Kümmere dich um das Siegel, bevor es zu spät ist.",10941018,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
38,Tödliche Schönheit,Ein Familiar des Herren der Insel scheint dein Kampfgeschick auf die Probe stellen zu wollen. Kannst du es mit dem majestätischen Kristalldrachen aufnehmen?,10962728,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
39,Von uralten Magien,"Diese ominöse Tongestalt ist von Kopf bis Fuß mit magischem Talent getränkt. Wird es dir gelingen, dem mystischen Idol die Stirn zu bieten?",10937430,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
40,Die steinerne Staffel,"Ein ganzer Trupp aus steinernen Rittern stellt sich dir in den Weg, um ihre Heimstätte zu verteidigen. Wirst du aus diesem kalten Kräftemessen als Sieger hervorgehen?",11131960,0,0,0,0,0,0,0,0,3,4,72,20,0,0,0,True
41,Jäger aus alten Legenden,"In Nym erzählte man sich Legenden über eine Kreatur, die halb Zweibeiner, halb Haifisch sein soll. Kreszentia lässt diese Legende nun ganz offensichtlich Wirklichkeit werden.",11102245,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
42,Gefürchtetes Gebrüll,"Mächtige Weißmagie erfüllt diesen steinernen Löwen, dessen Gebrüll durch die Ruinen dröhnt. Bring ihn zum Schweigen!",10937461,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
43,Mit absoluter Sicherheit,"Die Pflicht ruft, und diese steinernen Streiter sorgen sich damals wie heute um die Sicherheit ihrer Heimat. Dich haben sie dummerweise als Eindringling identifiziert.",11102367,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
44,Keine Gnade dem Gefieder,"Das Geplapper der Schnatterer hallt über ganz Kreszentia, was eine noch viel furchterregendere Bestie geweckt hat. Erlege sie, ehe alle Vögel ihr Leben lassen müssen.",10941033,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
45,Das Feilschen ums Verfluchte,"Der Geschäftssinn dieser kuriosen Schildkröte ist brandgefährlich - nicht zuletzt, weil ihre Waren hochgradig verflucht sind. Gebiete diesem merkantilen Treiben Einhalt!",10962741,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
46,Ausgebessert und verbessert,Diese Statue diente schon zu Zeiten des Krieges der Magi und scheint besagten Dienst noch lange nicht niederlegen zu wollen. Widersetze dich diesem alten Bollwerk!,10937473,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
47,Das finsterste Feuer,"Ein dämonischer Geist, der Besitz von einer alten Vogelstatue ergreift, ist ein astreines Rezept für Desaster. Kümmere dich darum, ehe die ganze Insel in Flammen steht.",10962753,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
48,Der Turm des Blutes,"Im Süden Kreszentias flackert ein unheilvoller Turm am Horizont. Finden sich hoch oben auf seiner Spitze die Antworten, nach denen du schon so lange suchst?",0,0,70853,0,63978,63978,63,126,4,4,6,48,30,0,0,0,False
49,Verfressen bis in die Wurzeln,"Über viele Jahre hat dieses giftige Pflanzenwesen unzählige Bestien verschlungen, bis es zu dieser monströsen Größe herangewachsen ist. Zeit, ihm etwas die Ranken zu kürzen!",12229545,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
50,Doppelt gehext hält besser,"Dieses furchterregende Ätherwesen wurde als perfekte Kopie einer legendären Hexe aus Mhach kreiert. Besiege die Doppelgängerin, bevor sie weiteres Unheil anrichten kann.",12229572,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
51,Schwert und Stein,"Ein antiker Wächter aus hellem Stein, der zum Ende des Krieges der Magi erschaffen wurde, ist auf Kreszentia aufgetaucht. Zeige ihm, dass es kein Material gibt, das nicht zerbrechen kann!",12229633,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
52,Verbotenes Wissen,"In dieses in ein Familiar verwandelte Buch wurden zahllose verbotene und längst vergessene Zauberformeln niedergeschrieben. Zerstöre das Grimoire, bevor sein Wissen missbraucht werden kann!",12229647,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
53,Gift und Kralle,"Der halb verweste Leichnam eines Drachen, der vor Urzeiten von einem Magier für seine grausamen Experimente missbraucht wurde, macht mit seinen Flüchen Kreszentia unsicher. Kümmere dich schnell um die Bedrohung!",12229673,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
54,Unersättliches Unheil,Ein antiker Fluch hat diesen gefräßigen Dämon auf Kreszentia wiederauferstehen lassen. Erlöse ihn von seinem unstillbaren Hunger und rette das Gemüse der Insel!,12229685,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
55,Wie eine Fliege im Netz,Diese grausame Nichtsgesandte jagt ihre Beute stets in Begleitung ihres treuen Gefolges. Lass dich nicht von ihrer Anzahl überrumpeln!,12229696,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
56,Rubinrote Rebellion,"Ein gewaltiger Ätherschub verwandelte dieses Wesen in seine Urform, wonach es seinem Meister entfloh und nun die Insel terrorisiert. Stelle dich der Bestie, bevor sie Kreszentia in Schutt und Asche legt!",12229712,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
57,Auf Tod komm raus,"Nur wenige hatten während des Kriegs der Magi eine engere Beziehung mit dem Tod als dieser Nekromant, der nun selbst als Geist wiederauferstanden ist. Schicke ihn zurück in die ewigen Jagdgründe!",12229732,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
58,Auf dem Weg der Erleuchtung,"Ein zweibeiniges Familiar, das von seinem Meister die Seele eines ruhmreichen Kriegers erhalten hat, treibt auf Kreszentia sein Unwesen. Erledige es, bevor es Expeditionsmitgliedern Schaden zufügt!",12229748,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
59,Verflucht noch eins,"Die Erinnerungen eines alten Flüche-Meisters wurden in dieses künstlich erschaffene, bläuliche Wesen eingepflanzt. Beim Kampf ist höchste Vorsicht geboten!",12229763,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
60,Klein aber oho,Diese winzigen Marionetten wurden kurz vor dem Ende des Kriegs der Magi erschaffen und besitzen trotz ihrer kleinen Statur beachtliche magische Fähigkeiten. Lass dich nicht von ihnen überwältigen!,12229786,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
61,Vom Winde verweht,"Diese geflügelte Kreatur entführt jegliche Besucher der Küstengebiete, um diese der Insel darzubieten. Schalte sie aus, bevor ihr Mitglieder der Expedition zum Opfer fallen.",12229799,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
62,Mehr Köpfe als Verstand,"Ein magisch verstärkter, mehrköpfiger Drache ist aus seinem ewigen Schlaf erwacht. Schicke die Bestie zurück ins Land der Träume!",12229810,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
63,Mieses Mimikry,"Dieses Familiar ist darin geübt, seine Umgebung und andere Lebewesen perfekt nachzuahmen. Lass dich nicht von seinen Tricks überrumpeln!",12229824,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
64,Der Turm der Magie,Im Norden Kreszentias flackert ein unheilvoller Turm am Horizont. Das langersehnte Aufeinandertreffen mit dem Herrn der Insel steht kurz bevor!,0,0,71053,0,63978,63978,-320,11,422,4,6,48,60,0,0,1,False
65,Der Turm der Magie (extrem),Im Norden Kreszentias flackert ein unheilvoller Turm am Horizont. Das langersehnte Aufeinandertreffen mit dem Herrn der Insel steht kurz bevor!,0,0,71053,0,63978,63978,-320,11,422,4,6,48,30,0,0,2,False
