#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
16,Nr. 16,Sehnsucht nach den Sternen,"Alle Strukturen der Kosmo-Erkundung hier auf dem Mond sind fertiggestellt und unser Raumschiff wartet geladen und bereit im Kosmoport auf seine Starterlaubnis!

Die Zeit bis hierhin verging wie im Flug. Tag ein Tag aus gaben wir uns unseren Träumen hin und schufteten unentwegt dem gleichen Ziel entgegen. Die Glieder schmerzen uns nun vor Anstrengung und doch ... Ein Blick in den Sternenhimmel über unseren schwitzenden Köpfen genügt, um uns die unendliche Pracht des Kosmos vor Augen zu führen, den wir zu bereisen gedenken. Und in solchen Momenten ist jede Qual, jede Mühe vergessen, über die ich in meinen Ausführungen so detailliert berichtet habe.

Es hat sich gelohnt. Das fasst unsere Arbeit hier am besten zusammen, denke ich.
Und sobald wir uns in neuen Gefilden befinden und ungeahnten Heraus­forde­rungen in den Schlund blicken, will auch ich mich erneut der Feder widmen und unsere Vorstöße in die unendlichen Weiten gebührend dokumentieren. Bis dahin, treue Leserinnen und Leser!"
17,Nr. 1,Erste Schritte auf Phaenna,"Mit großer Freude darf ich berichten, dass mir, Reportingway, auch dieses Mal die Ehre zuteil wird, unsere Fortschritte und Erkenntnisse zu Papier zu bringen. Verehrte Leserinnen und Leser, ich hoffe, dass euch meine Berichte über die Malmensteine der Kosmo-Erkundung unterhaltsam auf dem Laufenden halten werden.

Nachdem viel Schweiß, Blut und Tränen vergossen wurden, konnte unser Raumschiff, die *Galacticway*, mit einem Himmelsader-Hopser endlich auf Phaenna, dem ersten Zielplaneten der Kosmo-Erkundung, landen. Neben vielen anderen Gründen wurde dieses Gestirn hauptsächlich aufgrund seines großen natürlichen Siliziumvorrats ausgewählt. Und natürlich, weil seine hoppeltastisch-schimmernde Oberfläche einfach das Herz vor Aufregung höher schlagen lässt!

Ein Vortrupp konnte dank der Übungen auf Sinus Ardorum ohne größere Probleme die sogenannte „Glasbläser-Basis“ als ersten Stützpunkt errichten. Es mangelt noch an einigen Funktionen sowie schweren Gerätschaften, aber sobald die restlichen Unterstützer ankommen, wird die Erweiterung der Basis sicherlich schnell von der Pfote gehen."
18,Nr. 2,"Gläserner Freund, gläserner Feind","Dank der *Galacticway* kommt der Transport der verbleibenden Güter vom Mond nach Phaenna überraschend zügig voran! Dabei soll selbst­verständ­lich auch die fantastische Arbeit der Projektteilnehmer vor Ort, die mit Hochdruck an der Verbesserung unserer neuen Basis werkeln, nicht unerwähnt bleiben.

Die auffälligste Besonderheit der Glasbläser-Basis ist wohl, dass sie inmitten einer gewaltigen Grotte errichtet wurde. Dieser Ort wurde aufgrund des Glas- und Schuttregens, der diesen Planeten regelmäßig heimsucht, ausgewählt, um die Kosmo-Erkundung bestmöglich vor diesem Natureinfluss zu schützen. Jedoch ist auch hier die überdachte Fläche begrenzt, weshalb wir beim Bau und vor allem bei der Platzierung unserer Einrichtungen behutsam und methodisch vorgehen müssen. Wenn ich aber das Feuer in den Augen der Ingenieure sehe, mache ich mir keine großen Sorgen."
19,Nr. 3,"Zapp, zapp, zapp dich über Phaenna!","Die ersten Arbeiten am Kosmozapper auf Phaenna wurden begonnen! Ursprünglich war es die Sorge, auf fremden Planeten keine stabilen Ätherströme vorzufinden, die zur Entwicklung dieses Fortbewegungsmittels führte. Mit anderen Worten, dies ist der erste Einsatz des Kosmozappers unter den Umständen, für die er entworfen wurde!

Auch, wenn sich mit Sicherheit all unsere Unterstützer, inklusive der zahlreichen Abenteurer, auf die Fertigstellung freuen, können es besonders die Forscher und Ingenieure kaum abwarten, den Kosmozapper in Betrieb zu nehmen. Ein klares Zeichen dafür, wie viel effizienter seine Existenz das gesamte Projekt gestaltet.
Für den Anfang wird das Gebiet um die Glasbläser-Basis mit dem Kosmozapper ausgestattet, um zumindest die lokalen Erkundungsarbeiten zu erleichtern."
20,Nr. 4,Wer im Glashaus sitzt ...,"Es freut mich, niederschreiben zu können, dass die Habitationsmodule auf Phaenna fertiggestellt wurden! Im Vergleich zu Sinus Ardorum wurde dieses Mal ein größerer Fokus darauf gelegt, mehr Platz für öffentliche Orte freizulassen und die gesamte Anlage heimischer und wohnlicher zu gestalten.

Da die Kosmo-Erkundung zu großen Teilen auf dem Bau der Arche basiert, sind uns auch die Pläne bekannt, wie den Bewohnern aus Ætheris ein langfristig angenehmes Umfeld geschaffen werden sollte. Daher findet sich nun auch auf Phaenna das eine oder andere Element hieraus wieder. Immerhin wollen wir, dass unsere Unterstützer ihre Teilnahme an diesem Projekt auch genießen können.

Die Forscher und Ingenieure meinten wohl jedoch, dass sie neben Schlafmöglichkeiten keine weiteren Annehm­lich­keiten benötigen würden. Laut Projektleiterin Mumukko wurden die Module hier deshalb etwas kompakter gehalten als beim Bau der Arche."
21,Nr. 5,Das Wasser ist halb Glas,"Es hat einiges an Arbeit gekostet, um sie auf Phaennas Natur anzupassen, aber die Strom- und Wasserwerke wurden fertiggestellt!

Aufgrund des beachtlich hohen Anteils an Silizium in den Wasserquellen dieses Planeten lässt es sich nicht ohne weiteres verwenden. Die Reinigungs- und Filteranlagen der Hydrofizierungswerke sind somit für den Erfolg der Erkundung von höchster Wichtigkeit. Selbstverständlich gilt dies auch für die Energisierungswerke, die einen gewaltigen Beitrag zum Projekt leisten.
Ich bin überzeugt, dass die weitere Erkundung auf Phaenna dank dieser zwei Einrichtungen nun deutlich effizienter voranschreiten sollte!"
22,Nr. 6,Ein Hang(ar) zur Sicherheit,"Auch auf Phaenna leisten unsere Mechas wirklich bemerkenswerte Arbeit! So erfreulich dies auch klingen mag, befinden wir uns damit leider in einer ungünstigen Lage. Sollte auch nur eine dieser Maschinen aufgrund einer Störung oder eines Schadens nicht mehr einsatzfähig sein, hätte dies verheerende Folgen für den Fortschritt der Erkundung.

Aus diesem Grund hat man sich beim Bau des Sternenhangars für einen Tunneleingang entschieden. So ist er gut von allen Seiten geschützt, aber gleichzeitig auch leicht erreichbar. Da der Hangar selbst darüber hinaus noch verbessert wurde, sollten unsere Mechas darin nun so sicher sein wie in Hydaelyns Schoß!"
23,Nr. 7,"Zapp, zapp, zapp dich ins Flachland!","Nach langer Planung konnte der Kosmozapper auf Phaenna auf das gesamte Gebiet, durch den der Weichglasspiegel verläuft, erweitert werden!

Da dieses Gebiet durch den Fluss über etliche Jahre in eine Art Tal geformt wurde, ist die Topographie dort alles andere als leicht zu navigieren. Sowohl der Transport von Gütern als auch Projektteilnehmern gestaltete sich als überaus aufwendig, weshalb der Bau des dortigen Kosmozappers priorisiert worden war. Jedoch musste zunächst sichergestellt werden, dass der gläserne Boden an den Stützpunkten des Kosmozappers auch dem Gewicht der Anlagen standhalten kann, weshalb die Planung leider mehr Zeit in Anspruch nahm als erhofft.

Aber bei der Kosmo-Erkundung steht Sicherheit immer an erster Stelle! Ich habe keine Zweifel, dass unsere Projektteilnehmer die sorgfältige Arbeit der Ingenieure zu schätzen wissen!"
24,Nr. 8,"Wo ein Kran ist, ist auch ein Weg","Bereits kurz nach unserer Ankunft auf Phaenna fiel uns ein gewaltiger Abgrund im Südosten des Erkundungsgebiets auf. Unaufhörlich stürzt hier das Wasser des Weichglasspiegels in die bisher unerreichbaren Tiefen, die wohl durch die Ansammlung gigantischer Glaskugeln entstanden sind. Um diesen „Kapselgrund“ besser erforschen zu können, wurden die sogenannten „Applike-Kräne“ entworfen, die einen Weg bis ganz nach unten bilden können.

Der Name der Kräne, wie ich erfahren habe, stammt aus dem Glashandwerk, in welchem bei einer „Applikation“ separat hergestellte Stücke erhitzt und so an das eigentliche Kunstwerk angebracht werden. Inspiriert von dieser Idee wurden die Kräne nach ihrer Fertigstellung an den stabilen Rändern des Kapselgrundes verankert, von wo aus nun Laufwege herabgelassen werden können.

Es ist wirklich hoppeltastisch mitanzusehen, wie all die neuen Erkenntnisse aus dem Ausbau des Kosmozappers und der damit zusammenhängenden Bodenuntersuchungen mit dem Ingenieurwissen aus dem Aufzugbau in Sinus Ardorum kombiniert wurden."
25,Nr. 9,"Zapp, zapp, zapp dich zum Kapselgrund!","Verehrte Leserinnen und Leser, der Kosmozapper hat nun endlich auch den tiefsten Punkt des Kapselgrunds erreicht!

Wie mir mitgeteilt wurde, standen die Ingenieure beim Bau aufgrund der hohen Instabilität der aufeinander gestapelten Glaskugeln vor einer überaus schwierigen Aufgabe. Immerhin müssen nicht nur jeweils zwei Stationen des Kosmozappers miteinander verbunden sein, sondern benötigen auch exakte, feste Koordinaten voneinander. Dass es ihnen gelungen ist, selbst hier ein funktionales und sicheres Transportnetzwerk aufzubauen, zeugt von all der Erfahrung, die sie im Laufe der Erkundung bereits sammeln konnten!

Lasst uns ihren Einsatz ehren, indem wir uns ebenfalls zu gleichen Maßen bei der Erforschung ins Zeug legen!"
26,Nr. 10,Dem Ingenieur ist nichts zu schwör,"Dank der tatkräftigen Unterstützung aller Teilnehmer konnte die Glasbläser-Basis zu einer wahren Wohlfühloase ausgebaut werden!

Man mag sich gar nicht vorstellen, wie viele Stunden die Planung gekostet haben muss, um die Dimensionen der Grotte perfekt mit den verschiedenen Einrichtungen abzustimmen. Dazu mussten noch die Transportwege der Mechas und Drohnen sowie die Verlegung von Kabeln und Rohren bedacht werden. Das Recht darauf, ihren Stolz für diese Leistung lautstark bekannt zu geben, haben sich die zuständigen Ingenieure meiner Meinung nach mehr als verdient.

Nach den aktuellen Plänen fehlt der Basis selbst hiermit nur noch ein zentrales Instrument, bevor wir unseren Fokus auf neue Ziele setzen können, aber alles zu seiner Zeit!"
27,Nr. 11,Gläserner Wille,"Das Hauptaugenmerk der Erkundung von Phaenna liegt momentan auf der Verwendung des robusten natürlichen Glases des Planeten für den weiteren Ausbau der Basis.
Als Teil dieser Initiative wurde deshalb bereits der Sternenhangar mit neuen Wänden versehen.

Es ist wirklich unglaublich, wie vielseitig diese gläsernen Rohstoffe hier sind. Nicht nur sind sie widerstandsfähiger als Stahlplatten, sondern machen auch optisch einiges her. Darüber hinaus können sie sogar Sonnenstrahlen in Energie umwandeln! Es wurden extra Spezialisten für Glashandwerk aus Ætheris einberufen, die in Kooperation mit unseren Ingenieuren vor Ort das neue Baumaterial entworfen haben.

Wenn noch mehr Einrichtungen der Basis mit diesem Material erneuert werden, sollten wir bald auch kaum mehr Energieprobleme haben!"
28,Nr. 12,Ein Tor zu neuen Welten,"Es gibt große Neuigkeiten zu verkünden! Unser Tor in die Weiten des Alls, der Kosmoport, wurde erfolgreich ausgebaut!

In seiner erweiterten Form sollte sich die Reise von und nach Sinus Ardorum nun deutlich einfacher gestalten. Darüber hinaus ist es nun theoretisch auch möglich, von Phaenna aus zu neuen Erkundungszielen aufzubrechen! Die vergrößerte Energiezufuhr verringert weiterhin die benötigte Aufladezeit um ein Vielfaches, weshalb wir jetzt entsprechend mehr Güter pro Stunde transportieren können.

Auf den ersten Blick wirkt es wie ein überaus heikles Unterfangen, den Start- und Landeplatz eines solch gewaltigen Raumschiffs in einer Grotte zu platzieren. Allerdings ist es mit der Erweiterung des Ports nun auch möglich, die Flugbahn für Start und Landung mit höchster Präzision vorzuprogrammieren und den Rest dem Autopiloten zu überlassen. So beeindruckend dieser Fortschritt auch sein mag, wird das für mich kaum das Talent von Kapitänin Cruisingway ersetzen, die uns bei unserer ersten Ankunft so gekonnt hier abgesetzt hat."
29,Nr. 13,Mit der Kraft des Sterns!,"Verehrte Leserinnen und Leser, eine der wichtigsten Einrichtungen zur Energieversorgung der Glasbläser-Basis, die Mega-Energieplatten, wurden endlich fertiggestellt!

Zwar konnten wir bisher bereits mithilfe der Energisierungswerke Strom gewinnen, jedoch nutzen diese einen Prozess, der zwangsweise Elementaräther benötigt. Im Vergleich hierzu ist es den Mega-Energieplatten möglich, direkt aus den Lichtstrahlen des Sterns, der dieses Sonnensystem erhellt, Strom zu erzeugen!

Bei der enormen Anzahl an Gerätschaften sowohl innerhalb als auch außerhalb der Basis können wir jedes bisschen Energie gebrauchen. Mit zwei verschiedenen Energiequellen können wir uns nun aber zumindest erlauben, ein winziges bisschen weniger sparsam zu sein."
30,Nr. 14,Abkühlung von oben,"Heute war ein großer Tag für die Kosmo-Erkundung! Mihilfe der Mobilisierungswerke, den Stützpunkten unserer Drohnen, ist es uns gelungen, das geschmolzene Magmaglas im Fusingway-Schlund komplett herunterzukühlen!

Auf Phaenna kann sich die Bodentemperatur ver­hält­niss­mäß­ig schnell ändern, wodurch sich auch in den Gebieten um den Weichglasspiegel gelegentlich ähnliche Krater bilden. Der Fusingway-Schlund war somit der perfekte Ort, um unser neu entwickeltes Kühlmittel zu testen, ohne dabei zu großen Einfluss auf die Umwelt des Planeten zu nehmen.

Die Operation war dank der Drohnen, die mit Präzision aus der Luft das Kühlmittel auf die erhitzten Abschnitte sprühen konnten, ein voller Erfolg und erlaubt es uns, unser Erkundungsgebiet weiter zu vergrößern! Darüber hinaus konnten wir bereits die überaus faszinierende Entdeckung machen, dass gekühltes Magmaglas ebenso wie der Weichglasspiegel in allen möglichen Farben schillert. Mit Sicherheit warten in diesem  Gebiet noch eine Vielzahl weiterer Überraschungen auf uns!"
31,Nr. 15,"Zapp, zapp, zapp dich zum Fusingway-Schlund!","Es fühlt sich an, als hätten wir den Fusingway-Schlund gerade erst abgekühlt, und doch kann ich jetzt bereits schon von der Fertigstellung des Kosmozappers in eben diesem Gebiet berichten!
Damit können nun alle Gebiete des Erkundungsareals auf Phaenna in Windeseile erreicht werden!

Auch bei diesem Bauprojekt wurden erneut die Drohnen aus der Magmaglaskühlung verwendet, um die Bodenstabilität im Fusingway-Schlund zu erhöhen. Das vollständige Transportnetz, das sich nun über den Planeten spannt, ist ohne Zweifel eine beachtliche Leistung von enormem Wert für die Erkundung!"
32,Nr. 16,Ein Blick in die Zukunft,"Von Beginn an war das Ziel der Kosmo-Erkundung, nach den Sternen zu greifen. Mit der Fertigstellung des Phaenna-Stellaskops sind wir diesem Ziel nun einen gewaltigen Hopser näher gekommen!

Mit diesem Wunderwerk der Technik lassen sich nicht nur ferne Gestirne detailliert beobachten, sondern sogar die Dichte der sie umgebenden Himmelsadern einschätzen.
Um den Wunsch der Projektleitung, einen Himmelskörper ausfindig zu machen, auf dem intelligentes Leben oder zumindest die Überreste einer vergangenen Zivilisation existieren, zu erfüllen, wurden sofort Astronomie-Experten herbeigerufen, die nun rund um die Uhr alle Winkel des Alls beobachten und die erhaltenen Daten analysieren.

Darüber hinaus wurde mit diesem Teleskop das letzte Bauprojekt, das mit den Rohstoffen auf Phaenna geplant war, abgeschlossen. Ich danke allen Unterstützern vielmals für ihren Einsatz!"
33,Nr. 17,Sternenstaub in den Augen,"Verehrte Leserinnen und Leser, mit der Vollendung der letzten Bauten auf Phaenna beginnt erneut die bittersüße Zeit des Ausharrens, bis die *Galacticway* die Koordinaten ihres nächsten Ziels vom Phaenna-Stellaskop erhält.

Ich bin überzeugt, dass uns das Glück wohl kaum an ein besseres erstes Ziel hätte lenken können als dieses gläserne Wunderland. Immerhin ist die Konstruktion einer Gerätschaft zur Beobachtung und Analyse ferner Himmelskörper für die Kosmo-Erkundung unabdingbar. Die galaktastische Linse des Stellaskops auf einem Planeten herzustellen, der nicht über so viele hochwertige Rohstoffe mit gläsernen Eigenschafften verfügt, wäre wohl kaum möglich gewesen.

Nachdem wir auf Phaenna unseren ersten Schritt aus dem Sonnensystem von Ætheris getätigt haben, können wir uns nun offiziell Kosmo-Erkunder nennen! Wohin uns die weitere Reise führen wird, liegt noch in den Sternen. Ich würde mich freuen, wenn wir sie auch weiterhin gemeinsam antreten können."
