#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown_70_4,Pronoun,Article,Model,Icon,Unknown_70_8,Style
18,getönt[a] Brille[p] - Grau,getönt[a] Brillen[p] - Grau,Graues Gesichtsaccessoire,Getönte Brille - Grau,3,1,0,1,1,0,398718,200086,0,1
19,getönt[a] Brille[p] - Rot,getönt[a] Brillen[p] - Rot,Rotes Gesichtsaccessoire,Getönte Brille - Rot,3,1,0,1,1,0,464254,200093,0,1
20,getönt[a] Brille[p] - Blau,getönt[a] Brillen[p] - Blau,Blaues Gesichtsaccessoire,Getönte Brille - Blau,3,1,0,1,1,0,529790,200092,0,1
21,getönt[a] Brille[p] - Grün,getönt[a] Brillen[p] - Grün,Grünes Gesichtsaccessoire,Getönte Brille - Grün,3,1,0,1,1,0,595326,200096,0,1
22,getönt[a] Brille[p] - Messing,getönt[a] Brillen[p] - Messing,Messingfarbenes Gesichtsaccessoire,Getönte Brille - Messing,3,1,0,1,1,0,660862,200087,0,1
23,getönt[a] Brille[p] - Violett,getönt[a] Brillen[p] - Violett,Violettes Gesichtsaccessoire,Getönte Brille - Violett,3,1,0,1,1,0,726398,200091,0,1
24,getönt[a] Brille[p] - Braun,getönt[a] Brillen[p] - Braun,Braunes Gesichtsaccessoire,Getönte Brille - Braun,3,1,0,1,1,0,791934,200094,0,1
25,klassisch[a] Brille,klassisch[a] Brillen,Ungefärbtes Gesichtsaccessoire,Klassische Brille,3,1,0,1,1,0,71039,200061,0,2
26,klassisch[a] Brille[p] - Silber,klassisch[a] Brillen[p] - Silber,Silbernes Gesichtsaccessoire,Klassische Brille - Silber,3,1,0,1,1,0,136575,200065,0,2
27,klassisch[a] Brille[p] - Gold,klassisch[a] Brillen[p] - Gold,Goldenes Gesichtsaccessoire,Klassische Brille - Gold,3,1,0,1,1,0,202111,200064,0,2
28,klassisch[a] Brille[p] - Schwarz,klassisch[a] Brillen[p] - Schwarz,Schwarzes Gesichtsaccessoire,Klassische Brille - Schwarz,3,1,0,1,1,0,267647,200066,0,2
29,klassisch[a] Brille[p] - Weiß,klassisch[a] Brillen[p] - Weiß,Weißes Gesichtsaccessoire,Klassische Brille - Weiß,3,1,0,1,1,0,333183,200071,0,2
30,klassisch[a] Brille[p] - Grau,klassisch[a] Brillen[p] - Grau,Graues Gesichtsaccessoire,Klassische Brille - Grau,3,1,0,1,1,0,398719,200062,0,2
31,klassisch[a] Brille[p] - Rot,klassisch[a] Brillen[p] - Rot,Rotes Gesichtsaccessoire,Klassische Brille - Rot,3,1,0,1,1,0,464255,200069,0,2
32,klassisch[a] Brille[p] - Blau,klassisch[a] Brillen[p] - Blau,Blaues Gesichtsaccessoire,Klassische Brille - Blau,3,1,0,1,1,0,529791,200068,0,2
33,klassisch[a] Brille[p] - Grün,klassisch[a] Brillen[p] - Grün,Grünes Gesichtsaccessoire,Klassische Brille - Grün,3,1,0,1,1,0,595327,200072,0,2
34,klassisch[a] Brille[p] - Messing,klassisch[a] Brillen[p] - Messing,Messingfarbenes Gesichtsaccessoire,Klassische Brille - Messing,3,1,0,1,1,0,660863,200063,0,2
35,klassisch[a] Brille[p] - Violett,klassisch[a] Brillen[p] - Violett,Violettes Gesichtsaccessoire,Klassische Brille - Violett,3,1,0,1,1,0,726399,200067,0,2
36,klassisch[a] Brille[p] - Braun,klassisch[a] Brillen[p] - Braun,Braunes Gesichtsaccessoire,Klassische Brille - Braun,3,1,0,1,1,0,791935,200070,0,2
37,rosarot[a] Brille,rosarot[a] Brillen,Ungefärbtes Gesichtsaccessoire,Rosarote Brille,3,1,0,1,1,0,71040,200013,0,3
38,rosarot[a] Brille[p] - Silber,rosarot[a] Brillen[p] - Silber,Silbernes Gesichtsaccessoire,Rosarote Brille - Silber,3,1,0,1,1,0,136576,200017,0,3
39,rosarot[a] Brille[p] - Gold,rosarot[a] Brillen[p] - Gold,Goldenes Gesichtsaccessoire,Rosarote Brille - Gold,3,1,0,1,1,0,202112,200016,0,3
40,rosarot[a] Brille[p] - Schwarz,rosarot[a] Brillen[p] - Schwarz,Schwarzes Gesichtsaccessoire,Rosarote Brille - Schwarz,3,1,0,1,1,0,267648,200018,0,3
41,rosarot[a] Brille[p] - Weiß,rosarot[a] Brillen[p] - Weiß,Weißes Gesichtsaccessoire,Rosarote Brille - Weiß,3,1,0,1,1,0,333184,200023,0,3
42,rosarot[a] Brille[p] - Grau,rosarot[a] Brillen[p] - Grau,Graues Gesichtsaccessoire,Rosarote Brille - Grau,3,1,0,1,1,0,398720,200014,0,3
43,rosarot[a] Brille[p] - Rot,rosarot[a] Brillen[p] - Rot,Rotes Gesichtsaccessoire,Rosarote Brille - Rot,3,1,0,1,1,0,464256,200021,0,3
44,rosarot[a] Brille[p] - Blau,rosarot[a] Brillen[p] - Blau,Blaues Gesichtsaccessoire,Rosarote Brille - Blau,3,1,0,1,1,0,529792,200020,0,3
45,rosarot[a] Brille[p] - Grün,rosarot[a] Brillen[p] - Grün,Grünes Gesichtsaccessoire,Rosarote Brille - Grün,3,1,0,1,1,0,595328,200024,0,3
46,rosarot[a] Brille[p] - Messing,rosarot[a] Brillen[p] - Messing,Messingfarbenes Gesichtsaccessoire,Rosarote Brille - Messing,3,1,0,1,1,0,660864,200015,0,3
47,rosarot[a] Brille[p] - Violett,rosarot[a] Brillen[p] - Violett,Violettes Gesichtsaccessoire,Rosarote Brille - Violett,3,1,0,1,1,0,726400,200019,0,3
48,rosarot[a] Brille[p] - Braun,rosarot[a] Brillen[p] - Braun,Braunes Gesichtsaccessoire,Rosarote Brille - Braun,3,1,0,1,1,0,791936,200022,0,3
49,einfach[a] Brille,einfach[a] Brillen,Ungefärbtes Gesichtsaccessoire,Einfache Brille,3,1,0,1,1,0,71041,200001,0,4
50,einfach[a] Brille[p] - Silber,einfach[a] Brillen[p] - Silber,Silbernes Gesichtsaccessoire,Einfache Brille - Silber,3,1,0,1,1,0,136577,200005,0,4
51,einfach[a] Brille[p] - Gold,einfach[a] Brillen[p] - Gold,Goldenes Gesichtsaccessoire,Einfache Brille - Gold,3,1,0,1,1,0,202113,200004,0,4
52,einfach[a] Brille[p] - Schwarz,einfach[a] Brillen[p] - Schwarz,Schwarzes Gesichtsaccessoire,Einfache Brille - Schwarz,3,1,0,1,1,0,267649,200006,0,4
53,einfach[a] Brille[p] - Weiß,einfach[a] Brillen[p] - Weiß,Weißes Gesichtsaccessoire,Einfache Brille - Weiß,3,1,0,1,1,0,333185,200011,0,4
54,einfach[a] Brille[p] - Grau,einfach[a] Brillen[p] - Grau,Graues Gesichtsaccessoire,Einfache Brille - Grau,3,1,0,1,1,0,398721,200002,0,4
55,einfach[a] Brille[p] - Rot,einfach[a] Brillen[p] - Rot,Rotes Gesichtsaccessoire,Einfache Brille - Rot,3,1,0,1,1,0,464257,200009,0,4
56,einfach[a] Brille[p] - Blau,einfach[a] Brillen[p] - Blau,Blaues Gesichtsaccessoire,Einfache Brille - Blau,3,1,0,1,1,0,529793,200008,0,4
57,einfach[a] Brille[p] - Grün,einfach[a] Brillen[p] - Grün,Grünes Gesichtsaccessoire,Einfache Brille - Grün,3,1,0,1,1,0,595329,200012,0,4
58,einfach[a] Brille[p] - Messing,einfach[a] Brillen[p] - Messing,Messingfarbenes Gesichtsaccessoire,Einfache Brille - Messing,3,1,0,1,1,0,660865,200003,0,4
59,einfach[a] Brille[p] - Violett,einfach[a] Brillen[p] - Violett,Violettes Gesichtsaccessoire,Einfache Brille - Violett,3,1,0,1,1,0,726401,200007,0,4
60,einfach[a] Brille[p] - Braun,einfach[a] Brillen[p] - Braun,Braunes Gesichtsaccessoire,Einfache Brille - Braun,3,1,0,1,1,0,791937,200010,0,4
61,Monokel,Monokel,Ungefärbtes Gesichtsaccessoire,Monokel,4,2,0,1,2,0,71042,200025,0,5
62,Monokel[p] - Silber,Monokel[p] - Silber,Silbernes Gesichtsaccessoire,Monokel - Silber,4,2,0,1,2,0,136578,200029,0,5
63,Monokel[p] - Gold,Monokel[p] - Gold,Goldenes Gesichtsaccessoire,Monokel - Gold,4,2,0,1,2,0,202114,200028,0,5
64,Monokel[p] - Schwarz,Monokel[p] - Schwarz,Schwarzes Gesichtsaccessoire,Monokel - Schwarz,4,2,0,1,2,0,267650,200030,0,5
65,Monokel[p] - Weiß,Monokel[p] - Weiß,Weißes Gesichtsaccessoire,Monokel - Weiß,4,2,0,1,2,0,333186,200035,0,5
66,Monokel[p] - Grau,Monokel[p] - Grau,Graues Gesichtsaccessoire,Monokel - Grau,4,2,0,1,2,0,398722,200026,0,5
67,Monokel[p] - Rot,Monokel[p] - Rot,Rotes Gesichtsaccessoire,Monokel - Rot,4,2,0,1,2,0,464258,200033,0,5
68,Monokel[p] - Blau,Monokel[p] - Blau,Blaues Gesichtsaccessoire,Monokel - Blau,4,2,0,1,2,0,529794,200032,0,5
69,Monokel[p] - Grün,Monokel[p] - Grün,Grünes Gesichtsaccessoire,Monokel - Grün,4,2,0,1,2,0,595330,200036,0,5
70,Monokel[p] - Messing,Monokel[p] - Messing,Messingfarbenes Gesichtsaccessoire,Monokel - Messing,4,2,0,1,2,0,660866,200027,0,5
71,Monokel[p] - Violett,Monokel[p] - Violett,Violettes Gesichtsaccessoire,Monokel - Violett,4,2,0,1,2,0,726402,200031,0,5
72,Monokel[p] - Braun,Monokel[p] - Braun,Braunes Gesichtsaccessoire,Monokel - Braun,4,2,0,1,2,0,791938,200034,0,5
73,zeitgemäß[a] Zwicker,zeitgemäß[a] Zwicker,Ungefärbtes Gesichtsaccessoire,Zeitgemäßer Zwicker,4,2,0,1,0,0,71043,200037,0,6
74,zeitgemäß[a] Zwicker[p] - Silber,zeitgemäß[a] Zwicker[p] - Silber,Silbernes Gesichtsaccessoire,Zeitgemäßer Zwicker - Silber,4,2,0,1,0,0,136579,200041,0,6
75,zeitgemäß[a] Zwicker[p] - Gold,zeitgemäß[a] Zwicker[p] - Gold,Goldenes Gesichtsaccessoire,Zeitgemäßer Zwicker - Gold,4,2,0,1,0,0,202115,200040,0,6
76,zeitgemäß[a] Zwicker[p] - Schwarz,zeitgemäß[a] Zwicker[p] - Schwarz,Schwarzes Gesichtsaccessoire,Zeitgemäßer Zwicker - Schwarz,4,2,0,1,0,0,267651,200042,0,6
77,zeitgemäß[a] Zwicker[p] - Weiß,zeitgemäß[a] Zwicker[p] - Weiß,Weißes Gesichtsaccessoire,Zeitgemäßer Zwicker - Weiß,4,2,0,1,0,0,333187,200047,0,6
78,zeitgemäß[a] Zwicker[p] - Grau,zeitgemäß[a] Zwicker[p] - Grau,Graues Gesichtsaccessoire,Zeitgemäßer Zwicker - Grau,4,2,0,1,0,0,398723,200038,0,6
79,zeitgemäß[a] Zwicker[p] - Rot,zeitgemäß[a] Zwicker[p] - Rot,Rotes Gesichtsaccessoire,Zeitgemäßer Zwicker - Rot,4,2,0,1,0,0,464259,200045,0,6
80,zeitgemäß[a] Zwicker[p] - Blau,zeitgemäß[a] Zwicker[p] - Blau,Blaues Gesichtsaccessoire,Zeitgemäßer Zwicker - Blau,4,2,0,1,0,0,529795,200044,0,6
81,zeitgemäß[a] Zwicker[p] - Grün,zeitgemäß[a] Zwicker[p] - Grün,Grünes Gesichtsaccessoire,Zeitgemäßer Zwicker - Grün,4,2,0,1,0,0,595331,200048,0,6
82,zeitgemäß[a] Zwicker[p] - Messing,zeitgemäß[a] Zwicker[p] - Messing,Messingfarbenes Gesichtsaccessoire,Zeitgemäßer Zwicker - Messing,4,2,0,1,0,0,660867,200039,0,6
83,zeitgemäß[a] Zwicker[p] - Violett,zeitgemäß[a] Zwicker[p] - Violett,Violettes Gesichtsaccessoire,Zeitgemäßer Zwicker - Violett,4,2,0,1,0,0,726403,200043,0,6
84,zeitgemäß[a] Zwicker[p] - Braun,zeitgemäß[a] Zwicker[p] - Braun,Braunes Gesichtsaccessoire,Zeitgemäßer Zwicker - Braun,4,2,0,1,0,0,791939,200046,0,6
85,randlos[a] Brille,randlos[a] Brillen,Ungefärbtes Gesichtsaccessoire,Randlose Brille,3,1,0,1,1,0,71044,200097,0,7
86,randlos[a] Brille[p] - Silber,randlos[a] Brillen[p] - Silber,Silbernes Gesichtsaccessoire,Randlose Brille - Silber,3,1,0,1,1,0,136580,200101,0,7
87,randlos[a] Brille[p] - Gold,randlos[a] Brillen[p] - Gold,Goldenes Gesichtsaccessoire,Randlose Brille - Gold,3,1,0,1,1,0,202116,200100,0,7
88,randlos[a] Brille[p] - Schwarz,randlos[a] Brillen[p] - Schwarz,Schwarzes Gesichtsaccessoire,Randlose Brille - Schwarz,3,1,0,1,1,0,267652,200102,0,7
89,randlos[a] Brille[p] - Weiß,randlos[a] Brillen[p] - Weiß,Weißes Gesichtsaccessoire,Randlose Brille - Weiß,3,1,0,1,1,0,333188,200107,0,7
90,randlos[a] Brille[p] - Grau,randlos[a] Brillen[p] - Grau,Graues Gesichtsaccessoire,Randlose Brille - Grau,3,1,0,1,1,0,398724,200098,0,7
91,randlos[a] Brille[p] - Rot,randlos[a] Brillen[p] - Rot,Rotes Gesichtsaccessoire,Randlose Brille - Rot,3,1,0,1,1,0,464260,200105,0,7
92,randlos[a] Brille[p] - Blau,randlos[a] Brillen[p] - Blau,Blaues Gesichtsaccessoire,Randlose Brille - Blau,3,1,0,1,1,0,529796,200104,0,7
93,randlos[a] Brille[p] - Grün,randlos[a] Brillen[p] - Grün,Grünes Gesichtsaccessoire,Randlose Brille - Grün,3,1,0,1,1,0,595332,200108,0,7
94,randlos[a] Brille[p] - Messing,randlos[a] Brillen[p] - Messing,Messingfarbenes Gesichtsaccessoire,Randlose Brille - Messing,3,1,0,1,1,0,660868,200099,0,7
95,randlos[a] Brille[p] - Violett,randlos[a] Brillen[p] - Violett,Violettes Gesichtsaccessoire,Randlose Brille - Violett,3,1,0,1,1,0,726404,200103,0,7
96,randlos[a] Brille[p] - Braun,randlos[a] Brillen[p] - Braun,Braunes Gesichtsaccessoire,Randlose Brille - Braun,3,1,0,1,1,0,791940,200106,0,7
97,breitrandig[a] Brille,breitrandig[a] Brillen,Ungefärbtes Gesichtsaccessoire,Breitrandige Brille,3,1,0,1,1,0,71045,200109,0,8
98,breitrandig[a] Brille[p] - Silber,breitrandig[a] Brillen[p] - Silber,Silbernes Gesichtsaccessoire,Breitrandige Brille - Silber,3,1,0,1,1,0,136581,200113,0,8
99,breitrandig[a] Brille[p] - Gold,breitrandig[a] Brillen[p] - Gold,Goldenes Gesichtsaccessoire,Breitrandige Brille - Gold,3,1,0,1,1,0,202117,200112,0,8
100,breitrandig[a] Brille[p] - Schwarz,breitrandig[a] Brillen[p] - Schwarz,Schwarzes Gesichtsaccessoire,Breitrandige Brille - Schwarz,3,1,0,1,1,0,267653,200114,0,8
101,breitrandig[a] Brille[p] - Weiß,breitrandig[a] Brillen[p] - Weiß,Weißes Gesichtsaccessoire,Breitrandige Brille - Weiß,3,1,0,1,1,0,333189,200119,0,8
102,breitrandig[a] Brille[p] - Grau,breitrandig[a] Brillen[p] - Grau,Graues Gesichtsaccessoire,Breitrandige Brille - Grau,3,1,0,1,1,0,398725,200110,0,8
103,breitrandig[a] Brille[p] - Rot,breitrandig[a] Brillen[p] - Rot,Rotes Gesichtsaccessoire,Breitrandige Brille - Rot,3,1,0,1,1,0,464261,200117,0,8
104,breitrandig[a] Brille[p] - Blau,breitrandig[a] Brillen[p] - Blau,Blaues Gesichtsaccessoire,Breitrandige Brille - Blau,3,1,0,1,1,0,529797,200116,0,8
105,breitrandig[a] Brille[p] - Grün,breitrandig[a] Brillen[p] - Grün,Grünes Gesichtsaccessoire,Breitrandige Brille - Grün,3,1,0,1,1,0,595333,200120,0,8
106,breitrandig[a] Brille[p] - Messing,breitrandig[a] Brillen[p] - Messing,Messingfarbenes Gesichtsaccessoire,Breitrandige Brille - Messing,3,1,0,1,1,0,660869,200111,0,8
107,breitrandig[a] Brille[p] - Violett,breitrandig[a] Brillen[p] - Violett,Violettes Gesichtsaccessoire,Breitrandige Brille - Violett,3,1,0,1,1,0,726405,200115,0,8
108,breitrandig[a] Brille[p] - Braun,breitrandig[a] Brillen[p] - Braun,Braunes Gesichtsaccessoire,Breitrandige Brille - Braun,3,1,0,1,1,0,791941,200118,0,8
109,Minnesänger-Brille,Minnesänger-Brillen,Ungefärbtes Gesichtsaccessoire,Minnesänger-Brille,3,1,0,1,1,0,71046,200073,0,9
110,Minnesänger-Brille[p] - Silber,Minnesänger-Brillen[p] - Silber,Silbernes Gesichtsaccessoire,Minnesänger-Brille - Silber,3,1,0,1,1,0,136582,200077,0,9
111,Minnesänger-Brille[p] - Gold,Minnesänger-Brillen[p] - Gold,Goldenes Gesichtsaccessoire,Minnesänger-Brille - Gold,3,1,0,1,1,0,202118,200076,0,9
112,Minnesänger-Brille[p] - Schwarz,Minnesänger-Brillen[p] - Schwarz,Schwarzes Gesichtsaccessoire,Minnesänger-Brille - Schwarz,3,1,0,1,1,0,267654,200078,0,9
113,Minnesänger-Brille[p] - Weiß,Minnesänger-Brillen[p] - Weiß,Weißes Gesichtsaccessoire,Minnesänger-Brille - Weiß,3,1,0,1,1,0,333190,200083,0,9
114,Minnesänger-Brille[p] - Grau,Minnesänger-Brillen[p] - Grau,Graues Gesichtsaccessoire,Minnesänger-Brille - Grau,3,1,0,1,1,0,398726,200074,0,9
115,Minnesänger-Brille[p] - Rot,Minnesänger-Brillen[p] - Rot,Rotes Gesichtsaccessoire,Minnesänger-Brille - Rot,3,1,0,1,1,0,464262,200081,0,9
116,Minnesänger-Brille[p] - Blau,Minnesänger-Brillen[p] - Blau,Blaues Gesichtsaccessoire,Minnesänger-Brille - Blau,3,1,0,1,1,0,529798,200080,0,9
117,Minnesänger-Brille[p] - Grün,Minnesänger-Brillen[p] - Grün,Grünes Gesichtsaccessoire,Minnesänger-Brille - Grün,3,1,0,1,1,0,595334,200084,0,9
118,Minnesänger-Brille[p] - Messing,Minnesänger-Brillen[p] - Messing,Messingfarbenes Gesichtsaccessoire,Minnesänger-Brille - Messing,3,1,0,1,1,0,660870,200075,0,9
119,Minnesänger-Brille[p] - Violett,Minnesänger-Brillen[p] - Violett,Violettes Gesichtsaccessoire,Minnesänger-Brille - Violett,3,1,0,1,1,0,726406,200079,0,9
120,Minnesänger-Brille[p] - Braun,Minnesänger-Brillen[p] - Braun,Braunes Gesichtsaccessoire,Minnesänger-Brille - Braun,3,1,0,1,1,0,791942,200082,0,9
121,Zwicker,Zwicker,Ungefärbtes Gesichtsaccessoire,Zwicker,4,2,0,1,0,0,71047,200121,0,10
122,Zwicker[p] - Silber,Zwicker[p] - Silber,Silbernes Gesichtsaccessoire,Zwicker - Silber,4,2,0,1,0,0,136583,200122,0,10
123,Zwicker[p] - Gold,Zwicker[p] - Gold,Goldenes Gesichtsaccessoire,Zwicker - Gold,4,2,0,1,0,0,202119,200123,0,10
124,Zwicker[p] - Schwarz,Zwicker[p] - Schwarz,Schwarzes Gesichtsaccessoire,Zwicker - Schwarz,4,2,0,1,0,0,267655,200124,0,10
125,Zwicker[p] - Weiß,Zwicker[p] - Weiß,Weißes Gesichtsaccessoire,Zwicker - Weiß,4,2,0,1,0,0,333191,200125,0,10
126,Zwicker[p] - Grau,Zwicker[p] - Grau,Graues Gesichtsaccessoire,Zwicker - Grau,4,2,0,1,0,0,398727,200126,0,10
127,Zwicker[p] - Rot,Zwicker[p] - Rot,Rotes Gesichtsaccessoire,Zwicker - Rot,4,2,0,1,0,0,464263,200127,0,10
128,Zwicker[p] - Blau,Zwicker[p] - Blau,Blaues Gesichtsaccessoire,Zwicker - Blau,4,2,0,1,0,0,529799,200128,0,10
129,Zwicker[p] - Grün,Zwicker[p] - Grün,Grünes Gesichtsaccessoire,Zwicker - Grün,4,2,0,1,0,0,595335,200129,0,10
130,Zwicker[p] - Messing,Zwicker[p] - Messing,Messingfarbenes Gesichtsaccessoire,Zwicker - Messing,4,2,0,1,0,0,660871,200130,0,10
131,Zwicker[p] - Violett,Zwicker[p] - Violett,Violettes Gesichtsaccessoire,Zwicker - Violett,4,2,0,1,0,0,726407,200131,0,10
132,Zwicker[p] - Braun,Zwicker[p] - Braun,Braunes Gesichtsaccessoire,Zwicker - Braun,4,2,0,1,0,0,791943,200132,0,10
133,Lupenbrille,Lupenbrillen,Ungefärbtes Gesichtsaccessoire,Lupenbrille,3,1,0,1,1,0,71048,200133,0,11
134,Lupenbrille[p] - Silber,Lupenbrillen[p] - Silber,Silbernes Gesichtsaccessoire,Lupenbrille - Silber,3,1,0,1,1,0,136584,200134,0,11
135,Lupenbrille[p] - Gold,Lupenbrillen[p] - Gold,Goldenes Gesichtsaccessoire,Lupenbrille - Gold,3,1,0,1,1,0,202120,200135,0,11
136,Lupenbrille[p] - Schwarz,Lupenbrillen[p] - Schwarz,Schwarzes Gesichtsaccessoire,Lupenbrille - Schwarz,3,1,0,1,1,0,267656,200136,0,11
137,Lupenbrille[p] - Weiß,Lupenbrillen[p] - Weiß,Weißes Gesichtsaccessoire,Lupenbrille - Weiß,3,1,0,1,1,0,333192,200137,0,11
138,Lupenbrille[p] - Grau,Lupenbrillen[p] - Grau,Graues Gesichtsaccessoire,Lupenbrille - Grau,3,1,0,1,1,0,398728,200138,0,11
139,Lupenbrille[p] - Rot,Lupenbrillen[p] - Rot,Rotes Gesichtsaccessoire,Lupenbrille - Rot,3,1,0,1,1,0,464264,200139,0,11
140,Lupenbrille[p] - Blau,Lupenbrillen[p] - Blau,Blaues Gesichtsaccessoire,Lupenbrille - Blau,3,1,0,1,1,0,529800,200140,0,11
141,Lupenbrille[p] - Grün,Lupenbrillen[p] - Grün,Grünes Gesichtsaccessoire,Lupenbrille - Grün,3,1,0,1,1,0,595336,200141,0,11
142,Lupenbrille[p] - Messing,Lupenbrillen[p] - Messing,Messingfarbenes Gesichtsaccessoire,Lupenbrille - Messing,3,1,0,1,1,0,660872,200142,0,11
143,Lupenbrille[p] - Violett,Lupenbrillen[p] - Violett,Violettes Gesichtsaccessoire,Lupenbrille - Violett,3,1,0,1,1,0,726408,200143,0,11
144,Lupenbrille[p] - Braun,Lupenbrillen[p] - Braun,Braunes Gesichtsaccessoire,Lupenbrille - Braun,3,1,0,1,1,0,791944,200144,0,11
145,Sicherheitsbrille,Sicherheitsbrillen,Ungefärbtes Gesichtsaccessoire,Sicherheitsbrille,3,1,0,1,1,0,71049,200145,0,12
146,Sicherheitsbrille[p] - Silber,Sicherheitsbrillen[p] - Silber,Silbernes Gesichtsaccessoire,Sicherheitsbrille - Silber,3,1,0,1,1,0,136585,200146,0,12
147,Sicherheitsbrille[p] - Gold,Sicherheitsbrillen[p] - Gold,Goldenes Gesichtsaccessoire,Sicherheitsbrille - Gold,3,1,0,1,1,0,202121,200147,0,12
148,Sicherheitsbrille[p] - Schwarz,Sicherheitsbrillen[p] - Schwarz,Schwarzes Gesichtsaccessoire,Sicherheitsbrille - Schwarz,3,1,0,1,1,0,267657,200148,0,12
149,Sicherheitsbrille[p] - Weiß,Sicherheitsbrillen[p] - Weiß,Weißes Gesichtsaccessoire,Sicherheitsbrille - Weiß,3,1,0,1,1,0,333193,200149,0,12
150,Sicherheitsbrille[p] - Grau,Sicherheitsbrillen[p] - Grau,Graues Gesichtsaccessoire,Sicherheitsbrille - Grau,3,1,0,1,1,0,398729,200150,0,12
151,Sicherheitsbrille[p] - Rot,Sicherheitsbrillen[p] - Rot,Rotes Gesichtsaccessoire,Sicherheitsbrille - Rot,3,1,0,1,1,0,464265,200151,0,12
152,Sicherheitsbrille[p] - Blau,Sicherheitsbrillen[p] - Blau,Blaues Gesichtsaccessoire,Sicherheitsbrille - Blau,3,1,0,1,1,0,529801,200152,0,12
153,Sicherheitsbrille[p] - Grün,Sicherheitsbrillen[p] - Grün,Grünes Gesichtsaccessoire,Sicherheitsbrille - Grün,3,1,0,1,1,0,595337,200153,0,12
154,Sicherheitsbrille[p] - Messing,Sicherheitsbrillen[p] - Messing,Messingfarbenes Gesichtsaccessoire,Sicherheitsbrille - Messing,3,1,0,1,1,0,660873,200154,0,12
155,Sicherheitsbrille[p] - Violett,Sicherheitsbrillen[p] - Violett,Violettes Gesichtsaccessoire,Sicherheitsbrille - Violett,3,1,0,1,1,0,726409,200155,0,12
156,Sicherheitsbrille[p] - Braun,Sicherheitsbrillen[p] - Braun,Braunes Gesichtsaccessoire,Sicherheitsbrille - Braun,3,1,0,1,1,0,791945,200156,0,12
157,Halbrahmenbrille,Halbrahmenbrillen,Ungefärbtes Gesichtsaccessoire,Halbrahmenbrille,3,1,0,1,1,0,71050,200157,0,13
