#,Name,NameShort,NameFemale,Description,NameEnglish,Action[0],Action[1],Action[2],Action[3],Action[4],LevelMax,JobIndex,LevelUnlock[0],LevelUnlock[1],LevelUnlock[2],LevelUnlock[3],LevelUnlock[4]
10,Phantom-Alchemist,Ph-Alchemist,Phantom-Alchemistin,Die Erinnerung dieses alten Alchemisten besteht aus dem geschickten Mischen allerlei Tinkturen. Ihre potente Heilkraft ist ein mächtiges Werkzeug im Kampf.,Phantom Chemist,41631,41633,41634,41635,0,4,16,1,2,3,4,0
11,Phantom-Seher,Ph-Seher,Phantom-Seherin,"In den Erinnerungen dieses alten Sehers finden sich Inspiration und Prophezeiung. Eine mystische Macht, die selbst die Wogen der Zeit leiten kann.",Phantom Oracle,41636,41641,41642,41643,41644,5,21,1,2,3,4,5
12,Phantom-Dieb,Ph-Dieb,Phantom-Diebin,"Geschick, Mut und allerlei Kniffe finden sich in der Erinnerung dieses Diebes. Sie liefert unverzichtbare Techniken zum Überleben und Erkunden in so gut wie jeder Umgebung.",Phantom Thief,41646,41645,41647,41648,41649,6,3,1,2,3,4,5
13,Phantom-Paladin,Ph-Paladin,Phantom-Paladin,"Diese Erinnerung eines alten Paladins ist gefüllt von dessen Streben nach Wissen. Die in ihr enthaltenen magischen Künste erlauben es, alltägliche Waffen mit mächtigen Magien zu verstärken.",Phantom Mystic Knight,46591,46590,46592,46593,0,4,9,1,2,3,4,0
14,Phantom-Gladiator,Ph-Gladiator,Phantom-Gladiatorin,Ein unbeugsamer Wille ziert diese Erinnerung eines kampferfahrenen Gladiators. Offensive und defensive Techniken verschmelzen in ihr zu einer lückenlosen Kampfkunst.,Phantom Gladiator,46594,46595,46596,46597,0,4,23,1,2,3,4,0
15,Phantom-Tänzer,Ph-Tänzer,Phantom-Tänzerin,"Beschwingt und voller Stolz ist diese Erinnerung eines leidenschaftlichen Tänzers, dessen Schrittfolgen sich auch im Kampf als überaus nützlich erweisen.",Phantom Dancer,46598,46603,46604,46605,0,4,19,1,2,3,4,0
16,Phantom-Ninja,Ph-Ninja,Phantom-Ninja,"Diese Erinnerung ist bis zum Rand gefüllt mit den Geheimtechniken eines legendären Ninja. Gerade seine Fähigkeit, Doppelgänger von sich zu erzeugen, soll ihm mehr als einmal das Leben gerettet haben.",Phantom Ninja,49062,49063,49064,49065,49066,6,5,1,2,3,4,6
17,Phantom-Weißmagier,Ph-Weißmagier,Phantom-Weißmagierin,Hingabe und Aufopferung erfüllen diese Erinnerung eines alten Weißmagiers. Die darin enthaltenen Heiltechniken können sich zweifelsohne als überaus nützlich für die Expedition erweisen.,Phantom White Mage,49067,49068,49069,49070,49071,5,10,1,2,3,4,5
18,Phantom-Schwarzmagier,Ph-Schwarzmagier,Phantom-Schwarzmagierin,"Das Leben eines Schwarzmagiers ist gefüllt mit Forschung und Experimenten, wie diese Erinnerung verrät. In ihrer Gefahr birgt die darin enthaltene zerstörerische Magie jedoch auch unvergleichliches positives Potenzial.",Phantom Black Mage,49072,49073,49074,49075,49076,5,11,1,2,3,4,5
19,Phantom-Dragoon,Ph-Dragoon,Phantom-Dragoon,"Rigoroses Training und eiserne Entschlossenheit sind vonnöten, um sich dem Pfad des Dragoons zu verschreiben. Nur so lassen sich die flinken Bewegungstechniken und gewaltigen Sprünge meistern, die in dieser Erinnerung schlummern.",Phantom Dragoon,49077,49078,49079,0,0,4,4,1,2,3,0,0
20,Phantom-Beschwörer,Ph-Beschwörer,Phantom-Beschwörerin,"Beschwörer existieren im konstanten Wechsel zwischen Theorie und Praxis, was auch diese Erinnerung beweist. Die von ihnen gerufenen Familiare bieten sowohl offensive wie defensive Fähigkeiten, die in allerlei Situationen von Nutzen sind.",Phantom Summoner,49080,49081,49082,49083,49084,5,13,1,2,3,4,5
21,Phantom-Blaumagier,Ph-Blaumagier,Phantom-Blaumagierin,"Fokus und Wissen machen einen wahren Blaumagier aus, wie diese Erinnerung offenbart. Die darin gespeicherten Techniken ermöglichen es, bestialische Fähigkeiten in mächtige Flüche zu verwandeln.",Phantom Blue Mage,49085,49086,49087,49088,49090,3,14,1,1,1,2,3
22,Phantom-Rotmagier,Ph-Rotmagier,Phantom-Rotmagierin,"Aufgeweckt und ungebunden ist das Leben des Rotmagiers, so spricht diese Erinnerung. Ob Weiß- oder Schwarzmagie, im Repertoire dieser Zauberer findet sich eine passende Technik für jede Situation.",Phantom Red Mage,49092,49093,49094,49095,49096,6,15,1,2,3,4,5
23,Phantom-Nekromant,Ph-Nekromant,Phantom-Nekromantin,"Unheilig und rachsüchtig sind diese Erinnerungen eines alten Nekromanten, der mit verbotenen Methoden versuchte, dem Tod zu entrinnen. Doch schlummert gerade in solch schändlicher Kunst gewaltige Macht, die im Kampfe nützlich sein kann.",Phantom Necromancer,49097,49098,49099,49100,49101,5,20,1,2,3,4,5
