#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Unknown1,Quest,Icon,Action,StackSize,Category,CastTime,CastTimeline,Timeline
2000034,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000035,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000036,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000037,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000038,Feuerbonbon,Feuerbonbons,Feuerbonbon,4,1,0,1,2,0,False,66704,22624,1,1,1,3,0,0
2000039,Windbonbon,Windbonbons,Windbonbon,4,1,0,1,2,0,False,66704,22625,1,1,1,3,0,0
2000040,Erdbonbon,Erdbonbons,Erdbonbon,4,1,0,1,2,0,False,66704,22626,1,1,1,3,0,0
2000041,Bomber-Daumen,Bomber-Daumen,Bomber-Daumen,4,1,0,1,0,0,False,66705,30351,1,5,1,3,0,0
2000042,Kürbislaterne,Kürbislaternen,Kürbislaterne,3,1,0,1,1,0,False,66706,24153,1,1,1,5,0,0
2000043,Bomber-Daumen,Bomber-Daumen,Bomber-Daumen,4,1,0,1,0,0,False,66706,30351,1,1,1,3,0,0
2000044,saur[a] Funkenregen,saur[a] Funkenregen,Saurer Funkenregen,4,1,0,1,0,0,False,66706,22647,1,1,1,3,0,0
2000045,Feuerbonbon,Feuerbonbons,Feuerbonbon,4,1,0,1,2,0,False,66700,22624,1,1,1,3,0,0
2000046,Windbonbon,Windbonbons,Windbonbon,4,1,0,1,2,0,False,66700,22625,1,1,1,3,0,0
2000047,Erdbonbon,Erdbonbons,Erdbonbon,4,1,0,1,2,0,False,66700,22626,1,1,1,3,0,0
2000048,Bomber-Daumen,Bomber-Daumen,Bomber-Daumen,4,1,0,1,0,0,False,66701,30351,1,5,1,3,0,0
2000049,Kürbislaterne,Kürbislaternen,Kürbislaterne,3,1,0,1,1,0,False,66702,24153,1,1,1,5,0,0
2000050,Bomber-Daumen,Bomber-Daumen,Bomber-Daumen,4,1,0,1,0,0,False,66702,30351,1,1,1,3,0,0
2000051,saur[a] Funkenregen,saur[a] Funkenregen,Saurer Funkenregen,4,1,0,1,0,0,False,66702,22646,1,1,1,3,0,0
2000052,Feuerbonbon,Feuerbonbons,Feuerbonbon,4,1,0,1,2,0,False,66708,22624,1,1,1,3,0,0
2000053,Windbonbon,Windbonbons,Windbonbon,4,1,0,1,2,0,False,66708,22625,1,1,1,3,0,0
2000054,Erdbonbon,Erdbonbons,Erdbonbon,4,1,0,1,2,0,False,66708,22626,1,1,1,3,0,0
2000055,Bomber-Daumen,Bomber-Daumen,Bomber-Daumen,4,1,0,1,0,0,False,66709,30351,1,5,1,3,0,0
2000056,Kürbislaterne,Kürbislaternen,Kürbislaterne,3,1,0,1,1,0,False,66710,24153,1,1,1,5,0,0
2000057,Bomber-Daumen,Bomber-Daumen,Bomber-Daumen,4,1,0,1,0,0,False,66710,30351,1,1,1,3,0,0
2000058,saur[a] Funkenregen,saur[a] Funkenregen,Saurer Funkenregen,4,1,0,1,0,0,False,66710,22645,1,1,1,3,0,0
2000059,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000060,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000061,Dosis[p] Bernstein-Fungizid,Dosen[p] Bernstein-Fungizid,Bernstein-Fungizid,3,1,0,1,1,0,False,65663,20661,1,3,1,3,0,0
2000062,Stechmücken-Eierbeutel,Stechmücken-Eierbeutel,Stechmücken-Eierbeutel,4,2,0,1,0,0,False,65664,22623,1,8,1,3,0,0
2000063,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000064,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000065,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000066,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000067,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000068,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000069,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000070,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000071,Anolis-Ei,Anolis-Eier,Anolis-Ei,2,2,0,1,2,0,False,65661,25251,1,4,1,3,0,0
2000072,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000073,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000074,hausgemacht[a] Aalpastete,hausgemacht[a] Aalpasteten,Hausgemachte Aalpastete,3,1,0,1,1,0,False,65621,24305,1,1,1,3,0,0
2000075,Damettas Bohnensack[p],Damettas Bohnensäcke[p],Damettas Bohnensack,4,2,0,0,0,1,False,65639,22623,1,6,1,3,0,0
2000076,parfümiert[a] Brief,parfümiert[a] Briefe,Parfümierter Brief,4,2,0,1,0,0,False,65635,26151,1,1,1,3,0,0
2000077,Mikrochu-Blatt,Mikrochu-Blätter,Mikrochu-Blatt,2,2,0,1,2,0,False,65634,25201,1,4,1,0,0,0
2000078,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000079,F'mibhas' Schreiben[p],F'mibhas' Schreiben[p],F'mibhas' Schreiben,4,1,0,0,2,1,False,65560,25918,0,1,1,0,0,0
2000080,Proviantpaket,Proviantpakete,Proviantpaket,4,2,0,1,2,0,False,65570,22623,0,1,1,0,0,0
2000081,Hornspeerspitze,Hornspeerspitzen,Hornspeerspitze,3,1,0,1,1,0,False,65574,22303,0,1,1,0,0,0
2000082,Klumpen[p] Bienenwachsfett,Klumpen[p] Bienenwachsfett,Bienenwachsfett,4,1,0,1,0,0,False,65574,22636,0,1,1,0,0,0
2000083,robust[a] Strohseil,robust[a] Strohseile,Robustes Strohseil,4,2,0,1,2,0,False,65574,26103,0,1,1,0,0,0
2000084,Samen[p] der Azeyma-Rose,Samen[p] der Azeyma-Rose,Samen der Azeyma-Rose,4,1,0,1,0,0,False,65577,25302,1,6,1,0,0,0
2000085,Büschel[p] frischer Gizar-Blätter,Büschel[p] frischer Gizar-Blätter,Frische Gizar-Blätter,4,2,0,1,2,0,False,66698,25218,1,1,1,3,0,0
2000086,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000087,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000088,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000089,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000090,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000091,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000092,Rösling-Samen,Rösling-Samen,Rösling-Samen,4,1,0,1,0,0,False,65692,22623,1,6,1,3,0,0
2000093,frisch[a] Schaudermilbennetz,frisch[a] Schaudermilbennetze,Frisches Schaudermilbennetz,2,2,0,1,2,0,False,65693,21664,1,6,1,3,0,0
2000094,Flasche[p] Hornissentinktur,Flaschen[p] Hornissentinkturen,Hornissentinktur,3,1,0,1,1,0,False,65694,24403,1,1,1,3,0,0
2000095,Beutel[p] Qualmkohle,Beutel[p] Qualmkohle,Qualmkohle,4,2,0,1,0,0,False,65695,30352,1,1,1,3,0,0
2000096,warm[a] Ei,warm[a] Eier,Warmes Ei,2,2,0,1,2,0,False,65697,25252,1,1,1,3,0,0
2000097,Keithas Brief,Keithas Briefe[p],Keithas Brief,3,2,0,0,0,1,False,0,25918,1,1,1,3,0,0
2000098,Portion[p] terpenhaltigen Käfersekrets,Portionen[p] terpenhaltigen Käfersekrets,Terpenhaltiges Käfersekret,3,1,0,1,1,0,False,65567,20641,1,6,1,0,0,0
2000099,Tüte[p] tote Hornissen,Tüten[p] tote Hornissen,Tote Hornissen,3,1,0,1,1,0,False,65694,22623,1,4,1,3,0,0
2000100,Glas[p] abgestandenen Biers,Gläser[p] abgestandenen Biers,Abgestandenes Bier,2,2,0,1,2,0,False,65696,20643,1,3,1,3,0,0
2000101,Phiole[p] Azeyma-Rosenöl,Phiolen[p] Azeyma-Rosenöl,Azeyma-Rosenöl,3,1,0,1,1,0,False,65556,20663,1,2,1,3,0,0
2000102,Stein[p] der Resolution,Steine[p] der Resolution,Stein der Resolution,4,2,0,1,0,0,False,65571,21451,1,1,1,0,0,0
2000103,Phiole[p] orangefarbenen Duftöls,Phiolen[p] orangefarbenen Duftöls,Orangefarbenes Duftöl,3,1,0,1,1,0,False,0,22636,1,1,1,3,0,0
2000104,alt[a] Oktant,alt[a] Oktanten,Alter Oktant,4,1,0,1,0,0,False,65644,21002,1,1,1,3,0,0
2000105,alt[a] Oktant,alt[a] Oktanten,Alter Oktant,4,1,0,1,0,0,False,65645,21002,1,1,1,3,0,0
2000106,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000107,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000108,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000109,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000110,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000111,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000112,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000113,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000114,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000115,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000116,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000117,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000118,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000119,hausgemacht[a] Aalpastete,hausgemacht[a] Aalpasteten,Hausgemachte Aalpastete,3,1,0,1,1,0,False,65659,24305,1,1,1,3,0,0
2000120,hausgemacht[a] Aalpastete,hausgemacht[a] Aalpasteten,Hausgemachte Aalpastete,3,1,0,1,1,0,False,65660,24305,1,1,1,3,0,0
2000121,Flasche[p] mit klarem Wasser,Flaschen[p] mit klarem Wasser,Klares Wasser,3,1,0,1,1,0,False,65628,22614,1,1,1,3,0,0
2000122,Stein[p] der Resolution,Steine[p] der Resolution,Stein der Resolution,4,2,0,1,0,0,False,65679,21451,1,1,1,0,0,0
2000123,Magitek-Photozelle,Magitek-Photozellen,Magitek-Photozelle,3,1,0,1,1,0,False,0,22625,1,99,1,0,0,0
2000124,Aasmücken-Eierbeutel,Aasmücken-Eierbeutel,Aasmücken-Eierbeutel,4,2,0,1,0,0,False,0,22623,0,99,1,0,0,0
2000125,Zombie-Nachlass,Zombie-Nachlässe,Zombie-Nachlass,2,2,0,1,0,0,False,0,22623,0,99,1,0,0,0
2000126,übergroß[a] Honigbiene,übergroß[a] Honigbienen,Übergroße Honigbiene,3,1,0,1,1,0,False,0,27002,0,99,1,0,0,0
2000127,klebrig[a] Blatt,klebrig[a] Blätter,Klebriges Blatt,2,2,0,1,2,0,False,0,25201,0,99,1,0,0,0
2000128,Truhe[p] gewilderte Tierhäute,Truhen[p] gewilderte Tierhäute,Gewilderte Tierhäute,3,1,0,1,1,0,False,0,21002,0,99,1,0,0,0
2000129,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000130,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000131,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000132,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000133,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000134,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000135,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000136,Wymonds Schreiben,Wymonds Schreiben,Wymonds Schreiben,4,1,0,0,2,1,False,65685,25918,1,1,1,3,0,0
2000137,Franz-Poster,Franz-Poster,Franz-Poster,4,2,0,1,2,0,False,65689,25906,1,3,1,3,1,1
2000138,Spitzmullfell,Spitzmullfelle,Spitzmullfell,4,2,0,1,0,0,False,65699,21809,1,5,1,3,0,0
2000139,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000140,Leinenbeutel,Leinenbeutel,Leinenbeutel,4,1,0,1,0,0,False,65709,22628,1,1,1,3,0,0
2000141,Messtabelle,Messtabellen,Messtabelle,3,1,0,1,1,0,False,65711,26151,1,1,1,3,0,0
2000142,Sumpf-Yarzon-Panzer,Sumpf-Yarzon-Panzer,Sumpf-Yarzon-Panzer,4,1,0,1,0,0,False,65733,22252,1,4,1,0,0,0
2000143,Leuchtpilz,Leuchtpilze,Leuchtpilz,2,1,0,1,0,0,False,65731,25402,1,1,1,3,0,0
2000144,Korb[p] voll Öllause,Körbe[p] voll Ölläuse,Ölläuse,4,2,0,1,0,0,False,65707,27003,1,1,1,3,0,0
2000145,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000146,Messgerätekiste,Messgerätekiste,Messgerätekiste,4,1,0,1,0,0,False,65711,21002,1,2,1,3,0,0
2000147,Messleine,Messleinen,Messleine,3,1,0,1,1,0,False,65711,26103,1,1,1,3,0,0
2000148,Transportkiste,Transportkisten,Transportkiste,3,1,0,1,1,0,False,65758,21003,1,3,1,3,0,0
2000149,Flasche[p] Kaktor-Milch,Flaschen[p] Kaktor-Milch,Kaktor-Milch,3,1,0,1,1,0,False,65759,20642,1,4,1,3,0,0
2000150,Fafafonos Päckchen,Fafafonos Päckchen,Fafafonos Päckchen,4,1,0,0,2,1,False,65761,21003,1,3,1,3,0,0
2000151,Fungus-Sporangium,Fungus-Sporangien,Fungus-Sporangium,4,1,0,1,2,0,False,0,25403,0,99,1,0,0,0
2000152,Mikrochu-Ranke,Mikrochu-Ranken,Mikrochu-Ranke,3,1,0,1,1,0,False,0,26103,0,99,1,0,0,0
2000153,natürlich[a] Magnet,natürlich[a] Magnete,Natürlicher Magnet,4,2,0,1,0,0,False,65764,21209,1,3,1,3,0,0
2000154,Messingköder,Messingköder,Messingköder,4,2,0,1,0,0,False,65765,27055,1,2,1,3,0,0
2000155,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000156,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000157,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000158,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000159,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000160,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000161,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000162,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000163,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000164,Phiole[p] Kobalos-Öl,Phiolen[p] Kobalos-Öl,Kobalos-Öl,3,1,0,1,1,0,False,65763,20663,1,4,1,3,0,0
2000165,Brief[p] an Momodi,Briefe[p] an Momodi,Brief an Momodi,4,2,0,1,0,0,False,65766,25918,1,1,1,3,0,0
2000166,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000167,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000168,Treiberameisen-Kiefer,Treiberameisen-Kiefer,Treiberameisen-Kiefer,4,2,0,1,0,0,False,65841,22205,1,5,1,3,0,0
2000169,Hammerschnabel-Rippe,Hammerschnabel-Rippen,Hammerschnabel-Rippe,3,1,0,1,1,0,False,0,22202,1,1,1,3,0,0
2000170,Silbererzklumpen,Silbererzklumpen,Silbererzklumpen,4,1,0,1,0,0,False,0,21211,1,1,1,3,0,0
2000171,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000172,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000173,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000174,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000175,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000176,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000177,Hammerschnabel-Rippe,Hammerschnabel-Rippen,Hammerschnabel-Rippen,3,1,0,1,1,0,False,65862,22202,1,8,1,3,0,0
2000178,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000179,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000180,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000181,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000182,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000183,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000184,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000185,alt[a] Angelrute,alt[a] Angelruten,Alte Angelrute,3,1,0,1,1,0,False,65921,38201,1,1,1,3,0,0
2000186,Roselines Schreiben,Roselines Schreiben,Roselines Schreiben,4,1,0,0,2,1,False,65916,26151,1,1,1,3,0,0
2000187,Roselines Schreiben,Roselines Schreiben,Roselines Schreiben,4,1,0,0,2,1,False,65916,26151,1,1,1,3,0,0
2000188,Roselines Schreiben,Roselines Schreiben,Roselines Schreiben,4,1,0,0,2,1,False,65916,26151,1,1,1,3,0,0
2000189,Tonkrug,Tonkrüge,Tonkrug,2,2,0,1,0,0,False,0,25055,1,1,1,3,0,0
2000190,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000191,Lederbeutel,Lederbeutel,Lederbeutel,4,2,0,1,0,0,False,65915,25919,1,1,1,3,0,0
2000192,Strauß[p] Nymeia-Lilien,Sträuße[p] Nymeia-Lilien,Nymeia-Lilien,2,2,0,1,0,0,False,65919,22627,1,3,1,3,0,0
2000193,Tausendjahrpflaume,Tausendjahrpflaumen,Tausendjahrpflaume,3,1,0,1,1,0,False,0,25308,0,99,1,0,0,0
2000194,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000195,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000196,Alewyns Tonikum,Alewyns Tonika,Alewyns Tonikum,4,1,0,0,2,1,False,65930,20661,1,1,1,3,0,0
2000197,rissig[a] Vase,rissig[a] Vasen,Rissige Vase,3,1,0,1,1,0,False,65931,25055,1,1,1,3,0,0
2000198,Gilbeutel,Gilbeutel,Gilbeutel,3,2,0,1,1,0,False,65932,25919,1,5,1,3,0,0
2000199,Kürbis-Quittung,Kürbis-Quittungen,Kürbis-Quittung,3,1,0,1,1,0,False,65839,25906,1,1,1,3,0,0
2000200,Stück[p] Antilopen-Pökelfleisch,Stücke[p] Antilopen-Pökelfleisch,Antilopen-Pökelfleisch,4,2,0,1,2,0,False,0,24353,1,1,1,3,0,0
2000201,Quittung,Quittungen,Quittung,3,1,0,1,1,0,False,65701,26151,1,1,1,3,0,0
2000202,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000203,Kiste[p] getrocknete Mun-Tuy-Bohnen,Kisten[p] getrocknete Mun-Tuy-Bohnen,Getrocknete Mun-Tuy-Bohnen,3,1,0,1,1,0,False,0,21003,1,1,1,3,0,0
2000204,winzig[a] Stab,winzig[a] Stäbe,Winziger Stab,4,2,0,1,0,0,False,0,32412,1,1,1,3,0,0
2000205,winzig[a] Stab,winzig[a] Stäbe,Winziger Stab,4,2,0,1,0,0,False,0,32412,1,1,1,3,0,0
2000206,Kiste[p] mit Jagdwerkzeugen,Kisten[p] mit Jagdwerkzeugen,Jagdwerkzeuge,3,1,0,1,1,0,False,0,21002,1,3,1,3,0,0
2000207,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000208,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000209,Haufen[p] Antilopen-Eingeweide,Haufen[p] Antilopen-Eingeweide,Antilopen-Eingeweide,4,1,0,1,0,0,False,0,29002,1,4,1,3,0,0
2000210,Ochu-Blatt,Ochu-Blätter,Ochu-Blatt,2,2,0,1,2,0,False,0,25201,1,4,1,3,0,0
2000211,Stück[p] Spitzmausfleisch,Stücke[p] Spitzmausfleisch,Spitzmausfleisch,4,2,0,1,2,0,False,65840,25155,1,2,1,3,0,0
2000212,Silbererzklumpen,Silbererzklumpen,Silbererzklumpen,4,1,0,1,0,0,False,65843,21215,1,1,1,3,0,0
2000213,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000214,Stück[p] eines fettigen Orobons,Stücke[p] eines fettigen Orobons,Fettiger Orobon,4,2,0,1,2,0,False,65858,29002,1,4,1,3,0,0
2000215,Phiole[p] Spektralblut,Phiolen[p] Spektralblut,Spektralblut,3,1,0,1,1,0,False,0,22601,1,4,1,3,0,0
2000216,gestohlen[a] Truhe,gestohlen[a] Truhen,Gestohlene Truhe,3,1,0,1,1,0,False,65844,21002,1,3,1,3,0,0
2000217,Naldiq & Vymelli-Schreiben,Naldiq & Vymelli-Schreiben,Naldiq & Vymelli-Schreiben,4,1,0,1,2,0,False,65942,25918,1,1,1,3,0,0
2000218,Proviantpaket,Proviantpakete,Proviantpaket,4,2,0,1,2,0,False,65945,22641,1,4,1,3,0,0
2000219,Blitz-Exergon-Essenz,Blitz-Exergon-Essenzen,Blitz-Exergon-Essenz,3,1,0,1,1,0,False,65946,21265,1,3,1,3,0,0
2000220,blitzblank[a] Schakalfangzahn,blitzblank[a] Schakalfangzähne,Blitzblanker Schakalfangzahn,4,2,0,1,0,0,False,65947,22303,1,4,1,3,0,0
2000221,Stück[p] faulen Dodo-Fleisches,Stücke[p] faulen Dodo-Fleisches,Faules Dodo-Fleisch,4,2,0,1,2,0,False,65952,24353,1,1,1,3,0,0
2000222,Segeltuch,Segeltücher,Segeltuch,4,2,0,1,2,0,False,65951,21602,1,1,1,3,0,0
2000223,Steuerrad,Steuerräder,Steuerrad,4,2,0,1,2,0,False,65951,21003,1,1,1,3,0,0
2000224,Takelage,Takelagen,Takelage,3,1,0,1,1,0,False,65951,20910,1,1,1,3,0,0
2000225,La Noscea-Lilie,La Noscea-Lilien,La Noscea-Lilie,3,2,0,1,1,1,False,65953,25022,1,1,1,3,0,0
2000226,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000227,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000228,schmutzig[a] Tongefäß,schmutzig[a] Tongefäße,Schmutziges Tongefäß,2,2,0,1,2,0,False,0,25054,1,5,1,3,0,0
2000229,Zeremonialschwert,Zeremonialschwerter,Zeremonialschwert,4,2,0,0,2,1,False,65981,30426,1,1,1,3,0,0
2000230,stinkend[a] Köder,stinkend[a] Köder,Stinkender Köder,2,2,0,1,0,0,False,65583,21005,1,2,1,3,0,0
2000231,Knochenpfeife,Knochenpfeifen,Knochenpfeife,3,1,0,1,1,0,False,0,25919,1,3,1,3,0,0
2000232,Flasche[p] Frühlingsmet,Flaschen[p] Frühlingsmet,Frühlingsmet,3,1,0,1,1,0,False,65974,25057,1,1,1,3,0,0
2000233,Brandballon-Finger,Brandballon-Finger,Brandballon-Finger,4,2,0,1,0,0,False,65974,25911,1,6,1,3,0,0
2000234,Bestellzettel,Bestellzettel,Bestellzettel,4,2,0,1,0,0,False,65860,26153,1,4,1,3,0,0
2000235,alchemistisch[a] Tinktur,alchemistisch[a] Tinkturen,Alchemistische Tinktur,1,2,0,1,1,0,False,65591,24403,1,1,1,3,0,0
2000236,blutig[a] Hauer,blutig[a] Hauer,Blutiger Hauer,1,2,0,1,0,0,False,65592,22301,1,10,1,3,0,0
2000237,Transportkiste,Transportkisten,Transportkiste,3,1,0,1,1,0,False,65923,21003,1,2,1,3,0,0
2000238,Kürbis[p] aus dem Garten der Sultana,Kürbisse[p] aus dem Garten der Sultana,Kürbis aus dem Garten der Sultana,9,2,0,1,0,0,False,65839,25210,1,1,1,3,0,0
2000239,Ingwerkeks,Ingwerkekse,Ingwerkeks,2,2,0,1,0,0,False,65856,24051,1,4,1,3,0,0
2000240,Luquelots Brief,Luquelots Briefe,Luquelots Brief,3,2,0,0,0,1,False,65982,25918,1,1,1,3,0,0
2000241,Fahrplan,Fahrpläne,Fahrplan,4,2,0,1,0,0,False,65925,26151,1,1,1,3,0,0
2000242,Bündel[p] breitblättriger Gizar-Blätter,Bündel[p] breitblättriger Gizar-Blätter,Breitblättrige Gizar-Blätter,4,1,0,1,2,0,False,65910,25218,1,3,1,3,0,0
2000243,Phiole[p] Spektralblut,Phiolen[p] Spektralblut,Spektralblut,3,1,0,1,1,0,False,65974,22601,1,1,1,3,0,0
2000244,Kleinod[p] des Ketzers,Kleinodien[p] des Ketzers,Kleinod des Ketzers,4,1,0,1,2,0,False,0,21265,1,99,1,0,0,0
