#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
42,Chocobo-Rennen: Teilnahme 2,20 Mal an einem Chocobo-Rennen teilnehmen,0,61820,20,0,8000,0,0,196,10,6,0,8
43,Chocobo-Rennen: Siege 1,1 Chocobo-Rennen gewinnen,0,61820,1,0,5000,0,0,196,10,7,0,8
44,Chocobo-Rennen: Siege 2,10 Chocobo-Rennen gewinnen,0,61820,10,0,8000,0,0,196,10,8,0,8
45,Triple Triad: Partien,10 Mal Triple Triad spielen,0,61820,10,0,5000,0,0,199,10,9,0,8
46,Triple Triad: Siege,10 Mal bei Triple Triad gewinnen,0,61820,10,0,8000,0,0,199,10,10,0,8
47,Kampf der Trabanten: Teilnahme 2,3 Mal am Kampf der Trabanten teilnehmen,0,61820,3,0,10000,0,0,224,10,15,0,8
48,Aktuelle Agenda: Erfolge 5,30 verschiedene Herausforderungen der Aktuellen Agenda abschließen,0,61810,30,0,15000,0,30,0,12,5,0,3
49,Weltensalon: Partien,5 Mal Triple Triad im Weltensalon spielen,0,61820,5,0,2500,0,0,200,10,11,0,8
50,Weltensalon: Siege,3 Mal bei Triple Triad im Weltensalon gewinnen,0,61820,3,0,3000,0,0,200,10,12,0,8
51,Wunschlieferungen,6 Wunschlieferungen an einen Geschäftspartner abliefern,0,61827,6,0,1000,0,60,219,5,10,0,3
52,Speerfischen,50 Mal beim Speerfischen erfolgreich sein,0,61815,50,5,1000,0,0,241,5,8,5,3
53,Speerfischen: Größe,20 Mal beim Speerfischen einen großen Fisch fangen,0,61815,20,5,2000,0,0,241,5,9,5,3
54,Stahlschwingen: Teilnahme,10 Mal an PvP-Kämpfen in Stahlschwingen teilnehmen,0,61806,10,0,1000,0,0,240,2,5,0,9
55,Stahlschwingen: Siege,5 PvP-Kämpfe in Stahlschwingen gewinnen,0,61806,5,0,1000,0,0,240,2,6,0,9
56,Eureka: Siege über Blitz und Eis 1,"30 Gegner der Affinität Blitz oder Eis besiegen, deren Elementarstufe höchstens 2 Stufen unter der eigenen liegt",0,61833,30,5,1000,0,0,251,13,9,10,3
57,Eureka: Siege über Blitz und Eis 2,"60 Gegner der Affinität Blitz oder Eis besiegen, deren Elementarstufe höchstens 2 Stufen unter der eigenen liegt",0,61833,60,15,1000,0,0,251,13,10,10,3
58,Eureka: Siege über Feuer und Erde 1,"30 Gegner der Affinität Feuer oder Erde besiegen, deren Elementarstufe höchstens 2 Stufen unter der eigenen liegt",0,61833,30,5,1000,0,0,251,13,11,10,3
59,Eureka: Siege über Feuer und Erde 2,"60 Gegner der Affinität Feuer oder Erde besiegen, deren Elementarstufe höchstens 2 Stufen unter der eigenen liegt",0,61833,60,15,1000,0,0,251,13,12,10,3
60,Eureka: Siege über Wasser und Wind 1,"30 Gegner der Affinität Wasser oder Wind besiegen, deren Elementarstufe höchstens 2 Stufen unter der eigenen liegt",0,61833,30,5,1000,0,0,251,13,13,10,3
61,Eureka: Siege über Wasser und Wind 2,"60 Gegner der Affinität Wasser oder Wind besiegen, deren Elementarstufe höchstens 2 Stufen unter der eigenen liegt",0,61833,60,15,1000,0,0,251,13,14,10,3
62,Eureka: Siege über Untote 1,"20 untote Gegner besiegen, deren Elementarstufe mindestens so hoch wie die eigene ist",0,61833,20,5,1000,0,0,251,13,15,10,3
63,Eureka: Siege über Untote 2,"40 untote Gegner besiegen, deren Elementarstufe mindestens so hoch wie die eigene ist",0,61833,40,15,1000,0,0,251,13,16,10,3
64,Eureka: Siege über Exergone 1,"10 Exergone besiegen, deren Elementarstufe mindestens so hoch wie die eigene ist",0,61833,10,5,1000,0,0,251,13,17,10,3
65,Eureka: Siege über Exergone 2,"20 Exergone besiegen, deren Elementarstufe mindestens so hoch wie die eigene ist",0,61833,20,15,1000,0,0,251,13,18,10,3
66,Kampf der Trabanten: Teilnahme 1,1 Mal am Kampf der Trabanten teilnehmen,0,61820,1,0,5000,0,0,224,10,14,0,8
67,Kampf der Trabanten: Teilnahme 3,5 Mal am Kampf der Trabanten teilnehmen,0,61820,5,0,12000,0,0,224,10,16,0,8
68,Operationen: Erfolge,3 Operationen mit deinem Kommando erfolgreich abschließen,372,61812,3,0,5000,0,0,0,8,3,0,6
69,Domanisches Mahjong: Teilnahme,An 2 Partien domanischen Mahjongs gegen andere Spieler teilnehmen,68737,61820,2,0,5000,0,0,0,10,17,0,8
70,FATE: Bestwertung 1,5 Mal die bestmögliche Bewertung in FATEs erreicht,0,61809,5,15,1000,1625700,0,0,3,1,5,3
71,FATE: Bestwertung 2,10 Mal die bestmögliche Bewertung in FATEs erreicht,0,61809,10,15,2000,1625700,0,0,3,2,5,3
72,Materialverwertung,5 Materialverwertungen erfolgreich durchführen. (Nur Handwerkerklassen erhalten Routine.),95,61816,5,10,2000,0,0,0,5,3,5,3
73,Das Manderville-Turnier,1 Mal am offiziellen Manderville-Turnier teilnehmen und die Belohnung erhalten,69566,61820,1,0,3000,0,0,0,10,13,0,8
74,Inselparadies: Sammeln,100 Gegenstände auf dem Inselparadies sammeln,70179,61847,100,0,1000,0,0,0,11,11,0,11
75,Inselparadies: Basteln,20 Inselgüter im Inselatelier herstellen und verschiffen lassen,70179,61847,20,0,1000,0,0,0,11,12,0,11
76,Kreszentia: Kriegsführung I,"30 Gegner besiegen, deren Wissensstufe mindestens so hoch wie die eigene ist",70847,61851,30,30,140,0,0,0,13,1,12,13
77,Kreszentia: Kriegsführung II,"60 Gegner besiegen, deren Wissensstufe mindestens so hoch wie die eigene ist",70847,61851,60,70,240,0,0,0,13,2,12,13
78,Kreszentia: Kritische Begegnungen I,8 kritische Begegnungen im südlichen Kreszentia abgeschlossen,70847,61851,8,30,140,0,0,0,13,3,12,13
79,Kreszentia: Kritische Begegnungen II,15 kritische Begegnungen im südlichen Kreszentia abgeschlossen,70847,61851,15,70,240,0,0,0,13,4,12,13
80,Kreszentia: FATEs I,10 FATEs im südlichen Kreszentia abgeschlossen,70847,61851,10,30,140,0,0,0,13,5,12,13
81,Kreszentia: FATEs II,20 FATEs im südlichen Kreszentia abgeschlossen,70847,61851,20,70,240,0,0,0,13,6,12,13
82,Kreszentia: Erfolgssträhnen I,20 Mal eine Erfolgssträhne im südlichen Kreszentia erreicht ,70847,61851,1,30,140,0,0,0,13,7,12,13
83,Kreszentia: Erfolgssträhnen II,40 Mal eine Erfolgssträhne im südlichen Kreszentia erreicht ,70847,61851,1,70,240,0,0,0,13,8,12,13
84,Pilgers Pfad: Fortschritt I,Ebene 20 von Pilgers Pfad abschließen,70941,61824,1,7,0,0,0,0,14,1,14,0
85,Pilgers Pfad: Fortschritt II,Ebene 30 von Pilgers Pfad abschließen,70941,61824,1,2,0,0,0,0,14,2,15,0
86,Pilgers Pfad: Fortschritt III,Ebene 50 von Pilgers Pfad abschließen,70942,61824,1,8,0,0,0,0,14,3,14,0
87,Pilgers Pfad: Fortschritt IV,Ebene 70 von Pilgers Pfad abschließen,70942,61824,1,3,0,0,0,0,14,4,15,0
88,Pilgers Pfad: Fortschritt V,Ebene 100 von Pilgers Pfad abschließen,70942,61824,1,10,0,0,0,0,14,5,14,0
89,,,0,0,0,0,0,0,0,0,0,0,0,0
90,,,0,0,0,0,0,0,0,0,0,0,0,0
91,,,0,0,0,0,0,0,0,0,0,0,0,0
92,,,0,0,0,0,0,0,0,0,0,0,0,0
93,,,0,0,0,0,0,0,0,0,0,0,0,0
94,,,0,0,0,0,0,0,0,0,0,0,0,0
95,,,0,0,0,0,0,0,0,0,0,0,0,0
96,,,0,0,0,0,0,0,0,0,0,0,0,0
97,,,0,0,0,0,0,0,0,0,0,0,0,0
98,,,0,0,0,0,0,0,0,0,0,0,0,0
99,,,0,0,0,0,0,0,0,0,0,0,0,0
100,,,0,0,0,0,0,0,0,0,0,0,0,0
101,,,0,0,0,0,0,0,0,0,0,0,0,0
102,,,0,0,0,0,0,0,0,0,0,0,0,0
103,,,0,0,0,0,0,0,0,0,0,0,0,0
