#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ExteriorRoof,ExteriorWall,ExteriorWindow,ExteriorDoor,InteriorWall,InteriorFlooring,InteriorLighting,OtherFloorWall,OtherFloorFlooring,OtherFloorLighting,BasementWall,BasementFlooring,BasementLighting,MansionLighting,PlaceName,HousingSize
262156,Wald-Steinhütte,Wald-Steinhütten,3,1,0,1,1,0,6358,6385,6406,6415,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262157,Wald-Holzhaus,Wald-Holzhäuser,2,2,0,1,2,0,6359,6386,6404,6413,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262158,Wald-Komposithaus,Wald-Komposithäuser,2,2,0,1,2,0,6360,6387,6405,6414,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262159,Wald-Steinhaus,Wald-Steinhäuser,2,2,0,1,2,0,6361,6388,6406,6415,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262160,Wald-Holzresidenz,Wald-Holzresidenzen,3,1,0,1,1,0,6362,6389,6404,6413,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262161,Wald-Kompositresidenz,Wald-Kompositresidenzen,3,1,0,1,1,0,6363,6390,6405,6414,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262162,Wald-Steinresidenz,Wald-Steinresidenzen,3,1,0,1,1,0,6364,6391,6406,6415,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262163,Oasen-Holzhütte,Oasen-Holzhütten,3,1,0,1,1,0,6365,6392,6407,6416,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262164,Oasen-Komposithütte,Oasen-Komposithütten,3,1,0,1,1,0,6366,6393,6408,6417,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262165,Oasen-Steinhütte,Oasen-Steinhütten,3,1,0,1,1,0,6367,6394,6409,6418,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262166,Oasen-Holzhaus,Oasen-Holzhäuser,2,2,0,1,2,0,6368,6395,6407,6416,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262167,Oasen-Komposithaus,Oasen-Komposithäuser,2,2,0,1,2,0,6369,6396,6408,6417,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262168,Oasen-Steinhaus,Oasen-Steinhäuser,2,2,0,1,2,0,6370,6397,6409,6418,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262169,Oasen-Holzresidenz,Oasen-Holzresidenzen,3,1,0,1,1,0,6371,6398,6407,6416,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262170,Oasen-Kompositresidenz,Oasen-Kompositresidenzen,3,1,0,1,1,0,6372,6399,6408,6417,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262171,Oasen-Steinresidenz,Oasen-Steinresidenzen,3,1,0,1,1,0,6373,6400,6409,6418,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262172,,,0,0,0,1,0,0,0,0,0,0,6455,6458,6461,0,0,0,0,0,0,0,0,0
262173,,,0,0,0,1,0,0,0,0,0,0,6456,6459,6464,0,0,0,0,0,0,0,0,0
262174,,,0,0,0,1,0,0,0,0,0,0,6457,6460,6467,0,0,0,0,0,0,0,0,0
262175,Mokuzo-Hütte,Mokuzo-Hütten,3,1,0,1,1,0,20680,20689,20698,20701,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262176,Nanpu-Hütte,Nanpu-Hütten,3,1,0,1,1,0,20681,20690,20699,20702,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262177,Kurazukuri-Hütte,Kurazukuri-Hütten,3,1,0,1,1,0,20682,20691,20700,20703,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262178,Mokuzo-Haus,Mokuzo-Häuser,2,2,0,1,2,0,20683,20692,20698,20701,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262179,Nanpu-Haus,Nanpu-Häuser,2,2,0,1,2,0,20684,20693,20699,20702,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262180,Kurazukuri-Haus,Kurazukuri-Häuser,2,2,0,1,2,0,20685,20694,20700,20703,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262181,Mokuzo-Residenz,Mokuzo-Residenzen,3,1,0,1,1,0,20686,20695,20698,20701,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262182,Nanpu-Residenz,Nanpu-Residenzen,3,1,0,1,1,0,20687,20696,20699,20702,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262183,Kurazukuri-Residenz,Kurazukuri-Residenzen,3,1,0,1,1,0,20688,20697,20700,20703,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262184,,,0,0,0,1,0,0,0,0,0,0,20716,20718,20720,0,0,0,0,0,0,0,0,0
262185,Coerthas-Holzhütte,Coerthas-Holzhütten,3,1,0,1,1,0,36863,36872,36881,36884,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
262186,Coerthas-Steinhütte,Coerthas-Steinhütten,3,1,0,1,1,0,36864,36873,36882,36885,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
262187,Coerthas-Komposithütte,Coerthas-Komposithütten,3,1,0,1,1,0,36865,36874,36883,36886,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
262188,Coerthas-Holzhaus,Coerthas-Holzhäuser,2,2,0,1,2,0,36866,36875,36881,36884,36887,36888,36890,36887,36888,36890,36887,36888,36890,0,25,1
262189,Coerthas-Steinhaus,Coerthas-Steinhäuser,2,2,0,1,2,0,36867,36876,36882,36885,36887,36888,36890,36887,36888,36890,36887,36888,36890,0,25,1
262190,Coerthas-Komposithaus,Coerthas-Komposithäuser,2,2,0,1,2,0,36868,36877,36883,36886,36887,36888,36890,36887,36888,36890,36887,36888,36890,0,25,1
262191,Coerthas-Holzresidenz,Coerthas-Holzresidenzen,3,1,0,1,1,0,36869,36878,36881,36884,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891,25,2
262192,Coerthas-Steinresidenz,Coerthas-Steinresidenzen,3,1,0,1,1,0,36870,36879,36882,36885,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891,25,2
262193,Coerthas-Kompositresidenz,Coerthas-Kompositresidenzen,3,1,0,1,1,0,36871,36880,36883,36886,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891,25,2
262194,,,0,0,0,1,0,0,0,0,0,0,36887,36888,36891,0,0,0,0,0,0,0,0,0
262195,,,0,0,0,1,0,0,0,0,0,0,44870,44871,44872,0,0,0,44870,44871,44872,0,0,0
262196,,,0,0,0,1,0,0,0,0,0,0,44870,44871,44872,44870,44871,44872,44870,44871,44872,0,0,0
262197,,,0,0,0,1,0,0,0,0,0,0,44870,44871,44872,44870,44871,44872,44870,44871,44872,44872,0,0
